都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,計画機関,作業機関,実施時期,附図番号
静岡県,"修善寺町,",道路計画,"撮影,写測図化","8000,,1000","3.2KM2,3.2KM2",静岡県助言611223E3140,国際航業(株),"61.12.10,62.02.18",611780
静岡県,"沼津市,",道路計画,"撮影,写測図化","3000,,500","2.7KM2,0.5KM2",静岡県沼津市助言610829E3081,(株)パスコ,"61.06.03,61.11.29",
静岡県,"富士宮市,",都市計画,"撮影,写測図化,写測図化,編集","30000,,2500,,10000,,10000","90.2KM2,112.0KM2,90.2KM2,112.0KM2",静岡県富士宮市助言620217E3154,(株)パスコ,"62.02.16,63.12.20",611929
静岡県,"榛原町,",農地現況把握,撮影,12500,52.8KM2,静岡県榛原町助言620217E3155,(株)パスコ,"61.12.20,62.03.20",611930
静岡県,"水窪町,",森林計画,撮影,16000,1016.0KM2,愛知県助言610417E3003,玉野総合コンサルタント(株),"61.05.01,61.07.31",610013*
静岡県,"浜松市,",都市計画,"撮影,写測図化","10000,,2500","250.4KM2,250.4KM2",静岡県浜松市助言610513E3016,(株)フジヤマ,"61.05.12,62.03.20",610144
静岡県,"細江町,",都市計画,"撮影,写測図化","10000,,2500","33.9KM2,33.9KM2",静岡県細江町助言610513E3017,(株)フジヤマ,"61.05.15,61.12.25",610145
静岡県,"浅羽町,",道路台帳,"撮影,写測図化","8000,,1000","10.9KM2,10.9KM2",静岡県浅羽町助言610604E3032,(株)フジヤマ,"61.05.28,61.12.25",610316
静岡県,"浜松市,",道路台帳,"撮影,写測図化","4000,,500","24.6KM2,15.7KM2",静岡県浜松市助言610623E3043,(株)フジヤマ,"61.06.15,62.03.20",610494
静岡県,"天竜市,引佐町,龍山村,佐久間町,春野町,",森林計画,撮影,16000,397.0KM2,静岡県助言610417E3004,中日本航空(株),"61.05.13,61.11.20",610014
静岡県,"相良町,",道路計画,"撮影,写測図化","8000,,1000","4.6KM2,4.6KM2",静岡県助言620302E3163,"中日本航空(株),アジア航測(株)","62.02.26,62.03.30",611963
静岡県,"森町,",都市計画,"撮影,写測図化","12500,,2500","21.0KM2,21.0KM2",静岡県森町助言610718E3065,朝日航洋(株),"61.07.01,61.09.30",610728
静岡県,"御殿場市,",道路台帳,"写測図化,写測図化","500,,1000","22.6KM2,49.5KM2",静岡県御殿場市助言610829E3084,国際航業(株),"61.08.20,63.03.31",611027
静岡県,"三島市,",都市計画,"写測図化,編集","2500,,2500","28.3KM2,21.6KM2",静岡県三島市助言620224E3157,国際航業(株),"62.02.17,63.03.15",611941
静岡県,"富士宮市,",砂防計画,写測図化,2500,40.6KM2,富士砂防工事事務所助言610815E3080,(株)パスコ,"61.08.05,62.01.20",610885
