都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,計画機関,作業機関,実施時期,附図番号
北海道,"札幌市,",都市計画(公共基準点・復旧),基準点,1級,3point,北海道札幌市助言611128A0639,大東測地(株),"61.11.22,61.12.16",
北海道,"北見市,",道路計画(北陽地区),"基準点,基準点","1級,,3級","2point,6point",網走開発建設部助言610719A0281,北路産業(株),"61.06.20,61.08.31",
北海道,"清水町,芽室町,音更町,",道路計画,"基準点,水準","2級,,3級","47point,49point",日本道路公団札幌建設局帯広工事事務所助言611017A0491,"大東測量設計(株),(株)ダイヤコンサルタント,サンコーコンサルタント(株),日本工営(株),(株)帝国コンサルタント,下国工業コンサルタント(株)","61.09.30,61.12.28",
北海道,"音更町,池田町,",道路計画,"基準点,水準","2級,,3級","7point,7point",日本道路公団札幌建設局帯広工事事務所助言611017A0501,"(株)オオバ,中央開発(株)","61.10.10,61.12.28",
北海道,"倶知安町,",道路計画,"基準点,水準","2級,,2級","8point,9point",小樽開発建設部助言611017A0481,サンコーコンサルタント(株),"61.09.20,61.11.20",
北海道,"音別町,",河川計画(音別川川東築堤),基準点,2級,2point,釧路開発建設部助言610825A0378,北海道防災コンサルタント(株),"61.08.11,61.10.01",
北海道,"小清水町,",道路計画,基準点,2級,5point,網走開発建設部助言610422A0013,北海道測量事業協同組合,"61.04.26,61.07.14",
北海道,"津別町,",土地改良(活汲地区),基準点,2級,4point,網走開発建設部助言610625A0246,北海道測量事業協同組合,"61.06.23,61.09.01",
北海道,"遠別町,羽幌町,苫前町,",道路計画,"基準点,基準点","2級,,3級","8point,14point",留萌開発建設部助言610606A0175,(有)荒木測量設計事務所,"61.05.26,61.07.31",
北海道,"北見市,",道路計画(仁頃地区),"基準点,基準点","2級,,3級","3point,5point",網走開発建設部助言610719A0282,(株)ドボク管理事務所,"61.06.23,61.09.13",
北海道,"弟子屈町,",道路計画,"基準点,基準点","2級,,3級","6point,4point",釧路開発建設部助言610924A0466,東邦コンサルタント(株),"61.09.19,61.12.15",
北海道,"上士幌町,",道路計画,基準点,2級,6point,帯広開発建設部助言610606A0176,(有)土木技術コンサルタント,"61.06.01,61.08.07",
北海道,"大樹町,",道路計画,基準点,2級,4point,帯広開発建設部助言610728A0346,(有)土木技術コンサルタント,"61.07.20,61.08.27",
北海道,"豊頃町,",道路改良(一般国道336号),基準点,2級,6point,帯広開発建設部助言611218A0651,(株)土木技術コンサルタント,"61.12.15,62.02.08",
北海道,"中標津町,",河川計画(標津川共成築堤),"基準点,基準点","2級,,3級","1point,3point",釧路開発建設部助言611126A0634,(株)共立技研,"61.09.27,61.12.13",
北海道,"紋別市,",道路計画,"基準点,撮影,写測図化","3級,,8000,,1000","2point,7.6KM2,0.3KM2",網走開発建設部助言610422A0001,(株)パスコ,"61.05.26,61.08.30",610036
北海道,"紋別市,",道路計画(国道273号),基準点,3級,4point,網走開発建設部助言610825A0365,(株)ダイヤコンサルタント,"61.06.28,61.09.05",
北海道,"斜里町,",農地開発(斜里山麓地区),基準点,3級,5point,網走開発建設部助言610728A0352,北海道測量事業協同組合,"61.08.01,61.09.24",
北海道,"佐呂間町,",道路計画国道333号ルワシ峠,基準点,3級,3point,網走開発建設部助言610728A0353,北海道測量事業協同組合,"61.07.28,61.10.08",
北海道,"白糠町,",道路計画(国道392号),基準点,3級,8point,釧路開発建設部助言610825A0377,北海道測量事業協同組合,"61.08.04,61.11.05",
北海道,"端野町,",道路計画,基準点,3級,5point,網走開発建設部助言611017A0517,北海道測量事業協同組合,"61.10.04,61.12.12",
北海道,"網走市,",土地改良(西網走地区),基準点,3級,8point,網走開発建設部助言611126A0624,北海道測量事業協同組合,"61.11.18,62.01.26",
北海道,"阿寒町,",境界測量(開拓財産),"基準点,基準点","3級,,4級","18point,39point",北海道釧路支庁助言610709A0272,山下測量(株),"61.07.10,61.09.30",
北海道,"七飯町,",境界測量(開拓財産),"基準点,基準点","3級,,4級","3point,4point",北海道渡島支庁助言610623A0200,臥牛測量(株),"61.06.27,61.09.10",
北海道,"音別町,",境界測量(開拓財産),"基準点,基準点","3級,,4級","20point,45point",北海道釧路支庁助言610709A0273,"北王コンサルタント(株),東邦コンサルタント(株)","61.07.10,61.09.30",
北海道,"神恵内村,",開拓財産,"基準点,基準点","3級,,4級","4point,10point",北海道後志支庁助言610502A0017,(有)細道測量,"61.06.01,61.12.31",
北海道,"別海町,",境界測量(開拓財産),"基準点,基準点","3級,,4級","10point,54point",北海道根室支庁助言610825A0374,"ロイヤル測量設計(株),(株)小林測量設計事務所","61.08.01,61.11.15",
北海道,"清里町,",道路計画,基準点,3級,6point,網走開発建設部助言610522A0051,(株)ドボク管理事務所,"61.04.19,61.08.06",
北海道,"丸瀬布町,白滝村,",道路計画(国道333号),基準点,3級,4point,網走開発建設部助言610526A0112,(株)ドボク管理事務所,"61.05.20,61.08.23",
北海道,"網走市,",道路計画(北浜道路),基準点,3級,8point,網走開発建設部助言610728A0337,(株)ドボク管理事務所,"61.07.28,61.10.03",
北海道,"網走市,",道路計画(一般国道238号),基準点,3級,2point,網走開発建設部助言610924A0480,大起コンサルタント(株),"61.09.10,61.10.28",
北海道,"紋別市,",道路計画,基準点,3級,7point,網走開発建設部助言610606A0145,(有)土木技術コンサルタント,"61.05.20,61.08.10",
北海道,"斜里町,",道路計画,基準点,3級,8point,網走開発建設部助言610704A0262,(有)土木技術コンサルタント,"61.06.20,61.09.13",
北海道,"岩内町,",開拓財産,"基準点,基準点","3級,,4級","12point,30point",北海道後志支庁助言610502A0016,"(株)矢本測量,三砂測量設計(株),北海道パブリックコンサルタント(株)","61.06.01,61.12.31",
北海道,"稚内市,",航空保安無線施設設置,基準点,4級,1point,運輸省東京航空局助言610924A0478,宗谷測量(株),"61.08.12,61.09.30",
北海道,"稚内市,中頓別町,枝幸町,幌延町,上川町,北竜町,富良野市,遠別町,",国有林野の管理,"基準点,路線","4級,,","16point,35.5km",旭川営林支局助言610509A0043,直営,"61.05.19,61.10.16",
北海道,"標津町,別海町,弟子屈町,",国有林境界検測,基準点,簡級,26.5km,帯広営林支局助言610609A0185,直営,"61.07.01,61.10.09",
北海道,"札幌市,",地盤変動調査,水準,1級,86.6km,北海道札幌市助言610924A0474,大東測地(株),"61.09.20,61.12.10",611169
北海道,"札幌市,石狩町,",地盤変動調査,水準,1級,39.0km,北海道立地下資源調査所助言611004A0499,大東測地(株),"61.09.29,61.11.29",611274
北海道,"札幌市,夕張市,浜益村,平取町,赤井川村,",国有林野の境界整備,路線,,52.0km,北海道営林局助言610506A0020,直営,"61.05.12,61.12.31",
北海道,"旭川市,",土地区画整理,平板,500,0.5KM2,北海道旭川市助言611029A0549,シン航空写真(株),"61.09.16,62.01.13",
北海道,"千歳市,",土地区画整理,"平板,平板,平板","500,,1000,,2500","0.5KM2,0.5KM2,0.5KM2",北海道千歳市助言610522A0108,(株)都市整備コンサルタント,"61.05.19,61.08.15",
北海道,"赤平市,",道路台帳,"平板,平板","1000,,500","20.0km,20.0km",北海道赤平市助言610924A0467,"赤平ボーリングサービス(株),(有)計良調査設計","61.08.01,62.03.31",
北海道,"滝上町,",農地開発,"撮影,写測図化","20000,,5000","27.6KM2,19.1KM2",網走開発建設部助言611128A0642,東日本航空(株),"61.10.18,62.03.06",611652
北海道,"根室市,",水道管台帳,"撮影,写測図化,写測修正,撮影,写測図化,写測修正","8000,,1000,,1000,,4000,,500,,500","103.5KM2,6.2KM2,5.4KM2,16.0KM2,0.2KM2,7.6KM2",北海道根室市助言610625A0237,国際航業(株),"61.06.03,62.03.15",610526
北海道,"奥尻町,",道路計画,"撮影,写測図化","8000,,1000","8.1KM2,2.1KM2",函館開発建設部助言610625A0253,国際航業(株),"61.06.07,61.10.14",610530
北海道,"滝上町,",土地利用基本図,撮影,25000,462.9KM2,北海道滝上町助言610728A0335,国際航業(株),"61.07.10,61.08.31",610795
北海道,"旭川市,東川町,美瑛町,上富良野町,新得町,鹿追町,東神楽町,鷹栖町,比布町,当麻町,上川町,美深町,名寄市,士別市,",道路台帳,"撮影,写測図化","8000,,1000","641.9KM2,22.3KM2",旭川土木現業所助言610825A0421,"国際航業(株),北海航測(株),和光技研(株),(株)グリーン土木開発,(株)富士測量,(株)北海道技術コンサルタント","61.07.20,62.03.26",
北海道,"豊浦町,虻田町,黒松内町,長万部町,",道路計画,撮影,7000,55.4KM2,日本道路公団札幌建設局助言611017A0523,国際航業(株),"61.09.27,61.12.15",
北海道,"滝川市,",道路台帳及び都市計画,"撮影,写測図化,編集","8000,,1000,,2500","162.4KM2,48.4KM2,57.0KM2",北海道滝川市助言611126A0608,国際航業(株),"61.10.01,62.12.25",611631
北海道,"滝川市,",都市計画,"撮影,写測図化","30000,,10000","239.9KM2,120.0KM2",北海道滝川市助言611126A0607,国際航業(株),"61.10.01,62.12.25",611634
北海道,"夕張市,",都市計画,"撮影,写測図化","12500,,2500","210.0KM2,63.6KM2",北海道夕張市助言610506A0028,(株)八州,"61.05.20,61.06.30",610052
北海道,"足寄町,",道路計画,"撮影,写測図化","8000,,1000","9.5KM2,0.3KM2",帯広開発建設部助言610522A0052,(株)八州,"61.04.26,61.08.13",610207
北海道,"音更町,",道路計画,撮影,8000,9.5KM2,帯広開発建設部助言610522A0053,(株)八州,"61.05.01,61.05.31",610208
北海道,"鶴居村,",道路計画(上幌呂道路),"撮影,写測図化","8000,,1000","5.4KM2,0.8KM2",釧路開発建設部助言610530A0156,(株)八州,"61.05.16,61.09.25",
北海道,"阿寒町,",道路計画(上布伏内道路),撮影,8000,10.8KM2,釧路開発建設部助言610604A0154,(株)八州,"61.05.16,61.09.25",610311
北海道,"浦河町,",道路計画,"撮影,写測図化","8000,,1000","6.1KM2,0.4KM2",室蘭開発建設部助言610613A0189,(株)八州,"61.06.02,61.08.20",610427
北海道,"上川町,東川町,旭川市,富良野市,南富良野町,",道路計画,"撮影,写測図化,写測図化","12500,,2500,,1000","29.7KM2,8.1KM2,2.2KM2",旭川開発建設部助言610626A0256,(株)八州,"61.06.14,61.09.10",610547
北海道,"夕張市,由仁町,厚真町,",道路計画(一般道道夕張厚真線),"撮影,写測図化","12500,,2500","26.4KM2,9.0KM2",札幌開発建設部助言610719A0319,(株)八州,"61.07.19,61.11.30",610761
北海道,"幌加内町,",道路計画(道道板谷蕗の台線),"撮影,写測図化","8000,,1000","17.7KM2,4.2KM2",札幌開発建設部助言610825A0371,(株)八州,"61.08.09,62.12.20",610940
北海道,"余市町,",道路計画,"撮影,写測図化","12500,,2500","9.9KM2,0.9KM2",小樽開発建設部助言610906A0436,(株)八州,"61.09.06,62.01.30",611088
北海道,"美唄市,",道路計画(白川美唄線),"撮影,写測図化","8000,,1000","12.3KM2,2.2KM2",札幌開発建設部助言610502A0025,(株)パスコ,"61.05.07,61.09.30",610047
北海道,"幌延町,小平町,遠別町,",道路計画,"撮影,写測図化,写測図化,写測図化,写測図化","8000,,2500,,1000,,1000,,1000","9.5KM2,10.3KM2,0.5KM2,1.2KM2,1.6KM2",留萌開発建設部助言610522A0097,(株)パスコ,"61.05.22,61.10.30",
北海道,"白糠町,",道路計画,"撮影,写測図化,撮影,写測図化","8000,,1000,,12500,,2500","5.5KM2,0.9KM2,26.0KM2,5.0KM2",釧路開発建設部助言610613A0186,(株)パスコ,"61.05.16,61.09.25",610425
北海道,"豊浦町,長万部町,黒松内町,",道路計画,"撮影,写測図化","8000,,1000","9.5KM2,1.5KM2",室蘭開発建設部助言610625A0229,(株)パスコ,"61.06.07,61.10.04",610523
北海道,"上川町,",道路計画,"撮影,写測図化","8000,,1000","6.8KM2,1.5KM2",旭川開発建設部助言610728A0356,(株)パスコ,"61.07.05,61.11.10",610793
北海道,"熊石町,八雲町,",道路計画(国道227号),撮影,12500,91.0KM2,函館開発建設部助言610825A0413,(株)パスコ,"61.08.08,61.10.14",610956
北海道,"陸別町,足寄町,本別町,芽室町,幕別町,浦幌町,池田町,豊頃町,",道路台帳,"撮影,写測図化","8000,,1000","592.1KM2,10.1KM2",帯広土木現業所助言610826A0419,"(株)パスコ,東邦コンサルタント(株),(株)北海道測量図工社,平田測量設計(株),(株)ロック建設技術研究所,(株)深沢測量事務所","61.06.30,62.03.20",
北海道,"余市町,",道路計画,"撮影,写測図化","8000,,1000","6.8KM2,0.5KM2",小樽開発建設部助言610906A0437,(株)パスコ,"61.09.06,62.02.18",611087
北海道,"富良野市,上富良野町,中富良野町,",上富良野演習場航空測量及び図化,"撮影,写測図化","25000,,10000","157.6KM2,27.3KM2",札幌防衛施設局助言610924A0471,(株)パスコ,"61.09.16,62.03.20",611168
北海道,"岩見沢市,",道路台帳,"撮影,写測図化","8000,,1000","27.2KM2,1.5KM2",北海道岩見沢市助言611029A0553,(株)パスコ,"61.10.15,62.12.25",611448
北海道,"喜茂別町,",道路台帳,"撮影,写測図化","8000,,1000","192.0KM2,6.7KM2",北海道喜茂別町助言610709A0279,アジア航測(株),"61.07.01,62.02.15",610641
北海道,"北見市,",都市計画,撮影,12500,202.0KM2,北海道北見市助言610709A0275,アジア航測(株),"61.07.09,61.07.30",610643
北海道,"富良野市,上富良野町,中富良野町,南富良野町,占冠村,",道路台帳,"撮影,写測図化","8000,,1000","277.1KM2,9.6KM2",旭川土木現業所助言610825A0359,"アジア航測(株),旭川設計測量(株),ダイシン設計(株)","61.07.05,62.03.16",
北海道,"釧路市,釧路町,白糠町,音別町,",道路計画,"撮影,カラー撮影","12500,,8000","158.0KM2,49.0KM2",北海道釧路支庁助言611007A0504,アジア航測(株),"61.09.30,61.11.20",611286
北海道,"足寄町,",自衛隊施設建設,"撮影,写測図化","20000,,5000","136.5KM2,27.0KM2",帯広防衛施設支局助言610906A0444,サンコーコンサルタント(株),"61.09.10,61.11.15",611085
北海道,"美瑛町,",ジャパンヘルシーゾーン計画,"撮影,写測図化","12500,,2500","96.0KM2,47.6KM2",北海道美瑛町助言610719A0326,中央コンサルタント(株),"61.06.28,61.12.20",610748
北海道,"苫小牧市,",都市計画,"撮影,写測図化,写測修正","12500,,2500,,2500","334.0KM2,40.8KM2,182.9KM2",北海道苫小牧市助言610530A0157,"シン航空写真(株),(株)田中測量調査,(株)村本測量設計事務所,(有)尾崎測量設計事務所","61.05.30,62.03.05",610300
北海道,"初山別村,羽幌町,苫前町,幌延町,天塩町,",道路台帳,"撮影,写測図化","8000,,1000","264.5KM2,9.6KM2",留萌土木現業所助言610825A0402,"シン航空写真(株),和光技研(株),(株)ロック建設技術研究所,新和測量(株),(株)シーイーサービス,小杉測量設計(株)","61.07.20,62.03.10",
北海道,"芦別市,三笠市,夕張市,南幌町,栗山町,恵庭市,長沼町,追分町,当別町,厚田村,美唄市,石狩町,新篠津村,江別市,広島町,",道路台帳,"撮影,写測図化","8000,,1000","762.7KM2,24.6KM2",札幌土木現業所助言610825A0372,"シン航空写真(株),朝日航洋(株),和光技研(株),北海道パブリックコンサルタント(株),(株)開発調査研究所,開成測量(株)","61.07.10,62.03.25",
北海道,"猿払村,浜頓別町,中頓別町,枝幸町,歌登町,利尻町,礼文町,",道路台帳,"撮影,写測図化","8000,,1000","200.9KM2,9.4KM2",稚内土木現業所助言610825A0394,"シン航空写真(株),(株)北海道測量図工社,北海道土木設計(株),北海道パブリックコンサルタント(株),(株)富士測量,(株)帝国設計事務所","61.08.03,62.03.20",
北海道,"斜里町,清里町,小清水町,中標津町,紋別市,上湧別町,遠軽町,湧別町,佐呂間町,丸瀬布町,生田原町,白滝村,雄武町,興部町,西興部村,滝上町,北見市,美幌町,訓子府町,留辺蘂町,",道路台帳,"撮影,写測図化","8000,,1000","1147.0KM2,28.8KM2",網走土木現業所助言610826A0360,"シン航空写真(株),三和航測(株),東邦コンサルタント(株),アジア航測(株),大起コンサルタント(株),北海道防災コンサルタント(株)","61.07.18,62.03.20",
北海道,"江別市,",研究開発形団地計画,"撮影,写測図化","6000,,1000","9.9KM2,0.3KM2",北海道江別市助言611017A0503,シン航空写真(株),"61.09.26,61.11.10",611330
北海道,"深川市,沼田町,秩父別町,妹背牛町,北竜町,雨竜町,",土地改良,撮影,20000,600.0KM2,札幌開発建設部助言610528A0137,北海航測(株),"61.05.23,61.10.31",610279
北海道,"岩内町,蘭越町,黒松内町,ニセコ町,豊浦町,音威子府村,下川町,美深町,穂別町,",森林計画,撮影,20000,3645.0KM2,北海道林務部助言610530A0147,"北海航測(株),北海道航空(株),東北測量(株)","61.06.05,61.10.31",610296
北海道,"中札内村,",道路台帳,"撮影,写測図化","8000,,1000","112.0KM2,1.0KM2",北海道中札内村助言610530A0159,北海航測(株),"61.05.22,61.09.30",610299
北海道,"木古内町,",都市計画,"撮影,写測図化","12500,,2500","36.5KM2,10.0KM2",北海道木古内町助言610825A0433,北海航測(株),"61.08.08,61.11.30",610957
北海道,"岩内町,共和町,蘭越町,ニセコ町,寿都町,黒松内町,島牧村,倶知安町,京極町,喜茂別町,真狩村,留寿都村,今金町,",道路台帳,"撮影,写測図化","8000,,1000","259.5KM2,136.2KM2",小樽土木現業所助言610825A0358,"北海航測(株),アジア航測(株),(株)開発調査研究所,(株)栄調査設計事務所,(株)中田測量,ユニオンデーターシステム(株)","61.07.01,62.03.25",
北海道,"北檜山町,瀬棚町,今金町,大成町,厚沢部町,上磯町,木古内町,上ノ国町,知内町,松前町,福島町,",道路台帳,"撮影,写測図化","8000,,1000","269.0KM2,11.2KM2",函館土木現業所助言610825A0362,"北海航測(株),北海道開発コンサルタント(株),(株)小林土木工業所,ロイヤル測量設計(株),臥牛測量(株)","61.06.21,62.03.20",
北海道,"黒松内町,蘭越町,豊浦町,ニセコ町,虻田町,洞爺村,壮瞥町,伊達市,登別市,真狩村,京極町,留寿都村,大滝村,喜茂別町,京極町,",道路台帳,"撮影,写測図化","8000,,1000","382.5KM2,15.6KM2",室蘭土木現業所助言611017A0525,"北海航測(株),ロイヤル測量設計(株),開成測量(株),(株)栄調査設計事務所,沼田測量(株),ユニオンデーターシステム(株)","61.06.20,62.03.10",
北海道,"三笠市,岩見沢市,新篠津村,",河川計画,"撮影,写測図化","12500,,2500","242.4KM2,34.6KM2",石狩川開発建設部助言610502A0014,三和航測(株),"61.05.10,61.12.20",610048
北海道,"蘭越町,",農地開発,撮影,25000,240.0KM2,小樽開発建設部助言610613A0205,三和航測(株),"61.06.10,61.09.20",610423
北海道,"蘭越町,",ふ化用水導水予定計画,撮影,8000,8.0KM2,北海道さけ・ますふ化場助言610613A0212,(株)測進,"61.05.30,61.07.08",610426
北海道,"当別町,浜益村,厚田村,月形町,新十津川町,",森林計画,撮影,20000,1065.0KM2,北海道林務部助言610522A0135,北海道航空(株),"61.06.01,61.11.30",610205
北海道,"斜里町,",土地改良(江南地区),"撮影,写測図化","20000,,5000","28.0KM2,6.0KM2",北海道網走支庁助言611017A0524,東邦コンサルタント(株),"61.10.07,61.11.29",611334
北海道,"南富良野町,",道路台帳,"撮影,写測図化","8000,,1000","230.0KM2,14.1KM2",北海道南富良野町助言610509A0032,ユニオンデーターシステム(株),"61.05.20,62.03.31",610067
北海道,"浜頓別町,",道路台帳,撮影,8000,296.8KM2,北海道浜頓別町助言610725A0308,ユニオンデーターシステム(株),"61.07.01,61.11.30",610788
北海道,"中頓別町,",都市計画,"撮影,写測図化,編集","12500,,2500,,5000","9.9KM2,3.0KM2,3.0KM2",北海道中頓別町助言610728A0334,ユニオンデーターシステム(株),"61.07.25,61.11.30",610790
北海道,"白老町,",都市計画,"撮影,写測修正","12500,,2500","207.9KM2,52.0KM2",北海道白老町助言610825A0422,ユニオンデーターシステム(株),"61.05.31,61.11.29",610948
北海道,"門別町,",上下水道施設,"撮影,写測図化","4000,,500","21.0KM2,1.2KM2",北海道門別町助言610825A0435,ユニオンデーターシステム(株),"61.09.10,62.03.10",610958
北海道,"上士幌町,",道路台帳,"撮影,撮影,写測図化,写測図化","8000,,4000,,1000,,500","261.2KM2,8.4KM2,18.8KM2,1.2KM2",北海道上士幌町助言610522A0109,朝日航洋(株),"61.05.31,63.03.31",610209
北海道,"東藻琴村,",農地開発,"撮影,写測図化","5000,,1000","119.0KM2,0.1KM2",網走開発建設部助言610604A0166,朝日航洋(株),"61.05.19,61.09.06",610309
北海道,"富良野市,上富良野町,中富良野町,南富良野町,",土地改良,"撮影,撮影,写測図化","25000,,8000,,1000","53.0KM2,100.0KM2,6.7KM2",旭川開発建設部助言610625A0247,朝日航洋(株),"61.06.23,61.09.12",610529
北海道,"弟子屈町,標茶町,阿寒町,鶴居村,白糠町,釧路市,音別町,浦幌町,別海町,厚岸町,釧路町,",道路台帳,"撮影,写測図化","8000,,1000","857.2KM2,9.6KM2",釧路土木現業所助言610825A0364,"朝日航洋(株),(株)北海道測量図工社,国際航業(株),(株)パスコ,東邦コンサルタント(株),北海道パブリックコンサルタント(株)","61.06.24,62.03.20",
北海道,"帯広市,鹿追町,鹿追町,新得町,",かんがい排水事業(美蔓地区),"撮影,撮影,写測図化,写測図化","4000,,8000,,1000,,2000","1.2KM2,5.1KM2,0.7KM2,4.3KM2",帯広開発建設部助言611201A0602,朝日航洋(株),"61.10.15,62.01.20",
北海道,"紋別市,湧別町,上湧別町,",河川改修計画(湧別川・渚滑川),"撮影,写測図化","12500,,2500","96.0KM2,28.6KM2",網走開発建設部助言610625A0232,日測技研(株),"61.06.21,61.12.16",610524
北海道,"静内町,三石町,浦河町,様似町,えりも町,日高町,平取町,門別町,新冠町,",道路台帳,"撮影,写測図化","8000,,1000","380.0KM2,16.6KM2",室蘭土木現業所助言610825A0404,"山口技研コンサルタント,和光技研(株),新和測量(株),(株)胆振,シン航空写真(株),(株)田中測量調査","61.06.30,62.03.10",
北海道,"千歳市,追分町,由仁町,栗山町,夕張市,",道路計画,カラー撮影,7000,95.0KM2,日本道路公団札幌建設局助言611017A0522,アジア航測(株),"61.10.13,62.01.04",
北海道,"留萌市,",河川計画(留萌川),カラー撮影,12500,79.5KM2,留萌開発建設部助言610825A0406,三和航測(株),"61.08.02,62.03.13",610950
北海道,"稚内市,",河川計画,写測図化,2500,7.3KM2,稚内開発建設部助言610502A0018,東日本航空(株),"61.05.17,61.08.04",610049
北海道,"豊浦町,",土地改良,写測図化,1000,8.4KM2,室蘭開発建設部助言610729A0342,東日本航空(株),"61.07.14,61.08.30",610797
北海道,"長万部町,",道路台帳,写測図化,1000,20.9KM2,北海道長万部町助言610924A0457,国際航業(株),"61.06.02,61.12.20",
北海道,"阿寒町,",道路計画(共和道路),写測図化,2500,10.3KM2,釧路開発建設部助言610530A0155,(株)八州,"61.05.16,61.09.25",610297
北海道,"中標津町,",道路計画(中標津バイパス),写測図化,1000,1.0KM2,釧路開発建設部助言610530A0153,(株)八州,"61.05.16,61.09.25",
北海道,"札幌市,",道路計画(国道230号),写測図化,2500,3.1KM2,札幌開発建設部札幌道路事務所助言610825A0391,(株)八州,"61.08.01,61.10.20",610955
北海道,"中川町,",道路計画,写測図化,1000,1.2KM2,旭川開発建設部助言611128A0641,(株)八州,"61.11.10,62.02.20",
北海道,"斜里町,",道路計画,写測図化,2500,1.3KM2,網走開発建設部助言610613A0201,(株)パスコ,"61.06.06,61.07.24",
北海道,"稚内市,",道路計画(上猿払清浜線),写測図化,1000,1.6KM2,稚内開発建設部助言610625A0240,(株)パスコ,"61.06.13,61.07.31",
北海道,"上磯町,",道路計画(一般国道228号),写測図化,1000,0.2KM2,函館開発建設部助言610625A0254,(株)パスコ,"61.06.07,61.10.14",
北海道,"新十津川町,",農地開発,写測図化,5000,5.3KM2,札幌開発建設部助言610825A0424,(株)パスコ,"61.08.23,61.11.20",
北海道,"苫前町,",道路計画,写測図化,1000,0.6KM2,留萌開発建設部助言620108A0653,(株)パスコ,"61.12.13,62.02.28",
北海道,"音更町,",道路計画,写測図化,1000,1.2KM2,帯広開発建設部助言610825A0379,シン航空写真(株),"61.07.05,61.09.12",
北海道,"七飯町,",道路計画,写測図化,5000,13.0KM2,函館開発建設部助言620126A0655,シン航空写真(株),"62.01.17,62.03.10",611892
北海道,"雄武町,",農地開発,写測図化,5000,12.0KM2,網走開発建設部助言610604A0172,北海航測(株),"61.06.06,61.08.30",610310
北海道,"芦別市,",観光開発,写測図化,1000,1.9KM2,北海道芦別市助言610825A0414,北海航測(株),"61.08.11,61.09.30",
北海道,"歌登町,",土地改良,"写測図化,写測修正","5000,,5000","27.6KM2,38.6KM2",稚内開発建設部助言610825A0387,北海航測(株),"61.07.31,61.10.30",610954
北海道,"石狩町,",道路計画(一般国道337号),写測図化,1000,1.0KM2,札幌開発建設部助言610509A0031,三和航測(株),"61.05.10,61.07.15",
北海道,"旭川市,比布町,当麻町,",河川計画,写測図化,2500,23.9KM2,旭川開発建設部助言610609A0182,三和航測(株),"61.07.10,61.10.31",610398
北海道,"中札内村,帯広市,豊頃町,",河川計画,写測図化,2500,76.5KM2,帯広開発建設部助言610623A0161,三和航測(株),"61.05.26,61.11.25",610507
北海道,"網走市,女満別町,",河川改修計画(網走川),写測図化,5000,30.5KM2,網走開発建設部助言610625A0233,三和航測(株),"61.06.25,61.11.26",610525
北海道,"忠類村,",農地開発,写測図化,5000,52.7KM2,帯広開発建設部助言610825A0367,三和航測(株),"61.07.01,61.09.10",610946
北海道,"奈井江町,",都市計画,"写測図化,編集,編集","2500,,5000,,10000","41.5KM2,47.1KM2,47.1KM2",北海道奈井江町助言610703A0228,ユニオンデーターシステム(株),"61.06.01,61.12.10",610628
北海道,"幌延町,",土地改良、農地開発,写測図化,5000,95.0KM2,留萌開発建設部助言610709A0295,朝日航洋(株),"61.06.27,61.10.30",610639
北海道,"猿払村,",土地改良、農地開発,写測図化,5000,23.5KM2,稚内開発建設部助言610719A0322,朝日航洋(株),"61.07.14,61.09.10",610747
北海道,"網走市,小清水町,東藻琴村,",土地改良,写測図化,5000,41.0KM2,網走開発建設部助言611107A0589,朝日航洋(株),"61.09.13,62.01.30",611512
北海道,"美深町,名寄市,",河川計画,写測図化,2500,36.2KM2,旭川開発建設部助言610609A0183,日測技研(株),"61.07.10,61.10.31",610399
北海道,"帯広市,",砂防計画(ビリカベタンヌ沢川),写測図化,2500,0.8KM2,帯広開発建設部助言610715A0288,日測技研(株),"61.07.19,61.10.20",
北海道,"美唄市,",農地開発,写測図化,5000,7.7KM2,札幌開発建設部助言610728A0349,日測技研(株),"61.07.19,61.09.30",610794
北海道,"幌延町,豊富町,",河川計画,写測図化,2500,39.4KM2,留萌開発建設部助言610924A0448,日測技研(株),"61.09.01,62.03.27",611171
北海道,"三笠市,",ダム計画(奔別ダム),写測図化,2500,8.0KM2,石狩川開発建設部助言610924A0458,日測技研(株),"61.08.30,61.11.30",611172
北海道,"中頓別町,",農地開発,写測図化,5000,8.5KM2,稚内開発建設部助言611126A0601,日測技研(株),"61.10.29,61.12.20",
北海道,"美唄市,",農地開発,写測図化,5000,4.2KM2,札幌開発建設部助言620126A0657,日測技研(株),"62.01.31,62.03.20",
北海道,"北見市,",都市計画,写測修正,2500,60.0KM2,北海道北見市助言610906A0445,アジア航測(株),"61.08.18,61.12.20",611086
北海道,"芦別市,",都市計画,"写測修正,写測図化,編集,編集,編集","2500,,2500,,5000,,5000,,10000","51.8KM2,8.8KM2,60.6KM2,42.2KM2,60.6KM2",北海道芦別市助言611128A0640,北海航測(株),"61.10.01,62.02.01",611650
北海道,"札幌市,",都市計画,写測修正,2500,673.5KM2,北海道札幌市助言610530A0174,"和光技研(株),シン航空写真(株),アジア航測(株),国際航業(株),ロイヤル測量設計(株),北海航測(株)","61.06.04,62.03.20",610301
北海道,"稚内市,",土地改良(稚内西部地区),"写測修正,編集","5000,,10000","30.0KM2,30.0KM2",稚内開発建設部助言610825A0403,三和航測(株),"61.07.18,61.09.20",610939
