都道府県名,測量地域,測量目的,測量種別,等級・縮尺,事業量,計画機関,作業機関,実施時期,附図番号
北海道,"石狩町,",石狩町公共基準点測量,基準点,1級,57point,北海道石狩町,(株)パスコ590803A0923,"59.07.25,60.02.28",590441
北海道,"尻岸内町,椴法華村,",尻岸内町椴法華村行政区画確定,"基準点,基準点","1級,,3級","3point,4point",北海道尻岸内町,大東測地(株)591030A1384,"59.10.29,59.11.30",
北海道,"登別市,",区画整理事業,基準点,2級,0.4KM2,北海道登別市,昭和測量工業(株)590803A0959,"59.08.01,59.08.31",
北海道,"室蘭市,",道路台帳,基準点,2級,10.6KM2,北海道室蘭市,(株)八州590605A0638,"59.05.10,59.11.30",
北海道,"札幌市,",道路台帳,基準点,2級,10point,北海道札幌市,大東測地(株)590723A0891,"59.07.20,59.09.30",
北海道,"厚岸町,釧路町,",道路用地確定二級基準点測量,基準点,2級,2point,釧路開発建設部,北海道測量事業協同組合590831A1090,"59.08.25,59.09.20",
北海道,"標茶町,鶴居村,",道路計画(道道標茶上茶路線),基準点,2級,1point,釧路開発建設部,北海道測量事業協同組合590904A1107,"59.09.03,59.11.19",
北海道,"白糠町,浦幌町,本別町,",道路計画国道392号白糠地区,基準点,2級,2point,釧路開発建設部,北海道測量事業協同組合591006A1242,"59.10.08,59.12.20",
北海道,"標茶町,",道路計画,基準点,2級,2point,釧路開発建設部,東邦測量(株)591217A1661,"59.12.10,60.01.18",
北海道,"紋別市,",河川改修計画(渚滑川上流),基準点,2級,2point,網走開発建設部,(有)土木開発センター590510A0517,"59.06.23,59.11.19",
北海道,"函館市,大野町,","境界の測量,(開拓財産)","基準点,基準点,平板","3級,,4級,,2500","7point,10point,0.1KM2",北海道渡島支庁,"臥牛測量(株),北海航測(株)590622A0753","59.06.20,59.10.02",
北海道,"共和町,","境界の測量,(開拓財産)","基準点,基準点,平板","3級,,4級,,2500","11point,24point,21.0KM2",北海道後志支庁,北王コンサルタント(株)590712A0820,"59.06.21,59.09.18",
北海道,"赤井川村,","境界の測量,(開拓財産)","基準点,基準点,平板","3級,,4級,,2500","7point,18point,27.8KM2",北海道後志支庁,"北海道パブリックコンサルタント(株),北海航測(株)590712A0822","59.06.21,59.09.18",
北海道,"共和町,","境界の測量,(開拓財産)","基準点,基準点,平板","3級,,4級,,2500","4point,3point,0.8KM2",北海道後志支庁,東邦測量(株)590712A0821,"59.06.21,59.08.09",
北海道,"白糠町,","境界の測量,(開拓財産)","基準点,基準点,平板","3級,,4級,,2500","15point,84point,1.1KM2",北海道釧路支庁,"(株)矢本測量,東邦測量(株),山下測量(株),ロイヤル測量設計(株),(株)香島測量設計事務所590625A0735","59.06.20,59.10.19",
北海道,"別海町,","境界の測量,(開拓財産)","基準点,平板","3級,,2500","11point,0.3KM2",北海道根室支庁,"(有)小林測量設計事務所,三砂測量設計(株)590706A0807","59.06.29,59.11.05",
北海道,"砂原町,",道路台帳補正業務,"基準点,写測図化","3級,,1000","11point,14.0km",北海道砂原町,ユニオンデーターシステム(株)600222A0139,"59.12.01,60.02.25",
北海道,"標津町,別海町,弟子屈町,鶴居村,陸別町,",国有林境界基本図作成,"基準点,平板","簡級,,5000","50.0km,41.0KM2",帯広営林支局,直営590518A0528,"59.05.31,59.09.30",
北海道,"帯広市,",地盤変動調査,水準,1級,24.0km,北海道帯広市,(株)北海道測量図工社590912A1132,"59.09.20,59.11.10",590756
北海道,"江別市,当別町,石狩町,",地盤変動調査,水準,1級,96.0km,北海道石狩支庁,大東測地(株)590917A1143,"59.09.25,59.12.22",590784
北海道,"札幌市,",地盤変動調査,水準,1級,170.0KM2,北海道札幌市,"大東測地(株),(株)中田測量590921A1192","59.09.20,59.12.20",590804
北海道,"美瑛町,上富良野町,中富良野町,",土地改良,"水準,撮影,写測図化","3級,,5000,,1000","110.0km,293.0KM2,2.0KM2",旭川開発建設部,北海航測(株)590518A0527,"59.05.15,59.10.31",590196
北海道,"留萌市,",ダム計画(留萌ダム),"撮影,写測図化,写測図化","4000,,500,,1000","4.5KM2,0.9KM2,0.9KM2",留萌開発建設部,東日本航空(株)590615A0696,"59.06.15,59.09.29",590274
北海道,"大野町,",ダム計画(大野川ダム),"撮影,写測図化","10000,,2000","19.2KM2,3.5KM2",函館開発建設部,東日本航空(株)590927A1216,"59.10.01,59.12.20",590825
北海道,"美唄市,",下水道台帳,"撮影,写測図化","4000,,500","3.3KM2,0.1KM2",北海道美唄市,東日本航空(株)591005A1237,"59.10.01,59.12.10",590889
北海道,"紋別市,",道路計画,"撮影,写測図化","8000,,1000","8.2KM2,0.2KM2",網走開発建設部,国際航業(株)590605A0658,"59.06.05,59.08.23",590272
北海道,"士別市,剣淵町,和寒町,愛別町,鷹栖町,下川町,雄武町,",道路台帳,"撮影,写測図化","8000,,1000","253.4KM2,11.1KM2",旭川土木現業所,"国際航業(株),(株)グリーン土木開発,(株)帝国設計事務所591218A1664","59.12.10,60.03.20",
北海道,"阿寒町,鶴居村,",道路計画・一般道道標茶上茶路線,"撮影,写測図化","12500,,2500","49.5KM2,7.5KM2",釧路開発建設部,(株)八州590627A0736,"59.06.29,59.10.31",590292
北海道,"弟子屈町,",道路計画(一般国道241号),"撮影,写測図化","8000,,1000","6.8KM2,0.6KM2",釧路開発建設部,(株)八州590627A0737,"59.06.29,59.10.31",
北海道,"鶴居村,",道路計画・一般道道標茶上茶路線,"撮影,写測図化","8000,,1000","5.4KM2,0.6KM2",釧路開発建設部,(株)八州590627A0738,"59.06.29,59.10.31",
北海道,"猿払村,",道路計画,"撮影,写測図化","8000,,1000","1.9KM2,0.2KM2",稚内開発建設部,(株)パスコ590706A0789,"59.06.16,59.09.10",
北海道,"札幌市,",道路台帳,"撮影,写測図化","4000,,500","32.7KM2,9.2KM2",北海道札幌市,"(株)パスコ,東日本航空(株),北海航測(株),アジア航測(株),シン航空写真(株),国際航業(株)590510A0470","59.05.08,62.03.31",590193
北海道,"石狩町,",都市計画,"撮影,写測図化","12500,,2500","133.5KM2,80.4KM2",北海道石狩町,(株)パスコ590518A0530,"59.05.07,59.10.03",590223
北海道,"大樹町,池田町,",道路計画,"撮影,写測図化","8000,,1000","13.6KM2,0.7KM2",帯広開発建設部,(株)パスコ590518A0538,"59.05.10,59.07.20",
北海道,"斜里町,",災害対策調査の為の平面図作成,"撮影,写測図化","12500,,2500","42.9KM2,0.3KM2",網走開発建設部,(株)パスコ590605A0657,"59.06.05,59.10.22",590271
北海道,"恵庭市,千歳市,美唄市,長沼町,",道路計画,"撮影,撮影,写測図化,写測図化","8000,,12500,,2500,,1000","11.0KM2,11.0KM2,10.3KM2,0.3KM2",札幌開発建設部,"(株)パスコ,(株)八州590803A0924","59.07.28,59.12.24",
北海道,"上ノ国町,",道路計画,"撮影,写測図化","8000,,1000","0.5KM2,0.5KM2",函館開発建設部,(株)パスコ590831A1029,"59.07.11,59.10.19",
北海道,"遠別町,苫前町,",道路計画・一般道道上遠別霧立線,"撮影,写測図化,写測図化","12500,,2500,,1000","3.0KM2,3.0KM2,0.9KM2",留萌開発建設部,(株)パスコ590627A7540,"59.06.27,59.09.30",
北海道,"鹿追町,",境界測量(然別演習場),"撮影,写測図化","7000,,10000","33.2KM2,33.2KM2",札幌防衛施設局帯広支局,(株)パスコ591106A1410,"59.11.06,60.02.09",591121
北海道,"中札内村,静内町,",道路計画,撮影,8000,49.0KM2,室蘭開発建設部,(株)パスコ591106A1411,"59.10.25,59.11.25",591122
北海道,"釧路町,厚岸町,浜中町,標茶町,弟子屈町,阿寒町,白糠町,音別町,別海町,中標津町,標津町,羅臼町,",道路台帳,"撮影,写測図化","8000,,1000","525.6KM2,11.9KM2",釧路土木現業所,"(株)パスコ,(株)北海道測量図工社,東邦測量(株),(株)小林測量設計事務所,(株)栄調査設計事務所,ダイシン設計(株)591106A1409","59.10.02,60.03.20",
北海道,"音更町,士幌町,上士幌町,鹿追町,新得町,清水町,芽室町,中札内村,更別村,忠類村,広尾町,幕別町,池田町,豊頃町,本別町,足寄町,陸別町,浦幌町,",道路台帳,"撮影,写測図化","8000,,1000","1085.2KM2,9.9KM2",帯広土木現業所,"(株)パスコ,東邦測量(株),(株)北海道測量図工社,(株)深沢測量事務所,(株)ロック建設技術研究所,北海道防災コンサルタント(株)591214A1653","59.10.15,60.03.20",
北海道,"東藻琴村,女満別町,美幌町,津別町,斜里町,清里町,小清水町,端野町,置戸町,訓子府町,留辺蘂町,佐呂間町,常呂町,生田原町,遠軽町,丸瀬布町,白滝村,上湧別町,湧別町,滝上町,",道路台帳,"撮影,写測図化","8000,,1000","277.2KM2,11.0KM2",網走土木現業所,"アジア航測(株),北見設計測量(株),(有)益村測量事務所,三和航測(株),大起コンサルタント(株),(株)村越工務所591214A1558","59.11.01,60.03.31",
北海道,"豊富町,幌延町,",道路計画,"撮影,写測図化","8000,,1000","0.3KM2,0.1KM2",稚内開発建設部,シン航空写真(株)590706A0790,"59.06.16,59.08.20",
北海道,"江別市,",江別市現況図作成の為,"撮影,撮影,写測図化,写測図化","12500,,20000,,2500,,5000","187.4KM2,355.4KM2,80.0KM2,108.8KM2",北海道江別市,シン航空写真(株)590510A0508,"59.04.27,60.04.30",590195
北海道,"豊浦町,黒松内町,長万部町,",道路計画,"撮影,写測図化","12500,,2500","16.4KM2,4.9KM2",室蘭開発建設部,シン航空写真(株)590524A0552,"59.05.12,59.07.12",
北海道,"砂川市,",都市計画,"撮影,写測図化","12500,,2500","59.3KM2,21.0KM2",北海道砂川市,シン航空写真(株)590528A0586,"59.05.16,60.02.09",590227
北海道,"上士幌町,",道路計画,"撮影,写測図化","8000,,1000","8.7KM2,8.7KM2",帯広開発建設部,シン航空写真(株)590712A0858,"59.06.23,59.10.01",590234
北海道,"留辺蘂町,",農村総合整備モデル事業の為,"撮影,撮影,写測図化","35000,,30000,,10000","270.0KM2,270.0KM2,100.0KM2",北海道留辺薬町,シン航空写真(株)590627A0734,"59.06.06,59.08.11",590291
北海道,"帯広市,音更町,幕別町,芽室町,",都市計画,撮影,12500,60.5KM2,帯広圏広域都市計画協議会,シン航空写真(株)590803A0957,"59.08.11,59.09.30",590468
北海道,"美唄市,",道路台帳,"撮影,撮影","4000,,8000","327.0KM2,327.0KM2",北海道美唄市,シン航空写真(株)591016A1300,"59.10.09,59.12.22",591002
北海道,"大樹町,",道路計画,"撮影,写測図化","8000,,1000","9.5KM2,0.9KM2",帯広開発建設部,シン航空写真(株)591214A1652,"59.12.01,60.03.25",591325
北海道,"浜頓別町,中頓別町,枝幸町,歌登町,猿払村,中川町,",森林計画,撮影,20000,2000.0KM2,北海道林務部,北海航測(株)590523A0571,"59.06.01,59.11.30",590225
北海道,"広尾町,",都市計画,"撮影,写測図化","12500,,2500","20.7KM2,8.7KM2",北海道広尾町,北海航測(株)590912A1151,"59.09.10,59.10.31",590757
北海道,"浦幌町,",農地開発,撮影,25000,357.7KM2,帯広開発建設部,北海航測(株)590920A1174,"59.09.15,59.12.20",590789
北海道,"函館市,七飯町,尻岸内町,椴法華村,南茅部町,鹿部村,戸井町,",道路台帳,"撮影,写測図化","8000,,1000","292.5KM2,5.6KM2",函館土木現業所,"北海航測(株),北海道開発コンサルタント(株),(株)小林土木工業所591128A1515","59.10.16,60.03.20",
北海道,"士別市,剣淵町,和寒町,愛別町,鷹栖町,下川町,雄武町,",道路台帳,"撮影,写測図化","8000,,1000","253.4KM2,11.1KM2",旭川土木現業所,"北海航測(株),(株)富士測量,北海道土木設計(株)591218A1663","59.12.10,60.03.20",
北海道,"苫小牧市,早来町,厚真町,鵡川町,占冠村,夕張市,穂別町,平取町,",道路台帳,"撮影,写測図化","8000,,1000","304.3KM2,20.0KM2",室蘭土木現業所,"和光技研(株),(株)田中測量調査,(株)胆振,シン航空写真(株),新和測量(株),(株)山口測量591106A1404","59.10.29,60.03.20",
北海道,"芽室町,",草地開発,"撮影,写測図化","25000,,5000","138.9KM2,5.4KM2",帯広開発建設部,三和航測(株)590713A0866,"59.07.14,59.09.25",590255
北海道,"中札内村,",ダム計画,"撮影,写測図化","8000,,1000","2.4KM2,0.2KM2",帯広開発建設部,三和航測(株)590706A0794,"59.06.15,59.09.25",
北海道,"恵庭市,広島町,",北海道大演習場航空測量図化,"撮影,写測図化","25000,,5000","168.7KM2,61.0KM2",札幌防衛施設局,ロイヤル測量設計(株)591002A1227,"59.10.01,60.03.31",590880
北海道,"八雲町,長万部町,森町,",道路台帳,"撮影,写測図化","8000,,1000","58.5KM2,1.9KM2",函館土木現業所,"ロイヤル測量設計(株),臥牛測量(株)591128A1516","59.10.16,60.03.20",
北海道,"苫前町,",道路台帳,"撮影,写測図化","8000,,1000","247.2KM2,7.9KM2",北海道苫前町,ユニオンデーターシステム(株)590528A0592,"59.06.01,60.03.30",590228
北海道,"利尻町,",道路台帳,"撮影,写測図化","8000,,1000","131.5KM2,3.6KM2",北海道東利尻町,ユニオンデーターシステム(株)590913A1155,"59.07.12,61.04.30",590759
北海道,"利尻町,",道路台帳,"撮影,写測図化","8000,,1000","98.3KM2,5.0KM2",北海道利尻町,ユニオンデーターシステム(株)590913A1156,"59.07.16,61.04.30",590760
北海道,"礼文町,",道路台帳,"撮影,写測図化","8000,,1000","116.7KM2,4.3KM2",北海道礼文町,ユニオンデーターシステム(株)590913A1157,"59.07.12,61.01.31",590761
北海道,"門別町,",都市計画,"撮影,撮影,写測図化,写測図化","12500,,25000,,2500,,10000","82.5KM2,211.6KM2,18.9KM2,67.8KM2",北海道門別町,ユニオンデーターシステム(株)591020A1303,"59.10.18,60.02.28",591020
北海道,"夕張市,",ダム計画,"撮影,写測図化","4000,,500","0.4KM2,0.4KM2",札幌開発建設部,朝日航洋(株)590712A0833,"59.07.12,59.12.10",
北海道,"北見市,訓子府町,置戸町,",農地開発,撮影,25000,152.0KM2,網走開発建設部,朝日航洋(株)590615A0706,"59.06.02,59.09.19",590276
北海道,"網走市,常呂町,",土地改良,"撮影,撮影","5000,,20000","110.8KM2,173.9KM2",網走開発建設部,朝日航洋(株)591012A1268,"59.09.15,60.01.12",590933
北海道,"北見市,",土地利用現況把握の為,撮影,12500,567.0KM2,北海道北見市,朝日航洋(株)591024A1346,"59.10.03,59.12.07",591043
北海道,"旭川市,芦別市,赤平市,歌志内市,滝川市,奈井江町,美唄市,三笠市,岩見沢市,夕張市,新篠津村,北村,栗山町,栗沢町,当別町,石狩町,",道路台帳,"撮影,写測図化","8000,,1000","546.6KM2,17.0KM2",札幌土木現業所,"朝日航洋(株),(株)開発調査研究所,シン航空写真(株),北海道パブリックコンサルタント(株),和光技研(株),開成測量(株)591102A1403","59.10.30,60.03.25",
北海道,"天塩町,幌延町,豊富町,",河川改修,撮影,12500,49.3KM2,留萌開発建設部,日測技研(株)590806A0975,"59.08.10,59.10.15",590532
北海道,"瀬棚町,今金町,北檜山町,",河川改修計画(後志利別川),"撮影,写測図化","12500,,2500","132.4KM2,12.0KM2",函館開発建設部,日測技研(株)590912A1142,"59.08.25,59.12.22",590742
北海道,"音別町,",公共牧場開発整備基礎調査平面図,写測図化,5000,0.5KM2,北海道農務部,国際航業(株)590816A1007,"59.08.10,59.11.30",
北海道,"池田町,豊頃町,浦幌町,",道路計画,写測図化,5000,69.0KM2,帯広開発建設部,(株)八州591024A1344,"59.10.06,60.01.14",
北海道,"芦別市,赤平市,富良野市,",道路計画,写測図化,1000,2.2KM2,札幌開発建設部,"(株)パスコ,(株)八州590712A0871","59.07.07,59.09.20",
北海道,"小平町,幌加内町,深川市,",道路計画,写測図化,5000,30.4KM2,留萌開発建設部,(株)パスコ590831A1091,"59.08.06,59.10.30",590659
北海道,"島牧村,",道路計画,写測図化,8000,2.2KM2,小樽開発建設部,(株)パスコ590925A1140,"59.07.27,59.11.30",
北海道,"帯広市,清水町,芽室町,音更町,池田町,",道路計画,写測図化,1000,25.3KM2,日本道路公団札幌建設局,アジア航測(株)590831A1023,"59.08.03,59.10.31",
北海道,"帯広市,",都市計画,写測図化,2500,98.7KM2,北海道帯広市,シン航空写真(株)591013A1285,"59.10.26,60.03.31",590941
北海道,"幕別町,",都市計画,写測図化,2500,45.0KM2,北海道幕別町,"シン航空写真(株),北王コンサルタント(株)591020A1316","59.10.20,60.03.30",591019
北海道,"音更町,",都市計画,写測図化,2500,42.2KM2,北海道音更町,シン航空写真(株)591024A1345,"59.11.01,60.03.30",591042
北海道,"浜中町,",土地改良,写測図化,5000,20.0KM2,釧路開発建設部,北海航測(株)590821A1046,"59.08.13,59.10.05",590561
北海道,"八雲町,",農地開発,写測図化,20000,24.3KM2,函館開発建設部,北海航測(株)590905A1124,"59.08.25,59.10.23",590693
北海道,"稚内市,",河川改修計画,写測図化,2500,14.2KM2,稚内開発建設部,三和航測(株)590416A0387,"59.04.28,59.08.04",
北海道,"美幌町,津別町,",河川計画,写測図化,2500,2.5KM2,網走開発建設部,三和航測(株)590502A0488,"59.05.30,59.11.30",
北海道,"白滝村,",土地改良,写測図化,5000,54.0KM2,網走開発建設部,三和航測(株)590615A0718,"59.06.18,59.09.19",590278
北海道,"共和町,",農地開発,写測図化,1000,0.6KM2,小樽開発建設部惧知安農業事務所,三和航測(株)591002A1226,"59.09.21,59.10.31",
北海道,"平取町,",ダム計画(沙流川平取ダム),写測図化,2500,11.0KM2,室蘭開発建設部,三和航測(株)591013A1289,"59.11.03,59.12.12",590942
北海道,"函館市,",道路計画(函館港臨港),写測図化,1000,1.5KM2,函館開発建設部,三和航測(株)600223A0124,"60.02.15,60.03.25",
北海道,"恵庭市,",都市計画,写測図化,2500,50.0KM2,北海道恵庭市,ロイヤル測量設計(株)590611A0683,"59.06.01,59.09.30",590273
北海道,"小清水町,",土地改良,写測図化,5000,78.0KM2,網走開発建設部,朝日航洋(株)590711A0863,"59.06.23,59.10.01",590197
北海道,"網走市,",土地改良,写測図化,5000,27.0KM2,網走開発建設部,朝日航洋(株)590605A0641,"59.05.19,59.07.27",590269
北海道,"東藻琴村,",農地開発,写測図化,5000,24.0KM2,網走開発建設部,朝日航洋(株)590615A0707,"59.06.02,59.09.19",590277
北海道,"広尾町,",畜産基地建設事業調査計画,写測図化,5000,0.5KM2,帯広開発建設部,朝日航洋(株)591009A1255,"59.10.06,59.12.10",
北海道,"北見市,",河川計画,写測図化,2500,3.7KM2,網走開発建設部,日測技研(株)590502A0489,"59.05.30,59.11.30",
北海道,"浦幌町,",農地開発,写測図化,5000,8.8KM2,帯広開発建設部,日測技研(株)590531A0602,"59.05.19,59.06.30",
北海道,"平取町,",ダム計画(二風谷ダム),写測図化,2500,6.3KM2,室蘭開発建設部,日測技研(株)590912A1152,"59.09.17,59.11.10",590758
北海道,"島牧村,黒松内町,",農用地開発調査,"写測図化,写測図化","5000,,1000","3.7KM2,0.6KM2",小樽開発建設部,日測技研(株)590926A1211,"59.09.28,59.11.24",
北海道,"北海道,",境界測量(国有林),"基準点,平板","簡級,,5000","42.0km,44.4km",北海道営林局,直営590427A0464,"59.05.14,59.10.06",
北海道,"北海道,",境界測量(国有林),"基準点,平板","簡級,,5000","14point,36.6KM2",旭川営林支局,直営590510A0509,"59.05.16,59.10.15",
北海道,"北海道,",郵便地図調整,"編集,編集","40000,,5000","9360.4KM2,28.9KM2",北海道郵政局,直営590427A0469,"59.05.25,60.03.31",
北海道,"音威子府村,",河川計画,"編集,写測図化","10000,,2500","12.9km,12.9km",旭川開発建設部,日測技研(株)590324A0297,"59.05.01,59.10.31",
北海道,"赤平市,妹背牛町",河川計画,"カラー撮影,写測図化","12500,,2500","198.7km,65.7km",石狩川開発建設部,三和航測(株)590329A0312,"59.04.21,59.11.30",590034
北海道,"平取町,",ダム計画,写測図化,2500,5.3km,室蘭開発建設部,日測技研(株)590322A0295,"59.03.01,59.03.25",
北海道,"旭川市,鷹栖町,",河川計画,"編集,写測図化","10000,,2500","12.4km,12.4km",旭川開発建設部,シン航空写真(株)590324A0296,"59.05.01,59.10.31",
青森県,"弘前市,",土地区画整理,"基準点,水準","1級,,1級","5point,4.0km",弘前市小比内土地区画整理組合,東日本航空(株)590413B0172,"59.04.10,60.12.20",
青森県,"青森市,",鉄道計画,基準点,1級,13.6km,日本国有鉄道盛岡工事局,東北測量(株)591116B0605,"59.11.01,59.12.30",
青森県,"南郷村,",道路台帳,"基準点,平板,平板","1級,,500,,1000","41point,19.4KM2,19.4KM2",青森県南郷村,(株)コサカ技研590514B0231,"59.05.10,61.03.10",590129
青森県,"七戸町,",土地区画整理,"基準点,平板","1級,,500","4point,1.2KM2",青森県七戸町,佐藤測量技術設計(株)590817B0522,"59.08.13,59.10.13",
青森県,"八戸市,",道路台帳,"基準点,平板,写測図化","3級,,500,,1000","119point,11.9KM2,10.2KM2",青森県八戸市,"朝日航洋(株),東北測量(株),(株)興和測量,(株)北奥測量,(株)コサカ技研,佐藤測量技術設計(株)590801B0508","59.07.25,61.11.30",590501
青森県,"浪岡町,",土地区画整理,"基準点,水準,編集,編集,平板","2級,,2級,,1000,,2500,,500","5point,1point,0.7KM2,0.7KM2,0.7KM2",青森県浪岡町,(株)コサカ技研590914B0542,"59.07.10,59.11.30",
青森県,"青森市,",道路台帳,"基準点,平板,平板","3級,,500,,1000","77point,30.3KM2,30.3KM2",青森県青森市,"東北測量(株),(株)中央測量設計社,(株)開明測量総合技術,加藤測量設計事務所,八光測量(株),(株)みちのく測量600205B0018","60.01.05,62.04.04",591583
青森県,"藤崎町,浪岡町,",道路計画,"基準点,水準,平板","3級,,3級,,200","13point,5point,0.7KM2",青森工事事務所,(株)復建技術コンサルタント590914B0545,"59.08.24,59.12.25",
青森県,"三厩村,",道路台帳,"基準点,平板","4級,,500","6point,0.2KM2",青森県三厩村,(株)コサカ技研600327B0032,"60.03.20,61.03.25",
青森県,"市浦村,",道路台帳,"基準点,平板,平板","4級,,500,,1000","30point,0.4KM2,63.0KM2",青森県市浦村,八光測量(株)600327B0031,"60.04.01,60.09.30",591748
青森県,"田子町,",道路台帳,"基準点,平板","4級,,1000","79point,1.3KM2",青森県田子町,(有)拓建測量600327B0030,"60.04.01,61.10.30",591747
青森県,"青森市,",地盤変動調査,水準,1級,90.0km,青森県青森市,東北測量(株)590507B0209,"59.05.25,59.06.24",590127
青森県,"青森市,",地盤変動調査,水準,1級,15.0km,青森県,東北測量(株)590507B0217,"59.05.10,59.06.10",590128
青森県,"青森市,",地盤変動調査,水準,1級,10.4km,運輸省第二港湾建設局青森港工事事務所,東北測量(株)590514B0263,"59.05.14,59.09.20",590130
青森県,"八戸市,",地盤変動調査,水準,1級,71.0km,青森県八戸市,佐藤測量技術設計(株)590914B0539,"59.09.20,59.12.01",590772
青森県,"倉石村,新郷村,",農地開発,撮影,7000,39.5KM2,東北農政局五戸台地開拓建設事業所,国際航業(株)600308B0024,"60.04.01,60.06.30",591730
青森県,"三戸町,",道路台帳,"撮影,写測図化","8000,,1000","157.8KM2,9.6KM2",青森県三戸町,アジア航測(株)600111B0003,"60.01.12,61.06.30",591476
青森県,"金木町,",道路台帳,"撮影,写測図化,撮影,写測図化","8000,,1000,,30000,,10000","69.7KM2,9.5KM2,69.7KM2,48.7KM2",青森県金木町,東北測量(株)590626B0385,"59.06.25,60.02.28",590500
青森県,"五所川原市,",下水道計画,"撮影,写測図化","4000,,500","2.0KM2,0.8KM2",青森県五所川原市,東北測量(株)591026B0579,"59.10.10,60.03.20",
青森県,"福地村,",道路台帳,"撮影,写測図化","8000,,1000","39.8KM2,10.3KM2",青森県福地村,東北測量(株)591026B0580,"59.10.15,61.12.25",591067
青森県,"鶴田町,",道路台帳,"撮影,写測図化","8000,,1000","46.1KM2,6.2KM2",青森県鶴田町,東北測量(株)591030B0587,"59.10.20,61.01.31",591093
青森県,"青森市,天間林村,",鉄道計画,"撮影,写測図化","8000,,1000","45.0KM2,2.0KM2",日本国有鉄道盛岡工事局,東北測量(株)591205B0618,"59.11.24,60.03.20",591295
青森県,"七戸町,",道路台帳,"撮影,写測図化","8000,,1000","62.2KM2,8.0KM2",青森県七戸町,東北測量(株)591217B0623,"59.10.25,60.03.20",591347
青森県,"むつ市,",道路台帳,"撮影,写測図化","4000,,500","36.0KM2,0.6KM2",青森県むつ市,東北測量(株)600131B0011,"59.10.12,60.03.20",591552
青森県,"名川町,",道路台帳,"撮影,写測図化","8000,,1000","83.0KM2,10.7KM2",青森県名川町,(株)コサカ技研600308B0027,"60.03.15,61.12.15",591733
青森県,"青森市,",鉄道計画,写測図化,500,0.8KM2,日本国有鉄道盛岡工事局,東日本航空(株)591217B0624,"59.12.03,60.02.10",
青森県,"名川町,",鉄道計画,写測図化,500,1.8KM2,日本国有鉄道盛岡工事局,朝日航洋(株)591220B0626,"59.12.03,60.03.20",
青森県,"青森県,",道路台帳,"基準点,平板,平板","3級,,500,,1000","417point,22.2KM2,59.8KM2",青森県,"東北測量(株),(株)開明測量総合技術,八光測量(株),(株)みちのく測量,(株)中央測量設計社,(有)青森土木測量調査事務所600314B0029","59.06.05,61.03.25",
青森県,"青森県,",郵便地図調整,編集,25000,5000.0KM2,郵政省東北郵政局,直営590514B0260,"59.05.21,59.10.24",
岩手県,"二戸市,",土地区画整理,"基準点,平板","1級,,500","4point,0.2KM2",岩手県二戸市,(株)パスコ590801B0512,"59.07.31,59.10.31",
岩手県,"二戸市,",道路計画,"基準点,水準,平板","1級,,1級,,500","8point,2.6km,0.3KM2",岩手工事事務所,八千代エンジニヤリング(株)590713B0489,"59.06.30,59.08.31",
岩手県,"住田町,",道路計画,基準点,1級,3point,北上川ダム統合管理事務所,東日本測量設計(株)590801B0506,"59.06.29,59.08.31",
岩手県,"滝沢村,",道路計画,"基準点,水準,平板","2級,,2級,,1000","5point,3point,0.2KM2",岩手工事事務所,(株)吉田測量設計590905B0532,"59.08.20,59.10.15",
岩手県,"紫波町,",道路計画,"基準点,水準,平板","3級,,1級,,500","6point,1.5km,0.2KM2",岩手工事事務所,東日本測量設計(株)590817B0518,"59.07.07,59.09.30",
岩手県,"九戸村,",道路台帳,"基準点,基準点,平板,平板","3級,,4級,,500,,1000","19point,13point,1.0KM2,5.6KM2",岩手県九戸村,(有)岩手開発測量600308B0025,"60.03.10,61.01.31",591731
岩手県,"一戸町,",河川管理,水準,2級,32.5km,東北農政局,(株)新東洋技術コンサルタント591102B0591,"59.11.01,60.01.10",
岩手県,"北上市,",道路台帳,"撮影,撮影,写測図化,写測図化","4000,,8000,,500,,1000","11.4KM2,145.6KM2,11.4KM2,48.3KM2",岩手県北上市,東日本航空(株)590413B0179,"59.03.23,61.02.15",590116
岩手県,"滝沢村,",道路台帳,撮影,8000,165.0KM2,岩手県滝沢村,東日本航空(株)591207B0619,"59.12.05,60.02.20",591307
岩手県,"玉山村,",道路台帳,"撮影,写測図化","8000,,1000","397.9KM2,14.3KM2",岩手県玉山村,東日本航空(株)591207B0620,"57.08.12,60.03.25",591308
岩手県,"滝沢村,",道路台帳,撮影,8000,30.0KM2,岩手県滝沢村,東日本航空(株)600111B0002,"60.01.05,60.04.20",
岩手県,"衣川村,",道路台帳,"撮影,写測図化","4000,,500","120.0KM2,7.2KM2",岩手県衣川村,国際航業(株)590710B0421,"59.06.14,60.03.25",590494
岩手県,"石鳥谷町,",道路台帳,"撮影,写測図化","8000,,1000","180.0KM2,30.0KM2",岩手県石鳥谷町,国際航業(株)590713B0491,"59.07.01,60.12.25",590515
岩手県,"新里村,岩泉町,",道路計画,"撮影,写測図化","8000,,1000","24.5KM2,0.4KM2",三陸国道工事事務所,国際航業(株)591116B0600,"59.10.31,60.01.20",
岩手県,"一関市,",道路台帳,"撮影,写測図化","8000,,1000","232.8KM2,50.4KM2",岩手県一関市,(株)八州590821B0526,"59.09.01,61.09.30",590750
