都道府県名,測量地域,測量目的,測量種別,等級・縮尺,事業量,計画機関,作業機関,実施時期,附図番号
岐阜県,"恵那市,",道路台帳,"撮影,写測図化","8000,,1000","100.1KM2,3.8KM2",岐阜県恵那市,中日本航空測量(株)590601E0213,"59.06.04,60.03.31",590266
岐阜県,"川島町,",都市計画,"撮影,写測図化","12500,,2500","8.0KM2,6.7KM2",岐阜県川島町,(株)パスコ590717E0280,"59.07.12,59.08.31",590287
岐阜県,"川島町,",道路台帳,"撮影,写測図化","4000,,500","8.0KM2,2.5KM2",岐阜県川島町,(株)パスコ590717E0279,"59.07.12,60.07.31",590288
岐阜県,"平田町,",道路台帳,"撮影,写測図化","8000,,1000","16.5KM2,1.8KM2",岐阜県平田町,(株)パスコ591029E0350,"59.10.06,60.01.31",591111
岐阜県,"岐阜市,",道路台帳,"撮影,写測図化","8000,,1000","125.0KM2,12.4KM2",岐阜県岐阜市,アジア航測(株)590516E0191,"59.05.15,59.07.15",590026
岐阜県,"海津町,養老町,平田町,南濃町,羽島市,",河川管理,"撮影,写測修正","20000,,10000","68.1KM2,66.8KM2",木曽川下流工事事務所,アジア航測(株)591017E0339,"59.10.12,59.11.30",591030*
岐阜県,"中津川市,",道路台帳,"撮影,写測図化","8000,,1000","168.7KM2,8.4KM2",岐阜県中津川市,アジア航測(株)591225E0386,"59.11.26,60.03.27",591414
岐阜県,"瑞浪市,明智町,串原村,",森林計画,撮影,16000,894.0KM2,愛知県,玉野総合コンサルタント(株)590502E0156,"59.05.01,59.07.31",590017*
岐阜県,"山岡町,岩村町,",土地改良,"撮影,写測図化","8000,,1000","28.0KM2,5.5KM2",岐阜県山岡町,玉野総合コンサルタント(株)591114E0359,"59.10.29,60.03.31",591175
岐阜県,"上矢作町,",ダム計画,"撮影,写測図化","12500,,2500","19.0KM2,1.0KM2",矢作ダム管理所,玉野総合コンサルタント(株)591231E0374,"59.10.26,60.02.02",591289
岐阜県,"安八町,",道路台帳,"撮影,写測図化","8000,,1000","18.4KM2,18.4KM2",岐阜県安八町,中日本航空(株)590418E0136,"59.03.19,60.03.25",590008
岐阜県,"美濃市,武芸川町,武儀町,美山町,八幡町,白鳥町,伊自良村,洞戸村,美並村,上之保村,板取村,和良村,大和村,高鷲村,明宝村,",森林計画,撮影,16000,1798.0KM2,岐阜県林政部,中日本航空(株)590502E0154,"59.04.28,59.07.30",590016
岐阜県,"白川町,",ほ場整備,"撮影,写測図化","7000,,1000","72.0KM2,4.2KM2",岐阜県白川町,(株)三栄コンサルタント590921E0322,"59.09.13,59.12.25",590817
岐阜県,"各務原市,坂祝町,",河川管理,写測図化,500,1.8KM2,木曽川上流工事事務所,東日本航空(株)591114E0360,"59.07.31,59.12.27",
岐阜県,"宮川村,",道路計画,写測図化,1000,0.6KM2,高山国道工事事務所,国際航業(株)590816E0297,"59.07.17,59.10.15",
岐阜県,"徳山村,",ダム計画,写測図化,500,0.8KM2,水資源開発公団徳山ダム建設所,国際航業(株)591003E0331,"59.09.07,59.12.05",
岐阜県,"福岡町,",道路台帳,写測図化,1000,11.0KM2,岐阜県福岡町,(株)パスコ590605E0215,"59.06.01,60.09.30",
岐阜県,"高山市,",下水道計画,写測図化,500,2.5KM2,岐阜県高山市,(株)パスコ591120E0366,"59.11.05,60.06.25",
岐阜県,"上宝村,",砂防計画,写測図化,2500,9.0KM2,神通川水系砂防工事事務所,アジア航測(株)590727E0294,"59.07.23,59.12.28",
岐阜県,"岐阜市,",都市計画,"写測図化,写測修正","2500,,2500","9.6KM2,3.5KM2",岐阜県岐阜市,帝国測量(株)600114E2003,"60.01.21,60.03.25",591511
岐阜県,"高山市,神岡町,上宝村,久々野町,丹生川村,朝日村,",農地開発,写測図化,5000,36.0KM2,東海農政局,玉野総合コンサルタント(株)590628E0259,"59.07.10,59.10.31",
岐阜県,"大垣市,安八町,",河川管理,写測図化,500,0.9KM2,木曽川上流工事事務所,玉野総合コンサルタント(株)591114E0361,"59.07.25,59.11.25",
岐阜県,"恵那市,羽島市,瑞浪市,小坂町,下呂町,",郵便地図調整,"編集,編集,編集","5000,,10000,,25000","38.0KM2,197.7KM2,2089.0KM2",東海郵政局,直営590502E0153,"59.05.08,59.11.19",
静岡県,"磐田市,掛川市,浅羽町,",地盤変動調査,水準,1級,42.0km,静岡県,玉野総合コンサルタント(株)591023E0343,"59.11.01,60.03.10",591034
静岡県,"三島市,沼津市,清水町,函南町,",地盤変動調査,水準,1級,45.0km,静岡県,陸地測量(株)591023E0342,"59.11.01,60.03.10",591033
静岡県,"浜松市,可美村,",地盤変動調査,水準,1級,52.0km,静岡県,(株)藤山測量設計事務所591023E0344,"59.11.01,60.03.10",591035
静岡県,"豊田町,",土地区画整理,平板,500,0.4KM2,静岡県豊田町,玉野総合コンサルタント(株)591203E0371,"59.11.20,60.03.16",
静岡県,"静岡市,",道路台帳,平板,1000,0.9KM2,静岡県静岡市,東名開発(株)590928E0329,"59.09.01,59.12.20",
静岡県,"静岡市,",道路台帳,平板,1000,2.1KM2,静岡県静岡市,(有)服部工務所590928E0327,"59.08.31,59.12.20",
静岡県,"静岡市,",道路台帳,平板,1000,1.5KM2,静岡県静岡市,(株)大胡590928E0326,"59.08.30,59.12.20",
静岡県,"三島市,",下水道計画,"撮影,写測図化","4000,,500","2.9KM2,0.5KM2",静岡県三島市,国際航業(株)590530E0207,"59.05.25,59.08.30",
静岡県,"沼津市,",道路計画,"撮影,写測図化","3000,,500","0.5KM2,0.5KM2",静岡県沼津市,国際航業(株)590816E0298,"59.08.10,59.11.13",
静岡県,"掛川市,",道路台帳,"撮影,写測図化","8000,,1000","186.1KM2,60.6KM2",静岡県掛川市,国際航業(株)590816E0299,"59.08.17,60.11.20",590589
静岡県,"静岡市,",道路台帳,"撮影,写測図化","8000,,1000","72.0KM2,3.6KM2",静岡県静岡市,国際航業(株)590816E0301,"59.08.17,60.03.15",590590
静岡県,"由比町,",道路台帳,"撮影,写測図化","4000,,500","24.4KM2,2.5KM2",静岡県由比町,国際航業(株)590921E0315,"59.10.01,61.03.10",590810
静岡県,"沼津市,",道路台帳,"撮影,写測図化","8000,,1000","11.8KM2,11.8KM2",静岡県沼津市,国際航業(株)590921E0317,"59.10.01,60.03.15",590812
静岡県,"大井川町,",道路台帳,"撮影,写測図化","8000,,1000","25.2KM2,25.2KM2",静岡県大井川町,国際航業(株)591024E0349,"59.11.01,61.05.20",591039
静岡県,"吉田町,",道路台帳,"撮影,写測図化","8000,,1000","20.5KM2,20.5KM2",静岡県吉田町,(株)パスコ590718E0290,"59.06.20,60.09.30",590281
静岡県,"菊川町,",都市計画,"撮影,写測図化,写測修正","12500,,2500,,2500","63.5KM2,4.1KM2,55.2KM2",静岡県菊川町,(株)パスコ590726E0293,"59.07.10,60.01.31",590435
静岡県,"裾野市,",道路台帳,"撮影,撮影,写測図化,写測図化","4000,,8000,,500,,1000","7.5KM2,131.9KM2,7.5KM2,20.5KM2",静岡県裾野市,(株)パスコ590921E0316,"59.09.07,62.03.20",590811
静岡県,"小山町,",道路台帳,"撮影,撮影,写測図化,写測図化","4000,,8000,,500,,1000","28.0KM2,134.0KM2,5.0KM2,16.6KM2",静岡県小山町,(株)パスコ591218E0382,"59.12.01,61.06.30",591410
静岡県,"伊東市,",道路台帳,"撮影,写測図化","4000,,500","2.4KM2,1.0KM2",静岡県伊東市,(株)パスコ591218E0383,"59.12.05,60.03.20",
静岡県,"藤枝市,",道路台帳,"撮影,写測図化","4000,,500","5.0KM2,1.1KM2",住宅都市整備公団藤枝宅地開発事務所,アジア航測(株)590718E0286,"59.07.16,59.10.10",590283
静岡県,"川根町,",道路台帳,"撮影,写測図化","8000,,1000","71.2KM2,6.8KM2",静岡県川根町,アジア航測(株)590801E0295,"59.07.16,60.10.31",590438
静岡県,"岡部町,",道路台帳,"撮影,写測図化","8000,,1000","53.5KM2,11.4KM2",静岡県岡部町,アジア航測(株)590830E0307,"59.07.26,60.11.15",590641
静岡県,"大仁町,",都市計画,"撮影,撮影,写測修正,写測修正","30000,,12500,,10000,,2500","43.6KM2,43.6KM2,43.6KM2,7.0KM2",静岡県大仁町,アジア航測(株)591106E0354,"59.10.01,61.02.28",591124
静岡県,"大仁町,",道路台帳,"撮影,撮影,写測図化,写測図化","8000,,4000,,1000,,500","43.6KM2,12.2KM2,5.8KM2,5.2KM2",静岡県大仁町,アジア航測(株)591106E0355,"59.10.01,61.02.28",591125
静岡県,"伊豆長岡町,",道路台帳,"撮影,撮影,写測図化,写測図化","8000,,4000,,1000,,500","36.5KM2,7.0KM2,3.2KM2,0.9KM2",静岡県伊豆長岡町,アジア航測(株)600301E2014,"60.01.26,61.03.15",591706
静岡県,"菊川町,",河川管理,"撮影,写真図","4000,,500","2.4KM2,0.5KM2",浜松工事事務所,中央コンサルタント(株)591114E0357,"59.10.16,60.01.13",
静岡県,"長泉町,",道路台帳,"撮影,撮影,写測図化,写測図化","8000,,4000,,500,,1000","16.1KM2,8.1KM2,8.1KM2,3.1KM2",静岡県長泉町,(株)東日590704E0263,"59.07.04,60.03.20",590132
静岡県,"天城湯ケ島町,",都市計画,"撮影,撮影,写測図化,写測図化","30000,,8000,,10000,,1000","133.5KM2,79.6KM2,133.5KM2,18.0KM2",静岡県天城湯ヶ島町,(株)東日591023E0348,"59.11.01,61.10.31",591038
静岡県,"浜松市,",道路台帳,"撮影,写測図化","4000,,500","18.3KM2,21.3KM2",静岡県浜松市,(株)藤山測量設計事務所590628E0261,"59.06.30,60.03.25",590092
静岡県,"浅羽町,",道路台帳,"撮影,写測図化","8000,,1000","9.4KM2,9.4KM2",静岡県浅羽町,(株)藤山測量設計事務所590627E0252,"59.06.23,60.02.28",
