都道府県名,測量地域,測量目的,測量種別,等級・縮尺,事業量,計画機関,実施機関,作業期間,付図番号
福島県,喜多方市,道路台帳,"撮影,図化","4000,,500","72.0KM2,19.2KM2",喜多方市,アジア航測,"58.10.17,60.2.28",735
福島県,浅川町,道路台帳,"撮影,図化","4000,,500","70.0KM2,5.4KM2",浅川町,国際航業,"58.6.28,59.2.15",297
福島県,鏡石町,道路台帳,撮影,4000,35.0KM2,鏡石町,アジア航測,"58.3.19,58.3.31",31
福島県,金山町,道路台帳,"撮影,図化","4000,,500","133.0KM2,7.3KM2",金山町,パスコ,"58.5.18,59.2.20",121
福島県,河東町,道路台帳,"撮影,図化","4000,,500","39.0KM2,2.1KM2",河東町,東日本航空,"58.8.1,59.3.15",428
福島県,国見町,道路台帳,撮影(対標有),4000,70.0KM2,国見町,アジア航測,"58.11.8,59.3.19",836
福島県,桑折町,道路台帳,撮影(対標有),4000,80.0KM2,桑折町,アジア航測,"58.11.9,59.3.19",839
福島県,塩川町,道路台帳,"撮影,図化","4000,,500","45.4KM2,8.0KM2",塩川町,パスコ,"58.6.22,59.2.10",234
福島県,伊達町,道路台帳,撮影(対標有),4000,20.0KM2,伊達町,アジア航測,"58.11.8,59.3.19",838
福島県,月舘町,道路台帳,"撮影,撮影,図化,図化","4000,,8000,,500,,1000","15.0KM2,45.0KM2,1.5KM2,3.0KM2",月館町,東日本航空,"58.7.9,59.2.28",299
福島県,磐梯町,道路台帳,"撮影,撮影,図化","4000,,8000,,500","41.3KM2,47.5KM2,0.3KM2",磐梯町,東日本航空,"59.1.14,59.3.19",1195
福島県,古殿町,道路台帳,"撮影,図化","4000,,500","9.5KM2,6.2KM2",古殿町,パスコ,"58.7.20,59.2.15",343
福島県,本郷町,道路台帳,"撮影,図化","4000,,500","5.8KM2,2.2KM2",本郷町,おおとり航測,"58.9.1,59.2.28",437
福島県,山都町,道路台帳,"撮影,図化","4000,,500","70.0KM2,7.3KM2",山都町,アジア航測,"58.10.17,60.2.28",731
福島県,熱塩加納村,道路台帳,"撮影,図化","4000,,500","22.0KM2,2.9KM2",熱塩加納村,アジア航測,"58.10.17,60.2.28",732
福島県,岩瀬村,道路台帳,"撮影,図化","4000,,500","54.7KM2,10.5KM2",岩瀬村,朝日航洋,"58.6.10,59.2.21",204
福島県,北会津村,道路台帳,撮影(対標有),4000,38.7KM2,北会津村,アジア航測,"58.9.20,59.3.30",647
福島県,北塩原村,道路台帳,"撮影,図化","4000,,500","31.0KM2,3.9KM2",北塩原村,アジア航測,"58.10.17,60.2.28",725
福島県,鮫川村,道路台帳,"撮影,図化","4000,,500","160.0KM2,7.1KM2",鮫川村,アジア航測,"58.12.9,60.2.28",1026
福島県,高郷村,道路台帳,"撮影,図化","4000,,500","50.0KM2,1.7KM2",高郷村,アジア航測,"58.10.17,60.2.28",730
福島県,湯川村,道路台帳,"撮影,図化","4000,,500","16.8KM2,3.1KM2",湯川村,東日本航空,"58.8.11,59.2.28",429
福島県,会津若松市,道路計画,"撮影,図化","8000,,1000","10.0KM2,1.0KM2",福島県会津若松建設事務所,おおとり航測,"58.11.21,58.12.28",952
福島県,福島市,道路計画,"撮影,図化","8000,,1000","12.0KM2,1.0KM2",福島県福島建設事務所,おおとり航測,"58.9.4,58.10.10",471
福島県,大熊町,道路計画,"撮影,図化","8000,,1000","11.4KM2,1.7KM2",福島県原町建設事務所,パスコ,"58.11.26,59.1.7",
福島県,"白河市,大越町",農地開発,撮影(対標有),8000,32.9KM2,福島県,アジア航測,"58.12.27,59.1.31",1083
福島県,喜多方市,河川管理,"撮影,図化","8000,,1000","8.1KM2,0.5KM2",福島県喜多方建設事務所,三和航測,"58.10.15,58.12.25",
福島県,鏡石町,ほ場整備,"撮影,図化","8000,,1000","12.0KM2,3.5KM2",福島県,パスコ,"58.5.11,58.6.22",106
福島県,"会津若松市,本郷町,北会津村",都市計画,"撮影,図化新規,図化修正","12500,,2500,,2500","268.0KM2,87.6KM2,179.2KM2",福島県,おおとり航測,"58.8.15,59.3.19",433
福島県,塩川町,都市計画,"撮影,図化","12500,,2500","9.3KM2,4.9KM2",塩川町,パスコ,"58.7.13,58.9.30",302
福島県,広野町,都市計画,"撮影,図化","12500,,2500","124.0KM2,34.5KM2",広野町,おおとり航測,"58.12.1,59.3.20",976
福島県,会津坂下町,道路計画,"撮影,図化","12500,,2500","13.7KM2,1.8KM2",会津若松建設事務所,おおとり航測,"58.6.27,58.8.10",243
福島県,金山町,道路計画,"撮影,図化","12500,,2500","13.1KM2,1.4KM2",福島県会津若松建設事務所,おおとり航測,"58.7.15,58.9.10",310
福島県,表郷村,道路計画,"撮影,図化","12500,,2500","41.2KM2,2.5KM2",福島県白河建設事務所,パスコ,"58.11.19,58.12.31",
福島県,西会津町,道路計画,"撮影,図化","12500,,2500","28.0KM2,3.9KM2",西会津町,おおとり航測,"58.11.10,58.12.28",837
福島県,"福島市,二本松市",森林調査,撮影,16000,1800.0KM2,福島県,国際航業,"58.5.2,58.10.31",135
福島県,石川町,"道路台帳,都市計画","図化,図化","2500,,500","49.0KM2,18.7KM2",石川町,アジア航測,"59.3.27,60.2.15",1366
福島県,相馬市,道路台帳,図化,500,28.0KM2,相馬市,パスコ,"58.7.29,59.3.21",367
福島県,霊山町,道路台帳,"図化,図化","500,,1000","2.0KM2,6.0KM2",霊山町,アジア航測,"59.3.26,60.1.12",1364
福島県,郡山市,区画整理,"図化,図化","500,,1000","0.2KM2,0.2KM2",郡山市,陸奥測量設計,"59.3.13,59.3.31",
福島県,相馬市,宅地造成,図化,500,3.4KM2,地域振興整備公団相馬開発所,パスコ,"58.12.12,59.2.28",
福島県,長沼町,道路計画,図化,1000,0.7KM2,福島県郡山建設事務所,パスコ,"59.2.18,59.3.19",
福島県,相馬市,道路計画,図化,1000,7.0KM2,福島県原町建設事務所,パスコ,"59.2.10,59.3.19",
福島県,大信村,農地開発,図化,1000,0.9KM2,東化農政局矢吹開拓建設事業所,玉野総合コンサルタント,"58.4.22,58.6.30",
福島県,"須賀川市,安達町",ほ場整備,図化,1000,6.6KM2,福島県,パスコ,"58.5.11,58.6.22",107
福島県,郡山市,ダム計画,図化,1000,0.4KM2,東北地建三春ダム工事事務所,アジア航測,"58.11.1,58.12.9",
福島県,川俣町,道路計画,図化,2500,1.5KM2,福島県福島建設事務所,パスコ,"59.2.24,59.3.31",
福島県,月舘町,農地開発,図化,2500,2.0KM2,福島県,東日本航空,"58.11.30,58.12.24",
福島県,会津若松市,鉄道計画,図化,2500,3.3KM2,"日本国有鉄道盛岡工事局,仙台工事事務所",国際航業,"58.12.24,59.2.27",
福島県,東和町,道路台帳,平板,500,13.9KM2,東和町,東日路政コンサルタント,"58.10.1,61.2.28",
福島県,いわき市,区画整理,平板,500,1.1KM2,いわき市,(財)福島県区画整理協会,"58.11.10,59.3.25",
福島県,北会津村,ほ場整備,平板,500,4.0KM2,福島県会津南部ほ場整備事務所,新井田測量設計,"58.7.10,59.2.20",
茨城県,取手市,道路台帳,"基準点,基準点,基準点,水準","1級,,2級,,3級,,3級","24point,27point,40point,53.0km",取手市,朝日航洋,"58.9.27,59.3.24",
茨城県,那珂湊市,港湾整備,"基準点,水準","2級,,2級","3point,2.5km",第二港湾建設局鹿島港工事事務所,朝日航洋,"58.11.4,59.1.31",
茨城県,勝田市,下水道台帳,"基準点,撮影,図化","4級,,4000,,500","21point,4.0KM2,2.7KM2",勝田市,ミカミ,"58.12.22,59.3.30",
茨城県,"五霞町,土浦市,つくば市",地盤変動,水準,1級,461.0km,茨城県,八州,"58.12.25,59.3.31",1091
茨城県,"勝田市,那珂湊市",総合計画,水準,2級,46.0km,茨城県大宮土木事務所,朝日航洋,"58.7.15,58.10.31",
茨城県,土浦市,下水道台帳,水準,3級,17.1km,土浦市,パスコ,"58.11.15,59.3.25",
茨城県,水戸市,道路台帳,"撮影,図化","4000,,500","20.6KM2,3.0KM2",水戸市,国際航業,"58.12.10,59.3.20",1031
茨城県,常陸太田市,道路台帳,"撮影,撮影,図化,図化","4000,,8000,,500,,1000","10.0KM2,100.1KM2,4.2KM2,55.0KM2",常陸太田市,国際航業,"59.3.13,61.12.20",1358
茨城県,小川町,道路台帳,"撮影,撮影,図化,図化","4000,,8000,,500,,1000","6.6KM2,101.6KM2,1.4KM2,64.4KM2",小川町,朝日航洋,"58.6.29,61.3.31",443
茨城県,江戸崎町,道路台帳,"撮影,撮影,図化,図化","4000,,8000,,500,,1000","1.0KM2,53.6KM2,1.0KM2,19.2KM2",江戸崎町,パスコ,"58.12.27,59.10.31",1114
茨城県,大洗町,道路台帳,"撮影,撮影,図化,図化","4000,,8000,,500,,1000","20.8KM2,20.8KM2,9.2KM2,11.7KM2",大洗町,(社)茨城県建設コンサルタント,"58.11.10,61.3.15",879
茨城県,常北町,道路台帳,"撮影,撮影,図化,図化","4000,,8000,,500,,1000","19.6KM2,101.8KM2,4.6KM2,15.8KM2",常北町,国際航業,"58.12.1,60.10.30",1121
茨城県,関城町,道路台帳,"撮影,撮影,図化,図化","4000,,8000,,500,,1000","35.0KM2,35.0KM2,7.8KM2,27.2KM2",関城町,第一航業,"58.9.21,61.2.10",876
茨城県,友部町,道路台帳,"撮影,撮影,図化,図化","4000,,8000,,500,,1000","4.4KM2,58.2KM2,1.8KM2,17.2KM2",友部町,パスコ,"58.7.1,60.4.30",324
茨城県,五霞村,道路台帳,"撮影,図化","4000,,500","23.3KM2,11.6KM2",五霞村,(社)茨城県建設コンサルタント,"58.7.17,62.3.15",652
茨城県,御前山村,道路台帳,"撮影,撮影,図化,図化","4000,,8000,,500,,1000","6.0KM2,90.0KM2,2.0KM2,44.0KM2",御前山村,パスコ,"58.6.10,60.9.30",215
茨城県,桜村,道路台帳,"撮影,撮影,図化,図化","4000,,8000,,500,,1000","18.0KM2,35.0KM2,9.0KM2,26.0KM2",桜村,パスコ,"58.9.30,60.9.30",885
茨城県,新利根村,道路台帳,"撮影,撮影,図化,図化","4000,,8000,,500,,1000","5.0KM2,55.0KM2,2.4KM2,13.6KM2",新利根村,パスコ,"59.1.26,60.9.30",1207
茨城県,牛久町,下水道台帳,"撮影,図化","4000,,500","8.5KM2,2.8KM2",牛久町,パスコ,"58.11.20,59.3.15",1085
茨城県,麻生町,道路台帳,"撮影,図化","8000,,1000","61.2KM2,61.2KM2",麻生町,パスコ,"58.11.10,60.3.31",990
茨城県,内原町,道路台帳,"撮影,図化","8000,,1000","41.4KM2,17.0KM2",内原町,(社)茨城県建設コンサルタント,"58.6.12,61.3.15",653
茨城県,三和町,道路台帳,"撮影,図化","8000,,1000","50.2KM2,50.2KM2",三和町,国際航業,"59.1.14,61.2.28",1153
茨城県,波崎町,道路台帳,"撮影,図化","8000,,1000","68.7KM2,22.8KM2",波崎町,パスコ,"59.1.10,61.3.31",1155
茨城県,里美村,道路台帳,"撮影,図化","8000,,1000","120.4KM2,32.0KM2",里見村,(社)茨城県建設コンサルタント,"58.6.22,61.3.15",654
茨城県,常澄村,道路台帳,"撮影,図化","8000,,1000","47.0KM2,28.7KM2",常澄村,(社)茨城県建設コンサルタント,"58.12.20,61.3.15",1030
茨城県,北浦村,土地改良,"撮影,図化","8000,,1000","22.6KM2,3.5KM2",茨城県鉾田土地改良事務所,朝日航洋,"58.12.10,59.1.31",1086
茨城県,"三和町,豊里町,八千代町",農業基盤整備,"撮影,図化","8000,,1000","54.0KM2,14.3KM2",茨城県霞ヶ浦用水事業推進事務所,三和航測,"58.11.9,59.3.15",960
茨城県,千代田村,ほ場整備,"撮影,図化","8000,,1000","22.4KM2,1.6KM2",茨城県石岡台地土地改良事業所,第一航業,"58.12.14,59.3.15",1203
茨城県,高萩市,ほ場整備,"撮影,図化","8000,,1000","9.7KM2,4.0KM2",茨城県高萩土地改良事務所,三和航測,"58.12.15,59.3.20",1090
茨城県,石岡市,ほ場整備,"撮影,図化","8000,,1000","2.6KM2,1.1KM2",茨城県土浦土地改良事務所,中庭測量,"58.12.20,59.3.20",
茨城県,"協和町,大和村,真壁町,明野町",ほ場整備,"撮影,図化","8000,,1000","36.4KM2,8.7KM2",茨城県下館土地改良事務所,国際航業,"58.12.9,59.3.19",1118
茨城県,"三和町,関城町,八千代町,波崎町,筑波町",都市計画,"撮影,撮影,図化,図化","12500,,30000,,2500,,10000","140.8KM2,140.0KM2,51.6KM2,77.1KM2",茨城県,パスコ,"58.12.19,59.3.15",1088
茨城県,下館市,都市計画,"撮影,図化","12500,,2500","86.1KM2,24.0KM2",下館市,朝日航洋,"58.7.12,59.2.16",446
埼玉県,"美里町,小川町",ほ場整備,図化,1000,0.5KM2,関東農政局石岡台地農業水利事業所,東和開発コンサルタント,"58.9.1,58.10.31",
茨城県,大穂町,ほ場整備,図化,1000,2.1KM2,茨城県土浦土地改良事務所,第一航業,"58.12.20,59.3.20",
茨城県,,河川改修,図化,2500,109.0KM2,関東地建霞ヶ浦工事事務所,アジア航測,"58.8.8,59.2.29",379
茨城県,結城市,都市計画,平板,500,1.0KM2,結城市,都市計画センター,"59.1.20,59.3.25",
栃木県,日光市,道路管理,基準点,3級,4point,日本道路公団日光宇都宮道路管理事務所,群馬測量,"58.11.25,59.3.15",
栃木県,"足利市,佐野市,小山市,野木町",地盤沈下,水準,1級,354.0km,栃木県,国際航業,"58.11.25,59.2.10",958
栃木県,栃木市,道路台帳,撮影(対標有),8000,122.2KM2,栃木市,国際航業,"58.8.1,58.9.20",543
栃木県,粟野町,河川管理,"撮影,図化","8000,,1000","26.4KM2,3.0KM2",栃木県,宇都宮測量,"58.12.28,59.3.25",1149
栃木県,,作付面積調査,カラー撮影,10000,112.0KM2,農林水産省経済局統計情報部,アジア航測,"59.1.28,59.2.10",953
栃木県,宇都宮市,都市計画,"撮影,図化修正","12000,,2500","112.0KM2,63.2KM2",宇都宮市,パスコ,"58.5.6,59.2.25",169
栃木県,日光市,都市計画,"撮影,図化","12500,,2500","12.7KM2,3.4KM2",日光市,写測,"58.10.27,59.1.30",795
栃木県,"日光市,今市市,鹿沼市,栃木市",森林調査,撮影,20000,600.0KM2,関東信越国税局,セントラル航業,"58.9.3,58.11.30",786
栃木県,今市市,道路台帳,図化,1000,15.4KM2,今市市,"日光,アジア共同企業体","59.2.10,59.6.30",
栃木県,栃木市,道路台帳,図化,1000,23.7KM2,栃木市,国際航業,"58.10.25,59.3.25",
群馬県,館林市,道路台帳,"基準点,撮影(対標有)","1級,,8000","22point,60.8KM2",館林市,パスコ,"58.10.21,59.3.8",920
群馬県,新田町,道路台帳,"基準点,撮影,撮影,図化,図化","1級,,4000,,8000,,500,,1000","30point,9.9KM2,38.3KM2,2.6KM2,35.7KM2",新田町,パスコ,"59.3.6,61.3.31",1367
群馬県,前橋市,都市計画,基準点,2級,31point,前橋市,関東測量,"58.11.15,59.1.31",
群馬県,境町,都市計画,"基準点,撮影,図化","2級,,8000,,2500","19point,31.7KM2,31.7KM2",境町,パスコ,"58.11.20,59.3.15",983
群馬県,伊勢崎市,区画整理,基準点,2級,15point,伊勢崎市,関東測量,"58.11.15,59.2.20",
群馬県,桐生市,道路台帳,"基準点,撮影,図化","3級,,4000,,500","24point,13.0KM2,0.6KM2",桐生市,パスコ,"58.6.30,59.3.24",331
群馬県,伊勢崎市,区画整理,基準点,3級,208point,伊勢崎市,"両毛測量,関東測量","59.1.19,59.3.15",
群馬県,境町,区画整理,"基準点,平板","3級,,500","15point,0.7KM2",境町,三陽測量,"58.12.1,59.2.20",
群馬県,"新田町,尾島町,太田市,大泉町",地盤沈下,水準,1級,193.0km,群馬県,玉野総合コンサルタント,"58.12.1,59.2.29",1033
群馬県,"沼田市,昭和村,子持村",道路台帳,"撮影,図化","4000,,500","37.9KM2,1.8KM2",群馬県沼田土木事務所,"関東,大武,三共,地測,前橋共同企業体","59.1.17,59.3.20",
群馬県,"前橋市,高崎市,群馬町,箕郷町,榛名町",道路台帳,"撮影,図化","4000,,500","49.4KM2,2.8KM2",群馬県高崎土木事務所,パスコ,"58.12.26,59.3.20",
群馬県,"赤城村,北橘村,富士見村",道路台帳,"撮影,図化","4000,,500","61.7KM2,3.0KM2",群馬県前橋土木事務所,"技研,高崎,オウギ,上武,協和共同企業体","58.12.16,59.3.20",
群馬県,"藤岡市,鬼石町,吉井町,万場町,中里村,上野村",道路台帳,"撮影,図化","4000,,500","68.7KM2,3.2KM2",群馬県藤岡土木事務所,アジア航測,"59.1.20,59.3.20",
群馬県,前橋市,道路台帳,"撮影,撮影,図化,図化","4000,,8000,,500,,1000","56.3KM2,91.1KM2,46.0KM2,46.0KM2",前橋市,国際航業,"58.9.10,62.1.31",980
群馬県,甘楽町,道路台帳,"撮影,撮影,図化,図化","4000,,8000,,500,,1000","15.1KM2,72.5KM2,12.6KM2,4.3KM2",甘楽町,関東測量,"58.11.1,61.10.31",
群馬県,昭和村,道路台帳,"撮影,図化","4000,,500","51.0KM2,14.8KM2",昭和村,セントラル航空測量,"59.1.30,60.11.30",1348
群馬県,榛名町,都市計画,"撮影,図化","8000,,2500","30.0KM2,7.6KM2",榛名町,関東測量,"58.4.23,58.7.21",94
群馬県,安中市,道路台帳,撮影(対標有),8000,101.6KM2,安中市,朝日航洋,"58.10.15,59.3.25",1093
群馬県,新治村,道路台帳,"撮影,図化","8000,,1000","182.9KM2,23.1KM2",新治村,パスコ,"58.7.11,60.3.25",332
群馬県,富士見村,道路台帳,"撮影,図化","8000,,1000","69.6KM2,17.9KM2",富士見村,技研測量設計,"58.11.10,62.3.10",1092
群馬県,嬬恋村,土地改良,"撮影,図化","8000,,1000","15.0KM2,5.8KM2",嬬恋村,中庭測量,"58.10.20,59.3.10",791
群馬県,伊香保町,都市計画,"撮影,図化","12500,,2500","56.0KM2,22.3KM2",伊香保町,関東測量,"58.6.1,59.4.30",247
群馬県,大間々町,都市計画,"撮影,図化修正","12500,,2500","115.7KM2,47.0KM2",大間々町,朝日航空企業,"58.8.25,58.11.30",539
群馬県,赤堀村,都市計画,"撮影,図化","30000,,10000","80.0KM2,24.5KM2",赤堀村,関東測量,"58.8.20,58.11.26",545
群馬県,松井田町,都市計画,編集,10000,174.2KM2,松井田町,朝日航洋,"59.2.1,59.3.25",1285
群馬県,松井田町,鉄道計画,図化,500,0.8KM2,日本鉄道建設公団関東支社,パスコ,"59.1.18,59.3.21",
群馬県,宮城村,都市計画,図化,2500,5.0KM2,宮城村,関東測量,"59.1.12,59.3.31",1349
群馬県,甘楽町,総合計画,図化修正,10000,58.5KM2,甘楽町,関東測量,"58.7.10,58.10.10",707
群馬県,尾島町,区画整理,平板,500,0.3KM2,尾島町,両毛測量,"58.6.1,58.10.30",
埼玉県,戸田市,都市計画,"基準点,基準点","1級,,2級","9point,13point",戸田市,第一航業,"58.11.21,59.2.25",
埼玉県,三郷市,道路台帳,基準点,1級,29point,三郷市,国際航業,"58.7.18,59.2.29",
埼玉県,川本町,道路台帳,基準点,1級,13point,川本町,昭和測量工業,"58.9.20,58.10.31",
埼玉県,白岡町,道路台帳,基準点,1級,21point,白岡町,昭和測量工業,"59.1.20,59.3.31",
埼玉県,上尾市,道路台帳,基準点,2級,57point,上尾市,国際航業,"58.8.25,59.3.19",
埼玉県,行田市,道路台帳,基準点,2級,2point,行田市,昭和測量工業,"58.10.24,59.3.20",
埼玉県,飯能市,区画整理,基準点,2級,5point,飯能市,日本測地設計,"58.8.5,59.3.10",
埼玉県,吉川町,区画整理,"基準点,平板","2級,,500","5point,0.9KM2",住宅都市整備公団首都圏都市開発,朝日測量設計,"59.4.1,59.8.31",
埼玉県,日高町,道路台帳,"平板,基準点","500,,3級","1.3KM2,8point",日高町,平和測量,"58.7.16,59.2.29",
埼玉県,,地盤変動,水準,1級,2628.0km,埼玉県,朝日航洋,"58.11.19,59.2.28",919
埼玉県,春日部市,都市計画,水準,3級,162.0km,春日部市,昭和測量工業,"58.9.24,59.2.20",
埼玉県,戸田市,都市計画,"カラー撮影,カラー撮影,図化,編集,編集,編集","4000,,12500,,2500,,5000,,10000,,20000","30.0KM2,30.0KM2,18.0KM2,18.0KM2,18.0KM2,18.0KM2",戸田市,太平洋航業,"58.8.3,58.12.6",489
埼玉県,所沢市,道路台帳,"撮影,図化","4000,,500","53.9KM2,17.1KM2",所沢市,朝日航洋,"59.2.1,62.3.31",1353
埼玉県,江南村,道路台帳,"撮影,図化","4000,,500","16.0KM2,7.4KM2",江南村,関東測量,"58.7.11,59.2.29",792
埼玉県,"加須市,羽生市",道路改良,"撮影,図化","8000,,1000","14.4KM2,0.7KM2",埼玉県行田土木事務所,太平洋航業,"59.2.3,59.3.21",
埼玉県,三郷市,河川改修,"撮影,図化","8000,,1000","31.2KM2,1.2KM2",埼玉県越谷土木事務所,太平洋航業,"58.12.21,59.3.25",1212
埼玉県,"神川村,上里町",ほ場整備,"撮影,図化","8000,,1000","14.2KM2,3.2KM2",埼玉県本庄土地改良事務所,日東航空測量,"58.9.28,59.1.30",784
埼玉県,妻沼町,ほ場整備,"撮影,図化","8000,,1000","8.3KM2,2.3KM2",埼玉県深谷土地改良事務所,日東航空測量,"58.6.10,58.7.25",
埼玉県,朝霞市,都市計画,"撮影,図化","12500,,2500","35.0KM2,17.8KM2",朝霞市,八洲,"58.4.30,58.11.30",38
埼玉県,岩槻市,都市計画,"撮影,図化,編集,編集","12500,,2500,,10000,,20000","70.0KM2,50.0KM2,50.0KM2,50.0KM2",岩槻市,日東航空測量,"58.6.1,58.11.30",541
埼玉県,鷲宮町,都市計画,"撮影,図化","12500,,2500","13.7KM2,13.7KM2",鷲宮町,大洋画地測量,"58.12.20,59.3.31",1157
埼玉県,"熊谷市,行田市,加須市",河川改修,"撮影,図化","12500,,2500","43.0KM2,5.0KM2",埼玉県南部河川改修事務所,アジア航測,"58.12.23,59.3.10",1150
埼玉県,両神村,森林計画,撮影(対標有),16000,249.0KM2,埼玉県,セントラル航業,"58.5.10,58.10.31",140
埼玉県,大滝村,電源開発,"撮影,図化","20000,,5000","34.0KM2,3.1KM2",新エネルギー財団水力本部,アジア航測,"58.9.16,59.3.10",739
埼玉県,草加市,道路台帳,図化,500,2.2KM2,草加市,アジア航測,"58.10.24,59.2.29",
埼玉県,羽生市,都市計画,図化,2500,23.5KM2,羽生市,オオパ,"58.5.17,58.9.30",165
埼玉県,大滝村,ダム調査,"図化新規,図化修正","5000,,5000","4.0KM2,6.7KM2",関東地建荒川上流工事事務所,アジア航測,"58.9.15,58.10.29",706
埼玉県,熊谷市,道路台帳,平板,500,1.1KM2,熊谷市,昭和測量工業,"59.2.9,59.3.25",
埼玉県,与野市,"道路台帳,水道台帳","平板,平板","500,,250","0.2KM2,0.2KM2",与野市,国際航業,"58.4.23,58.11.15",
埼玉県,飯能市,区画整理,平板,500,0.6KM2,飯能市,八洲,"58.11.10,59.3.20",
埼玉県,飯能市,区画整理,平板,500,0.4KM2,飯能市,昭和測量工業,"58.11.10,59.3.20",
埼玉県,鳩ケ谷市,区画整理,"平板,平板","500,,1000","1.8KM2,1.8KM2",鳩ヶ谷市,昭和測量,"58.7.1,59.3.31",
埼玉県,大井町,区画整理,平板,500,0.2KM2,大井町鶴ヶ岡特定土地区画整理組合,昭和測量工業,"58.5.20,58.10.31",
埼玉県,小鹿野町,森林計画,写図,5000,75.0KM2,埼玉県,セントラル航業,"59.2.15,59.3.15",1211
千葉県,九十九里町,道路台帳,"基準点,撮影,図化","1級(フリー),,4000,,500","24point,30.0KM2,23.0KM2",九十九里町,パスコ,"58.12.16,60.12.19",1272
千葉県,酒々井町,道路台帳,"基準点,基準点","1級,,2級","15point,25point",酒々井町,高木測量,"58.10.1,59.2.25",
千葉県,旭市,道路台帳,"基準点,基準点,平板","2級,,3級,,500","40point,250point,0.12KM2",旭市,つくも測量,"59.3.1,61.10.31",
千葉県,市川市,道路台帳,基準点,2級,74point,市川市,大東測量,"59.1.27,59.3.24",
千葉県,柏市,道路台帳,基準点,2級,55point,柏市,国内調査測量,"58.10.1,59.7.31",
千葉県,白井町,道路台帳,基準点,2級,40point,白井町,京葉測量,"58.12.27,59.3.25",
千葉県,光町,道路台帳,"基準点,撮影,図化","2級,,8000,,1000","49point,54.0KM2,33.4KM2",光町,国際航業,"58.12.9,60.11.30",1210
千葉県,柏市,下水道台帳,基準点,2級,27point,柏市,国内調査測量,"58.6.25,58.9.25",
千葉県,千葉市,区画整理,"基準点,平板","2級,,500","2point,0.1KM2",千葉市,石川測量設計,"58.8.1,59.1.20",
千葉県,睦沢町,道路台帳,"基準点,平板","3級,,500","60point,9.5KM2",睦沢町,ふさ測量,"58.12.16,61.10.31",
千葉県,,地盤沈下,水準,1級,2365.0km,千葉県,"八州,東日本航空,京葉測量,協立コンサルタント","58.11.17,59.3.26",957
千葉県,船橋市,港湾計画,水準,1級,26.1km,第二港湾建設局千葉港工事事務所,出雲測量設計事務所,"59.2.29,59.3.30",
千葉県,大網白里町,都市計画,"撮影,図化","4000,,500","9.2KM2,1.4KM2",大網白里町,パスコ,"58.10.16,59.3.26",884
千葉県,勝浦市,道路台帳,"撮影,図化","4000,,500","1.1KM2,0.2KM2",勝浦市,写測,"58.9.27,59.2.29",
千葉県,東金市,道路台帳,"撮影,撮影,図化,図化","4000,,8000,,500,,1000","22.7KM2,90.0KM2,22.7KM2,42.9KM2",東金市,"国際航業,つくも測量,共同企業体","58.11.15,61.1.31",1096
千葉県,栄町,道路台帳,"撮影,撮影,図化,図化","4000,,8000,,500,,1000","2.5KM2,19.3KM2,1.8KM2,4.1KM2",栄町,アジア航測,"58.11.23,61.3.31",1286
千葉県,多古町,道路台帳,"撮影,図化","4000,,500","90.0KM2,16.8KM2",多古町,国際航業,"58.9.16,60.1.31",713
千葉県,富山町,道路台帳,"撮影,図化","4000,,500","40.0KM2,3.3KM2",富山町,パスコ,"59.1.31,60.10.31",1271
千葉県,丸山町,道路台帳,"撮影,図化","4000,,500","44.4KM2,3.5KM2",丸山町,パスコ,"58.5.20,59.2.29",218
千葉県,長生村,道路台帳,"撮影,図化","4000,,500","28.8KM2,9.1KM2",長生村,パスコ,"59.2.22,61.12.25",1357
千葉県,松戸市,河川改修,"撮影,図化","4000,,500","2.0KM2,0.4KM2",松戸市,アジア航測,"59.2.11,59.3.25",
千葉県,八千代市,道路計画,"撮影,撮影,図化,図化修正","4000,,10000,,500,,2500","2.0KM2,36.0KM2,0.2KM2,14.0KM2",八千代市,写測,"58.12.29,59.3.24",1274
千葉県,佐原市,道路台帳,"撮影,図化","8000,,1000","12.5KM2,6.0KM2",佐原市,新日本測量設計,"59.1.12,59.3.15",1275
千葉県,神崎町,"道路台帳,土地改良","撮影,図化","8000,,1000","35.0KM2,5.8KM2",神崎町,コクサイ航測,"58.10.21,59.7.31",888
千葉県,千倉町,道路台帳,"撮影,図化","8000,,1000","36.3KM2,3.1KM2",千倉町,バスコ,"58.10.24,59.3.25",783
千葉県,下総町,道路台帳,"撮影,図化","8000,,1000","36.0KM2,5.3KM2",下総町,アジア航測,"58.6.30,59.1.31",381
千葉県,白浜町,道路台帳,"撮影,図化","8000,,1000","17.0KM2,3.5KM2",白浜町,パスコ,"58.6.1,59.2.28",217
千葉県,野栄町,道路台帳,"撮影,図化","8000,,1000","20.4KM2,12.1KM2",野栄町,アジア航測,"58.10.1,60.5.31",740
千葉県,干潟町,道路台帳,"撮影,図化","8000,,1000","32.6KM2,11.1KM2",干潟町,第一航業,"59.2.2,59.3.31",1308
千葉県,三芳村,道路台帳,"撮影,図化","8000,,1000","49.4KM2,2.9KM2",三芳村,アジア航測,"58.10.13,59.3.10",796
千葉県,野田市,農地開発,"撮影,図化","8000,,1000","6.0KM2,3.0KM2",野田市,中庭測量,"58.11.10,59.3.10",954
