都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,計画機関,作業機関,実施時期,付図番号
北海道,"札幌市,",札幌市公共基準点復旧,基準点,1級,4point,北海道札幌市助言021031A0515,大東測地(株),"02.10.18,03.01.25",
北海道,"千歳市,恵庭市,",道路計画,"基準点,水準","2級,,3級","10point,10.8km",日本道路公団札幌建設局千歳工事事務所助言020509A0025,大東測量設計(株),"02.05.09,02.09.20",
北海道,"帯広市,幕別町,",土地改良,基準点,2級,50point,北海道十勝支庁助言020629A0219,(株)ズコーシャ,"02.07.10,02.10.20",
北海道,"鷹栖町,",鷹栖市街地排水総合調査,基準点,2級,3point,北海道鷹栖町助言020831A0377,旭川設計測量(株),"02.09.01,02.12.25",
北海道,"千歳市,",道路計画,"基準点,水準","2級,,3級","6point,6.7km",日本道路公団札幌建設局千歳工事事務所助言021109A0555,(株)ダイヤコンサルタント,"02.11.12,03.02.28",
北海道,"中川町,",道路改築の工事測量,基準点,2級,2point,旭川開発建設部助言020905A0393,(株)富士測量,"02.08.31,02.11.28",
北海道,"共和町,",国富チェーン着脱所用地測量,基準点,2級,2point,小樽開発建設部助言020511A0034,北海道測量事業協同組合,"02.05.15,02.06.22",
北海道,"大樹町,",336号大樹町生花用地測量調査,基準点,2級,3point,帯広開発建設部助言020625A0200,北海道測量事業協同組合,"02.06.20,02.09.30",
北海道,"天塩町,幌延町,",河川基準点の設置,"基準点,水準","2級,,2級","24point,65.0km",留萌開発建設部助言020707A0235,北海道測量事業協同組合,"02.07.13,02.12.10",
北海道,"紋別市,",道路計画,基準点,2級,4point,網走開発建設部助言020720A0293,北海道測量事業協同組合,"02.07.26,02.09.25",
北海道,"秩父別町,沼田町,",道路計画,基準点,2級,20point,札幌開発建設部助言020913A0420,北海道測量事業協同組合,"02.09.13,02.11.30",
北海道,"島牧村,黒松内町,",南後志地区支線道路用地測量,"基準点,基準点","2級,,3級","1point,4point",小樽開発建設部助言021012A0469,北海道測量事業協同組合,"02.10.08,03.01.07",
北海道,"余市町,",余市港道路(北)用地測量,基準点,2級,1point,小樽開発建設部助言021109A0553,北海道測量事業協同組合,"02.11.08,03.12.24",
北海道,"赤井川村,",北後志地区落合ダム用地測量,"基準点,基準点","2級,,3級","8point,10point",小樽開発建設部助言021201A0598,北海道測量事業協同組合,"02.12.01,03.03.30",
北海道,"江別市,",国道12号江別道路路線測量,基準点,2級,13point,札幌開発建設部札幌道路事務所助言020620A0182,(株)アサヒ建設コンサルタント,"02.06.20,02.10.30",
北海道,"浦幌町,",稲穂地区導水管路設計,基準点,2級,9point,帯広開発建設部助言020912A0412,(株)アサヒ建設コンサルタント,"02.07.28,02.12.05",
北海道,"南富良野町,",落合第一地区開拓財産特別事業,"基準点,基準点","2級,,3級","7point,9point",北海道上川支庁助言020831A0390,ロイヤル測量設計(株),"02.08.23,02.10.25",
北海道,"標茶町,",河川計画,基準点,2級,5point,釧路開発建設部助言021109A0554,東邦コンサルタント(株),"02.09.07,02.11.13",
