都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,計画機関,作業機関,自至時期,備考,2018.01.14修正
北海道,"今金町,瀬棚町,",河川管理,"カラー撮影,空三,水準,数値図化","10000,,10000,,簡級,,2500","238.9KM2,147M,203km,3.9KM2",助言13.07.31A0213函館開発建設部,㈱シン技術コンサル,"13.07.31
14.03.15",,
北海道,"旭川市,",道路計画図作成,"基準点,基準点","3級,,4級","4point,11point",助言13.08.02A0214北海道　札幌土木現業所,㈱アサヒ建設コンサルタント,"13.08.02
13.10.31",,
北海道,"富良野市,",畑総東山地区委託３調査,基準点,3級,2point,助言13.08.02A0215北海道　上川支庁,パブリックコンサルタント㈱,"13.08.02
13.08.31",,
北海道,"白老町,",都市計画,既成図数値化,2500,147KM2,助言13.08.02A0216白老町,㈱シン技術コンサル,"13.08.02
14.03.31",,
北海道,"長沼町,",道路計画(R337長沼町幌内歩道外),基準点,2級,4point,助言13.08.03A0217札幌開発建設部,㈱片山測量設計事務所,"13.08.06
13.10.05",,
北海道,"天塩町,",道路局部改良工事,"基準点,基準点","2級,,3級","1point,1point",助言13.08.03A0218北海道　留萌土木現業所,協立測量設計㈱,"13.08.06
13.09.12",,
北海道,"羽幌町,",道路改築工事に伴う用地測量,"基準点,基準点   ","3級,,4級","8point,23point",助言13.08.03A0219北海道　留萌土木現業所,㈱国策測量設計,"13.08.07
13.10.17",,
北海道,"八雲町,",集落道整備,基準点,3級,5point,助言13.08.03A0220北海道　渡島支庁,"北海道農業土木技術指導協同
組合","13.08.06
13.10.05",,
北海道,"長万部町,",営農用水の整備（２級）,基準点,2級,4point,助言13.08.03A0221北海道　渡島支庁,㈱ルーラルエンジニア,"13.08.03
13.12.10",,
北海道,"長万部町,",営農用水の整備（３級）,基準点,3級,24point,助言13.08.03A0222北海道　渡島支庁,㈱ルーラルエンジニア,"13.08.03
13.12.10",,
北海道,"由仁町,",確定測量(ほ場整備中岩内,"基準点,基準点","3級,,4級","83point,260point",助言13.08.03A0223北海道　空知支庁,明和測量工業㈱,"13.08.03
14.03.15",,
北海道,"厚真町,",土地改良,"基準点,基準点","2級,,3級","4point,14point",助言13.08.03A0224北海道　胆振支庁,ロイヤルコンサルタント㈱,"13.08.06
13.08.31",,
北海道,"厚真町,",土地改良,"基準点,基準点","2級,,3級","1point,12point",助言13.08.03A0225北海道　胆振支庁,㈱帝国設計事務所,"13.08.06
13.08.31",,
北海道,"厚真町,",土地改良,"基準点,基準点","2級,,3級","5point,4point",助言13.08.03A0226北海道　胆振支庁,内外エンジニアリング㈱,"13.08.06
13.08.31",,
北海道,"今金町,",農地管理,"カラー撮影,空三","12500,,12500","437KM2,189M",助言13.08.06A0227今金町,北海航測㈱,"13.08.06
14.03.10",,
北海道,"平取町,",河川計画,基準点,3級,9point,"助言13.08.06A0228室蘭開発建設部　胆振東部農業開発
事業所",道建コンサルタント㈱,"13.08.06
13.08.31",,
北海道,"端野町,",道路台帳作成(R39端野町緋牛内),基準点,2級,4point,助言13.08.06A0229網走開発建設部,㈱アルト技研,"13.08.06
13.11.05",,
北海道,"穂別町,",ｷﾅｳｽ川(特対)改修工事用地,基準点,2級,6point,助言13.08.06A0230北海道　室蘭土木現業所,㈲苫小牧測量社,"13.08.06
13.09.28",,
北海道,"旭川市,",土地総神居古潭地区,基準点,3級,16point,助言13.08.06A0231北海道　上川支庁,㈱富士測量,"13.08.06
14.02.28",,
北海道,"天塩町,",道路台帳図補正測量,基準点,3級,5point,助言13.08.06A0232留萌開発建設部,北海道測量事業協同組合,"13.08.06
13.10.04",,
北海道,"名寄市,",都市計画,"写測修正,既成図数値化","2500,,2500","17.3KM2,17.3KM2",助言13.08.10A0233名寄市,㈱道測テクニス,"13.08.10
13.12.10",,
北海道,"北見市,",道路台帳一般国道39号,基準点,2級,4point,助言13.08.09A0234網走開発建設部,シモクニ技術㈱,"13.08.20
13.11.05",,
北海道,"幕別町,",道路計画幕別大樹線,基準点,3級,4point,助言13.08.09A0235北海道　帯広土木現業所,㈱開発調査研究所,"13.08.11
13.10.30",,
北海道,"平取町,",農地管理,"カラー撮影,空三","12500,,12500","557KM2,346M",助言13.08.10A0236平取町,北海航測㈱,"13.08.10
14.02.20",,
北海道,"網走市,",地籍図根三角点復元測量,基準点,2級,5point,助言13.08.10A0237網走市,㈱村越工務所,"13.08.10
13.10.26",,
北海道,"標茶町,",道路計画,基準点,2級,5point,助言13.08.10A0238標茶町,㈲渋谷測量社,"13.08.10
13.10.19",,
北海道,"新篠津村,",土地改良基準点測量,基準点,3級,3point,助言13.08.10A0239札幌開発建設部　札幌北農業事務所,サンケイ企画㈱,"13.08.10
13.11.30",,
北海道,"小樽市,岩内町,石狩市,",水準測量小樽港ほか,水準,2級,16.7km,助言13.08.10A0240小樽開発建設部,建基コンサルタント㈱,"13.08.10
13.10.31",,
北海道,"美唄市,",ほ場整備光栄北調査設計2,基準点,3級,2point,助言13.08.10A0241北海道　空知支庁,㈱北開測地,"13.08.10
13.12.10",,
北海道,"砂川市,奈井江町,新十津川町,",河川計画砂川市ほか,基準点,2級,2point,助言13.08.10A0242石狩川開発建設部,㈱武田測量設計事務所,"13.08.10
13.12.14",,
北海道,"虻田町,",緊急避難道路整備計画三豊,"基準点,基準点","3級,,4級","10point,25point",助言13.08.10A0243北海道　室蘭土木現業所,日章測量設計㈱,"13.08.10
13.10.30",,
北海道,"虻田町,",緊急避難道路の整備・計画,"基準点,基準点","3級,,4級","7point,25point",助言13.08.10A0244北海道　室蘭土木現業所,北海道キング設計㈱,"13.08.09
13.08.09",,
北海道,"増毛町,",道路台帳図補正暑寒地区他,基準点,3級,10point,助言13.08.10A0245留萌開発建設部,北海道測量事業協同組合,"13.08.10
13.10.22",,
北海道,"芦別市,",道路計画芦別赤平線,"基準点,基準点,基準点","2級,,3級,,4級","1point,2point,10point",助言13.08.10A0246北海道　札幌土木現業所,コスモ測量設計㈱,"13.08.10
13.10.15",,
北海道,"網走市,",嘉多山卯原内線交安工事,基準点,3級,4point,助言13.08.10A0247北海道　網走土木現業所,新和測量㈱,"13.08.15
13.09.28",,
北海道,"士別市,",土地総南士別地区,基準点,3級,43point,助言13.08.10A0248北海道　上川支庁,㈱ランドプランニング,"13.08.10
13.10.30",,
北海道,"池田町,",農道改良に伴う石杭埋設,基準点,3級,4point,助言13.08.10A0249北海道　十勝支庁,アルスマエヤ㈱,"13.08.10
13.09.20",,
北海道,"月形町,",国道275号道路台帳図補正,基準点,2級,3point,助言13.08.10A0250札幌開発建設部,三砂測量設計㈱,"13.08.10
13.09.17",,
北海道,"帯広市,",道営畑総帯広北地区,基準点,3級,14point,助言13.08.10A0251北海道　十勝支庁,㈱香島測量設計,"13.08.10
14.01.31",,
