都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,計画機関,作業機関,実施時期,付図番号
北海道,"美幌町,",用地測量実施の1級基準点測量,基準点,1級,6point,網走開発建設部助言031028A0527,北海道測量事業協同組合,"03.11.14,04.02.20",
北海道,"増毛町,",道路計画,"基準点,基準点","1級,,2級","5point,7point",留萌開発建設部助言031119A0576,(株)アサヒ建設コンサルタント,"03.11.15,04.03.16",
北海道,"足寄町,",国有地(開拓財産)の境界確定,"基準点,基準点","1級,,4級","3point,17point",北海道十勝支庁助言030704A0252,(株)中神土木設計事務所,"03.07.18,03.11.12",
北海道,"阿寒町,",町道阿寒湖畔鶴居越用地図作成,基準点,1級,4point,北海道阿寒町助言030617A0193,東邦コンサルタント(株),"03.05.11,03.10.31",
北海道,"白糠町,",ダム計画,"基準点,基準点,水準","1級,,2級,,1級","8point,12point,8point",北海道釧路土木現業所助言040227A0616,東邦コンサルタント(株),"04.04.06,04.12.11",
北海道,"砂川市,歌志内市,上砂川町,",宅地(工業団地)開発,"基準点,基準点","2級,,3級","2point,8point",地域振興整備公団北海道支部助言030502A0026,国際航業(株),"03.05.10,03.06.30",
北海道,"帯広市,",2級基準点の設置(土地改良),基準点,2級,24point,北海道十勝支庁助言030522A0095,(株)ズコーシャ,"03.06.19,03.10.02",
北海道,"帯広市,",直轄明渠排水広野地区用地調査,基準点,2級,28point,帯広開発建設部帯広農業事務所助言030723A0327,(株)ズコーシャ,"03.09.15,03.12.25",
北海道,"旭川市,",土地区画整理,基準点,2級,6point,旭川市旭神土地区画整理組合設立準備会助言030907A0432,シン航空写真(株),"03.09.07,03.12.31",
北海道,"旭川市,",土地区画整理,基準点,2級,4point,旭川市西御料地土地区画整理組合設立準備会助言031023A0505,シン航空写真(株),"03.10.21,03.12.30",
北海道,"旭川市,",土地区画整理,基準点,2級,4point,日本国有鉄道精算事業団北海道支社助言031224A0607,シン航空写真(株),"03.12.20,04.02.20",
北海道,"芦別市,",宅地(工業団地)開発,"基準点,基準点","2級,,3級","2point,24point",地域振興整備公団北海道支部助言030408A0003,(株)千代田コンサルタント,"03.04.08,03.05.31",
北海道,"天塩町,",国有地(開拓財産)の境界確定,"基準点,基準点","2級,,3級","29point,15point",北海道留萌支庁助言030705A0274,北海航測(株),"03.07.17,03.11.08",
北海道,"札幌市,",土地区画整理,"基準点,水準","2級,,3級","24point,8.0km",北海道住宅供給公社助言030610A0170,"大東測地(株),フキタ測量設計(株)","03.05.23,03.08.20",
北海道,"札幌市,",札幌市公共基準点の復旧,基準点,2級,2point,北海道札幌市助言030701A0244,大東測地(株),"03.06.24,03.10.01",
北海道,"札幌市,",札幌市公共基準点の復旧,基準点,2級,1point,北海道札幌市助言031002A0470,大東測地(株),"03.10.01,04.01.31",
北海道,"札幌市,",札幌市公共基準点の復旧,基準点,2級,3point,北海道札幌市助言031023A0495,大東測地(株),"03.10.21,03.12.31",
北海道,"札幌市,",札幌市公共基準点の復旧,基準点,2級,2point,北海道札幌市助言031023A0496,大東測地(株),"03.10.21,03.12.31",
北海道,"赤平市,",宅地(工業団地)開発,"基準点,基準点","2級,,3級","2point,18point",地域振興整備公団北海道支部助言030408A0004,応用地質(株),"03.04.08,03.05.31",
北海道,"幌延町,",河川工事実施に必要な基準点設置,"基準点,水準","2級,,2級","16point,20.0km",留萌開発建設部助言030709A0277,北海道測量事業協同組合,"03.07.26,03.11.30",
北海道,"生田原町,",用地測量実施の二級基準点測量,基準点,2級,3point,網走開発建設部助言031105A0564,北海道測量事業協同組合,"03.11.14,04.01.23",
北海道,"忠類村,",国営農用地再編パイロット事業,基準点,2級,25point,帯広開発建設部助言030716A0300,サンスイコンサルタント(株),"03.05.15,03.10.15",
北海道,"名寄市,",道路計画,"基準点,基準点","2級,,3級","13point,14point",旭川開発建設部助言030422A0015,(株)アサヒ建設コンサルタント,"03.04.26,03.12.21",
北海道,"美瑛町,",道路計画,基準点,2級,10point,旭川開発建設部助言031005A0474,(株)アサヒ建設コンサルタント,"03.10.04,03.11.30",
北海道,"生田原町,佐呂間町,",道路計画333号佐呂間町旭峠,"基準点,基準点","2級,,3級","8point,4point",網走開発建設部助言030920A0443,(株)ドボク管理,"03.07.12,03.11.30",
北海道,"苫小牧市,",土地区画整理,基準点,2級,10point,北海道苫小牧市助言031018A0485,タナカコンサルタント,"03.08.30,03.11.27",
北海道,"標茶町,鶴居村,",河川計画,基準点,2級,9point,釧路開発建設部助言031105A0562,東邦コンサルタント(株),"03.10.12,04.01.18",
北海道,"斜里町,",国道334号宇登呂道路測量調査,基準点,2級,4point,北海道開発局網走開発建設部助言031206A0596,平田技術コンサルタント(株),"03.11.07,04.02.24",
北海道,"浦河町,",道路実測線調査の2級基準点測量,基準点,2級,2point,室蘭開発建設部助言040219A0615,平田技術コンサルタント(株),"03.12.24,04.03.10",
北海道,"雨竜町,",道路計画,基準点,2級,18point,札幌開発建設部助言030629A0236,"(株)旭技研,(株)アサヒ建設コンサルタント","03.07.10,03.12.16",
北海道,"西興部村,",道路実施設計(2級基準点測量),基準点,2級,2point,網走開発建設部助言030820A0375,大起コンサルタント(株),"03.08.19,03.11.12",
北海道,"天塩町,",国有地(開拓財産)の境界確定,"基準点,基準点","2級,,3級","5point,15point",北海道留萌支庁助言030705A0275,(株)矢本測量,"03.07.17,03.10.16",
北海道,"中標津町,",道路改良事業・用地確定業務,基準点,2級,1point,北海道中標津町助言030528A0105,直営,"00.00.00,00.00.00",
北海道,"岩見沢市,",利根別川改修工事用地測量,"基準点,水準","3級,,3級","4point,1point",北海道札幌土木現業所助言040311A0619,パシフィックコンサルタンツ(株),"04.02.24,04.03.23",
北海道,"札幌市,",土地区画整理,基準点,3級,49point,北海道札幌市助言030510A0045,(株)小岩測量,"03.06.17,03.09.04",
北海道,"由仁町,",由仁川改修工事用地測量,基準点,3級,13point,北海道札幌土木現業所助言031023A0511,和光技研(株),"03.09.24,04.01.20",
北海道,"岩内町,",岩内川墓地通り用地現況測量,"基準点,基準点","3級,,4級","1point,1point",北海道岩内町助言030422A0014,(株)牧野測量,"03.04.20,03.06.10",
北海道,"札幌市,",土地区画整理,基準点,3級,6point,北海道札幌市助言030902A0407,"大東測地(株),中央土木開発(株)","03.09.04,03.12.12",
北海道,"美唄市,",開発峰延線特改1種工事実施設計,基準点,3級,6point,北海道札幌土木現業所助言030613A0188,道興建設コンサルタンツ(株),"03.05.27,03.08.20",
北海道,"三笠市,",道路改良(御園幌内線道路調査),基準点,3級,24point,北海道札幌土木現業所助言030528A0103,北海道測量(株),"03.04.30,03.05.31",
北海道,"東神楽町,",農免農道整備栄岡地区委託3同時,基準点,3級,5point,北海道上川支庁助言030705A0276,(株)アサヒ建設コンサルタント,"03.06.29,03.11.22",
北海道,"岩見沢市,北村,",岩見沢月形線交通安全工事測量,基準点,3級,5point,北海道札幌土木現業所助言030812A0372,中央土木開発(株),"03.07.29,03.08.31",
北海道,"本別町,",国有地(開拓財産)の境界確定,"基準点,基準点","3級,,4級","12point,12point",北海道十勝支庁助言030704A0251,ロイヤル測量設計(株),"03.07.18,03.11.13",
北海道,"南幌町,",道路計画,基準点,3級,3point,北海道札幌土木現業所助言030930A0463,(株)アリヤス設計コンサルタント,"03.09.25,03.10.30",
北海道,"幌加内町,",雨竜川道単改修工事用地測量,基準点,3級,3point,北海道札幌土木現業所助言030812A0371,(株)松村測量設計,"03.07.29,03.10.15",
北海道,"鷹栖町,",農免農道整備希望丘地区調査設計,基準点,3級,7point,北海道上川支庁助言030829A0403,北海道パブリックコンサルタント(株),"03.08.26,03.10.25",
北海道,"砂川市,",芦別砂川線局改工事実測実施設計,基準点,3級,12point,北海道札幌土木現業所助言030723A0328,(株)北海道技術コンサルタント,"03.05.20,03.10.30",
北海道,"岩見沢市,",道路歩道造成の道路計画図作成,基準点,3級,8point,北海道札幌土木現業所助言030716A0303,北海道道路エンジニアリング(株),"03.07.01,03.09.20",
北海道,"追分町,",土地改良,基準点,3級,2point,北海道追分町助言030604A0138,北海道農業土木技術指導協同組合,"03.06.19,03.10.19",
北海道,"美唄市,",交通安全(自歩道)工事用地測量,基準点,3級,7point,北海道札幌土木現業所助言031023A0510,中央測建(株),"03.10.18,03.11.25",
北海道,"三笠市,",河川改修工事用地測量,基準点,3級,2point,北海道札幌土木現業所助言030730A0342,(株)グリーン土木開発,"03.07.11,03.10.25",
北海道,"岩見沢市,",利根別川改修工事用地測量,"基準点,水準","3級,,3級","6point,1point",北海道札幌土木現業所助言030624A0220,開成測量(株),"03.06.24,03.10.25",
北海道,"美瑛町,",道路計画,基準点,3級,8point,旭川開発建設部助言030502A0028,(株)国策測量設計,"03.04.26,03.08.30",
北海道,"東川町,",道路計画,基準点,3級,5point,旭川開発建設部助言030530A0137,北成測量コンサルタント(株),"03.05.17,03.10.30",
北海道,"阿寒町,",道路計画,基準点,3級,10point,釧路開発建設部助言030820A0382,(株)土木技術コンサルタント,"03.08.09,03.11.30",
北海道,"岩見沢市,",岩見沢石狩線特改1工事用地測量,基準点,3級,3point,北海道札幌土木現業所助言030704A0261,明成コンサルタント(株),"03.06.25,03.07.10",
北海道,"札幌市,",土地区画整理,基準点,3級,4point,札幌市手稲前田西土地区画整理組合助言031031A0531,(社)道農都市開発協会,"03.11.15,04.03.20",
北海道,"札幌市,",土地区画整理,基準点,3級,6point,札幌市篠路土地区画整理組合助言031031A0532,(社)道農都市開発協会,"03.11.15,04.03.20",
北海道,"岩見沢市,",旧幾春別川区域測量,基準点,3級,7point,北海道札幌土木現業所助言030924A0449,植田測量(株),"03.09.13,04.02.20",
北海道,"女満別町,",道路計画,基準点,3級,8point,北海道女満別町助言030701A0247,(有)三晃測地設計,"03.05.09,03.08.31",
北海道,"旭川市,",道路計画,基準点,3級,20point,旭川開発建設部助言031202A0590,"東光コンサルタント(株),(株)富士測量","03.11.25,04.02.15",
北海道,"美唄市,",峯延線開清橋架換工事用地測量,基準点,3級,2point,北海道札幌土木現業所助言031008A0476,日測技研(株),"03.09.10,03.10.31",
北海道,"美唄市,",団体営農道整備事業,基準点,3級,2.3km,北海道土地改良事業団体連合会助言030604A0154,直営,"03.06.03,03.08.30",
北海道,"栗沢町,",団体営かんがい排水事業,基準点,3級,1.2km,北海道土地改良事業団体連合会助言030604A0155,直営,"03.06.03,03.06.20",
北海道,"夕張市,積丹町,赤井川村,",国有林野の境界整備,"基準点,路線","4級,,簡級","6point,10.3km",北海道営林局助言030424A0020,直営,"03.05.13,03.11.30",
北海道,"遠別町,小平町,中頓別町,中川町,下川町,旭川市,上川町,占冠村,",国有林野の管理経営,"基準点,路線","4級,,簡級","12point,25.4km",旭川営林支局助言030509A0036,直営,"03.05.13,03.10.22",
北海道,"札幌市,石狩町,",地盤変動調査,水準,1級,47.0km,北海道立地下資源調査所助言031002A0465,大東測地(株),"03.09.24,03.11.30",911762
北海道,"札幌市,",地盤変動調査,水準,1級,49.6km,北海道札幌市助言031008A0477,大東測地(株),"03.10.10,03.12.10",911831
北海道,"当別町,",ダム計画,水準,3級,9point,北海道札幌土木現業所助言031105A0563,シン航空写真(株),"03.11.01,04.03.19",
北海道,"乙部町,",雑用水施設用地測量,路線,,3.0km,函館開発建設部助言030726A0330,(財)林野弘済会,"03.05.18,03.08.31",
北海道,"由仁町,",団体営灌漑排水事業東三川地区,路線,3級,5.9km,北海道土地改良事業団体連合会助言030709A0280,直営,"03.07.10,03.09.30",
北海道,"倶知安町,",団体営農道整備事業花園地区,路線,3級,1.5km,北海道土地改良事業団体連合会助言030709A0281,直営,"03.07.10,03.09.30",
北海道,"松前町,",団体営農道整備事業茂草地区,路線,3級,1.0km,北海道土地改良事業団体連合会助言030709A0282,直営,"03.07.10,03.09.30",
北海道,"森町,",団体営農道整備事業森川地区,路線,3級,0.6km,北海道土地改良事業団体連合会助言030709A0283,直営,"03.07.10,03.09.30",
北海道,"生田原町,",団体営農道整備事業八重地区,路線,3級,0.4km,北海道土地改良事業団体連合会助言030709A0284,直営,"03.07.10,03.09.30",
北海道,"羅臼町,陸別町,釧路町,弟子屈町,中標津町,",国有林境界検測,路線,簡級,23.2km,帯広営林支局助言030502A0025,直営,"03.05.13,03.10.31",
北海道,"札幌市,",土地区画整理,平板,500,1.5KM2,北海道住宅供給公社助言030812A0373,"和光技研(株),(株)測進,千廣測量(株)","03.07.31,03.10.28",
北海道,"石狩町,",土地区画整理,平板,500,0.9KM2,石狩町花畔市街土地区画整理組合助言030403A0002,"(株)芳川測量事務所,(株)中島測量設計,植田測量(株)","03.04.01,10.03.31",
北海道,"小樽市,余市町,",道路計画,"撮影,写測図化,写測修正","12500,,2500,,2500","105.6KM2,52.9KM2,2.4KM2",小樽開発建設部助言030513A0055,(株)八州,"03.05.07,03.09.26",910206
北海道,"上川町,",道路計画,"撮影,写測図化,写測図化","8000,,1000,,2500","15.0KM2,2.2KM2,2.6KM2",旭川開発建設部助言030514A0060,(株)八州,"03.05.07,03.10.29",
北海道,"恵庭市,長沼町,",道路計画,"撮影,写測図化","12500,,2500","33.0KM2,8.8KM2",札幌開発建設部助言030514A0062,(株)八州,"03.05.15,03.11.15",
北海道,"鵡川町,門別町,",道路計画,"撮影,写測図化","8000,,1000","4.1KM2,0.5KM2",室蘭開発建設部助言030517A0078,(株)八州,"03.04.27,03.07.31",
北海道,"南富良野町,占冠村,清水町,",道路計画,"撮影,写測図化","25000,,5000","105.6KM2,12.6KM2",帯広開発建設部助言030520A0090,(株)八州,"03.05.16,03.08.14",910235
北海道,"占冠村,",道路計画,"撮影,写測図化","25000,,5000","238.1KM2,33.8KM2",旭川開発建設部助言030610A0165,(株)八州,"03.06.03,03.10.17",910512
北海道,"旭川市,美瑛町,上富良野町,",道路計画,"撮影,写測図化,写測図化","8000,,1000,,2500","49.0KM2,2.5KM2,12.5KM2",旭川開発建設部助言030629A0237,(株)八州,"03.06.21,03.10.30",910757
北海道,"余市町,",都市計画,"撮影,写測図化,写測修正","12500,,2500,,2500","52.8KM2,2.9KM2,7.7KM2",北海道余市町助言030720A0305,(株)八州,"03.07.18,04.01.20",910951
北海道,"深川市,秩父別町,北竜町,沼田町,",道路計画,"撮影,写測図化","8000,,1000","13.6KM2,3.4KM2",札幌開発建設部助言030722A0320,(株)八州,"03.07.29,03.12.20",
北海道,"夕張市,",運動公園計画,"撮影,写測図化","8000,,1000","5.5KM2,1.0KM2",北海道夕張市助言030730A0344,(株)八州,"03.08.01,03.09.30",
北海道,"早来町,",道路計画,"撮影,写測図化","8000,,1000","6.8KM2,1.3KM2",室蘭開発建設部助言030829A0400,(株)八州,"03.09.04,04.01.13",
北海道,"江別市,南幌町,長沼町,",道路計画,"撮影,写測図化","8000,,1000","43.6KM2,2.9KM2",札幌開発建設部助言030905A0411,(株)八州,"03.09.05,04.02.13",
北海道,"今金町,",道路計画,"撮影,写測図化","12500,,2500","16.5KM2,2.8KM2",函館開発建設部助言030920A0433,(株)八州,"03.09.20,04.01.27",
北海道,"門別町,新冠町,",道路計画,撮影,8000,43.6KM2,室蘭開発建設部助言031005A0471,(株)八州,"03.09.26,03.12.25",911811
北海道,"門別町,",道路計画,撮影,8000,4.1KM2,室蘭開発建設部助言031028A0520,(株)八州,"03.09.26,03.12.25",
北海道,"斜里町,",道路計画,撮影,12500,19.8KM2,網走開発建設部助言031028A0530,(株)八州,"03.09.10,03.11.26",
北海道,"釧路町,厚岸町,白糠町,",道路計画,"撮影,写測図化,写測図化","12500,,2500,,2500","33.0KM2,4.2KM2,7.5KM2",北海道開発局釧路開発建設部助言031206A0595,(株)八州,"03.09.13,04.02.28",
北海道,"恵庭市,千歳市,",道路計画,"撮影,写測図化","8000,,1000","17.7KM2,3.2KM2",札幌開発建設部助言030514A0064,(株)パスコ,"03.05.11,03.10.30",
