都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,計画機関,作業機関,実施時期,,,2018.01.09計算結果に基づく修正
北海道,"豊富町,",営農団地農道整備落合地区用確,基準点,3級,4.0km,北海道宗谷支庁助言630823A0446,宗谷測量(株),"63.08.01,63.09.12",,,
北海道,"札幌市,",土地区画整理(丘珠第一地区),基準点,3級,20point,北海道札幌市助言630622A0307,(株)小岩測量,"63.05.25,63.07.23",,,
北海道,"札幌市,",富丘川砂防工事,基準点,3級,1point,北海道札幌土木現業所助言631228A0683,(株)ダイヤコンサルタント,"63.11.28,01.01.30",,,
北海道,"中富良野町,",農免農道整備吉井地区用地確定,基準点,3級,12point,北海道上川支庁助言630714A0395,高崎測量設計(株),"63.07.10,63.08.10",,,
北海道,"石狩町,",土地区画整理,基準点,3級,0.9KM2,石狩町花畔市街土地区画整理組合助言631014A0573,"和光技研(株),(有)芳川測量事務所,フキタ測量設計(株),(株)中島測量設計,ロイヤル測量設計(株),植田測量(株)","63.10.05,03.03.31",,,
北海道,"滝川市,",熊穴川改修工事用地測量,基準点,3級,11point,北海道助言631228A0682,和光技研(株),"63.12.16,01.03.13",,,
北海道,"札幌市,",北の沢川砂防工事計画,基準点,3級,4point,北海道札幌土木現業所助言630908A0497,茅沼建設工業(株),"63.08.22,63.10.20",,,
北海道,"江別市,",早苗別川小規模改修工事用地測量,基準点,3級,2point,北海道札幌土木現業所助言630627A0338,蟻戸測量設計(株),"63.06.16,63.08.09",,,
北海道,"滝上町,西興部村,",道道滝上西興部線改良工事,基準点,3級,6point,北海道網走土木現業所助言630829A0475,(株)開発調査研究所,"63.08.24,63.11.30",,,
北海道,"夕張市,栗山町,",道路改修工事実測線調査,"基準点,水準","3級,,2級","6point,22point",北海道札幌土木現業所助言631014A0570,(株)開発調査研究所,"63.10.06,63.11.10",,,
北海道,"長沼町,",道路改良(3・4・1恵栗通),"基準点,水準","3級,,3級","3point,3point",北海道札幌土木現業所助言630729A0420,明治コンサルタント(株),"63.07.08,63.09.30",,,
北海道,"札幌市,",金山川砂防工事地形調査,基準点,3級,3point,北海道札幌土木現業所助言631013A0566,国土防災技術(株),"63.09.22,63.10.20",,,
北海道,"札幌市,",真駒内川小規模改修工事用地測量,基準点,3級,3point,北海道札幌土木現業所助言630811A0436,(株)中田測量,"63.07.21,63.11.07",,,
北海道,"札幌市,",地図整備事業,基準点,3級,58point,北海道札幌市助言010313A0701,"(株)中田測量,(有)山本調査設計事務所,(株)竹川測量,(株)測進","63.06.01,03.02.28",,,
北海道,"砂川市,",河川改修工事用地測量,基準点,3級,4point,北海道札幌土木現業所助言631110A0634,沼田測量(株),"63.10.28,01.02.13",,,
