都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,計画機関,作業機関,実施時期,付図番号
北海道,"札幌市,",第17条地図作製基準点設置,"基準点,基準点","1級,,2級","11point,44point",札幌法務局助言060620A0147,大東測地(株),"06.06.20,07.03.31",
北海道,"札幌市,",17条地図作成基準点設置,基準点,1級,7point,札幌法務局助言061122A0446,(株)エル技術コンサルタント,"06.11.09,07.03.31",
北海道,"白滝村,",ダム計画,"基準点,基準点","1級,,2級","10point,2point",網走開発建設部助言060722A0252,サン測量設計(有),"06.07.26,06.12.01",
北海道,"幕別町,",国営かんがい排水事業,基準点,1級,14point,帯広開発建設部助言070228A0512,北海道農業土木コンサルタント(株),"07.02.01,07.03.31",
北海道,"八雲町,長万部町,",道路計画,"基準点,水準","2級,,3級","65point,32.8km",日本道路公団札幌建設局長万部工事事務所助言060929A0370,"東武計画(株),朝日航洋(株),日本工営(株),中央開発(株),第一航業(株),(株)八州","06.09.26,07.01.21",
北海道,"七飯町,森町,八雲町,",道路計画,"基準点,水準","2級,,3級","92point,45.8km",日本道路公団札幌建設局函館工事事務所助言061011A0388,"国際航業(株),アジア航測(株),(株)オオバ,(株)パスコ,第一復建(株),大成エンジニアリング(株)","06.08.13,07.01.09",
北海道,"厚岸町,",総合計画,基準点,2級,5point,北海道厚岸町助言060608A0119,(株)パスコ,"06.06.10,06.08.10",
北海道,"岩内町,",砂防計画,基準点,2級,1point,北海道小樽土木現業所助言060803A0280,(株)シン技術コンサル,"06.07.18,07.03.20",
北海道,"上川町,",道路計画,"基準点,基準点","2級,,3級","31point,28point",旭川開発建設部助言060610A0129,北海道開発コンサルタント(株),"06.05.18,07.01.31",
北海道,"女満別町,",空港計画,基準点,2級,6point,北海道網走土木現業所助言060811A0304,北海道開発コンサルタント(株),"06.09.20,06.12.10",
北海道,"恵庭市,広島町,",土地区画整理,基準点,2級,13point,北海道住宅供給公社助言061205A0479,"千廣測量(株),和光技研(株),富士測量設計(株)","06.11.11,07.02.08",
北海道,"白糠町,",砂防計画,基準点,2級,5point,北海道釧路土木現業所助言060811A0302,新和測量(株),"06.08.08,06.11.14",
北海道,"留辺蘂町,",総合計画,基準点,2級,18point,北海道留辺蘂町助言060509A0021,(株)極東コンサルタント,"06.04.28,07.02.24",
北海道,"喜茂別町,",総合計画,基準点,2級,7point,北海道喜茂別町助言061018A0403,(株)極東コンサルタント,"06.10.18,07.02.28",
北海道,"札幌市,",土地区画整理,"基準点,水準","2級,,1級","4point,7.6km",北海道住宅供給公社助言070330A0516,大東測地(株),"07.03.21,07.05.29",
北海道,"礼文町,",土地改良,"基準点,基準点","2級,,3級","3point,5point",北海道宗谷支庁助言060606A0106,(株)アサヒ建設コンサルタント,"06.06.13,06.09.30",
北海道,"余市町,",土地区画整理,"基準点,基準点,基準点","2級,,3級,,4級","4point,16point,285point",北海道余市町助言060627A0177,(株)都市整備コンサルタント,"06.07.07,06.10.07",
北海道,"中富良野町,",土地改良,"基準点,基準点","2級,,3級","4point,12point",北海道上川支庁助言060606A0112,ロイヤル測量設計(株),"06.06.10,06.07.01",
北海道,"新冠町,",土地改良,基準点,2級,3point,北海道日高支庁助言060809A0295,ロイヤル測量設計(株),"06.08.08,06.08.25",
北海道,"網走市,",農道計画,基準点,2級,7point,北海道網走支庁助言061122A0453,ロイヤル測量設計(株),"06.11.15,06.11.30",
北海道,"広島町,",土地改良,"基準点,基準点","2級,,3級","4point,6point",北海道石狩支庁助言061201A0472,ロイヤル測量設計(株),"06.11.21,07.01.20",
北海道,"厚沢部町,",土地改良,"基準点,基準点","2級,,3級","4point,8point",北海道檜山支庁助言061205A0485,ロイヤル測量設計(株),"06.12.10,07.01.30",
北海道,"斜里町,",土地改良,基準点,2級,2point,網走開発建設部助言061013A0389,(株)東水エンジニアリング,"06.10.13,06.12.12",
北海道,"旭川市,比布町,",道路計画,"基準点,基準点","2級,,3級","2point,5point",旭川開発建設部助言060803A0282,荒木測量設計(株),"06.09.07,06.11.10",
北海道,"別海町,",総合計画,基準点,2級,7point,北海道別海町助言060523A0054,北洋測量設計(株),"06.05.24,07.03.10",
北海道,"和寒町,剣淵町,",道路計画,"基準点,水準","2級,,3級","24point,29.9km",日本道路公団札幌建設局旭川工事事務所助言061011A0386,"(株)ハイウエイ・エンジニアリング,大日本コンサルタント(株)","06.10.03,06.12.25",
北海道,"網走市,東藻琴村,",道路計画,基準点,2級,4point,網走開発建設部助言060614A0141,(株)ドボク管理,"06.06.23,06.10.07",
北海道,"端野町,",農道整備特別対策事業,基準点,2級,7point,北海道網走支庁助言060627A0176,(株)ドボク管理,"06.06.24,06.09.30",
北海道,"幕別町,",土地改良,基準点,2級,3point,北海道十勝支庁助言061003A0379,(株)安井測量設計事務所,"06.08.02,06.11.28",
北海道,"石狩町,",石狩町・当別町行政界確定,"基準点,基準点","2級,,3級","8point,48point",北海道石狩町助言060614A0134,東日本設計(株),"06.06.13,06.11.10",
北海道,"江別市,",総合計画,基準点,2級,2point,北海道江別市助言060627A0175,(株)五十嵐測量設計事務所,"06.07.01,06.12.25",
北海道,"浦幌町,",廃道敷地調査,基準点,2級,9point,帯広開発建設部助言060627A0172,平田技術コンサルタント(株),"06.06.30,06.11.15",
北海道,"斜里町,",土地改良,基準点,2級,4point,網走開発建設部助言061013A0393,平田技術コンサルタント(株),"06.10.13,07.01.31",
北海道,"札幌市,",札幌市公共基準点復旧(移転),基準点,2級,4point,北海道札幌市助言061101A0415,北盟測量(株),"06.11.01,07.03.06",
北海道,"音更町,",土地区画整理,"基準点,水準","2級,,3級","6point,8.0km",音更町南宝来土地区画整理組合設立準備委員会助言061215A0493,(社)道農都市開発協会,"06.11.15,07.01.30",
北海道,"江別市,",土地区画整理,"基準点,水準","2級,,3級","4point,4.7km",江別市大麻土地区画整理組合設立準備委員会助言070112A0503,(社)道農都市開発協会,"06.12.01,07.02.20",
北海道,"池田町,本別町,足寄町,",道路計画,"基準点,水準","2級,,3級","54point,33.0km",日本道路公団札幌建設局帯広工事事務所助言061018A0410,"(株)シビテック,(株)横浜コンサルティングセンター,(株)協和コンサルタンツ,(株)トーホーエンジニアリング,パシフィックコンサルタンツ(株),大東測量設計(株)","06.10.18,07.02.20",
北海道,"白老町,",土地改良,基準点,3級,6point,北海道胆振支庁助言060614A0136,内外エンジニアリング(株),"06.06.10,06.11.30",
北海道,"八雲町,",草地整備改良事業,基準点,3級,8point,北海道渡島支庁助言060629A0183,内外エンジニアリング(株),"06.07.14,06.07.30",
北海道,"中頓別町,",土地改良,基準点,3級,9point,北海道宗谷支庁助言060804A0286,内外エンジニアリング(株),"06.08.04,06.11.30",
北海道,"岩見沢市,",土地改良,基準点,3級,9point,北海道空知支庁助言060826A0325,内外エンジニアリング(株),"06.08.22,06.11.30",
北海道,"別海町,",土地改良,基準点,3級,13point,北海道根室支庁助言060912A0353,内外エンジニアリング(株),"06.08.01,06.11.30",
北海道,"今金町,",農道計画,基準点,3級,22point,北海道檜山支庁助言061122A0456,内外エンジニアリング(株),"06.11.20,06.12.25",
北海道,"芦別市,",団地用地確定測量,基準点,3級,7point,地域振興整備公団北海道支部助言060610A0133,サンコーコンサルタント(株),"06.05.12,06.07.20",
北海道,"更別村,",明渠排水調査,基準点,3級,2.7km,北海道十勝支庁助言060627A0173,(株)ズコーシャ,"06.06.17,06.07.29",
北海道,"広尾町,",土地改良,基準点,3級,7point,北海道十勝支庁助言060729A0268,(株)ズコーシャ,"06.07.29,06.11.30",
北海道,"更別村,",土地改良,基準点,3級,20point,北海道十勝支庁助言060829A0328,(株)ズコーシャ,"06.08.26,06.11.30",
北海道,"釧路市,",地すべり対策,基準点,3級,3point,北海道釧路土木現業所助言061114A0435,(株)シン技術コンサル,"06.11.14,07.03.20",
北海道,"栗沢町,",宅地開発,"基準点,水準","3級,,3級","12point,2.7km",地域振興整備公団北海道支部助言061114A0436,(株)シン技術コンサル,"06.11.14,06.12.15",
北海道,"釧路市,",地盤変動調査,基準点,3級,3point,北海道釧路土木現業所助言061122A0459,(株)シン技術コンサル,"06.11.24,07.03.20",
北海道,"深川市,",土地改良,基準点,3級,4point,北海道空知支庁助言060811A0300,北日本測地(株),"06.08.18,06.11.15",
北海道,"中富良野町,",土地改良,基準点,3級,3point,北海道上川支庁助言060523A0050,旭川設計測量(株),"06.05.25,06.07.29",
北海道,"南富良野町,",土地改良,基準点,3級,4point,北海道上川支庁助言060531A0092,旭川設計測量(株),"06.05.30,06.09.30",
北海道,"鷹栖町,",土地改良,基準点,3級,14point,北海道上川支庁助言060712A0215,旭川設計測量(株),"06.07.20,06.09.05",
北海道,"豊富町,",道路計画,基準点,3級,11point,稚内開発建設部助言060929A0369,旭川設計測量(株),"06.09.19,06.10.31",
北海道,"富良野市,",土地改良,基準点,3級,9point,北海道上川支庁助言070310A0514,旭川設計測量(株),"07.04.27,07.07.31",
北海道,"札幌市,",土地区画整理,基準点,3級,4point,札幌市新川西土地区画整理組合助言061108A0431,(株)タケカワ総合コンサルタント,"06.11.08,06.11.20",
北海道,"本別町,",畑総事業営農用水施設用地測量,基準点,3級,21point,北海道十勝支庁助言060527A0075,北海航測(株),"06.05.26,06.07.20",
北海道,"今金町,",総合計画,基準点,3級,10point,北海道檜山支庁助言060531A0086,北海航測(株),"06.05.31,06.08.31",
北海道,"豊頃町,",農林地一体事業明渠調査,基準点,3級,6point,北海道十勝支庁助言060621A0157,北海航測(株),"06.06.30,06.08.31",
北海道,"剣淵町,",土地改良,基準点,3級,12point,北海道上川支庁助言060712A0217,北海航測(株),"06.07.28,06.12.09",
北海道,"釧路市,",土地改良,基準点,3級,16point,北海道釧路支庁助言060721A0251,北海航測(株),"06.08.26,06.11.30",
北海道,"美瑛町,",土地改良,基準点,3級,9point,北海道上川支庁助言060726A0265,北海航測(株),"06.05.19,06.09.26",
北海道,"枝幸町,",土地改良,基準点,3級,9point,北海道宗谷支庁助言060804A0287,北海航測(株),"06.08.04,06.09.20",
北海道,"小平町,",土地改良,基準点,3級,3point,北海道留萌支庁助言060811A0305,北海航測(株),"06.07.13,06.11.10",
北海道,"芽室町,",土地改良,基準点,3級,7point,北海道十勝支庁助言060824A0320,北海航測(株),"06.07.20,06.12.12",
北海道,"幌延町,",土地改良,基準点,3級,4point,北海道留萌支庁助言060829A0329,北海航測(株),"06.07.29,06.11.30",
北海道,"平取町,",土地改良,基準点,3級,9point,北海道日高支庁助言060922A0358,北海航測(株),"06.08.31,06.12.15",
北海道,"足寄町,",道路計画,基準点,3級,6point,北海道帯広土木現業所助言070316A0515,北海航測(株),"07.01.18,07.03.20",
北海道,"枝幸町,",土地改良,基準点,3級,9point,北海道宗谷支庁助言060624A0170,(株)富士測量,"06.06.21,06.12.09",
北海道,"士別市,",土地改良,基準点,3級,21point,北海道上川支庁助言060712A0218,(株)富士測量,"06.07.28,06.12.09",
北海道,"稚内市,",地すべり対策,基準点,3級,0.5km,北海道稚内土木現業所助言061018A0412,(株)富士測量,"06.10.18,07.02.10",
北海道,"弟子屈町,",土地改良,基準点,3級,3point,北海道釧路支庁助言061101A0429,(株)富士測量,"06.11.01,07.01.10",
北海道,"長沼町,",道路台帳,基準点,3級,10point,北海道札幌土木現業所助言060721A0245,和光技研(株),"06.07.18,06.10.31",
北海道,"音威子府村,",土地改良,基準点,3級,17point,北海道土地改良事業団体連合会助言060714A0221,(株)極東コンサルタント,"06.07.20,06.10.30",
北海道,"歌登町,",土地改良,基準点,3級,8point,北海道土地改良事業団体連合会助言060714A0228,(株)極東コンサルタント,"06.07.20,06.10.30",
北海道,"枝幸町,",土地改良,基準点,3級,4point,北海道土地改良事業団体連合会助言060714A0229,(株)極東コンサルタント,"06.07.20,06.10.30",
北海道,"浜頓別町,",土地改良,基準点,3級,8point,北海道土地改良事業団体連合会助言060714A0231,(株)極東コンサルタント,"06.07.20,06.10.30",
北海道,"浜中町,",土地改良,基準点,3級,16point,北海道釧路支庁助言060816A0313,(有)益村測量事務所,"06.08.26,07.01.20",
北海道,"斜里町,",土地改良,基準点,3級,22point,北海道網走支庁助言061122A0445,(有)益村測量事務所,"06.11.07,07.03.10",
北海道,"美幌町,",土地改良,基準点,3級,13point,北海道網走支庁助言060712A0220,東和工研(株),"06.06.14,06.09.30",
北海道,"陸別町,",土地改良,基準点,3級,4point,北海道十勝支庁助言060721A0244,東和工研(株),"06.06.10,06.10.31",
