都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,計画機関,作業機関,実施時期,付図番号,2018.01.14修正
北海道,"旭川市,",用水路計画図作成,"基準点,基準点","2級,,3級","1point,7point",旭川開発建設部助言040713A0305,(株)東水エンジニアリング,"04.07.10,04.09.30",,
北海道,"愛別町,",道路計画,"基準点,基準点","2級,,3級","2point,21point",旭川開発建設部助言040423A0012,荒木測量設計(株),"04.04.28,04.09.24",,
北海道,"別海町,",2級基準点設置,基準点,2級,15point,北海道別海町助言050106A0621,北洋測量設計(株),"04.10.24,05.03.10",,
北海道,"雄武町,",国道238号沢木歩道用地測量,基準点,2級,2point,網走開発建設部助言041009A0475,(株)ドボク管理,"04.10.05,04.12.10",,
北海道,"美幌町,",国道39号美幌町美幌地形調査,基準点,2級,8point,網走開発建設部助言041214A0612,(株)ドボク管理,"04.12.15,05.03.19",,
北海道,"利尻富士町,",利尻空港整備事業調査,基準点,2級,5point,北海道稚内土木現業所助言041009A0483,北海道パブリックコンサルタント(株),"04.09.25,04.10.30",,
北海道,"北村,",土地改良(栄町第3地区),基準点,2級,5point,北海道空知支庁助言041110A0571,(株)みずほ設計事務所,"04.11.16,05.03.25",,
北海道,"伊達市,",畑地帯総合土地改良事業,"基準点,基準点","2級,,3級","5point,10point",北海道胆振支庁助言050106A0624,(株)タナカコンサルタント,"05.01.05,05.03.17",,
北海道,"豊浦町,洞爺村,",広域営農団地農道整備事業,基準点,2級,2point,北海道胆振支庁助言050106A0622,(株)竹田測量設計,"05.01.05,05.02.12",,
北海道,"伊達市,",畑地帯総合土地改良事業,基準点,2級,8point,北海道胆振支庁助言050106A0623,(有)泰成測量,"05.01.05,05.02.15",,
北海道,"中川町,",道路計画,"基準点,基準点","2級,,3級","6point,11point",旭川開発建設部助言040518A0082,(株)国策測量設計,"04.05.26,04.09.17",,
北海道,"長沼町,",ほ場整備,"基準点,基準点","2級,,3級","1point,40point",北海道空知支庁助言040727A0337,明和測量工業(株),"04.07.08,04.07.31",,
北海道,"札幌市,",札幌市公共基準点復旧(移転),基準点,2級,3point,北海道札幌市助言041214A0605,北盟測量(株),"04.12.15,05.03.12",,
北海道,"江別市,",土地区画整理,"基準点,水準","2級,,3級","6point,2.2km",江別市中央土地区画整理組合設立準備委員会助言040423A0013,(社)道農都市開発協会,"03.09.02,04.05.01",,
北海道,"小樽市,",土地区画整理,"基準点,基準点,水準","2級,,3級,,3級","2point,7point,4point",北海道小樽市助言040513A0052,(株)島口測量事務所,"04.06.01,04.10.31",,
北海道,"苫前町,",ため池等整備(羽幌三毛別地区),基準点,3級,7point,北海道留萌支庁助言040528A0137,内外エンジニアリング(株),"04.05.28,04.08.31",,
北海道,"中川町,",土地改良(中川北地区),基準点,3級,19point,北海道上川支庁助言040609A0151,内外エンジニアリング(株),"04.06.10,04.10.10",,
北海道,"上士幌町,",土地改良(上音更地区),基準点,3級,10point,北海道十勝支庁助言040713A0306,内外エンジニアリング(株),"04.07.02,04.11.30",,
北海道,"弟子屈町,",土地改良,基準点,3級,13point,北海道釧路支庁助言040423A0014,(株)ズコーシャ,"04.05.21,04.09.10",,
北海道,"帯広市,",土地改良,基準点,3級,1.0km,北海道十勝支庁助言040518A0077,(株)ズコーシャ,"04.04.24,04.09.25",,
北海道,"清水町,",土地改良(昭和地区),基準点,3級,10point,北海道十勝支庁助言040624A0258,(株)ズコーシャ,"04.05.20,04.09.30",,
北海道,"帯広市,",3級基準点設置,基準点,3級,2point,北海道十勝支庁助言041009A0484,(株)ズコーシャ,"04.09.18,05.02.16",,
北海道,"帯広市,",土地改良(帯広西南部基準点測量),基準点,3級,41.6KM2,北海道十勝支庁助言041019A0496,(株)ズコーシャ,"04.10.15,05.01.25",,データ起こしミス
北海道,"士幌町,",畑総事業士幌南地区9号農道改良,基準点,3級,6point,北海道十勝支庁助言041029A0528,(株)ズコーシャ,"04.10.23,05.01.30",,
北海道,"知内町,",砂防工事の地形測量,基準点,3級,1point,北海道函館土木現業所助言040803A0371,シン航空写真(株),"04.07.06,04.11.30",,
北海道,"岩内町,",道路台帳,基準点,3級,2point,北海道岩内町助言040513A0040,大橋調査(株),"04.04.15,04.07.31",,
北海道,"標茶町,",土地改良,基準点,3級,9point,北海道釧路支庁助言040511A0027,北日本測地(株),"04.05.20,04.07.31",,
北海道,"長沼町,",土地改良(弥広地区),基準点,3級,13point,北海道空知支庁助言040528A0134,北日本測地(株),"04.06.08,04.09.30",,
北海道,"帯広市,",土地改良(帯広東南部地区),基準点,3級,1.0km,北海道十勝支庁助言040907A0425,北日本測地(株),"04.08.31,04.11.30",,
北海道,"豊富町,",営農団地農道整備(落合地区),基準点,3級,8point,北海道宗谷支庁助言040922A0439,宗谷測量(株),"04.09.10,04.10.20",,
北海道,"富良野市,",畑総土地改良(老節布地区),"基準点,基準点","3級,,4級","16point,14point",北海道上川支庁助言040511A0020,旭川設計測量(株),"04.04.23,04.07.10",,
北海道,"厚田村,",土地改良(石狩北部地区),基準点,3級,6point,北海道石狩支庁助言040615A0221,北海航測(株),"04.06.12,04.07.20",,
北海道,"豊浦町,",土地改良(豊浦地区),基準点,3級,15point,北海道胆振支庁助言040624A0263,北海航測(株),"04.06.26,04.11.30",,
北海道,"仁木町,",土地改良(長沢地区),基準点,3級,10point,北海道後志支庁助言040624A0265,北海航測(株),"04.07.13,04.07.25",,
北海道,"留寿都村,",土地改良(向丘地区),基準点,3級,8point,北海道後志支庁助言040713A0307,北海航測(株),"04.07.13,04.07.25",,
北海道,"置戸町,",開拓地整備事業(拓殖山地区),基準点,3級,5point,北海道網走支庁助言040831A0415,北海航測(株),"04.09.01,04.12.22",,
北海道,"紋別市,",草地整備事業(紋別東部地区),基準点,3級,3.0km,北海道網走支庁助言041001A0474,北海航測(株),"04.09.30,04.11.30",,
北海道,"静内町,",営農団地農道整備日高中部地区,基準点,3級,15point,北海道日高支庁助言041125A0580,北海航測(株),"04.11.24,04.12.30",,
北海道,"恵庭市,",土地改良(下島松北地区),基準点,3級,8point,北海道石狩支庁助言041209A0600,北海航測(株),"04.10.22,05.02.25",,
北海道,"紋別市,",草地整備事業(中渚滑地区),基準点,3級,3point,北海道網走支庁助言041214A0611,北海航測(株),"04.10.29,05.03.10",,
北海道,"中富良野町,",土地改良(共同地区),基準点,3級,3point,北海道上川支庁助言040528A0142,新和測量(株),"04.05.27,04.06.30",,
北海道,"新冠町,",土地改良(芽呂一地区),基準点,3級,1.2km,北海道日高支庁助言040831A0412,新和測量(株),"04.07.28,04.10.21",,
北海道,"秩父別町,",河川局部改良の地形及び用地測量,基準点,3級,5point,北海道札幌土木現業所助言040831A0417,新和測量(株),"04.08.03,04.11.10",,
北海道,"南富良野町,",土地改良(落合第三地区),基準点,3級,6point,北海道上川支庁助言040513A0028,(株)富士測量,"04.05.22,04.08.31",,
北海道,"東川町,",土地改良(上川中央第1地区),"基準点,基準点","3級,,4級","2point,1point",北海道上川支庁助言040513A0036,(株)富士測量,"04.05.20,04.07.31",,
北海道,"士別市,",土地改良(南士別地区),基準点,3級,3point,北海道上川支庁助言040609A0149,(株)富士測量,"04.07.01,04.10.31",,
北海道,"士別市,",土地改良(士別東二期地区),基準点,3級,5point,北海道上川支庁助言040513A0037,(株)日興工務所,"04.05.20,04.08.30",,
北海道,"弟子屈町,",土地改良(鐺別地区),基準点,3級,3point,北海道釧路支庁助言040513A0053,(有)益村測量事務所,"04.05.21,04.06.30",,
北海道,"常呂町,",畑総事業土佐地区農道用地測量,基準点,3級,3point,北海道網走支庁助言040619A0244,(有)益村測量事務所,"04.06.20,04.10.09",,
北海道,"豊富町,",草地整備改良事業(豊栄地区),基準点,3級,1.2km,北海道宗谷支庁助言040716A0328,(有)益村測量事務所,"04.07.15,04.08.30",,
北海道,"帯広市,",土地改良(帯広東北部地区),基準点,3級,1.2km,北海道十勝支庁助言040513A0049,東和工研(株),"04.04.24,04.10.30",,
北海道,"鵡川町,",土地改良(旭生地区),基準点,3級,14point,北海道胆振支庁助言040518A0075,東和工研(株),"04.05.28,04.09.10",,
北海道,"音更町,",土地改良水田転換事業(勲地区),基準点,3級,13point,北海道十勝支庁助言040615A0217,東和工研(株),"04.06.20,04.07.10",,
北海道,"音更町,",土地改良(勲地区),基準点,3級,13point,北海道十勝支庁助言040714A0324,東和工研(株),"04.07.15,04.09.30",,
北海道,"士幌町,上士幌町,",畑総事業(上居辺地区6号明渠),基準点,3級,24point,北海道十勝支庁助言041001A0473,東和工研(株),"04.10.12,04.11.30",,
北海道,"留辺蘂町,",緊急畑総(瑞穂地区),基準点,3級,10point,北海道網走支庁助言041009A0476,東和工研(株),"04.09.30,04.12.15",,
北海道,"新得町,",緊急畑総事業屈足地区1号農道,基準点,3級,7point,北海道十勝支庁助言041019A0497,東和工研(株),"04.08.21,04.12.21",,
北海道,"士幌町,",農地開発(豊年地区),基準点,3級,16point,北海道十勝支庁助言041222A0618,東和工研(株),"04.12.21,05.03.01",,
北海道,"富良野市,",土地改良(富岡2期地区),基準点,3級,10point,北海道上川支庁助言040513A0029,北海道測量(株),"04.05.22,04.10.30",,
北海道,"芦別市,",土地改良(ほ場整備野花南地区),基準点,3級,3point,北海道空知支庁助言040609A0148,北海道測量(株),"04.06.01,04.07.10",,
北海道,"豊頃町,",過疎農道事業(昭和地区),基準点,3級,1.3km,北海道十勝支庁助言041009A0486,北海道測量(株),"04.10.15,04.11.10",,
北海道,"大樹町,",明渠排水拓進地区調査設計,基準点,3級,13point,北海道十勝支庁助言040609A0166,(株)丸菱測量事務所,"04.06.01,04.09.30",,
北海道,"幕別町,",畑地総合事業(糠内第2地区),基準点,3級,10point,北海道十勝支庁助言040928A0463,(株)丸菱測量事務所,"04.09.29,05.03.15",,
北海道,"津別町,",土地改良,基準点,3級,3point,北海道網走支庁助言040525A0095,(株)田西設計コンサル,"04.05.20,04.06.30",,
北海道,"佐呂間町,",土地改良(栃木地区),基準点,3級,2point,北海道網走支庁助言040609A0164,(株)田西設計コンサル,"04.06.01,04.09.25",,
北海道,"清水町,",開拓地整備事業西部地区農道調査,基準点,3級,16point,北海道十勝支庁助言040708A0294,(株)田西設計コンサル,"04.05.20,04.10.30",,
北海道,"栗山町,",土地改良(南角田地区),基準点,3級,12point,北海道空知支庁助言040708A0298,(株)田西設計コンサル,"04.07.15,04.11.30",,
北海道,"門別町,",農地開発事業(門別東地区),基準点,3級,5point,北海道日高支庁助言041110A0566,(株)田西設計コンサル,"04.11.09,04.12.30",,
北海道,"厚沢部町,",水田排特事業(社の山地区),基準点,3級,10point,北海道檜山支庁助言041202A0594,(株)田西設計コンサル,"04.11.19,05.03.10",,
北海道,"紋別市,",草地整備事業(中渚滑地区),基準点,3級,5point,北海道網走支庁助言041214A0610,(株)田西設計コンサル,"04.12.15,05.03.10",,
北海道,"猿払村,",土地改良,"基準点,水準","3級,,3級","3point,15.0km",稚内開発建設部助言040803A0351,前谷測量設計(株),"04.08.01,04.09.04",,
北海道,"音更町,",広域農道事業(十勝中央地区),基準点,3級,0.4km,北海道十勝支庁助言050106A0620,アルスマエヤ(株),"05.01.05,05.03.19",,
北海道,"紋別市,",草地整備事業紋別東部地区用測,基準点,3級,3point,北海道網走支庁助言040525A0099,北見設計測量(株),"04.05.20,04.06.30",,
北海道,"北見市,",北見置戸線舗装新設工事,基準点,3級,3point,北海道網走土木現業所助言040713A0311,北見設計測量(株),"04.06.22,04.09.30",,
北海道,"佐呂間町,",畑総事業佐呂間西部地区1号幹線,基準点,3級,6point,北海道網走支庁助言040803A0366,北見設計測量(株),"04.08.01,05.02.22",,
北海道,"津別町,",開拓地整備事業(相生地区),基準点,3級,7point,北海道網走支庁助言040824A0401,北見設計測量(株),"04.08.20,04.12.10",,
北海道,"北見市,",25-1北見常呂線舗装新設工事,基準点,3級,4point,北海道網走土木現業所助言040824A0406,北見設計測量(株),"04.08.24,04.10.30",,
北海道,"陸別町,",畑総トラリ地区3号支線農道同時,基準点,3級,11point,北海道十勝支庁助言040907A0426,北見設計測量(株),"04.09.10,04.12.10",,
北海道,"苫前町,",草地整備改良事業(苫前地区),基準点,3級,1.5km,北海道留萌支庁助言040416A0004,(株)やまざき測量設計事務所,"04.04.30,04.07.31",,
北海道,"上富良野町,",農林地一体開発整備(日新地区),"基準点,基準点","3級,,4級","4point,3point",北海道上川支庁助言040615A0224,(株)やまざき測量設計事務所,"04.06.26,04.08.31",,
北海道,"富良野市,",農免農道整備(平扇地区),基準点,3級,15point,北海道上川支庁助言040615A0225,(株)やまざき測量設計事務所,"04.06.26,04.12.10",,
北海道,"幕別町,",土地改良(相川地区),基準点,3級,6point,北海道十勝支庁助言040706A0268,(株)やまざき測量設計事務所,"04.07.06,04.09.30",,
北海道,"富良野市,",土地改良(五区地区),基準点,3級,10point,北海道上川支庁助言040716A0335,(株)やまざき測量設計事務所,"04.07.23,04.11.30",,
北海道,"中川町,",土地改良(国府第2地区),基準点,3級,6point,北海道上川支庁助言040817A0385,(株)やまざき測量設計事務所,"04.08.24,04.11.10",,
北海道,"美瑛町,",土地改良(平和郷地区),基準点,3級,9point,北海道上川支庁助言040922A0452,(株)やまざき測量設計事務所,"04.09.10,04.12.10",,
北海道,"豊富町,",草地整備改良事業(瑞穂地区),基準点,3級,10point,北海道宗谷支庁助言041029A0541,(株)やまざき測量設計事務所,"04.10.15,04.12.21",,
北海道,"上富良野町,",農林地一体開発整備事業日新地区,基準点,3級,1.3km,北海道上川支庁助言041125A0581,(株)やまざき測量設計事務所,"04.11.20,04.11.30",,
北海道,"雄武町,",開拓地整備栄丘第二地区道路調査,基準点,3級,3point,北海道網走支庁助言040525A0096,(株)村越工務所,"04.05.01,04.06.30",,
北海道,"興部町,",土地改良(興部地区4号明渠),基準点,3級,5point,北海道網走支庁助言040609A0157,(株)村越工務所,"01.06.01,04.08.25",,
北海道,"幕別町,",緊急畑総事業(古舞北上地区),基準点,3級,10point,北海道十勝支庁助言040708A0302,(株)北開水工コンサルタント,"04.07.10,04.09.10",,
北海道,"稚内市,",農免農道整備開進地区調査設計,基準点,3級,17point,北海道宗谷支庁助言040609A0176,山下コンサルタント(株),"04.06.08,04.10.30",,
北海道,"標茶町,",土地改良(虹別改正2期地区),基準点,3級,17point,北海道釧路支庁助言040610A0193,山下コンサルタント(株),"04.06.23,04.08.31",,
北海道,"真狩村,",土地改良(豊川地区),基準点,3級,6point,北海道後志支庁助言040713A0310,山下コンサルタント(株),"04.06.01,04.08.29",,
北海道,"弟子屈町,",屈斜路摩周湖線交通安全施設工事,基準点,3級,1point,北海道釧路土木現業所助言040803A0372,山下コンサルタント(株),"04.07.01,04.09.10",,
北海道,"鹿追町,",農免農道事業(西笹川2期地区),基準点,3級,18point,北海道十勝支庁助言040922A0451,山下コンサルタント(株),"04.09.21,05.02.10",,
北海道,"長沼町,",道路改良,"基準点,基準点","3級,,4級","4point,8point",北海道空知支庁助言040525A0086,(株)北開測地,"04.05.25,04.07.31",,
北海道,"妹背牛町,",土地改良(3号地区),基準点,3級,12point,北海道空知支庁助言040612A0212,(株)北開測地,"04.05.27,04.10.30",,
北海道,"芦別市,",土地改良(野花南地区),基準点,3級,4point,北海道空知支庁助言040901A0423,(株)北開測地,"04.09.07,04.09.30",,
北海道,"深川市,",旭川深川線区域測量,基準点,3級,5point,北海道札幌土木現業所助言040922A0444,(株)北開測地,"04.09.16,04.12.10",,
北海道,"富良野市,",畑総土地改良(八富地区),"基準点,基準点","3級,,4級","10point,6point",北海道上川支庁助言040511A0016,(株)アサヒ建設コンサルタント,"04.04.23,04.07.10",,
北海道,"深川市,",土地改良(吉住2期地区),基準点,3級,9point,北海道空知支庁助言040513A0039,(株)アサヒ建設コンサルタント,"04.06.01,04.09.10",,
北海道,"音更町,",水田転換(東音更地区),基準点,3級,15point,北海道十勝支庁助言040609A0147,(株)アサヒ建設コンサルタント,"04.05.29,04.07.31",,
北海道,"美瑛町,",土地改良(平和郷地区),基準点,3級,7point,北海道上川支庁助言040714A0321,(株)アサヒ建設コンサルタント,"04.07.13,04.10.15",,
北海道,"東川町,美瑛町,",道路計画,基準点,3級,12point,旭川開発建設部助言041001A0471,(株)アサヒ建設コンサルタント,"04.10.14,05.03.15",,
北海道,"苫前町,",三毛別川道単改修工事用地測量,基準点,3級,0.9km,北海道留萌土木現業所助言041029A0524,(株)アサヒ建設コンサルタント,"04.10.12,04.12.25",,
北海道,"南幌町,",土地改良(晩翠栄地区),基準点,3級,4point,北海道空知支庁助言040609A0177,嵯峨測量設計(株),"04.06.22,04.09.30",,
北海道,"栗山町,",土地改良(栗山北部),基準点,3級,10point,北海道空知支庁助言040624A0252,嵯峨測量設計(株),"04.06.29,04.10.31",,
北海道,"長沼町,",土地改良(西長沼南3期地区),基準点,3級,7point,北海道空知支庁助言040708A0304,嵯峨測量設計(株),"04.07.15,04.11.30",,
北海道,"岩見沢市,",土地改良(岩幌北2期地区),基準点,3級,9point,北海道空知支庁助言040907A0434,嵯峨測量設計(株),"04.09.14,04.11.30",,
北海道,"月形町,",土地改良(南月形地区),基準点,3級,16point,北海道空知支庁助言041214A0609,嵯峨測量設計(株),"04.12.21,05.03.19",,
北海道,"上富良野町,",土地改良(静修2期地区),基準点,3級,17point,北海道上川支庁助言040528A0125,北王コンサルタント(株),"04.06.19,04.08.31",,
北海道,"岩見沢市,",土地改良(西川地区),基準点,3級,12point,北海道空知支庁助言040617A0234,北王コンサルタント(株),"04.07.01,04.10.30",,
北海道,"士幌町,",土地改良(居辺東地区),基準点,3級,16point,北海道十勝支庁助言040617A0235,北王コンサルタント(株),"04.06.11,04.08.31",,
北海道,"弟子屈町,",土地改良(川湯緑地区),基準点,3級,11point,北海道釧路支庁助言040817A0386,北王コンサルタント(株),"04.08.20,04.10.15",,
北海道,"士幌町,",上居辺地区第3号支線農道同時,基準点,3級,15point,北海道十勝支庁助言040818A0396,北王コンサルタント(株),"04.08.17,04.12.18",,
北海道,"稚内市,",草地改良事業(稚内地区2),基準点,3級,13point,北海道宗谷支庁助言041009A0480,北王コンサルタント(株),"04.10.09,04.12.10",,
北海道,"留辺蘂町,",緊畑事業(瑞穂地区同時2),基準点,3級,4point,北海道網走支庁助言041019A0500,北王コンサルタント(株),"04.10.12,05.02.15",,
北海道,"三石町,",土地改良(本桐地区),基準点,3級,2.7km,北海道日高支庁助言040928A0462,(株)細道測量,"04.10.01,05.02.10",,
北海道,"月形町,",土地改良(共和地区),基準点,3級,15point,北海道空知支庁助言041202A0592,(株)細道測量,"04.12.10,05.03.25",,
北海道,"新十津川町,",国有地(開拓財産)の境界確定,基準点,3級,12point,北海道空知支庁助言040617A0231,(株)中神土木設計事務所,"04.06.15,04.10.16",,
北海道,"歌登町,",営農用水事業ベヤマン地区調査,基準点,3級,38point,北海道宗谷支庁助言040727A0341,(株)中神土木設計事務所,"04.07.20,04.12.15",,
北海道,"陸別町,",畑総事業トラリ地区2号支線農道,基準点,3級,0.5km,北海道十勝支庁助言040818A0395,(株)中神土木設計事務所,"04.08.17,04.12.10",,
北海道,"富良野市,",土地改良(冨良野2期地区),基準点,3級,3point,北海道上川支庁助言040824A0404,(株)中神土木設計事務所,"04.08.25,04.10.08",,
北海道,"名寄市,",土地改良,基準点,3級,4point,北海道上川支庁助言040423A0015,ロイヤル測量設計(株),"04.05.11,04.09.10",,
北海道,"帯広市,",土地改良,基準点,3級,1.9km,北海道十勝支庁助言040518A0076,ロイヤル測量設計(株),"04.04.24,04.11.30",,
北海道,"深川市,",土地改良(新千代二期地区),基準点,3級,7point,北海道空知支庁助言040528A0105,ロイヤル測量設計(株),"04.05.27,04.09.30",,
北海道,"栗山町,",土地改良(富士地区),基準点,3級,17point,北海道空知支庁助言040528A0133,ロイヤル測量設計(株),"04.06.08,04.09.30",,
北海道,"江別市,",農免農道整備事業(上の月地区),基準点,3級,10point,北海道石狩支庁助言040612A0201,ロイヤル測量設計(株),"04.06.15,04.11.11",,
北海道,"東川町,",土地改良(北立第2地区),基準点,3級,15point,北海道上川支庁助言040617A0236,ロイヤル測量設計(株),"04.06.15,04.09.18",,
北海道,"ニセコ町,",土地改良(別太地区),基準点,3級,12point,北海道後志支庁助言040713A0309,ロイヤル測量設計(株),"04.06.15,04.07.20",,
北海道,"苫前町,羽幌町,",土地改良(留萌中部3期地区),基準点,3級,3point,北海道留萌支庁助言040831A0410,ロイヤル測量設計(株),"04.08.31,05.02.10",,
北海道,"大成町,",農村整備(久遠地区農道計画),基準点,3級,13point,北海道檜山支庁助言041019A0503,ロイヤル測量設計(株),"04.09.25,05.01.18",,
北海道,"士別市,",土地改良(白山地区),基準点,3級,15point,北海道上川支庁助言041105A0548,ロイヤル測量設計(株),"04.11.02,05.01.20",,
北海道,"士幌町,",土地改良(西吉野地区),基準点,3級,10point,北海道十勝支庁助言040528A0108,(株)田中測量設計事務所,"04.05.28,04.09.30",,
北海道,"音更町,",土地改良(勲2期地区),基準点,3級,19point,北海道網走支庁助言040609A0161,(株)田中測量設計事務所,"04.06.05,04.07.10",,
北海道,"幕別町,",広域農道事業(十勝中央地区),基準点,3級,0.7km,北海道十勝支庁助言041218A0613,(株)田中測量設計,"04.12.18,05.03.15",,
北海道,"千歳市,",土地改良(東丘地区),基準点,3級,8point,北海道石狩支庁助言040609A0152,(株)よしだ測量設計,"04.05.30,04.09.30",,
北海道,"剣淵町,",土地改良(西原共進地区),基準点,3級,5point,北海道上川支庁助言040610A0195,(株)よしだ測量設計,"04.07.01,04.10.31",,
北海道,"富良野市,",土地改良(八富地区),基準点,3級,10point,北海道上川支庁助言040610A0198,(株)よしだ測量設計,"04.06.19,04.09.05",,
北海道,"千歳市,",土地改良(都地区),基準点,3級,8point,北海道石狩支庁助言040708A0293,(株)よしだ測量設計,"04.06.19,04.11.30",,
北海道,"紋別市,",土地改良,基準点,3級,1.0km,北海道網走支庁助言040817A0383,(株)よしだ測量設計,"04.08.10,04.10.30",,
北海道,"本別町,",土地改良(西勇足2期地区),基準点,3級,11point,北海道十勝支庁助言040922A0448,(株)よしだ測量設計,"04.09.16,05.01.30",,
北海道,"千歳市,",土地改良(都地区),基準点,3級,6point,北海道石狩支庁助言041023A0513,(株)よしだ測量設計,"04.10.01,05.02.15",,
北海道,"佐呂間町,",農道工の調査設計及び用地測量,基準点,3級,0.5km,北海道網走支庁助言041029A0537,(株)よしだ測量設計,"04.10.30,05.01.25",,
北海道,"訓子府町,",明渠排水の調査設計及び用地測量,基準点,3級,0.8km,北海道網走支庁助言041029A0538,(株)よしだ測量設計,"04.10.30,05.02.15",,
北海道,"長沼町,",土地改良(水田排特5号東地区),基準点,3級,10point,北海道空知支庁助言041105A0556,(株)よしだ測量設計,"04.11.09,04.11.30",,
北海道,"美瑛町,",土地改良(平和郷地区),基準点,3級,6point,北海道上川支庁助言041110A0563,(株)よしだ測量設計,"04.11.04,04.11.20",,
北海道,"北檜山町,",水田特排事業(徳島地区),基準点,3級,11point,北海道檜山支庁助言041214A0602,(株)よしだ測量設計,"04.11.16,05.03.15",,
北海道,"富良野市,",畑総土地改良(麓郷地区),"基準点,基準点","3級,,4級","16point,15point",北海道上川支庁助言040511A0019,荒木測量設計(株),"04.04.23,04.07.10",,
北海道,"栗沢町,",土地総小西地区調査設計用地測量,基準点,3級,4point,北海道空知支庁助言040525A0087,北海測量設計(株),"04.05.25,04.10.30",,
北海道,"標茶町,",土地改良(阿歴内地区),基準点,3級,3point,北海道釧路支庁助言040513A0055,(株)小林測量設計事務所,"04.05.21,04.08.20",,
北海道,"苫前町,",農地開発昭和2期地区用地求積,基準点,3級,12.6KM2,北海道留萌支庁助言040410A0003,(株)香島測量設計,"04.04.27,04.10.30",,データ起こしミス
北海道,"札幌市,",開拓財産特別事業小滝の沢地区,基準点,3級,10point,北海道石狩支庁助言040612A0202,(株)香島測量設計,"04.07.01,04.10.12",,
北海道,"追分町,",土地改良(本安平地区),基準点,3級,24point,北海道胆振支庁助言040624A0264,(株)香島測量設計,"04.06.26,04.12.10",,
北海道,"帯広市,",土地改良(帯広西南部地区),基準点,3級,2.4km,北海道十勝支庁助言040714A0314,(株)香島測量設計,"04.07.15,04.11.17",,
北海道,"長沼町,",土地改良(長都西地区),基準点,3級,4point,北海道空知支庁助言040817A0381,(株)香島測量設計,"04.08.10,04.11.20",,
北海道,"猿払村,",草地整備改良事業(浅芽野地区),基準点,3級,3point,北海道宗谷支庁助言041110A0570,(株)香島測量設計,"04.11.12,05.02.10",,
北海道,"芽室町,",畑総事業(雄馬別地区),基準点,3級,22point,北海道十勝支庁助言041214A0606,(株)香島測量設計,"04.12.15,05.03.25",,
北海道,"門別町,",土地改良(福浜地区),基準点,3級,8point,北海道日高支庁助言040528A0124,(株)桜井測量,"04.05.28,04.07.31",,
北海道,"長沼町,",土地改良(西長沼南2期地区),基準点,3級,13point,北海道空知支庁助言040609A0178,"(株)桜井測量,明和測量工業(株)","04.06.22,04.10.31",,
