都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,計画機関,作業機関,実施時期,付図番号,2018.01.14修正
北海道,"浦河町,",道路計画,"基準点,基準点","1級,,3級","3point,7point",室蘭開発建設部助言041001A0467,(株)ズコーシャ,"04.09.09,04.11.24",,
北海道,"生田原町,",生田原地区生田原ダム地形測量,基準点,1級,5point,網走開発建設部助言040713A0313,平田技術コンサルタント(株),"04.07.01,04.10.23",,
北海道,"恵庭市,",その他,基準点,2級,6point,北海道恵庭市助言040609A0171,(株)パスコ,"04.05.14,04.06.12",,
北海道,"森町,",道路計画(林道),"基準点,基準点","2級,,3級","1point,1point",北海道森町助言040617A0230,建基コンサルタント(株),"04.05.13,04.12.10",,
北海道,"豊富町,",国道40号豊富バイパス道路計画,"基準点,水準","2級,,3級","22point,8point",稚内開発建設部助言040803A0352,北海道開発コンサルタント(株),"04.07.20,04.09.30",,
北海道,"仁木町,",仁木地区農地再編パイロット事業,基準点,2級,3point,小樽開発建設部助言041218A0615,北海道開発コンサルタント(株),"04.11.20,05.03.20",,
北海道,"東川町,",道路計画,"基準点,基準点","2級,,3級","3point,2point",旭川開発建設部助言040708A0300,旭川設計測量(株),"04.07.07,04.08.31",,
北海道,"夕張市,",宅地(工業団地)開発造成計画図,"基準点,基準点","2級,,3級","1point,23point",地域振興整備公団北海道支部助言040928A0465,和光技研(株),"04.10.01,04.11.20",,
北海道,"留辺蘂町,",2級基準点測量,基準点,2級,16point,北海道留辺蘂町助言041019A0490,(株)極東コンサルタント,"04.09.21,05.02.28",,
北海道,"札幌市,",土地区画整理(東雁来第2地区),"基準点,水準","2級,,3級","28point,12.0km",北海道札幌市助言040609A0170,大東測地(株),"04.06.03,04.08.06",,
北海道,"札幌市,",札幌市公共基準点の整備,基準点,2級,21point,北海道札幌市助言040922A0456,"大東測地(株),(株)栄調査設計事務所","04.10.01,05.02.28",,
北海道,"幕別町,池田町,豊頃町,",十勝川下流地区基準点測量業務,"基準点,水準","2級,,2級","43point,43point",帯広開発建設部助言041009A0485,"東和工研(株),(株)十勝測量設計社","04.08.22,05.01.18",,
北海道,"美深町,",道路計画,基準点,2級,6point,北海道旭川土木現業所助言040803A0369,(株)測量設計泉澤工務所,"04.08.01,04.08.31",,
北海道,"深川市,",道路計画,基準点,2級,5point,札幌開発建設部助言040624A0262,(株)アサヒ建設コンサルタント,"04.06.25,04.11.25",,
北海道,"新十津川町,",土地区画整理,"基準点,基準点,基準点","2級,,3級,,4級","3point,10point,197point",北海道新十津川町助言041019A0491,(株)都市整備コンサルタント,"04.10.20,05.02.20",,
北海道,"上磯町,大野町,七飯町,",河川計画,"基準点,水準","2級,,簡級","18point,12.0km",北海道函館土木現業所助言041117A0577,臥牛測量(株),"04.11.10,05.01.20",,
