都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,計画機関,作業機関,実施時期,付図番号,2018.01.14修正
兵庫県,"北淡町,",土地改良,"基準点,基準点","3級,,4級","3point,6point",兵庫県洲本土地改良事務所助言F0329,(株)兵庫コンサルタント,"1999.12.15,2000.03.20",,
兵庫県,"柏原町,",都市計画,"撮影,写測修正","12500,,2500","76.3KM2,32.3KM2",兵庫県柏原町助言F0333,国際航業(株),"2000.02.16,2000.12.25",,
兵庫県,"高砂市,",土地区画整理,"基準点,基準点","2級,,3級","2point,5point",兵庫県高砂市助言F0336,玉野総合コンサルタント(株),"2000.03.15,2000.12.24",,
兵庫県,"養父町,和田山町,",道路計画,基準点,1級,16point,豊岡工事事務所助言F0347,(株)日建技術コンサルタント,"2000.03.13,2000.04.15",,
兵庫県,"相生市,赤穂市,",道路計画,"カラー撮影,数値図化","4000,,500","5.1KM2,1.2KM2",姫路工事事務所助言F0354,写測エンジニアリング(株),"2000.03.09,2000.06.30",,
奈良県,"香芝市,",固定資産,"カラー撮影,写真図","8000,,1000","24.2KM2,24.2KM2",奈良県香芝市助言F0008,写測エンジニアリング(株),"1999.04.13,1999.05.28",,
奈良県,"生駒市,",固定資産,カラー撮影,4000,53.2KM2,奈良県生駒市助言F0023,(株)パスコ,"1999.06.08,1999.12.15",,
奈良県,"斑鳩町,",都市計画,"カラー撮影,写測修正","10000,,2500","14.3KM2,14.3KM2",奈良県斑鳩町助言F0052,写測エンジニアリング(株),"1999.06.24,2000.03.15",,
奈良県,"十津川村,",道路計画,"カラー撮影,写測図化","10000,,2500","48.7KM2,36KM2",奈良県五條土木事務所助言F0058,(株)パスコ他2社,"1999.07.08,1999.10.29",,
奈良県,"大和高田市,",都市計画,"カラー撮影,写測修正","10000,,2500","16.5KM2,16.5KM2",奈良県大和高田市助言F0078,写測エンジニアリング(株),"1999.07.26,2000.03.31",,
奈良県,"生駒市,",土地区画整理,"基準点,基準点","2級,,3級","2point,5point",奈良県生駒市助言F0120,(財)福岡土地区画整理協会,"1999.07.09,2000.03.29",,
奈良県,"香芝市,",土地区画整理,基準点,3級,7point,奈良県香芝市助言F0133,内外エンジニアリング(株),"1999.09.20,1999.10.30",,
奈良県,"川西町,田原本町,",河川管理,水準,2級,3point,奈良県桜井土木事務所助言F0164,タケダ測量設計事務所,"1999.07.28,1999.11.30",,
奈良県,"五條市,",都市計画,撮影,10000,14.8KM2,奈良県五條市助言F0181,(株)パスコ,"1999.11.18,2000.03.29",,
奈良県,"室生村,東吉野村,",道路計画,"カラー撮影,写測図化","8000,,1000","12.2KM2,0.4KM2",奈良県大宇陀土木事務所助言F0185,(株)かんこう,"1999.11.15,1999.12.24",,
奈良県,"大和高田市,",土地区画整理,"基準点,水準","3級,,3級","2point,3km",大和高田市材木町農住組合助言F0187,奈良県農業協同組合,"1999.11.01,2000.03.31",,
奈良県県境京都府,"奈良市,大和郡山市,県境木津町,",道路管理,"写測修正,写測図化","1000,,1000","4.5KM2,1.2KM2",奈良国道工事事務所助言F0207,アジア航測(株),"1999.10.28,2000.01.10",,
奈良県,"都祁村,榛原町,",道路計画,"撮影,写測図化","8000,,2500","5KM2,5KM2",奈良県大宇陀土木事務所助言F0235,(株)サンヨー,"1999.12.20,2000.03.10",,
奈良県,"香芝市,",土地区画整理,"基準点,水準","3級,,3級","2point,15km",奈良県香芝市助言F0244,(株)新都市二十一,"2000.01.17,2000.03.24",,
奈良県,"大和郡山市,安堵町,",河川管理,水準,2級,16km,大和川工事事務所助言F0245,(株)三和コンサルタント,"1999.11.30,2000.03.18",,
奈良県,"吉野町,",都市計画,"撮影,写測修正","12500,,2500","94.5KM2,1.4KM2",奈良県吉野町助言F0295,富士測量(株),"2000.01.27,2000.03.31",,
奈良県,"大塔村,",河川管理,"カラー撮影,水準","5000,,簡易","24KM2,14.8km",猿谷ダム管理所助言F0335,アジア航測(株),"2000.02.18,2000.03.30",,
奈良県,"奈良市,大和郡山市,生駒市,安堵町,",河川管理,カラー撮影,5000,19.9KM2,奈良県郡山土木事務所助言F0339,(株)かんこう,"2000.03.10,2000.03.31",,
奈良県,"山添村,菟田野町,御杖村,曽爾村,",森林調査,撮影,20000,644KM2,奈良県助言F0340,(株)ジェクト,"2000.04.03,2000.08.25",,
奈良県,"明日香村,",河川改修,"基準点,基準点","2級,,3級","4point,6point",奈良県桜井土木事務所助言F0341,(株)大和測量設計事務所,"2000.03.15,2000.04.28",,
奈良県,"香芝市,王寺町,",道路計画,基準点,3級,16point,奈良県高田土木事務所助言F0345,AC設計企画(株),"2000.03.25,2000.04.30",,
奈良県,"大宇陀町,",都市計画,"カラー撮影,数値図化","12500,,2500","21.3KM2,1.7KM2",奈良県大宇陀町助言F0350,(株)かんこう,"2000.03.21,2000.06.20",,
和歌山県,"九度山町,",土地改良,基準点,4級,24point,和歌山県土地改良事業団体連合会助言F0014,写測エンジニアリング(株),"1999.04.08,1999.12.25",,
和歌山県,"貴志川町,",ほ場整備,"基準点,基準点","2級,,3級","4point,11point",和歌山県那賀振興局助言F0054,(株)センダイ工部コンサルタント,"1999.07.10,2001.03.31",,
和歌山県,"田辺市,上富田町,大塔村,日置川町,",森林調査,撮影,20000,850KM2,大阪国税局助言F0066,三和航測(株),"1999.09.01,1999.11.30",,
和歌山県,"和歌山市,",下水道計画,"カラー撮影,数値図化","4000,,500","5KM2,1.3KM2",和歌山県和歌山市助言F0068,(株)パスコ,"1999.07.16,2000.02.28",,
和歌山県,"海南市,吉備町,",道路計画,撮影,10000,96KM2,近畿地方建設局和歌山工事事務所助言F0080,中日本航空(株),"1999.08.09,1999.11.15",,
和歌山県,"新宮市,",税務調査,撮影,10000,68.1KM2,和歌山県新宮市助言F0102,国際航業(株),"1999.08.09,1999.11.30",,
和歌山県,"白浜町,",道路計画,"基準点,水準","2級,,3級","9point,2km",日本道路公団大阪支社田辺工事事務所助言F0115,第一復建(株),"1999.06.22,1999.10.19",,
和歌山県,"田辺市,",道路計画,"基準点,水準","2級,,3級","13point,5.5km",日本道路公団関西支社田辺工事事務所助言F0116,(株)東光コンサルタンツ,"1999.08.02,2000.01.04",,
和歌山県,"打田町,粉河町,那賀町,かつらぎ町,",道路計画,"基準点,カラー撮影","2級,,4000","35point,3.4KM2",和歌山工事事務所助言F0152,(株)関西技建他1社,"1999.10.20,2000.03.15",,
和歌山県,"海南市,",道路計画,"基準点,水準","2級,,3級","5point,1km",日本道路公団関西支社田辺工事事務所助言F0154,セントラルコンサルタント(株),"1999.10.19,2000.01.27",,
和歌山県,"吉備町,",道路計画,"基準点,基準点","2級,,3級","3point,3point",日本道路公団関西支社田辺工事事務所助言F0155,(株)綜合技術コンサルタント,"1999.07.05,1999.11.22",,
和歌山県,"下津町,",道路計画,"基準点,水準","2級,,3級","4point,10.5km",日本道路公団関西支社田辺工事事務所助言F0156,(株)道路技術研究所,"1999.10.28,1999.12.28",,
和歌山県,"白浜町,",ほ場整備,"基準点,基準点","3級,,4級","7point,73point",和歌山県土地改良事業団体連合会助言F0165,和歌山県土地改良事業団体連合会,"1999.11.01,1999.11.28",,
和歌山県,"海南市,金屋町,",森林計画,写測修正,5000,58.2KM2,和歌山県知事助言F0193,アジア航測(株),"1999.10.23,2000.01.25",,
和歌山県,"田辺市,",道路計画,基準点,3級,8point,紀南工事事務所助言F0196,小川測量設計(株),"1999.10.28,2000.02.04",,
和歌山県,"川辺町,",ほ場整備,"基準点,基準点","2級,,4級","3point,14point",和歌山県川辺町助言F0211,(株)初山,"1999.12.10,2000.03.31",,
和歌山県,"和歌山市,",都市計画,"カラー撮影,数値図化","4000,,500","3.9KM2,0.9KM2",和歌山県和歌山市助言F0219,(株)パスコ,"1999.12.10,2000.06.30",,
和歌山県,"和歌山市,",河川管理,"カラー撮影,写測図化","4000,,500","26.1KM2,0.3KM2",和歌山工事事務所助言F0247,(株)パスコ,"1999.12.02,2000.03.01",,
和歌山県,"橋本市,",土地区画整理,"基準点,基準点","2級,,3級","3point,12point",南海電気鉄道(株)助言F0286,(株)かんこう,"2000.01.31,2000.03.31",,
