都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,計画機関,作業機関,実施時期,付図番号,,2018.01.10地名修正
北海道,"函館市,",道路台帳,基準点,1級,24point,北海道函館市助言600424A0366,(株)パスコ,"60.04.10,60.10.30",,,
北海道,"札幌市,",公共基準点測量(移転),基準点,1級,1point,北海道札幌市助言601113A1583,大東測地(株),"60.11.02,60.11.25",,,
北海道,"札幌市,",道路台帳,基準点,1級,1point,北海道札幌市助言600905A1260,(株)ロック建設技術研究所,"60.08.28,60.12.16",,,
北海道,"旭川市,",公共基準点の整備,基準点,1級,63point,北海道旭川市助言600606A0737,"日測技研(株),(株)北都測量社","60.06.15,63.10.31",,,
北海道,"紋別市,",河川改修計画,基準点,2級,2point,網走開発建設部助言600524A0621,北海道測量事業協同組合,"60.06.15,60.12.11",,,
北海道,"上士幌町,",道路計画(国道273号),基準点,2級,5point,帯広開発建設部助言600624A0864,北海道測量事業協同組合,"60.06.24,60.08.10",,,
北海道,"釧路市,",道路計画(国道38号大楽毛地区),基準点,2級,2point,釧路開発建設部助言601105A1530,北海道測量事業協同組合,"60.10.31,61.01.10",,,
北海道,"中標津町,",基準点測量,基準点,2級,6point,北海道中標津町助言600509A0487,(有)津村測量,"60.05.20,60.06.29",,,
北海道,"足寄町,",土地改良,基準点,2級,2point,帯広開発建設部助言601202A1634,(株)日本農業土木コンサルタンツ,"60.12.02,61.03.31",,,
北海道,"美唄市,",道路台帳,"基準点,写測図化,写測図化","3級,,500,,1000","8point,4.3KM2,20.7KM2",北海道美唄市助言600708A0963,"シン航空写真(株),(株)空知測量","60.06.22,62.03.31",,,
北海道,"小樽市,",境界測量(開拓財産),"基準点,基準点,平板","3級,,4級,,2500","4point,8point,7.4KM2",北海道後志支庁助言600515A0536,北海航測(株),"60.06.01,60.12.31",,,
北海道,"遠別町,",境界測量(開拓財産),"基準点,基準点","3級,,4級","3point,7point",北海道留萌支庁助言600731A1105,北海航測(株),"60.07.30,60.12.19",,,
北海道,"標茶町,",境界測量(開拓財産),"基準点,基準点,平板","3級,,4級,,2500","17point,44point,0.3KM2",北海道釧路支庁助言600717A1036,"北王コンサルタント(株),山下測量(株),ロイヤル測量設計(株)","60.07.26,60.11.03",,,
北海道,"赤井川村,",境界測量(開拓財産),"基準点,基準点,平板","3級,,4級,,2500","5point,8point,16.8KM2",北海道後志支庁助言600515A0534,"(有)細道測量,(株)香島測量設計事務所","60.06.01,60.12.31",,,
北海道,"赤井川村,",境界測量(開拓財産),"基準点,基準点,平板","3級,,4級,,2500","3point,7point,10.9KM2",北海道後志支庁助言600515A0535,北海道パブリックコンサルタント(株),"60.06.01,60.12.31",,,
北海道,"標茶町,",境界測量(開拓財産),"基準点,平板","4級,,2500","29point,0.2KM2",北海道釧路支庁助言600717A1035,"東邦測量(株),(株)矢本測量","60.07.26,60.11.03",,,
北海道,"旭川市,北竜町,南富良野町,稚内市,礼文町,猿払村,中頓別町,枝幸町,豊富町,幌延町,上川町,愛別町,遠別町,",境界測量(国有林),"基準点,路線","簡級,,","14point,40.0km",旭川営林局助言600514A0521,直営,"60.05.20,60.10.17",,,
北海道,"標津町,別海町,弟子屈町,鶴居村,",境界測量,基準点,簡級,33.0km,帯広営林支局助言600603A0692,直営,"60.06.03,60.10.12",,,
北海道,"札幌市,",地盤変動調査,水準,1級,85.8km,北海道札幌市助言600925A1334,大東測地(株),"60.09.20,60.12.10",601259,,
北海道,"札幌市,石狩町,",地盤変動調査,水準,1級,37.0km,北海道立地下資源調査所助言601004A1395,大東測地(株),"60.09.27,60.11.30",601298,,
北海道,"札幌市,積丹町,古平町,赤井川村,浜益村,夕張市,平取町,",国有林野の境界整備,路線,,44.0km,北海道営林局助言600509A0489,直営,"60.05.13,61.03.31",,,
北海道,"風連町,",ほ場整備,平板,1000,0.2KM2,北海道上川支庁助言600606A0736,(株)富士測量,"60.05.24,60.08.31",,,
北海道,"和寒町,剣淵町,",ほ場整備(剣和・北原地区),平板,1000,13.1KM2,北海道上川支庁助言600613A0770,"(株)やまざき測量設計事務所,(有)小田島測量設計,(株)富士測量,旭川設計測量(株)","60.05.21,61.03.15",600464,,
北海道,"新得町,",道路台帳,"撮影,写測図化","8000,,1000","273.0KM2,27.7KM2",北海道新得町助言600524A0627,東日本航空(株),"60.05.27,61.03.31",600270,,
北海道,"古平町,",道路台帳,"撮影,写測図化","8000,,1000","85.6KM2,3.6KM2",北海道古平町助言600717A1016,東日本航空(株),"60.07.15,61.03.31",600823,,
北海道,"八雲町,",道路台帳,"撮影,撮影,写測図化,写測図化","4000,,8000,,500,,1000","8.2KM2,277.7KM2,1.2KM2,19.1KM2",北海道八雲町助言601016A1425,東日本航空(株),"60.09.24,62.02.28",601344,,
北海道,"奥尻町,",道路計画,"撮影,写測図化","8000,,1000","2.7KM2,1.2KM2",函館開発建設部助言600606A0706,国際航業(株),"60.05.18,60.07.31",,,
北海道,"中川町,音威子府村,美深町,中頓別町,歌登町,枝幸町,雄武町,幌延町,天塩町,遠別町,幌加内町,",道路台帳,"撮影,写測図化","8000,,1000","526.2KM2,10.3KM2",旭川土木現業所助言600628A0862,"国際航業(株),(株)グリーン土木開発,(株)帝国設計事務所,北海航測(株),(株)富士測量,北海道土木設計(株)","60.06.20,61.03.20",,,
北海道,"訓子府町,",道路台帳,"撮影,写測図化","8000,,1000","128.0KM2,12.3KM2",北海道訓子府町助言600708A0987,国際航業(株),"60.07.10,61.03.10",600694,,
北海道,"美幌町,",道路計画(東藻琴豊富線),撮影,8000,15.3KM2,網走開発建設部助言600729A1045,国際航業(株),"60.07.29,60.08.20",600891,,
北海道,"当別町,",道路台帳,"撮影,写測図化","8000,,1000","236.0KM2,21.6KM2",北海道当別町助言600729A1111,国際航業(株),"60.07.30,61.03.21",600892,,
北海道,"沼田町,",道路台帳,"撮影,写測図化","8000,,5000","162.3KM2,8.2KM2",北海道沼田町助言600729A1076,"国際航業(株),(株)道測調査設計","60.07.29,61.03.10",600893,,
北海道,"上湧別町,",牧場開発整備,撮影,5000,6.0KM2,北海道農務部助言600729A1104,国際航業(株),"60.08.03,60.09.30",600894,,
北海道,"北竜町,",道路台帳,"撮影,写測図化","8000,,1000","90.2KM2,7.5KM2",北海道北竜町助言600731A1133,国際航業(株),"60.08.01,61.03.20",600898,,
北海道,"丸瀬布町,",道路台帳,"撮影,写測図化","8000,,1000","158.4KM2,6.6KM2",北海道丸瀬布町助言600829A1251,国際航業(株),"60.09.01,61.03.20",601106,,
北海道,"白滝村,",道路台帳,"撮影,写測図化","8000,,1000","116.4KM2,6.0KM2",北海道白滝村助言600830A1258,国際航業(株),"60.09.01,61.03.31",,,
北海道,"千歳市,",道路台帳,"撮影,写測図化","8000,,1000","283.4KM2,15.9KM2",北海道千歳市助言600905A1244,国際航業(株),"60.09.02,62.03.31",601145,,
北海道,"生田原町,",道路台帳,"撮影,写測図化","8000,,1000","192.2KM2,10.2KM2",北海道生田原町助言601004A1402,国際航業(株),"60.09.28,61.12.10",601300,,
北海道,"苫小牧市,厚真町,鵡川町,",環境アセスメント調査,"撮影,写真図","20000,,5000","218.2KM2,148.7KM2",室蘭開発建設部苫小牧港湾建設事務所助言601114A1579,国際航業(株),"60.11.01,61.01.20",,,
北海道,"東川町,",道路計画(東川),"撮影,写測図化","8000,,1000","20.4KM2,0.4KM2",旭川開発建設部助言600530A0669,(株)八州,"60.05.11,60.09.30",600309,,
北海道,"札幌市,",道路計画(崩落調査),"撮影,写測図化","12500,,2500","37.4KM2,4.7KM2",札幌開発建設部札幌道路事務所助言600613A0800,(株)八州,"60.05.31,60.08.30",,,
北海道,"札幌市,",道路計画,"撮影,写測図化","7000,,1000","18.2KM2,6.2KM2",日本道路公団札幌建設局札幌工事事務所助言600613A0750,(株)八州,"60.06.13,61.07.31",,,
北海道,"幌延町,",道路台帳,"撮影,写測図化","8000,,1000","208.3KM2,12.6KM2",北海道幌延町助言600617A0782,"(株)八州,ユニオンデーターシステム(株)","60.06.20,62.03.20",600484,,
北海道,"標津町,",道路計画(燕別道路),"撮影,写測図化","12500,,2500","13.2KM2,2.9KM2",釧路開発建設部助言600617A0833,(株)八州,"60.05.31,60.10.17",600486,,
北海道,"白糠町,",道路計画(右股道路),"撮影,写測図化","12500,,2500","19.8KM2,3.5KM2",釧路開発建設部助言600617A0832,(株)八州,"60.05.31,60.10.17",600487,,
北海道,"中標津町,",道路計画(中標津バイパス),"撮影,写測図化","8000,,1000","12.2KM2,0.2KM2",釧路開発建設部助言600617A0834,(株)八州,"60.05.31,60.10.17",600490,,
北海道,"室蘭市,",都市計画,"撮影,写測図化","12500,,2500","165.0KM2,75.0KM2",北海道室蘭市助言600708A0874,(株)八州,"60.06.01,60.09.30",600671,,
北海道,"室蘭市,",道路台帳,"撮影,写測図化","8000,,1000","65.3KM2,3.6KM2",北海道室蘭市助言600708A0873,(株)八州,"60.06.01,60.09.30",600676,,
北海道,"泊村,神恵内村,",道路計画,"撮影,写測図化","12500,,2500","16.5KM2,1.8KM2",小樽開発建設部助言600717A0997,(株)八州,"60.06.14,60.11.30",600824,,
北海道,"士幌町,",道路台帳,"撮影,撮影,写測図化,写測図化","4000,,8000,,500,,1000","11.0KM2,308.2KM2,2.0KM2,24.5KM2",北海道士幌町助言601016A1457,(株)八州,"60.10.01,62.03.31",601361,,
北海道,"知内町,上ノ国町,",道路計画,"撮影,写測図化","12500,,2500","39.6KM2,10.0KM2",函館開発建設部助言601105A1521,(株)八州,"60.09.28,61.02.24",,,
北海道,"函館市,",道路台帳,"撮影,撮影,写測図化,写測図化","4000,,8000,,500,,1000","98.7KM2,340.4KM2,42.6KM2,13.5KM2",北海道函館市助言600424A0367,(株)パスコ,"60.04.10,62.02.28",600082,,
北海道,"七飯町,",道路台帳,"撮影,写測図化","8000,,1000","298.0KM2,22.0KM2",北海道七飯町助言600522A0614,(株)パスコ,"60.05.20,61.03.25",600259,,
北海道,"音威子府村,",道路台帳,"撮影,写測図化","8000,,1000","165.3KM2,7.0KM2",北海道音威子府村助言600617A0797,(株)パスコ,"60.06.06,61.03.25",600483,,
北海道,"えりも町,",道路台帳,"撮影,写測図化","8000,,1000","226.0KM2,9.1KM2",北海道えりも町助言600617A0785,(株)パスコ,"60.06.10,61.03.25",600485,,
北海道,"稚内市,",道路計画,撮影,8000,5.9KM2,稚内開発建設部助言600617A0799,(株)パスコ,"60.06.10,60.08.20",,,
北海道,"留萌市,",道路台帳,"撮影,撮影,写測図化,写測図化","8000,,4000,,1000,,500","231.0KM2,231.0KM2,6.5KM2,5.4KM2",北海道留萌市助言600624A0886,(株)パスコ,"60.05.17,61.09.30",600540,,
北海道,"大樹町,忠類村,中札内村,芽室町,清水町,新得町,音更町,士幌町,本別町,上士幌町,",道路台帳,"撮影,写測図化","8000,,1000","591.7KM2,9.1KM2",帯広土木現業所助言600726A1012,"(株)パスコ,(株)北海道測量図工社,北海道防災コンサルタント(株),(株)深沢測量事務所,平田測量設計(株),北王コンサルタント(株)","60.05.31,61.03.21",,,
北海道,"遠別町,",道路計画,撮影,8000,5.4KM2,留萌開発建設部助言600726A1074,(株)パスコ,"60.07.26,60.09.30",600863,,
北海道,"深川市,幌加内町,",道路計画,"撮影,写測図化","12500,,2500","26.4KM2,8.4KM2",札幌開発建設部助言600726A1063,(株)パスコ,"60.07.27,61.12.20",600864,,
北海道,"枝幸町,",道路台帳,"撮影,写測図化","8000,,1000","131.0KM2,12.0KM2",北海道枝幸町助言600729A1114,(株)パスコ,"60.07.25,61.02.28",,,
北海道,"倶知安町,赤井川村,",道路計画(一般国道393号),"撮影,写測図化","8000,,1000","30.0KM2,2.7KM2",小樽開発建設部助言601016A1428,(株)パスコ,"60.09.27,61.02.15",,,
北海道,"根室市,浜中町,鶴居村,弟子屈町,津別町,",道路台帳,"撮影,写測図化","8000,,1000","513.0KM2,2.3KM2",北海道釧路土木現業所助言601016A1259,"(株)パスコ,(株)北海道測量図工社,(株)北海道技術コンサルタント,(株)栄調査設計事務所,(株)小林測量設計事務所,東邦コンサルタント(株)","60.07.26,61.03.31",,,
北海道,"豊富町,",道路台帳,"撮影,写測図化","8000,,1000","517.0KM2,15.7KM2",北海道豊富町助言601105A1527,(株)パスコ,"60.10.16,62.02.20",601486,,
北海道,"女満別町,",道路台帳,"撮影,写測図化","8000,,1000","220.0KM2,21.0KM2",北海道女満別町助言600603A0697,アジア航測(株),"60.05.17,61.02.28",600324,,
北海道,"上ノ国町,",道路台帳,"撮影,写測図化","8000,,1000","214.0KM2,11.1KM2",北海道上ノ国町助言600603A0698,アジア航測(株),"60.05.04,61.02.28",600327,,
北海道,"ニセコ町,",農村総合整備モデル事業,"撮影,写測図化","12500,,2500","33.0KM2,4.4KM2",北海道ニセコ町助言600617A0823,アジア航測(株),"60.06.05,60.06.30",,,
北海道,"北檜山町,",道路台帳,"撮影,写測図化","8000,,1000","240.0KM2,14.5KM2",北海道北檜山町助言600617A0824,アジア航測(株),"60.05.21,61.02.28",600482,,
北海道,"乙部町,",道路計画,撮影,8000,100.0KM2,北海道乙部町助言600821A1138,アジア航測(株),"60.07.29,60.10.20",601002,,
北海道,"乙部町,",都市計画,"撮影,写測図化","12500,,2500","56.0KM2,6.4KM2",北海道乙部町助言600821A1137,アジア航測(株),"60.07.29,60.10.20",601011,,
北海道,"佐呂間町,常呂町,端野町,北見市,留辺蘂町,美幌町,置戸町,訓子府町,津別町,",道路台帳,"撮影,写測図化","8000,,1000","412.8KM2,9.3KM2",網走土木現業所助言600920A1320,"アジア航測(株),三和航測(株),(有)益村測量事務所,大起コンサルタント(株),北見設計測量(株),(株)村越工務所","60.09.06,61.03.20",,,
北海道,"静内町,",都市計画,"撮影,撮影,写測図化,写測図化","6000,,8000,,1000,,2500","13.2KM2,24.3KM2,8.3KM2,15.2KM2",北海道静内町助言600501A0434,"シン航空写真(株),新和測量(株)","60.05.02,60.09.30",600123,,
北海道,"福島町,知内町,",道路計画,"撮影,写測図化","8000,,1000","3.3KM2,0.7KM2",函館開発建設部助言600606A0705,シン航空写真(株),"60.05.18,60.07.31",,,
北海道,"平取町,",道路台帳,"撮影,写測図化","8000,,1000","274.0KM2,8.6KM2",北海道平取町助言600624A0871,シン航空写真(株),"60.06.10,61.03.15",600539,,
北海道,"厚田村,",道路台帳,"撮影,写測図化","8000,,1000","101.5KM2,6.5KM2",北海道厚田村助言600705A0942,"シン航空写真(株),北海道マイクロ写真(株)","60.07.10,61.03.20",600632,,
北海道,"新篠津村,",道路台帳,"撮影,写測図化","8000,,1000","105.6KM2,74.0KM2",北海道新篠津村助言600705A0912,シン航空写真(株),"60.06.10,61.02.28",600633,,
北海道,"白老町,大滝村,登別市,室蘭市,",道路台帳,"撮影,写測図化","8000,,1000","182.0KM2,9.3KM2",室蘭土木現業所助言600706A0872,"シン航空写真(株),(株)山口測量,新和技建(株)","60.06.18,61.03.20",,,
北海道,"月形町,",道路台帳,撮影,8000,116.1KM2,北海道月形町助言600708A0972,シン航空写真(株),"60.06.28,60.07.31",600675,,
北海道,"猿払村,",道路計画,"撮影,写測図化","12500,,2500","16.5KM2,2.7KM2",稚内開発建設部助言600708A0895,シン航空写真(株),"60.06.20,60.09.10",,,
北海道,"恵庭市,千歳市,増毛町,雨竜町,沼田町,北竜町,妹背牛町,深川市,旭川市,",道路台帳,"撮影,写測図化","8000,,1000","483.5KM2,16.3KM2",札幌土木現業所助言600708A0913,"シン航空写真(株),朝日航洋(株),和光技研(株),(株)中田測量,(株)開発調査研究所,開成測量(株)","60.06.18,61.03.25",,,
北海道,"美深町,",道路台帳,"撮影,写測図化","8000,,1000","267.5KM2,14.0KM2",北海道美深町助言600717A0996,シン航空写真(株),"60.07.03,61.06.30",600825,,
北海道,"稚内市,猿払村,浜頓別町,豊富町,",道路台帳,"撮影,写測図化","8000,,1000","251.9KM2,7.2KM2",稚内土木現業所助言600906A1286,"シン航空写真(株),(株)北海道測量図工社,北海道土木設計(株),北海道パブリックコンサルタント(株),(株)富士測量,(株)帝国設計事務所","60.08.28,61.03.10",,,
北海道,"増毛町,小平町,苫前町,羽幌町,初山別村,遠別町,天塩町,幌延町,",道路台帳,"撮影,写測図化","8000,,1000","243.0KM2,6.8KM2",留萌土木現業所助言600906A1250,"シン航空写真(株),和光技研(株),(株)ロック建設技術研究所,新和測量(株),小杉測量設計(株),(株)シーイーサービス","60.08.21,61.03.10",,,
北海道,"栗山町,",都市計画,撮影,12500,231.5KM2,北海道栗山町助言600918A1333,シン航空写真(株),"60.09.20,60.10.30",601204,,
北海道,"北見市,端野町,",立体交差事業,"撮影,写測図化","6000,,1000","12.5KM2,1.4KM2",網走土木現業所助言601016A1445,シン航空写真(株),"60.10.03,60.11.30",,,
北海道,"様似町,",道路台帳,"撮影,写測図化","8000,,1000","221.5KM2,7.4KM2",北海道様似町助言600603A0693,北海航測(株),"60.06.08,61.03.25",600328,,
北海道,"釧路市,白糠町,鶴居村,標茶町,",森林計画,撮影,20000,1827.0KM2,北海道林務部助言600606A0721,北海航測(株),"60.06.01,60.11.30",600357,,
北海道,"大樹町,",道路台帳,"撮影,写測図化","8000,,1000","461.7KM2,15.1KM2",北海道大樹町助言600606A0722,北海航測(株),"60.06.05,61.03.30",600358,,
北海道,"興部町,",道路台帳,"撮影,写測図化","8000,,1000","297.0KM2,19.4KM2",北海道興部町助言600613A0783,北海航測(株),"60.06.10,61.03.20",600459,,
北海道,"上湧別町,",道路台帳,"撮影,写測図化","8000,,1000","158.5KM2,15.8KM2",北海道上湧別町助言600613A0784,北海航測(株),"60.06.10,61.03.20",600461,,
北海道,"忠類村,",道路台帳,"撮影,写測図化","8000,,1000","139.2KM2,5.4KM2",北海道忠類村助言600624A0887,北海航測(株),"60.06.20,61.02.20",600541,,
北海道,"洞爺村,虻田町,豊浦町,",かんがい排水事業,撮影,8000,40.0KM2,室蘭開発建設部助言600708A0932,北海航測(株),"60.06.15,60.07.15",,,
北海道,"陸別町,",道路台帳,"撮影,写測図化","8000,,1000","371.0KM2,24.4KM2",北海道陸別町助言600709A0977,北海航測(株),"60.07.05,61.03.31",600691,,
北海道,"今金町,",森林計画,"撮影,写真図","20000,,5000","612.0KM2,298.0KM2",今金町森林組合助言600731A1122,北海航測(株),"60.07.25,61.03.25",600897,,
北海道,"奥尻町,",草地開発,"撮影,写測図化","8000,,1000","33.0KM2,2.2KM2",函館開発建設部助言600821A1184,北海航測(株),"60.06.08,60.08.31",601012,,
北海道,"厚沢部町,八雲町,乙部町,江差町,上ノ国町,木古内町,奥尻町,",道路台帳,"撮影,写測図化","8000,,1000","309.1KM2,6.8KM2",函館土木現業所助言600906A1294,"北海航測(株),北海道開発コンサルタント(株),(株)小林土木工業所,ロイヤル測量設計(株),臥牛測量(株)","60.07.30,61.03.10",,,
北海道,"小樽市,余市町,仁木町,赤井川村,古平町,積丹町,泊村,岩内町,共和町,留寿都村,真狩村,ニセコ町,洞爺村,",道路台帳,"撮影,写測図化","8000,,1000","289.6KM2,6.7KM2",小樽土木現業所助言600913A1303,"北海航測(株),アジア航測(株),(株)開発調査研究所,(株)栄調査設計事務所,(株)中田測量,ユニオンデーターシステム(株)","60.08.01,61.03.25",,,
北海道,"芦別市,",道路台帳,"撮影,写測図化","8000,,1000","216.0KM2,36.8KM2",北海道芦別市助言601004A1382,北海航測(株),"60.09.21,61.12.30",601297,,
北海道,"新十津川町,妹背牛町,滝川市,深川市,旭川市,",土地改良,"撮影,撮影,写測図化","5000,,20000,,1000","7.0KM2,367.0KM2,0.2KM2",札幌開発建設部助言601016A1427,北海航測(株),"60.10.05,60.12.20",601360,,
北海道,"和寒町,剣淵町,",農地開発,"撮影,写測図化","5000,,1000","70.0KM2,0.4KM2",旭川開発建設部助言601016A1447,北海航測(株),"60.10.11,60.11.20",601363,,
北海道,"中標津町,",土地改良,"撮影,撮影,写測図化","10000,,4000,,1000","11.9KM2,1.9KM2,0.1KM2",釧路開発建設部助言601209A1678,北海航測(株),"60.11.30,61.03.25",601699,,
北海道,"白糠町,",農地開発,撮影,5000,10.0KM2,釧路開発建設部助言601209A1677,北海航測(株),"60.11.30,61.03.25",601700,,
北海道,"新得町,",林道平面図作成,"撮影,写測図化","7000,,1000","78.0KM2,0.6KM2",北海道新得町助言601217A1699,北海航測(株),"60.12.11,61.06.30",601784,,
北海道,"門別町,新冠町,静内町,中札内村,",道路台帳,"撮影,写測図化","8000,,1000","226.1KM2,6.9KM2",室蘭土木現業所助言600906A1283,"北海航測(株),和光技研(株),(株)胆振,(株)田中測量調査","60.08.13,61.03.10",,,
北海道,"知内町,",道路台帳,"撮影,写測図化","8000,,1000","111.8KM2,4.7KM2",北海道知内町助言601105A1516,和光技研(株),"60.10.21,61.08.30",601485,,
北海道,"音威子府村,美深町,名寄市,風連町,士別市,",河川計画(天塩川改修),"撮影,写測図化","10000,,2500","24.0KM2,24.0KM2",旭川開発建設部助言600403A0261,三和航測(株),"60.05.01,60.10.31",,,
北海道,"旭川市,比布町,愛別町,上川町,当麻町,",河川計画(石狩川改修),"撮影,写測図化","10000,,2500","19.8KM2,19.8KM2",旭川開発建設部助言600403A0262,三和航測(株),"60.05.01,60.10.31",,,
北海道,"石狩町,砂川市,",治水計画(石狩川),"撮影,写測図化,写測図化","12500,,2500,,5000","47.6KM2,73.2KM2,73.2KM2",石狩川開発建設部助言600403A0270,"三和航測(株),東日本航空(株)","60.04.20,60.11.30",600008,,
北海道,"帯広市,新得町,芽室町,本別町,中札内村,幕別町,清水町,浦幌町,音更町,豊頃町,士幌町,池田町,",河川改修計画(十勝川),"撮影,写測図化","12500,,2500","837.9KM2,60.4KM2",帯広開発建設部助言600529A0652,三和航測(株),"60.05.25,60.11.06",,,
北海道,"本別町,",道路計画,"撮影,写測図化","12500,,2500","13.2KM2,1.2KM2",帯広開発建設部助言600726A1075,三和航測(株),"60.07.18,60.09.19",600865,,
北海道,"奥尻町,",道路台帳,"撮影,写測図化","8000,,1000","160.0KM2,5.1KM2",北海道奥尻町助言600918A1338,三和航測(株),"60.08.20,61.02.28",601205,,
北海道,"旭川市,",都市計画,"撮影,写測図化","12500,,2500","356.0KM2,84.0KM2",北海道旭川市助言600603A0691,セントラル航業(株),"60.06.03,61.01.31",600329,,
北海道,"千歳市,恵庭市,",北海道大演習場航空測量図化,"撮影,写測図化","25000,,5000","146.2KM2,24.0KM2",札幌防衛施設局助言601016A1431,ロイヤル測量設計(株),"60.10.07,61.03.20",601345,,
北海道,"中川町,",道路台帳,"撮影,写測図化","8000,,1000","291.1KM2,18.0KM2",北海道中川町助言600617A0801,北海測量設計(株),"60.06.01,61.03.10",600488,,
北海道,"帯広市,幕別町,更別村,忠類村,大樹町,幕別町,",道路台帳,"撮影,写測図化","8000,,1000","281.5KM2,2.6KM2",帯広土木現業所助言600823A1241,"(株)ロック建設技術研究所,東和測研(株)","60.08.26,61.03.20",,,
北海道,"歌登町,",道路台帳,"撮影,写測図化","8000,,1000","379.6KM2,10.3KM2",北海道歌登町助言600708A0986,(株)道測調査設計,"60.06.28,61.03.10",600692,,
北海道,"増毛町,雨竜町,新十津川町,浜益村,",森林計画,撮影,16000,569.0KM2,北海道林務部助言600606A0709,北海道航空(株),"60.06.01,60.09.30",600361,,
北海道,"標茶町,",道路台帳,"撮影,撮影,写測図化,写測図化","8000,,4000,,1000,,500","930.0KM2,11.0KM2,44.8KM2,2.8KM2",北海道標茶町助言600515A0509,東邦測量(株),"60.05.10,62.03.20",600220,,
北海道,"奈井江町,",道路台帳,"撮影,撮影,写測図化,写測図化","4000,,8000,,500,,1000","14.1KM2,68.3KM2,10.9KM2,4.7KM2",北海道奈井江町助言600509A0499,ユニオンデーターシステム(株),"60.05.02,61.03.20",600153,,
北海道,"釧路町,",都市計画,"撮影,写測図化,写測図化","12500,,2500,,10000","34.7KM2,26.3KM2,26.3KM2",北海道釧路町助言600509A0500,ユニオンデーターシステム(株),"60.04.30,60.08.31",600154,,
北海道,"遠別町,",道路台帳,"撮影,写測図化","8000,,1000","274.9KM2,7.3KM2",北海道遠別町助言600516A0575,ユニオンデーターシステム(株),"60.06.25,61.07.31",600222,,
北海道,"京極町,",下水道計画,"撮影,写測修正,編集","12500,,2500,,5000","14.5KM2,4.4KM2,4.4KM2",北海道京極町助言600627A0891,ユニオンデーターシステム(株),"60.06.01,60.06.29",,,
北海道,"鹿部町,",道路台帳,"撮影,写測図化","8000,,1000","70.7KM2,7.0KM2",北海道鹿部町助言600708A0954,ユニオンデーターシステム(株),"60.07.01,61.12.20",600670,,
北海道,"日高町,",道路台帳及び総合基本計画図,"撮影,撮影,撮影,写測図化,写測図化,写測図化","8000,,12500,,25000,,1000,,2500,,5000","92.0KM2,34.4KM2,247.1KM2,3.1KM2,19.1KM2,72.9KM2",北海道日高町助言600708A0943,ユニオンデーターシステム(株),"60.07.01,61.03.10",600673,,
北海道,"羽幌町,",道路台帳,"撮影,撮影,写測図化,写測図化","4000,,8000,,500,,1000","7.3KM2,149.4KM2,2.2KM2,6.5KM2",北海道羽幌町助言600708A0973,ユニオンデーターシステム(株),"60.07.10,61.03.20",600693,,
北海道,"椴法華村,",道路台帳,"撮影,写測図化","8000,,1000","42.0KM2,2.5KM2",北海道椴法華村助言600711A0979,ユニオンデーターシステム(株),"60.07.01,61.03.28",600727,,
北海道,"恵山町,",道路台帳,"撮影,写測図化","8000,,1000","65.5KM2,4.4KM2",北海道恵山町助言600711A0980,ユニオンデーターシステム(株),"60.07.20,61.03.20",600728,,
北海道,"初山別村,",道路台帳,"撮影,撮影,写測図化,写測図化","4000,,8000,,500,,1000","3.7KM2,166.9KM2,0.3KM2,5.3KM2",北海道初山別村助言600726A1078,ユニオンデーターシステム(株),"60.07.25,61.03.20",600866,,
北海道,"遠軽町,",道路台帳,"撮影,写測図化","8000,,1000","200.1KM2,16.8KM2",北海道遠軽町助言600821A1150,ユニオンデーターシステム(株),"60.08.10,61.03.31",601013,,
北海道,"穂別町,",道路台帳,"撮影,写測図化","8000,,1000","177.0KM2,6.4KM2",北海道穂別町助言601003A1377,ユニオンデーターシステム(株),"60.10.01,61.06.30",601273,,
北海道,"釧路町,",道路台帳,"撮影,写測図化","4000,,500","9.3KM2,0.6KM2",北海道釧路町助言601105A1536,ユニオンデーターシステム(株),"60.10.25,61.02.20",,,
北海道,"厚沢部町,",道路台帳,"撮影,写測図化","8000,,1000","175.0KM2,15.9KM2",北海道厚沢部町助言600522A0616,朝日航洋(株),"60.05.07,61.02.20",600260,,
北海道,"厚真町,鵡川町,",農地開発,撮影,5000,48.0KM2,室蘭開発建設部助言600524A0635,朝日航洋(株),"60.05.18,60.07.08",600272,,
北海道,"鷹栖町,",土地改良,"撮影,写測図化","8000,,1000","10.1KM2,1.8KM2",旭川開発建設部助言600717A1046,朝日航洋(株),"60.06.29,60.09.30",600819,,
北海道,"浦幌町,",農地開発,"撮影,写測図化","6000,,1000","112.0KM2,0.3KM2",帯広開発建設部助言600906A1284,朝日航洋(株),"60.08.30,60.10.30",601149,,
北海道,"紋別市,",道路台帳,"撮影,写測図化","8000,,1000","478.0KM2,17.7KM2",北海道紋別市助言601016A1446,朝日航洋(株),"60.09.17,61.10.21",601362,,
北海道,"湧別町,上湧別町,遠軽町,",河川計画(湧別川),撮影,12500,127.0KM2,網走開発建設部助言600524A0624,日測技研(株),"60.06.01,60.12.01",,,
北海道,"倶知安町,京極町,",農地開発,撮影,8000,112.5KM2,小樽開発建設部助言600613A0753,日測技研(株),"60.06.10,60.08.31",600463,,
北海道,"中川町,",道路計画(板谷・蕗之台),写測図化,1000,0.8KM2,旭川開発建設部助言600530A0668,(株)八州,"60.05.11,60.09.30",,,
