都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,計画機関,作業機関,実施時期,付図番号,,2018.01.10地名修正
群馬県,"上野村,",道路台帳,"撮影,撮影,写測図化,写測図化","8000,,30000,,1000,,10000","85.0KM2,182.1KM2,14.3KM2,182.1KM2",群馬県上野村助言600522C0132,"(株)パスコ,成果***審査***","60.05.01,61.10.30",600376,,
群馬県,"太田市,",道路台帳,"撮影,写測図化","8000,,1000","20.6KM2,11.3KM2",群馬県太田市助言600522C0133,"(株)パスコ,成果***審査***","60.04.23,61.03.20",600377,,
群馬県,"前橋市,伊勢崎市,北橘村,赤城村,富士見村,大胡町,宮城村,粕川村,新里村,子持村,新町,玉村町,大間々町,",道路台帳,"撮影,写測図化","4000,,500","72.4KM2,3.2KM2",群馬県前橋土木事務所助言600905C0252,"(株)パスコ,成果***審査***","60.07.05,61.03.15",,,
群馬県,"安中市,榛名町,箕郷町,",鉄道計画,"撮影,写測図化,空三","4000,,500,,","7.5KM2,0.6KM2,10M",日本鉄道建設公団関東支社助言601226C0382,"(株)パスコ,東日本航空(株),成果610522審査***","61.01.15,61.03.31",,,
群馬県,"藤岡市,富岡市,吉井町,万場町,上野村,下仁田町,南牧村,甘楽町,",道路台帳,"撮影,写測図化","4000,,500","71.9KM2,3.9KM2",群馬県富岡土木事務所助言600806C0235,"アジア航測(株),成果***審査***","60.08.12,61.03.15",,,
群馬県,"桐生市,伊勢崎市,太田市,館林市,黒保根村,東村,東村,境町,尾島町,新田町,藪塚本町,笠懸村,大間々町,",道路台帳,"撮影,写測図化","4000,,500","111.8KM2,5.5KM2",群馬県太田土木事務所助言600730C0230,"関東測量(株),(有)大武測量,(株)開発技研,(株)前橋測量,成果***審査***","60.06.15,61.03.10",,,
群馬県,"中里村,",現況図及び道路台帳図作成,"撮影,写測図化","8000,,1000","51.2KM2,5.5KM2",群馬県中里村助言601129C0354,"三和航測(株),成果***審査***","60.10.31,61.11.30",601717,,
群馬県,"宮城村,",道路台帳,"撮影,写測図化","8000,,1000","48.5KM2,48.5KM2",群馬県宮城村助言600405C0110,"技研測量設計(株),アジア航測(株),(株)オウギ工設,成果***審査***","60.04.15,62.02.20",600073,,
群馬県,"東村,",道路台帳,"撮影,写測図化","8000,,1000","18.2KM2,18.2KM2",群馬県東村助言600711C0202,"技研測量設計(株),(株)オウギ工設,成果***審査***","60.07.15,61.11.30",600736,,
群馬県,"高崎市,渋川市,倉渕村,箕郷町,子持村,小野上村,中之条町,東村,嬬恋村,",道路台帳,"撮影,写測図化","4000,,500","111.0KM2,6.2KM2",群馬県中之条土木事務所助言600716C0208,"技研測量設計(株),(株)オウギ工設,三山測量設計(株),三共測量(株),成果610422審査***","60.06.15,61.03.10",,,地名修正
群馬県,"北橘村,",道路台帳,"撮影,写測図化","8000,,1000","19.6KM2,19.6KM2",群馬県北橘村助言600905C0255,"技研測量設計(株),成果***審査***","60.09.10,61.11.29",601128,,
