都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,測量計画機関（助言番号）,測量作業機関,実施時期,,2018.01.14修正
北海道,"美瑛町,",その他,基準点測量,１級,4point,"北海道上川総合振興局 
助言　　　H24.5.24  A0032","株式会社協和コンサルタ
ント ","H24.5.22 
H24.9.14",,
北海道,"滝川市,",その他,基準点測量,３級,4point,"北海道空知総合振興局 
助言　　　H24.5.24  A0033",扇コンサル株式会社 ,"H24.5.23 
H24.11.30",,
北海道,"共和町,",その他,基準点測量,３級,2point,"北海道共和町 
助言　　　H24.5.25  A0034",和光技研株式会社 ,"H24.4.25 
H24.8.31",,
北海道,"猿払村,",その他,"基準点測量,基準点測量","３級,,４級","6point,25point","北海道開発局稚内開発建設部 
助言　　　H24.5.29  A0035","東光コンサルタント株式
会社 ","H24.5.24 
H24.7.30",,
北海道,"滝上町,",その他,"基準点測量,基準点測量","３級,,４級","4point,15point","北海道開発局網走開発建設部 
助言　　　H24.5.29  A0036","大起コンサルタント株式
会社 ","H24.4.19 
H24.7.19",,
北海道,"夕張市,",その他,"基準点測量,基準点測量","１級,,３級","2point,1point","北海道空知総合振興局 
助言　　　H24.5.29  A0037",株式会社泰斗エンジニア ,"H24.5.25 
H24.7.30",,
北海道,"伊達市,",その他,基準点測量,３級,1point,"北海道胆振総合振興局 
助言　　　H24.5.29  A0038","株式会社シー・イー・
サービス ","H24.5.28 
H24.6.30",,
北海道,"寿都町,",その他,"基準点測量,基準点測量,モノクロ撮影(フィルム),空中三角測量,水準測量,数値図化","２級,,３級,,8000,,8000,,簡級,,1000","2point,1point,2.7KM2,2point,2.5km,0.3KM2","北海道後志総合振興局 
助言　　　H24.5.29  A0039",株式会社道測テクニス ,"H24.5.30 
H24.10.30",,
北海道,"中標津町,",その他,基準点測量,３級,8point,"北海道中標津町 
助言　　　H24.5.31  A0040","有限会社サノ測量設計
社 ","H24.5.26 
H24.8.31",,
北海道,"滝川市,",その他,基準点測量,３級,11point,"北海道空知総合振興局 
助言　　　H24.5.31  A0041","株式会社ルーラルエンジ
ニア ","H24.5.26 
H25.2.28",,
北海道,"猿払村,",その他,基準点測量,２級,4point,"北海道開発局稚内開発建設部 
助言　　　H24.5.31  A0042",株式会社農土コンサル ,"H24.5.29 
H24.11.28",,
北海道,"赤井川村,",その他,基準点測量,３級,1point,"北海道赤井川村 
助言　　　H24.5.31  A0043","オオハシコンサルタント
株式会社 ","H24.5.24 
H24.8.10",,
北海道,"音威子府村,",その他,基準点測量,３級,2point,"北海道開発局旭川開発建設部 
助言　　　H24.6.1  A0044","五大建設コンサルタント
株式会社 ","H24.5.30 
H24.8.21",,
北海道,"滝川市,",その他,基準点測量,３級,9point,"北海道空知総合振興局 
助言　　　H24.6.1  A0045",技研測量設計株式会社 ,"H24.5.30 
H25.2.8",,
北海道,"松前町,",その他,"基準点測量,基準点測量","１級,,３級","2point,1point","北海道渡島総合振興局 
助言　　　H24.6.1  A0046","株式会社薄田測量設計
事務所 ","H24.5.30 
H24.9.10",,
北海道,"当麻町,",その他,基準点測量,３級,6point,"北海道上川総合振興局 
助言　　　H24.6.1  A0047","株式会社石田測量事務
所 ","H24.5.30 
H24.7.20",,
北海道,"士別市,",その他,基準点測量,３級,11point,"北海道上川総合振興局 
助言　　　H24.6.1  A0048",藤井測量設計株式会社 ,"H24.5.31 
H24.8.30",,
北海道,"名寄市,",その他,基準点測量,３級,13point,"北海道上川総合振興局 
助言　　　H24.6.1  A0049","株式会社葵開発コンサ
ル ","H24.5.31 
H24.9.28",,
北海道,"様似町,",その他,"基準点測量,基準点測量","１級,,３級","2point,1point","北海道胆振総合振興局 
助言　　　H24.6.6  A0050","北海道キング設計株式
会社 ","H24.6.1 
H24.7.30",,
北海道,"清里町,",その他,基準点測量,３級,5point,"北海道オホーツク総合振興局 
助言　　　H24.6.6  A0051","サン技術コンサルタント
株式会社 ","H24.6.1 
H24.12.10",,
北海道,"清里町,",その他,"基準点測量,路線測量","３級,,","4point,0.7km","北海道オホーツク総合振興局 
助言　　　H24.6.6  A0052",株式会社カワムラ ,"H24.6.1 
H24.11.30",,
北海道,"札幌市,",その他,"基準点測量,基準点測量","３級,,４級","3point,36point","北海道札幌市 
助言　　　H24.6.6  A0053",株式会社道測テクニス ,"H24.5.18 
H25.3.13",,
北海道,"当別町,",その他,基準点測量,３級,4point,"北海道石狩振興局 
助言　　　H24.6.6  A0054",ダイシン設計株式会社 ,"H24.6.2 
H24.12.20",,
北海道,"東川町,",その他,基準点測量,２級,2point,"北海道開発局旭川開発建設部 
助言　　　H24.6.6  A0055",荒木測量設計株式会社 ,"H24.6.10 
H24.7.26",,
北海道,"遠軽町,",その他,"数値撮影(デジタル),数値図化","12,,1000","13.5KM2,3.5KM2","北海道オホーツク総合振興局 
助言　　　H24.6.6  A0056","株式会社シン技術コンサ
ル ","H24.6.4 
H24.12.20",,
北海道,"滝川市,",その他,基準点測量,３級,14point,"北海道空知総合振興局 
助言　　　H24.6.6  A0057",ダイシン設計株式会社 ,"H24.6.1 
H25.2.28",,
北海道,"北竜町,",その他,基準点測量,３級,9point,"北海道北竜町 
助言　　　H24.6.6  A0058",ダイシン設計株式会社 ,"H24.6.2 
H24.7.20",,
北海道,"標茶町,",その他,"基準点測量,基準点測量","２級,,３級","4point,11point","北海道釧路総合振興局 
助言　　　H24.6.6  A0059","東邦コンサルタント株式
会社 ","H24.6.11 
H24.10.30",,
北海道,"弟子屈町,",その他,"基準点測量,基準点測量","１級,,３級","1point,8point","北海道弟子屈町 
助言　　　H24.6.6  A0060",ダイシン設計株式会社 ,"H24.6.2 
H24.9.10",,
北海道,"砂川市,",その他,基準点測量,３級,7point,"北海道空知総合振興局 
助言　　　H24.6.7  A0061","株式会社北海道水工コ
ンサルタンツ ","H24.5.24 
H25.2.20",,
北海道,"安平町,",その他,基準点測量,３級,2point,"北海道安平町 
助言　　　H24.6.7  A0062","株式会社シー・イー・
サービス ","H24.6.2 
H24.8.20",,
北海道,"深川市,",河川計画,基準点測量,１級,4point,"北海道空知総合振興局 
助言　　　H24.6.7  A0063",和光技研株式会社 ,"H24.6.5 
H25.1.30",,
北海道,"苫前町,",その他,"基準点測量,基準点測量","１級,,３級","1point,2point","北海道開発局留萌開発建設部 
助言　　　H24.6.7  A0064",株式会社ドーコン    ,"H24.6.4 
H24.12.28",,
北海道,"帯広市,",その他,"基準点測量,路線測量","３級,,","3point,0.6km","北海道十勝総合振興局 
助言　　　H24.6.7  A0065","株式会社富士雄設計コ
ンサルタント ","H24.6.5 
H25.3.8",,
北海道,"赤平市,",その他,"基準点測量,基準点測量","１級,,３級","2point,10point","北海道空知総合振興局 
助言　　　H24.6.7  A0066","株式会社開発調査研究
所 ","H24.6.2 
H24.8.30",,
北海道,"南幌町,",その他,基準点測量,３級,13point,"北海道空知総合振興局 
助言　　　H24.6.7  A0067","株式会社アサヒ建設コン
サルタント ","H24.6.18 
H25.1.10",,
北海道,"長沼町,",その他,"基準点測量,基準点測量,基準点測量","４級,,２級,,３級","143point,10point,36point","北海道空知総合振興局 
助言　　　H24.6.8  A0068","株式会社極東コンサルタ
ント ","H24.6.11 
H25.2.20",,
北海道,"厚岸町,",その他,基準点測量,３級,2point,"北海道開発局釧路開発建設部 
助言　　　H24.6.11  A0069","株式会社日東測量設計
社 ","H24.6.6 
H24.9.18",,
北海道,"上川町,",その他,基準点測量,２級,3point,"北海道上川町 
助言　　　H24.6.11  A0070","有限会社美成測地サー
ビス ","H24.6.7 
H24.7.20",,
北海道,"えりも町,",その他,基準点測量,３級,2point,"北海道胆振総合振興局 
助言　　　H24.6.13  A0071",日新測量株式会社 ,"H24.6.6 
H24.7.30",,
