都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,計画機関,作業機関,実施時期,付図番号,,2018.01.09修正
福島県,"天栄村,",農地開発,写測図化,1000,1.6KM2,東北農政局矢吹開拓建設事業所助言620715B0060,(株)東邦コンサルタント,"62.07.10,62.09.30",,,
福島県,"天栄村,",農地開発,写測図化,1000,0.9KM2,東北農政局矢吹開拓建設事業所助言630203B0256,(株)水建技術,"62.12.17,63.03.15",,,
福島県,"郡山市,玉川村,",都市計画,"写測修正,写測図化","2500,,2500","28.6KM2,61.1KM2",福島県助言620715B0054,おおとり航測(株),"62.06.02,63.03.10",620725,,
福島県,"金山町,三島町,昭和村,柳津町,新鶴村,会津坂下町,会津高田町,湯川村,北会津村,本郷町,会津若松市,磐梯町,河東町,猪苗代町,",森林基本図修正,写測修正,2500,1868.2KM2,福島県農地林務部助言630224B0272,新日本航測(株),"63.01.29,63.03.25",622257,,
福島県,"白河市,",郵便地図調製,編集,10000,1644.0KM2,東北郵政局助言620427B0005,直営,"62.05.11,62.06.30",,,
福島県,"田島町,",郵便地図調製,編集,10000,2515.0KM2,東北郵政局助言620624B0037,直営,"62.06.20,62.07.31",,,
茨城県,"古河市,",土地区画整理,"基準点,基準点,平板","2級,,3級,,500","6point,4point,0.1KM2",茨城県古河市助言630328C0301,(株)八州,"63.01.30,63.03.29",,,
茨城県,"土浦市,",土地区画整理,"基準点,基準点,平板","3級,,4級,,500","2point,20point,0.1KM2",桜ヶ丘土地区画整理組合助言620703C0041,大栄測量設計(株),"62.07.01,62.12.05",,,
茨城県,"古河市,水海道市,取手市,岩井市,総和町,五霞村,猿島町,境町,守谷町,藤代町,",地盤変動調査,水準,1級,454.0km,茨城県助言621221C0194,東日本航空(株),"62.12.07,63.02.28",621943,,
茨城県,"土浦市,石岡市,小川町,鉾田町,大洋村,大野村,鹿島町,神栖町,波崎町,麻生町,牛堀町,潮来町,北浦村,玉造町,江戸崎町,美浦村,阿見町,桜川村,東村,出島村,",地盤変動調査,水準,1級,301.0km,霞ヶ浦工事事務所助言621029C0139,"(株)ミカミ,(株)八州,第一航業(株)","62.10.02,63.01.29",621638,,
茨城県,"水海道市,伊奈町,",地盤変動調査,水準,2級,50.0km,茨城県土浦土地改良事務所助言621019C0118,三和航測(株),"62.09.26,62.12.19",621498,,
茨城県,"下妻市,",道路台帳,"撮影,写測図化","8000,,1000","20.0KM2,8.2KM2",茨城県下妻市助言620901C0072,国際航業(株),"62.07.14,62.12.10",621091,,
茨城県,"里美村,",道路管理,"撮影,写測図化","20000,,5000","16.3KM2,16.3KM2",茨城県常陸太田土木事務所助言620908C0083,国際航業(株),"62.08.19,62.11.16",621225,,地名修正
茨城県,"総和町,",道路台帳,"撮影,写測図化","8000,,1000","1.5KM2,1.5KM2",茨城県総和町助言620924C0090,国際航業(株),"62.08.06,63.01.30",,,
茨城県,"水戸市,",都市計画,"撮影,写測図化","8000,,1000","19.0KM2,0.8KM2",茨城県水戸市助言62101●C0128,(株)写測,"62.10.01,63.03.24",,,
茨城県,"土浦市,牛久市,江戸崎町,美浦村,阿見町,茎崎町,河内村,東村,谷田部町,伊奈町,豊里町,",道路計画,"撮影,写測図化","12500,,2500","186.5KM2,29.8KM2",茨城県竜ヶ崎土木事務所助言620818C0062,(株)パスコ,"62.07.01,62.10.27",620957,,
茨城県,"谷田部町,",都市計画,"撮影,写測図化,編集","12500,,2500,,10000","72.0KM2,43.2KM2,79.5KM2",茨城県谷田部町助言621019C0126,(株)パスコ,"62.09.29,63.02.29",621506,,
茨城県,"高萩市,北茨城市,大宮町,山方町,美和村,緒川村,里美村,大子町,",森林調査,撮影,20000,1166.0KM2,関東信越国税局助言621020C0115,アジア航測(株),"62.09.15,62.11.30",621495*,,地名修正
茨城県,"五霞村,境町,水海道市,取手市,岩井市,守谷町,",河川計画,撮影,15000,300.0KM2,利根川上流工事事務所助言630208C0238,アジア航測(株),"62.12.25,63.03.23",622181*,,
茨城県,"河内村,桜川村,東村,",都市計画,"撮影,撮影,写測図化,写測図化","12500,,30000,,2500,,10000","67.5KM2,139.0KM2,67.5KM2,139.0KM2",茨城県助言630307C0279,アジア航測(株),"63.01.26,63.03.15",622329,,
茨城県,"結城市,下館市,",道路計画,"撮影,写測図化","8000,,1000","27.0KM2,1.1KM2",常陸工事事務所助言630328C0302,第一航業(株),"63.02.24,63.03.30",622400,,
茨城県,"水戸市,",道路台帳,"撮影,写測図化","4000,,500","136.5KM2,136.5KM2",茨城県水戸市助言620629C0032,"共同測量(株),(株)開発測量,第一航業(株)","62.05.28,63.01.22",620556,,
茨城県,"筑波町,",土地改良,撮影,1000,0.5KM2,茨城県土浦土地改良事務所助言620629C0035,三和航測(株),"62.06.19,62.09.30",,,
茨城県,"笠間市,",下水道台帳,"撮影,写測図化","4000,,500","0.4KM2,0.4KM2",茨城県笠間市助言621016C0123,三和航測(株),"62.09.19,62.12.15",,,
茨城県,"水海道市,牛久市,茎崎町,伊奈町,守谷町,藤代町,",土地改良,"撮影,写測修正","20000,,2500","270.0KM2,270.0KM2",茨城県土浦土地改良事務所助言621019C0119,三和航測(株),"62.09.26,62.12.19",621499,,
茨城県,"豊里町,",畑地基盤整備計画,"撮影,写測図化","8000,,1000","2.4KM2,2.4KM2",茨城県霞ヶ浦用水事業推進事務所助言621119C0172,三和航測(株),"62.11.10,63.03.10",,,
茨城県,"日立市,",道路台帳,"撮影,写測図化","4000,,500","10.2KM2,1.0KM2",茨城県助言630114C0217,(社)茨城県建設コンサルタント,"62.12.22,63.03.15",,,
茨城県,"岩井市,",下水道計画,"撮影,写測修正","4000,,500","2.1KM2,2.1KM2",茨城県岩井市助言620619C0029,セントラル航空測量(株),"62.06.03,62.10.31",,,
茨城県,"下館市,",下水道計画,"撮影,写測図化","4000,,500","1.8KM2,0.8KM2",茨城県下館市助言620818C0069,朝日航洋(株),"62.08.05,62.10.29",,,
茨城県,"利根町,",土地改良,"撮影,写測図化","8000,,1000","13.5KM2,3.5KM2",茨城県江戸崎土地改良事務所助言630129C0240,北関東航測,"62.12.29,63.03.10",,,
茨城県,"水戸市,",導水路計画,"空三,写測図化",",,1000","10M,1.1KM2",霞ヶ浦導水工事事務所助言630114C0207,アジア航測(株),"62.12.04,63.03.22",,,
茨城県,"茎崎町,",道路計画,"空三,写測図化",",,1000","4M,0.4KM2",茨城県竜ヶ崎土木事務所助言630307C0277,三和航測(株),"63.02.14,63.03.15",,,
茨城県,"藤代町,",道路調査,写測図化,1000,0.4KM2,茨城県竜ヶ崎土木事務所助言620814C0063,国際航業(株),"62.07.01,62.08.19",,,
茨城県,"常陸太田市,",土地改良,写測図化,1000,1.0KM2,茨城県常陸太田土地改良事務所助言630129C0236,国際航業(株),"62.11.25,63.03.20",,,
茨城県,"水戸市,茨城町,",導水路計画,写測図化,2500,1.3KM2,霞ヶ浦導水工事事務所助言630222C0267,大成測量(株),"63.02.02,63.03.30",,,
茨城県,"茎崎町,",道路計画,写測図化,1000,0.5KM2,茨城県竜ヶ崎土木事務所助言620814C0064,アジア航測(株),"62.07.01,62.08.19",,,
茨城県,"桜村,大穂町,",畑地基盤整備,写測図化,1000,3.0KM2,茨城県土浦土地改良事務所助言630114C0225,三和航測(株),"62.12.02,63.03.12",,,
茨城県,"水戸市,",都市計画,"写測修正,編集,編集","2500,,10000,,20000","21.4KM2,146.0KM2,146.0KM2",茨城県水戸市助言621012C0113,朝日航洋(株),"62.09.30,63.03.31",,,
茨城県,"麻生町,",都市計画,"編集,編集","2500,,10000","16.9KM2,16.9KM2",茨城県麻生町助言621019C0127,(株)パスコ,"62.09.24,63.02.29",,,
茨城県,"大宮町,",都市計画,編集,2500,12.6KM2,茨城県大宮町助言621130C0171,三和航測(株),"62.10.17,62.12.20",,,
栃木県,"西方村,粟野町,",工業団地造成,"基準点,基準点,水準,水準,撮影,写測図化","2級,,3級,,2級,,3級,,4000,,500","9point,2point,35.0km,2.0km,5.8KM2,2.8KM2",地域振興整備公団宇都宮開発所助言630314C0292,第一航業(株),"62.12.23,63.03.20",,,
栃木県,"鹿沼市,",土地区画整理,"基準点,平板,平板","2級,,500,,1000","5point,0.4KM2,0.4KM2",栃木県土地開発公社助言621116C0164,協和測量設計(株),"62.10.20,63.03.20",,,
栃木県,"二宮町,",ほ場整備,"水準,写測図化","1級,,1000","14.0km,4.5KM2",栃木県二宮町助言621112C0151,国際航業(株),"62.09.21,63.02.25",,,
栃木県,"宇都宮市,足利市,佐野市,小山市,真岡市,上三川町,南河内町,二宮町,石橋町,国分寺町,野木町,大平町,岩舟町,藤岡町,岩舟町,",地盤変動調査,水準,1級,458.0km,栃木県助言621116C0157,国際航業(株),"62.10.19,63.03.20",621713,,
栃木県,"大田原市,",ほ場整備,"水準,写測図化","3級,,1000","10.0km,3.3KM2",栃木県大田原市助言621112C0152,国際航業(株),"62.10.01,63.02.07",621708,,
栃木県,"栃木市,",ほ場整備,"水準,写測図化","3級,,1000","9.5KM2,1.1KM2",栃木県栃木市助言621214C0202,国際航業(株),"62.09.24,63.02.29",,,
栃木県,"足利市,",ほ場整備,"水準,写測図化","3級,,1000","13.0km,1.7KM2",栃木県足利市助言621214C0203,国際航業(株),"62.09.18,62.12.16",,,
栃木県,"足利市,",ほ場整備,"水準,写測図化","3級,,1000","7.5km,0.7KM2",栃木県足利市助言621214C0204,国際航業(株),"62.10.02,62.12.30",,,
栃木県,"河内町,",ほ場整備,"水準,写測図化","3級,,1000","6point,3.6KM2",栃木県河内町助言621102C0133,セントラル航空測量(株),"62.09.30,63.01.08",621632,,
栃木県,"黒磯市,",下水道計画,"水準,写測図化","3級,,500","5.4km,0.6KM2",栃木県黒磯市助言620512C0011,日研測量(株),"62.05.06,62.09.30",,,
栃木県,"烏山町,馬頭町,黒羽町,那須町,",森林調査,撮影,20000,1166.0KM2,関東信越国税局助言621020C0115,アジア航測(株),"62.09.15,62.11.30",621495*,,地名修正
