都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,計画機関,作業機関,実施時期,付図番号,,地域修正,05_地域修正,～の有無,2018.01.11地名修正
北海道,弟子屈町,道路台帳,"撮影,写測","8000,,1000","300.0KM2,28.0KM2",弟子屈町,東邦測量,"54.1.1,54.12.5",1,,,郡削除,,
北海道,尻岸内町,都市計画,"撮影,写測","12500,,2500","38.0KM2,38.0KM2",尻岸内町,"北海道,マイクロ写真","54.4.20,54.8.20",2,,,郡削除,,
北海道,網走市,森林計画,写測,5000,50.0KM2,北見営林支局,アジア航測,"54.7.1,54.10.31",44,,,,,
北海道,上川町,道路台帳,"撮影,写測","8000,,1000","280.0KM2,5.7KM2",上川町,アジア航測,"54.4,54.9.30",46,,,郡削除,,
北海道,"岩見沢市,三笠市,美唄市,奈井江町,砂川市,滝川市",道路計画,路線,,46.9km,日本道路公団札幌建設局,"サンコウコンサルタント,大日コンサルタント,アジア航測,(株)オオバ,パシフック航業","54.5.20,55.3.31",,,,郡削除,,
北海道,広島町,道路台帳,"撮影,写測","8000,,1000","121.0KM2,22.4KM2",広島町,シン航空写真,"54.4.27,55.3.30",55,,,郡削除,,
北海道,"新得町,清水町,鹿追町,音更町,士幌町,上士幌町,帯広市,芽室町,中札内村,更別村,幕別町,豊頃町,忠類村",森林計画,撮影,20000,2660.0KM2,北海道,北海道航空,"54.4.28,54.7.31",87,,,郡削除,,地名修正
北海道,"新得町,清水町,鹿追町,音更町,士幌町,上士幌町,帯広市,芽室町,中札内村,更別村,幕別町,豊頃町,忠類村",森林計画,空三,,565model,北海道,"国際航業,パシフイック航業,東洋航空事業,中庭測量","54.4.28,54.7.31",,,,郡削除,,地名修正
北海道,厚岸町,道路台帳,"撮影,写測","8000,,1000","30.0KM2,27.0KM2",厚岸町,東邦測量,"53.12.23,55.3.31",106,,,郡削除,,
北海道,網走市,都市計画,"撮影,写測","12500,,2500","90.0KM2,24.9KM2",網走市,シン航空写真,"54.5.9,54.9.25",107,,,,,
北海道,"中川町,比布町,南富良野町",道路調査,"撮影,写測","8000,,1000","86.4KM2,4.3KM2",旭川開発建設部,八州測量,"54.6,54.9",108,,,郡削除,,
北海道,,国有林野管理経営,"境界,図根",",,","44.0km,12point",旭川営林支局,自営,"54.6.1,54.11.30",,,,国有林,,
北海道,"白糠町,弟子屈町,中標津町,音更町",国有林野管理経営,"境界,図根",",,","68.0km,6point",帯広営林支局,自営,"54.5.1,54.11.1",,,,郡削除,,
北海道,蘭越町,道路台帳,"撮影,写測","8000,,1000","330.0KM2,18.0KM2",蘭越町,"国際道測,共同企業体","54.5.10,55.2.29",128,,,郡削除,,
北海道,東神楽町,道路台帳,"撮影,撮影,写測,写測","4000,,8000,,500,,1000","10.8KM2,162.0KM2,1.6KM2,25.1KM2",東神楽町,アジア航測,"54.6.1,55.3.31",148,,,郡削除,,
北海道,今金町,農地開発,"撮影,写測,写測","25000,,5000,,10000","172.0KM2,26.0KM2,26.0KM2",函館開発建設部,シン航空写真,"54.5.21,54.7.16",149,事業量併記,,郡削除,,
北海道,阿寒町,農地開発,写測,5000,47.0KM2,釧路開発建設部,東洋航空事業,"54.5.30,54.7.1",150,,,郡削除,,
北海道,岩内町,道路台帳,"撮影,写測","8000,,1000","55.9KM2,4.5KM2",岩内町,"大橋,八洲共同企業体","54.6.1,55.3.15",151,,,郡削除,,
北海道,岩内町,都市計画,"撮影,写測","12500,,2500","25.0KM2,13.0KM2",岩内町,"大橋,八洲共同企業体","54.6.1,54.7.15",152,,,郡削除,,
北海道,中標津町,都市計画,写測,2500,30.0KM2,中標津町,東洋航空事業,"54.5.15,54.6.30",186,,,郡削除,,
北海道,"稚内市,豊富町",農地開発,撮影,22000,230.0KM2,稚内開発建設部,北海航測,"54.5.12,54.7.20",187,,,郡削除,,
北海道,美瑛町,土地改良,写測,10000,11.5KM2,旭川開発建設部,北海航測,"54.6.15,54.7.31",188,,,郡削除,,
北海道,倶知安町,都市計画及び道路台帳,"撮影,写測,写測","8000,,1000,,2500","261.0KM2,15.0KM2,10.0KM2",倶知安町,国際航業,"54.5.25,56.2.15",189,,,郡削除,,
北海道,上湧別町,道路台帳,"撮影,撮影,写測","8000,,12000,,1000","10.3KM2,160.6KM2,1.0KM2",上湧別町,北海航測,"54.5.29,55.3.20",216,,,郡削除,,
北海道,"八雲町,厚沢部町",道路計画,"撮影,写測","8000,,1000","32.5KM2,2.9KM2",函館開発建設部,シン航空写真,"54.6.9,54.9.29",222,,,郡削除,,
北海道,"遠別町,忠類村",草地開発,写測,5000,7.5KM2,北海道,北海航測,"54.6.15,54.7.20",223,,,郡削除,,
北海道,"北見市,紋別市,端野町,滝上町,興部町,西興部村,雄武町,湧別町,遠軽町",河川改修,撮影,12500,299.0KM2,網走開発建設部,日本測量,"54.6.1,54.8.27",236,,測量地域修正,郡展開,,
北海道,"札幌市,余市町,赤井川村,小樽市,浜益村,厚田村,千歳市,門別町,芦別市",境界調査,"図根,多角",",,","7point,63.0km",北海道営林局,自営,"54.5中,54.10初",,,,地名修正,,
北海道,天塩町,草地開発,"撮影,写測","12000,,2500","57.3KM2,10.3KM2",留萠開発建設部,東洋航空事業,"54.5.19,54.7.31",272,,,郡削除,,
北海道,苫小牧市,治山事業,撮影,10000,233.0KM2,北海道営林局,日本林業技術協会,"54.5下,54.9初",285,,測量地域修正,,,
北海道,"上ノ国町,江差町",広域調査,"写測,編さん","10000,,10000","39.0KM2,311.0KM2",金属鉱業事業団,オオバ,"54.7.5,54.11.30",292,,測量地域修正,,,
北海道,中標津町,道路台帳,"撮影,撮影,写測,写測","4000,,8000,,500,,1000","13.0KM2,600.0KM2,3.5KM2,45.0KM2",中標津町,北洋測量(株),"54.7.20,56.12.25",294,,,郡削除,,
北海道,根室市,道路台帳,"撮影,写測","8000,,1000","400.0KM2,30.0KM2",根室市,東邦測量,"54.7.2,55.3.31",328,,,,,
北海道,中富良野町,道路台帳,"撮影,写測","8000,,1000","140.5KM2,25.0KM2",中富良野町,国際航業,"54.7.20,55.3.25",329,,,郡削除,,
北海道,"幌加内町,石狩町,当別町,札幌市,芦別市",道路計画,"撮影,写測,写測","8000,,1000,,2500","12.3KM2,3.9KM2,11.6KM2",札幌開発建設部,"三和測量,八州測量,パシフィック航業","54.7.21,55.1.31",330,,,郡削除,,
北海道,"津別町,足寄町,陸別町",森林調査,撮影,20000,2430.0KM2,林野庁,東洋航空事業,"54.7,54.10",349,,測量地域修正,郡削除,,
北海道,"浦河町,三石町,静内町,新冠町,門別町",森林調査,撮影,20000,2188.0KM2,林野庁,東日本航空,"54.7,54.10",349,,測量地域修正,郡削除,,
北海道,鷹栖町,道路台帳,"撮影,写測","8000,,1000","108.0KM2,10.5KM2",鷹栖町,パシフイック航業,"54.7.20,55.3.31",376,,,郡削除,,
北海道,札幌市,地盤沈下,水準,,242.0km,札幌市,大東測地,"54.8.15,54.12.1",378,,,,,
北海道,岩見沢市,作付面積調査,撮影,10000,63.0KM2,農林水産省経済局統計情報部,アジア航測,"54.8.13,54.8.31",387,,,,,
北海道,留萌市,都市計画,"撮影,写測","12500,,2500","118.6KM2,43.9KM2",留萌市,東日本航空,"54.7.28,54.10.30",388,,,,,
北海道,恵庭市,道路台帳,"撮影,写測,基準点","8000,,1000,,","100.0KM2,24.0KM2,24point",恵庭市,パシフイック航業,"54.8.1,55.3.31",389,,,,,
北海道,当麻町,農用地開発,"撮影,撮影","8000,,25000","3.6KM2,105.0KM2",旭川開発建設部,北海航測,"54.7.18,54.9.18",390,,,郡削除,,
北海道,足寄町,農地開発,写測,5000,25.0KM2,帯広開発建設部,三和航測,"54.7.24,54.10.31",391,,,郡削除,,
北海道,新得町,土地改良,写測,5000,26.0KM2,十勝支庁,北海航測,"54.8.1,54.8.25",392,,,郡削除,,
北海道,津別町,道路台帳,"撮影,撮影,写測,写測","4000,,8000,,500,,1000","6.0KM2,279.0KM2,1.3KM2,22.0KM2",津別町,極東陸地測量,"54.7.27,55.3.31",407,,,郡削除,,
北海道,共和町,道路台帳,"撮影,写測","8000,,1000","303.0KM2,36.0KM2",共和町,国際航業,"54.8.11,55.7.31",408,,,郡削除,,
北海道,斜里町,道路台帳,"撮影,写測","8000,,1000","280.0KM2,26.0KM2",斜里町,パシフイック航業,"54.8.20,56.1.31",409,,,郡削除,,
北海道,天塩町,道路台帳,"撮影,写測","8000,,1000","250.0KM2,13.5KM2",天塩町,パシフイック航業,"54.8.20,55.1.31",454,,,郡削除,,
北海道,静内町,都市計画,"撮影,撮影,写測,写測","8000,,12500,,1000,,2500","10.2KM2,28.1KM2,1.9KM2,2.7KM2",静内町,シン航空写真,"54.8.6,55.1.20",455,,,郡削除,,
北海道,旭川市,道路台帳,"撮影,写測","8000,,1000","657.3KM2,106.6KM2",旭川市,"国際,パシフイック共同企業体","54.8.16,56.3.31",456,,,,,
北海道,小樽市,都市計画,"撮影,写測","12500,,2500","273.0KM2,35.8KM2",小樽市,シン航空写真,"54.8.10,55.1.31",473,,,,,
北海道,"厚岸町,羅臼町,標津町",道路計画,"撮影,写測","8000,,1000","15.0KM2,1.3KM2",釧路開発建設部,八洲測量,"54.9,54.11",,,,郡削除,,
北海道,古平町,都市計画,"撮影,写測","12500,,2500","119.0KM2,6.1KM2",古平町,東日本航空,"54.8.25,55.3.31",476,,,郡削除,,
北海道,豊頃町,道路台帳,"撮影,写測","8000,,1000","380.0KM2,6.9KM2",豊頃町,アジア航測,"54.9.1,54.12.28",477,,,郡削除,,
北海道,"稚内市,中頓別町,猿払村",道路計画,"撮影,撮影,写測,写測","8000,,12000,,1000,,2500","31.3KM2,21.3KM2,3.0KM2,3.5KM2",稚内開発建設部,シン航空写真,"54.8.4,54.11.1",,,,郡削除,,
北海道,上士幌町,道路計画,"撮影,写測","12500,,2500","84.7KM2,8.5KM2",帯広開発建設部,シン航空写真,"54.8.11,54.11.10",499,,,郡削除,,
北海道,佐呂間町,道路台帳,平板,1000,0.64KM2,網走開発建設部,北海道測量事業協同組合,"54.5.20,54.10.1",,,,郡削除,,
北海道,札幌市,区画整理,水準,,47.9km,日本住宅公団首都圏宅地開発本部,昭和測量工業,"54.9.20,57.9.19",,,,,,
北海道,豊浦町,道路改修,写測,5000,4.0KM2,室蘭開発建設部,シン航空写真,"54.9.10,54.11.10",,,,郡削除,,
北海道,滝川市,都市計画,"撮影,撮影,写測,写測","12500,,25000,,2500,,10000","199.4KM2,210.9KM2,31.0KM2,116.3KM2",滝川市,国際航業,"54.9.10,55.3.10",550,,,,,
北海道,登別市,"都市計画,道路台帳","撮影,写測,写測","8000,,2500,,1000","140.0KM2,33.0KM2,3.4KM2",登別市,昭和測量工業,"54.9.30,56.3.20",584,,,,,
北海道,南富良野町,道路調査,路線,,1.0km,旭川開発建設部,北海道開発コンサルタント(株),"54.10.20,54.11.1",,,,郡削除,,
北海道,音別町,河川改修,写測,2500,4.4KM2,釧路開発建設部,日本測量,"54.9.20,54.10.15",,,,郡削除,,
北海道,"標津町,中標津町",河川改修,写測,2500,8.8KM2,釧路開発建設部,日本測量,"54.9.20,54.10.15",,,,郡削除,,
北海道,"帯広市,音更町,幕別町,芽室町",都市計画,撮影,12500,580.4KM2,帯広圏広域都市計画協議会,シン航空写真,"54.9.17,54.10.15",626,,,郡削除,,地名修正
北海道,"森町,砂原町",土地改良,"撮影,写測","12500,,2500","110.0KM2,53.0KM2",函館開発建設部,東洋航空事業,"54.9.8,55.2.15",627,,,郡削除,,
北海道,苫小牧市,都市計画,"写測,写測","2500,,10000","93.4KM2,93.4KM2",苫小牧市,三和航測,"54.10.1,55.3.27",628,事業量併記,,,,
北海道,幌加内町,農地開発,写測,1000,6.1KM2,札幌開発建設部,東洋航空事業,"54.9.15,54.12.15",,,,郡削除,,
北海道,"喜茂別町,岩内町",道路改良,撮影,8000,28.4KM2,小樽開発建設部,シン航空写真,"54.9.14,55.3.25",,,,郡削除,,
北海道,帯広市,地盤沈下,水準,,24.0km,帯広市,大東測地,"54.10.31,54.11.30",667,,,,,
北海道,幌延町,河川改修,撮影,12500,61.0KM2,留萌開発建設部,シン航空写真,"54.9.28,55.1.30",668,,,郡削除,,
北海道,"当別町,石狩町",地盤沈下,水準,,60.0km,北海道,大東測地,"54.9.25,54.11.30",669,,測量地域修正,,,
北海道,"紋別市,湧別町,上湧別町,遠軽町,北見市",河川改修,写測,2500,95.0KM2,網走開発建設部,日本測量,"54.9.22,55.2.13",,,,郡削除,,
北海道,東藻琴村,道路台帳,"撮影,写測","8000,,1000","120.9KM2,12.5KM2",東藻琴村,極東陸地,"54.10.8,56.3.20",740,,,郡削除,,
北海道,名寄市,道路台帳,"撮影,写測","8000,,1000","325.8KM2,40.0KM2",名寄市,"国際,道測共同企業体","54.9.27,55.11.30",741,,,,,
北海道,福島町,道路台帳,"撮影,写測","8000,,1000","55.0KM2,6.7KM2",福島町,北海航測,"54.10.13,55.8.31",742,,,郡削除,,
北海道,"清水町,芽室町",土地改良,"写測,写測","2000,,5000","59.6KM2,59.6KM2",帯広開発建設部,東洋航空事業,"54.10.1,54.12.20",754,事業量併記,,郡削除,,
北海道,雄武町,土地改良,撮影,10000,28.3KM2,網走開発建設部,北海航測,"54.10.5,54.11.30",756,,,郡削除,,
北海道,富良野市,道路台帳,"撮影,撮影,写測,写測","4000,,8000,,500,,1000","13.4KM2,320.0KM2,7.2KM2,59.7KM2",富良野市,国際航業,"54.10.15,56.6.30",757,,,,,
北海道,札幌市,鉄道計画,"撮影,写測","4000,,500","1.6KM2,0.5KM2",日本国有鉄道札幌工事局,東洋航空事業,"54.10.29,55.2.25",,,,,,
北海道,森町,道路台帳,"撮影,写測","8000,,1000","137.2KM2,16.0KM2",森町,道測調査設計,"54.10.25,56.3.31",759,,,郡削除,,
北海道,斜里町,道路改築,写測,1000,1.0KM2,網走開発建設部,三和航測,"54.10.22,55.1.31",,,,郡削除,,
北海道,留萌市,ダム計画,"撮影,撮影","4000,,8000","1.7KM2,20.7KM2",留萌開発建設部,東日本航空,"54.11.1,55.1.30",836,,測量地域修正,,,
北海道,網走市,土取場計画,写測,2000,2.0KM2,網走開発建設部,シン航空写真,"54.10.22,54.11.30",,,,,,
北海道,上富良野町,道路台帳,"撮影,撮影,写測,写測","4000,,8000,,500,,1000","11.7KM2,243.0KM2,1.4KM2,17.8KM2",上富良野町,東日本航空,"54.10.30,55.12.20",890,,,郡削除,,
北海道,島牧村,道路台帳,"撮影,写測","8000,,1000","80.0KM2,4.4KM2",島牧村,"大橋,八洲共同企業体","54.8.22,55.3.25",891,,,郡削除,,
北海道,上ノ国町,畜産基地計画,"写測,写測","5000,,10000","11.0KM2,11.0KM2",函館開発建設部,北海航測,"54.11.26,55.3.10",907,事業量併記,,郡削除,,
北海道,池田町,土地改良,"撮影,写測,写測","25000,,5000,,10000","86.0KM2,14.0KM2,16.0KM2",十勝支庁,シン航空写真,"54.12.1,55.2.29",998,,,郡削除,,
北海道,旭川市,(修正)都市計画,写測,2500,183.0KM2,旭川市,"国際,パシフイック共同企業体","52.12.14,55.3.25",1068,,,,,
北海道,"帯広市,音更町,幕別町",(修正)都市計画,"写測新規,写測修正","2500,,2500","43.8KM2,88.4KM2",帯広圏広域都市計画協議会,シン航空写真,"54.12.25,55.3.30",1069,写測修正,,郡削除,,
北海道,白糠町,都市計画,写測,2500,32.0KM2,白糠町,東邦測量,"54.11.10,55.3.10",1070,,,郡削除,,
北海道,当麻町,道路台帳,"撮影,写測","8000,,1000","18.1KM2,9.6KM2",当麻町,パシフイック航業,"54.12.19,55.12.25",1071,,,郡削除,,
北海道,幕別町,土地改良,"基準点,水準",",,","15point,25.5km",帯広開発建設部,シン航空写真,"54.10.23,55.1.31",,,,郡削除,,
北海道,今金町,道路台帳,"撮影,写測","8000,,1000","353.9KM2,27.0KM2",今金町,国際航業,"54.12.14,56.3.30",1205,,,郡削除,,地名修正
北海道,羅臼町,道路台帳,"撮影,写測","8000,,1000","50.0KM2,1.4KM2",羅臼町,パシフイック航業,"55.3.1,56.2.28",1300,,,郡削除,,
北海道,雄武町,道路台帳,"撮影,写測","8000,,1000","360.0KM2,10.8KM2",雄武町,"高崎,パシフイック共同企業体","55.5.1,56.2.28",,,,郡削除,,
北海道,帯広市,農業基盤,写測,10000,29.4KM2,帯広市,パシフイック航業,"55.4.10,55.5.20",,,,地名修正,,
青森県,八戸市,道路計画,縦横断,,3.8km,"日本道路公団仙台建設局,八戸工事事務所",東洋航空事業,"54.3.21,54.6.28",,,,,,
青森県,青森市,地盤沈下,水準,,15.0km,青森県,東北測量,"54.5.20,54.6.20",4,,,,,
青森県,青森市,地盤沈下,水準,,87.0km,青森市,東北測量,"54.5.25,54.6.24",56,,,,,
青森県,尾上町,道路台帳,"撮影,写測","8000,,1000","22.0KM2,6.2KM2",尾上町,パシフイック航業,"54.5.1,55.3.31",102,,,郡削除,,
青森県,田舎館村,道路台帳,"撮影,写測","8000,,1000","30.0KM2,4.0KM2",田舎館村,パシフイック航業,"54.5.1,55.3.31",103,,,郡削除,,
青森県,青森市,港湾工事地盤沈下,水準,,11.7km,"運輸省第二港湾建設局,青森港工事事務所",東北測量,"54.6.20,54.9.10",224,,,,,
青森県県境秋田県,"鰺ヶ沢町,深浦町,藤崎町,大鰐町,田舎館村,県境大館市",森林調査,撮影,20000,1527.0KM2,林野庁,アジア航測,"54.7,54.10",349,,測量地域修正,県名等修正,,
青森県,八戸市,地盤沈下,水準,,67.5km,八戸市,興和測量,"54.9.11,54.11.15",484,,,,,
青森県,五戸町,道路台帳,"撮影,撮影,写測,写測","3000,,8000,,500,,1000","7.0KM2,120.8KM2,1.0KM2,8.3KM2",五戸町,パシフイック航業,"54.7.30,55.3.31",551,,,郡削除,,
青森県,むつ市,総合計画,"撮影,写測","30000,,10000","246.9KM2,246.9KM2",むつ市,東北測量,"54.5.16,55.3.20",851,,,,,
青森県,青森市,道路台帳,"撮影,写測","4000,,500","37.0KM2,1.3KM2",青森市,パシフイック航業,"54.11.30,55.2.25",913,,,,,
青森県,弘前市,下水道台帳,撮影,4000,50.0KM2,弘前市,パシフイック航業,"54.12.25,55.3.20",1002,,,,,
岩手県,"盛岡市,雫石町",ダム計画,"撮影,写測","8000,,1000","54.0KM2,24.3KM2",東北地建御所ダム工事事務所,アジア航測,"54.4.13,54.9.14",57,,,郡削除,,
岩手県,"紫波町,石鳥谷町",土地改良,"基準点,水準点",",,","8point,36point",東北農政局山王海農業水利事業所,東洋航空事業,"54.6.1,54.7.31",,,,郡削除,,
岩手県,"釜石市,大槌町",道路改良,"撮影,撮影,写測,写測","4000,,8000,,500,,1000","1.0KM2,14.2KM2,0.2KM2,0.7KM2",東北地建三陸国道工事事務所,パシフイック航業,"54.6.13,54.9.25",249,,,郡削除,,
岩手県,和賀町,ほ場整備,写測,1000,5.5KM2,岩手県北上農林事務所,第一航業,"54.8.30,54.10.30",500,,,郡削除,,
岩手県,宮古市,道路台帳,"撮影,写測新規,写測修正","12500,,2500,,2500","28.0KM2,18.0KM2,10.0KM2",宮古市,パシフイック航業,"54.8.10,55.2.1",504,写測修正,,,,
岩手県,"一関市,平泉町,前沢町",都市計画,写測,2500,160.5KM2,一関市,第一航業,"54.8.31,55.2.10",505,,,郡削除,,
岩手県,盛岡市,道路台帳,"撮影,撮影,写測,写測","4000,,8000,,500,,1000","105.0KM2,180.0KM2,3.8KM2,0.3KM2",盛岡市,パシフイック航業,"54.10.12,55.3.25",722,,,,,
岩手県,田老町,道路台帳,"撮影,写測","8000,,1000","84.0KM2,5.0KM2",田老町,パシフイック航業,"54.10.1,55.3.10",760,,,郡削除,,
岩手県,"浄法寺町,一戸町,玉山村",農業開発,"撮影,写図","18000,,5000","263.0KM2,62.4KM2",東北農政局北上地域総合開発調査事務所,アジア航測,"54.10.2,54.11.20",855,,,郡削除,,
岩手県,二戸市,道路台帳,"撮影,写測","8000,,1000","238.0KM2,25.0KM2",二戸市,パシフイック航業,"54.12.10,55.3.20",960,,,,,
岩手県,岩手町,道路台帳,撮影,8000,360.0KM2,岩手町,アジア航測,"54.11.1,55.3.25",987,,,郡削除,,
岩手県,"一関市,平泉町",河川計画,写測,2500,24.0KM2,東北地建岩手工事事務所,第一航業,"55.1.20,55.3.29",,,,郡削除,,
宮城県,松島町,道路台帳,"撮影,写測","4000,,500","60.0KM2,4.1KM2",松島町,写測,"54.3.7,55.5.30",5,,,郡削除,,
宮城県,小牛田町,道路台帳,"撮影,写測","8000,,1000","40.0KM2,5.6KM2",小牛田町,写測,"54.3.17,55.3.25",6,,,郡削除,,
宮城県県境山形県,"宮城町,秋保町,川崎町,県境東根市",森林計画,撮影,16000,688.0KM2,宮城県,写測,"54.5.7,54.9.29",58,,測量地域修正,県名修正,,
宮城県,七ケ宿町,ダム建設,"写測,編さん","1000,,1000","3.5KM2,3.7KM2",東北地建七ヶ宿ダム工事事務所,国際航業,"54.4.17,54.7.31",115,,,郡削除,,地名修正
宮城県,"名取市,仙台市",河川計画,"撮影,写測","12500,,2500","47.5KM2,7.5KM2",東北地建仙台工事事務所,国際航業,"54.7.10,54.11.30",331,,測量地域修正,,,
宮城県,"古川市,石巻市",河川計画,"撮影,撮影,写測","8000,,12500,,1000","4.8KM2,3.2KM2,1.1KM2",東北地建北上川下流工事事務所,国際航業,"54.7.6,54.10.31",334,,測量地域修正,,,
宮城県,"仙台市,塩竈市,多賀城市,名取市,岩沼市,古川市,気仙沼市,利府町",地盤沈下,水準,,205.7km,宮城県,"(仙台市～気仙沼市),本州測量設計(株),(古川市)富士測量(株)","54.8.1,55.3.31",354,,,郡削除,,地名修正
宮城県,"古川市,松島町",河川計画,写測,2500,8.4KM2,東北地建北上川下流工事事務所,アジア航測,"54.7.27,54.11.20",,,,郡削除,,
宮城県,宮城町,区画整理,平板,500,0.8KM2,宮城県,(財)東北開発土地区画整理研究所,"54.8.20,54.10.20",,,,郡削除,,
宮城県,北上町,境界調査,図根,,23.0km,青森営林局,東北測量,"54.8.31,54.11.15",,,,郡削除,,
宮城県,仙台市,区画整理,写測,1000,2.7KM2,仙台市,パシフイック航業,"54.9.10,54.12.14",,,,,,
宮城県,"柴田町,名取市,岩沼市,角田市,亘理町,山元町",都市計画,"写測,写測","2500,,2500","216.7KM2,58.6KM2","仙南地域都市計画,基図共同作成市町,代表柴田町",東洋航空事業,"54.8.1,55.3.10",585,写測修正,,郡展開,,地名修正
宮城県,三本木町,道路台帳,写測,1000,2.6KM2,三本木町,パシフイック航業,"54.9.25,54.11.30",,,,郡削除,,
宮城県,泉市,都市計画,写測,2500,132.0KM2,泉市,国際航業,"54.8.30,54.12.22",615,,,,,
宮城県,中田町,ほ場整備,"撮影,写測,写測,写測","8000,,1000,,2000,,5000","31.5KM2,9.0KM2,9.0KM2,9.0KM2",中田町,東洋航空事業,"54.9.17,54.12.21",726,写測修正,,郡削除,,
宮城県,石越町,道路台帳,"撮影,写測","8000,,1000","44.3KM2,8.7KM2",石越町,パシフイック航業,"54.9.14,55.10.31",727,,,郡削除,,
宮城県,仙台市,道路台帳,平板,500,5.8KM2,仙台市,(株)住幸産業,"54.9.25,55.2.22",,,,,,
宮城県,"栗駒町,花山村,一迫町,鶯沢町,金成町,若柳町,志波姫町,築館町,石越町,迫町",水利事業,撮影,15000,416.1KM2,東北農政局迫川上流農業水利事業所,アジア航測,"54.10.19,54.12.7",763,,,郡削除,,
宮城県,高清水町,道路台帳,写測,1000,4.5KM2,高清水町,パシフイック航業,"54.11.27,55.3.31",,,,郡削除,,
宮城県,"名取市,岩沼市,角田市,白石市,柴田町,亘理町",下水道計画,水準,,78.0km,宮城県阿武隈川下流流域下水道建設事務所,サンヨーコンサルタント,"54.12.1,55.3.10",,,,郡削除,,
宮城県,仙台市,道路計画,"撮影,写測","8000,,1000","55.0KM2,8.0KM2",仙台市,パシフイック航業,"54.11.28,55.3.10",961,,,,,
宮城県,利府町,道路台帳,"撮影,写測","4000,,500","6.9KM2,0.8KM2",利府町,東洋航空事業,"54.10.1,55.3.20",988,,,郡削除,,
宮城県,大河原町,道路台帳,"撮影,撮影,写測,写測","4000,,8000,,500,,1000","18.0KM2,25.5KM2,8.8KM2,8.8KM2",大河原町,パシフイック航業,"54.12.28,56.5.30",1074,写測修正,,郡削除,,
宮城県,塩竈市,道路台帳,平板,500,1.5KM2,塩釜市,富士測量,"55.2.1,59.3.31",,,,,,地名修正
宮城県,北上町,境界調査,図根,,18point,青森営林局,シビル技術,"55.2.1,55.3.10",,点のみ，km削除,,郡削除,,
宮城県,石巻市,道路台帳,"撮影,写測","4000,,500","13.8KM2,4.2KM2",石巻市,国際航業,"54.11.28,55.3.31",1261,,,,,
宮城県,石巻市,鉄道計画,"撮影,写測","8000,,1000","11.4KM2,1.9KM2",日本国有鉄道仙台新幹線工事局,パシフイック航業,"55.2.20,55.3.6",,,,,,
宮城県,柴田町,道路台帳,"撮影,撮影,写測,写測","4000,,8000,,500,,1000","39.0KM2,14.7KM2,5.7KM2,1.8KM2",柴田町,東洋航空事業,"54.12.1,57.3.20",1264,,,郡削除,,
宮城県,蔵王町,道路台帳,"撮影,写測","8000,,1000","165.3KM2,1.0KM2",蔵王町,国際航業,"55.1.26,55.3.31",1292,,,郡削除,,
秋田県,"由利本荘市,にかほ市,秋田市,美郷町",森林調査,撮影,16000,1195.0KM2,秋田県,東日本航空,"54.4.26,54.7.31",72,,,郡展開,,
秋田県,田沢湖町,道路計画,基準点,,1.0km,東北地建秋田工事事務所,東邦技術,"54.4.25,54.7.31",,,,郡削除,,
秋田県,本荘市,"道路計画,都市計画","撮影,撮影,写測,縮小","8000,,10000,,1000,,2500","46.0KM2,143.0KM2,19.1KM2,19.1KM2",本荘市,東日本航空,"54.5.25,55.5.31",116,,,,,
秋田県,湯沢市,都市計画,"撮影,写測","15000,,2500","204.3KM2,51.8KM2",湯沢市,写測,"54.3.26,54.10.31",158,,,,,
秋田県,協和町,ダム計画,"撮影,写測","12500,,2500","21.4KM2,2.5KM2",秋田県,パシフイック航業,"54.6.11,54.10.8",250,,,郡削除,,
秋田県,"河辺町,雄和町,協和町,西仙北町,南外村,大森町,雄物川町",農道整備,"撮影,写測","12500,,2500","152.0KM2,12.0KM2",秋田県,東洋航空事業,"54.7.5,54.10.30",293,,,郡削除,,
秋田県,田代町,総合計画,"撮影,撮影,写測,写測","12500,,30000,,2500,,10000","45.0KM2,402.0KM2,20.0KM2,186.0KM2",田代町,パシフイック航業,"54.7.3,55.3.31",379,,,郡削除,,
秋田県,"雄和町,協和町",都市計画,撮影,10000,66.7KM2,秋田県,国際航業,"54.8.1,54.9.20",382,,,郡削除,,
秋田県,西目町,道路台帳,撮影,8000,66.0KM2,西目町,写測,"54.7.5,54.9.15",395,,,郡削除,,
秋田県県境青森県,"田代町,県境弘前市,相馬村",広域調査,"写測,編さん","10000,,10000","29.0KM2,261.0KM2",金属鉱業事業団,アジア航測,"54.9.17,55.1.31",,,測量地域修正,郡削除,,
秋田県,"大曲市,湯沢市",河川計画,撮影,12500,409.5KM2,東北地建湯沢工事事務所,パシフイック航業,"54.8.15,54.11.10",,,測量地域修正,,,
秋田県,"秋田市,河辺町,雄和町",都市計画,写測,2500,351.2KM2,秋田県,"八洲測量,国際航業,中庭測量,写測","54.8.24,55.3.25",501,,,郡削除,,
秋田県,西目町,土地改良,"撮影,写測","8000,,1000","40.0KM2,7.0KM2",西目町,パシフイック航業,"54.8.10,55.1.15",576,,,郡削除,,
秋田県,仁賀保町,ほ場整備,"撮影,写測,写測,写測","8000,,1000,,5000,,10000","27.0KM2,7.6KM2,7.6KM2,7.6KM2",仁賀保町,東洋航空事業,"54.9.1,55.3.10",629,写測修正,,郡削除,,
