都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,計画機関,作業機関,実施時期,付図番号,,地域修正,05_地域修正,～の有無,2018.01.11地名修正
三重県,藤原町,道路台帳,写測,1000,4.7KM2,藤原町,アジア航測,"54.4.1,54.10.30",,,,郡削除,,
三重県,桑名市,都市計画,"撮影,写測","12500,,2500","86.8KM2,57.4KM2",桑名市,八洲測量,"54.10.1,55.1.19",737,,,,,
三重県,多度町,道路台帳,"撮影,写測","8000,,1000","28.0KM2,4.5KM2",多度町,中日本航空,"54.10.29,56.3.20",821,,,郡削除,,
三重県,関町,道路災害調査,写測,2500,0.6KM2,中部地建三重工事事務所,パシフイック航業,"54.11.11,54.11.25",,,,郡削除,,
三重県,玉城町,道路台帳,写測,1000,25.0KM2,玉城町,玉野測量設計,"54.10.25,55.10.20",,,,郡削除,,
三重県,関町,道路台帳,"撮影,写測","8000,,1000","53.1KM2,3.3KM2",関町,アジア航測,"54.10.17,56.3.30",,,,郡削除,,
三重県,飯高町,道路計画,"撮影,写測","8000,,1000","28.0KM2,13.0KM2",中部地建紀勢国道工事事務所,パシフイック航業,"54.11.9,55.12.28",,,,郡削除,,
三重県,久居市,道路台帳,"撮影,写測","6000,,1000","69.8KM2,17.5KM2",久居市,玉野測量設計,"54.11.28,56.2.20",1008,,,,,
三重県,阿児町,道路台帳,"撮影,写測","4000,,500","91.5KM2,5.7KM2",阿児町,東日本航空,"54.12.10,55.12.20",1012,,,郡削除,,
三重県,浜島町,道路台帳,"撮影,写測","4000,,500","26.4KM2,2.0KM2",浜島町,玉野測量設計,"54.11.16,55.12.25",1108,,,郡削除,,
三重県,宮川村,河川計画,写測,5000,21.4KM2,中部地建三重工事事務所,玉野測量設計,"54.12.6,55.2.24",,,,郡削除,,
三重県,四日市市,道路計画,"撮影,写測","4000,,500","32.0KM2,0.1KM2",四日市市,パシフイック航業,"54.12.13,55.2.12",,,,,,
三重県,磯部町,道路台帳,"撮影,写測","4000,,500","78.1KM2,5.4KM2",磯部町,玉野測量設計,"54.12.5,56.3.10",1113,,,郡削除,,
三重県,上野市,都市計画,"写測新規,写測修正","2500,,2500","81.5KM2,113.5KM2",上野市,パシフイック航業,"54.12.25,55.7.31",1114,写測修正,,,,
三重県,四日市市,道路台帳,写測,1000,8.9KM2,四日市市,パシフイック航業,"54.12.25,55.3.20",,,,,,
三重県,"木曽岬村,長島町",河川計画,写測,500,2.5KM2,中部地建木曽川下流工事事務所,パシフイック航業,"55.1.16,55.3.30",,,測量地域修正,,,
三重県,鳥羽市,道路台帳,"撮影,撮影,写測,写測","4000,,8000,,500,,1000","28.0KM2,95.0KM2,22.0KM2,85.0KM2",鳥羽市,大阪写真測量所,"55.1.20,55.12.10",1165,,,,,
三重県,亀山市,道路計画,水準,,13.0km,中部地建名阪国道工事事務所,オオバ,"55.2.4,55.3.19",,,,,,
三重県,小俣町,道路台帳,写測,1000,3.4KM2,小俣町,玉野測量設計,"55.2.25,55.5.31",,,,郡削除,,
三重県,南勢町,道路台帳,"撮影,写測","8000,,1000","109.8KM2,32.9KM2",南勢町,玉野測量設計,"55.2.25,57.3.25",1341,,,郡削除,,
三重県,楠町,都市計画,写測,2500,7.9KM2,楠町,東洋航空事業,"55.3.1,55.4.30",1342,,,郡削除,,
三重県,楠町,道路台帳,写測,1000,4.2KM2,楠町,東洋航空事業,"55.5.1,55.8.31",,,,郡削除,,
三重県,御浜町,農地開発,写測,1000,3.2KM2,東海農政局御浜開拓建設事業所,国際航空,"55.2.29,55.3.31",,,,郡削除,,
滋賀県県境京都府,"今津町,県境宮津市",境界調査,境界,,25.5km,大阪営林局,自営,"54.5.10,54.12.20",,,,郡削除,,
