都道府県名,測量地域,測量目的,測量種別,縮尺･等級,事業量,計画機関,作業機関,自至時期,2018.01.14修正,
北海道,"新得町,",ほ場整備,基準点,3級,5point,"北海道十勝支庁
助言H16.5.20A0036",(株)倉ll生コンサルタント,"H16.5.17
H16.7.30",,
北海道,"別海町,",土地改良,基準点,3級,7point,"北海道土地改良事業団体連合会
助言H16.5.20A0037",北海道土地改良事業団体連合会,"H16.5.24
H17.3.20",,
北海道,"砂原町,",砂防計画,基準点,3級,3point,"北海道渡島支庁
助言H16.5.20A0038",(有)木田測量設計事務所,"H16.4.22
H16.8.31",,
北海道,"門別町,",河川計画,"基準点,基準点","2級,,3級","15point,23point","北海道胆振支庁
助言H16.5.26A0039",(株)サッポロ･エンジニヤーズ,"H16.4.12
H17.3.15",,
北海道,"旭川市,",計画,"基準点,基準点,水準","3級,,4級,,3級","3point,10point,3.7km","旭川市
助言H16.5.26A0040",(株)アサヒ建設コンサルタント,"H16.5.21
H16.7.6",,
北海道,"芽室町,",道路計画,基準点,3級,10point,"北海道十勝支庁
助言H16.5.26A0041",(株)安井測量設計事務所,"H16.4.20
H17.3.18",,
北海道,"足寄町,",農道計画,"基準点,座標変換","4級,,3級","4point,5point","北海道十勝支庁
助言H16.5.26A0042",コスモ測量設計(株),"H16.5.20
H16.7.20",,
北海道,"大野町,",土地改良,基準点,2級,10point,"北海道渡島支庁
助言H16.5.26A0043",(株)竹田測量設計,"H16.5.24
H16.5.24",,
北海道,"沼田町,",道路用地,"基準点,座標変換","3級,,2級","2point,2point","北海道札幌土木現業所
助言H16.5.28A0044",(株)エムケーシステム,"H16.5.27
H16.9.1",,
北海道,"深川市,",その他,"基準点,座標変換","3級,,2級","18point,6point","北海道空知支庁
助言H16.5.28A0045",岩見沢測量設計(株),"H16.5.27
H16.7.30",,
北海道,"豊富町,",計画,基準点,3級,11point,"北海道宗谷支庁
助言H16.5.28A0046","(株)北海道農業建設コンサルタン
ト","H16.5.27
H16.10.31",,
北海道,"雄武町,",道路計画,"基準点,路線",3級,"4point,0.5km","北海道網走支庁
助言H16.5.27A0047",ダイシン設計(株),"H16.5.31
H16.8.20",,
北海道,"別海町,",道路計画,基準点,3級,10point,"別海町
助言H16.5.28A0048",岩浅測量設計(有),"H16.5.25
H16.8.30",,
北海道,"別海町,",道路計画,基準点,3級,7point,"別海町
助言H16.5.28A0049",内外エンジニアリング(株),"H16.5.25
H16.8.30",,
北海道,"南幌町,栗沢町,",計画,基準点,3級,3point,"北海道石狩支庁
助言H16.6.1A0050",新生測量設計(株),"H16.5.28
H16.6.30",,
北海道,"音更町,",農道計画,基準点,3級,3point,"北海道十勝支庁
助言H16.5.31A0051",(株)富士雄設計コンサルタント,"H16.5.27
H16.11.22",,
北海道,"由仁町,",土地改良,基準点,3級,9point,"北海道空知支庁
助言H16.6.2A0052",(株)本山測量設計,"H16.5.27
H16.7.30",,
北海道,"浜中町,",農道計画,基準点,3級,10point,"北海道釧路支庁
助言H16.6.2A0053",東邦コンサルタント(株),"H16.6.1
H16.7.30",,
北海道,"池田町,",河川管理,基準点,3級,24point,"帯広開発建設部
助言H16.6.2A0054",パブリックコンサルタント(株),"H16.5.28
H16.10.28",,
北海道,"大野町,",土地改良,基準点,2級,4point,"北海道渡島支庁
助言H16.6.4A0055",道南測量設計(株),"H16.6.7
H16.8.30",,
北海道,"芦別市,",土地改良,基準点,3級,33point,"北海道空知支庁
助言H16.6.4A0056",(株)アルファ技研,"H16.6.1
H17.2.10",,
北海道,"夕張市,",道路計画,基準点,3級,1point,"北海道石狩支庁
助言H16.6.4A0057",(株)エル技術コンサルタント,"H16.6.10
H16.10.25",,
北海道,"厚沢部町,",道路計画,基準点,3級,3point,"厚沢部町
助言H16.6.4A0058",(株)帝国設計事務所,"H16.5.27
H16.8.31",,
北海道,"共和町,",道路用地,基準点,3級,2point,"共和町
助言H16.6.7A0059",北山測量設計(株),"H16.6.2
H16.9.30",,
北海道,"室蘭市,",道路用地,基準点,3級,3point,"北海道胆振支庁
助言H16.6.7A0060",日章測量設計(株),"H16.6.14
H16.9.21",,
北海道,"厚沢部町,",土地改良,基準点,3級,16point,"北海道檜山支庁
助言H16.6.7A0061",道南測量設計(株),"H16.6.1
H16.9.2",,
北海道,"長沼町,",ほ場整備,"基準点,路線",3級,"4point,0.7km","北海道空知支庁
助言H16.6.7A0062",(株)桜井測量,"H16.4.22
H16.8.12",,
北海道,"余市町,古平町,積丹町,",河川管理,水準,2級,27.0km,"北海道後志支庁
助言H16.6.7A0063",北武コンサルタント(株),"H16.6.7
H16.8.31",,
北海道,"松前町,",漁港整備,"基準点,基準点","2級,,3級","2point,2point","北海道渡島支庁
助言H16.6.7A0064",(株)ツカサ技研,"H16.6.1
H16.9.30",,
北海道,"新得町,",土地改良,基準点,3級,3point,"北海道十勝支庁
助言H16.6.7A0065",(株)よしだ設計コンサルタント,"H16.5.10
H16.9.30",,
北海道,"当別町,",道路用地,基準点,3級,12point,"札幌開発建設部
助言H16.6.10A0066",(株)エーティック,"H16.5.19
H16.10.15",,
北海道,"美唄市,",道路用地,基準点,2級,2point,"北海道石狩支庁
助言H16.6.10A0067",北盟測量(株),"H16.5.26
H16.9.13",,
北海道,"旭川市,",道路管理,基準点,2級,3point,"旭川市
助言H16.6.10A0068",五大建設コンサルタント(株),"H16.7.1
H16.9.30",,
北海道,"士別市,",河川管理,座標変換,3級,1point,"北海道旭川土木現業所
助言H16.6.10A0069",新栄コンサルタント(株),"H16.6.21
H16.10.27",,
北海道,"士別市,",改良,"基準点,基準点","2級,,3級","2point,38point","北海道上川支庁
助言H16.6.10A0070",(株)北開測地,"H16.6.11
H17.2.10",,
北海道,"美瑛町,",河川管理,基準点,3級,5point,"旭川開発建設部
助言H16.6.10A0071",旭川設計測量(株),"H16.6.21
H16.9.10",,
北海道,"滝川市,",道路計画,基準点,2級,4point,"北海道石狩支庁
助言H16.6.10A0072",沼田測量設計(株),"H16.6.7
H16.9.30",,
北海道,"滝川市,",道路計画,基準点,3級,6point,"北海道石狩支庁
助言H16.6.10A0073",蟻戸測量設計(株),"H16.6.7
H16.9.30",,
北海道,"門別町,",改良,基準点,3級,21point,"北海道日高支庁
助言H16.6.11A0074",(株)日高測量,"H16.6.11
H16.8.31",,
北海道,"瀬棚町,",港湾計画,座標変換,3級,5point,"函館開発建設部
助言H16.6.11A0075",北海道測量事業協同組合,"H16.6.11
H16.8.25",,
