都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,計画機関,作業機関,実施時期,付図番号
山口県,"宇部市,",土地区画整理,"基準点,基準点","3級,,4級","1point,24point",山口県宇部市助言090530G0038,サンヨーコンサルタント(株),"09.06.06,10.03.20",
山口県,"宇部市,",農道測量,"基準点,基準点","3級,,4級","7point,80point",山口県山口土地改良事務所助言091224G0330,(株)チェリーコンサルタント,"09.12.24,10.03.20",
山口県,"山口市,",土地区画整理,"基準点,基準点","3級,,4級","3point,41point",山口県山口市助言090722G0103,(財)山口県土地区画整理協会,"09.07.28,09.09.30",
山口県,"阿知須町,",ほ場整備,"基準点,基準点","3級,,4級","6point,0.3KM2",山口県山口土地改良事務所助言090916G0182,山口県土地改良事業団体連合会,"09.09.16,10.01.30",
山口県,"美和町,",ほ場整備,"基準点,基準点","3級,,4級","5point,0.1KM2",山口県美和町助言091104G0270,山口県土地改良事業団体連合会,"09.11.10,10.03.31",
山口県,"本郷村,",ほ場整備,"基準点,基準点","3級,,4級","2point,0.1KM2",山口県本郷村助言091120G0295,山口県土地改良事業団体連合会,"09.12.01,10.03.20",
山口県,"山口市,",土地区画整理,基準点,4級,40point,山口県山口市助言090922G0200,(財)山口県土地区画整理協会,"09.10.01,10.02.28",
山口県,"下関市,",ほ場整備,基準点,4級,0.3KM2,山口県下関市助言090630G0073,山口県土地改良事業団体連合会,"09.07.01,09.11.28",
山口県,"大島町,",ほ場整備,基準点,4級,0.1KM2,山口県大島町助言090709G0091,山口県土地改良事業団体連合会,"09.07.14,09.12.26",
山口県,"大和町,",ほ場整備,基準点,4級,0.3KM2,山口県柳井土地改良事務所助言090924G0203,山口県土地改良事業団体連合会,"09.10.01,10.03.16",
山口県,"大和町,",ほ場整備,基準点,4級,0.3KM2,山口県柳井土地改良事務所助言090929G0209,山口県土地改良事業団体連合会,"09.10.01,10.03.16",
山口県,"美和町,",ほ場整備,基準点,4級,0.2KM2,山口県美和町助言091017G0236,山口県土地改良事業団体連合会,"09.10.17,10.03.31",
山口県,"美和町,",ほ場整備,基準点,4級,0.1KM2,山口県美和町助言091017G0237,山口県土地改良事業団体連合会,"09.11.10,10.03.31",
山口県,"熊毛町,",ほ場整備,基準点,4級,0.2KM2,山口県徳山土地改良事務所助言091104G0277,山口県土地改良事業団体連合会,"09.11.10,10.03.10",
山口県,"柳井市,",ほ場整備,基準点,4級,0.1KM2,山口県柳井市助言091224G0333,山口県土地改良事業団体連合会,"10.01.20,10.03.25",
山口県,"山口市,",集落排水計画,"撮影,写測図化,水準","4000,,500,,3級","3.8KM2,3.8KM2,58.0km",山口県山口市助言090805G0121,山口県土地改良事業団体連合会,"09.06.30,10.02.25",
山口県,"周東町,",下水道計画,"撮影,数値図化","5000,,500","2.1KM2,0.2KM2",山口県周東町助言090508G0024,(株)ウエスコ,"09.05.01,09.08.25",
山口県,"宇部市,",集落排水事業計画,"撮影,数値図化","5000,,500","24.0KM2,1.2KM2",山口県宇部市助言091114G0289,朝日航洋(株),"09.06.26,09.11.28",2316
山口県,"平生町,",1/500地形図作成,"撮影,数値図化","5000,,500","9.0KM2,0.7KM2",山口県平生町助言100112G0346,朝日航洋(株),"09.12.10,10.03.25",
山口県,"豊北町,",林道台帳,"撮影,写測図化,水準","8000,,1000,,簡級","3.7KM2,0.1KM2,7.0km",山口県豊北町助言090929G0208,アジア航測(株),"09.08.18,09.12.19",
山口県,"宇部市,",道路計画,"撮影,写測図化","8000,,1000","2.0KM2,2.0KM2",山口県宇部小野田湾岸道路建設事務所助言090805G0124,朝日航洋(株),"09.06.28,09.09.25",
山口県,"萩市,",林道台帳,"撮影,写測図化","8000,,1000","13.0KM2,0.8KM2",山口県萩市助言091104G0271,朝日航洋(株),"09.09.01,10.01.25",
山口県,"周東町,",ほ場整備,"撮影,写測図化","10000,,1000","21.2KM2,0.4KM2",山口県周東町助言091104G0275,(株)ヒロコーコンサル,"09.11.01,10.03.27",2171
山口県,"美祢市,",都市計画,"撮影,写測修正","10000,,2500","35.0KM2,7.2KM2",山口県美祢市助言090815G0141,朝日航洋(株),"09.06.25,09.10.31",1353
山口県,"岩国市,柳井市,由宇町,美和町,本郷村,美川町,錦町,",河川台帳,"撮影,写測図化","12500,,2500","210.0KM2,21.0KM2",山口県岩国土木建築事務所助言091226G0336,(株)日航コンサルタント,"09.12.19,10.03.20",2699
山口県,"阿東町,川上村,旭村,むつみ村,福栄村,阿武町,田万川町,須佐町,萩市,",森林計画,"撮影,写測修正","16000,,5000","131.0KM2,37.8KM2",山口県助言090527G0035,(社)日本林業技術協会,"09.05.30,09.07.31",331
山口県,"宇部市,",地形図作成,"カラー撮影,数値図化","5000,,500","17.0KM2,4.1KM2",山口県宇部市助言100107G0338,朝日航洋(株),"09.12.01,10.03.27",2743
山口県,"長門市,",林道台帳,"カラー撮影,写測図化","8000,,1000","37.0KM2,14.5KM2",山口県長門市助言091121G0301,(株)パスコ,"09.10.15,09.12.10",2415
山口県,"柳井市,",課税資料作成,カラー撮影,10000,13.1KM2,広島国税局助言091125G0305,朝日航洋(株),"09.11.14,09.12.13",
山口県,"下関市,",下水道計画,数値図化,500,2.2KM2,山口県下関市助言090916G0188,(株)パスコ,"09.09.10,10.03.31",
山口県,"山口市,",下水道計画,白地図等,500,3.6KM2,山口県山口市助言090626G0066,朝日航洋(株),"09.06.17,10.03.31",
山口県,"宇部市,小野田市,",道路計画,写測図化,1000,3.6KM2,山口県宇部小野田港湾道路建設事務所助言090805G0123,国際航業(株),"09.06.28,09.09.25",
山口県,"美東町,",道路計画,写測図化,1000,2.8KM2,山口県美祢土木事務所助言090812G0131,朝日航洋(株),"09.07.10,09.10.17",
山口県,"山口市,",都市計画,"写測図化,編集","2500,,10000","57.9KM2,104.5KM2",山口県山口市助言091003G0219,朝日航洋(株),"09.08.27,10.03.20",1942
山口県,"岩国市,和木町,",河川計画,写測修正,2500,23.8KM2,太田川工事事務所助言091017G0235,アジア航測(株),"09.07.15,09.12.01",
山口県,"大和町,",郵便地図調製,編集,25000,531.9KM2,中国郵政局助言090905G0171,直営,"09.09.12,10.03.31",
徳島県,"徳島市,",道路計画,基準点,2級,4point,建設省四国地方建設局徳島工事事務所助言090918H0097,四国建設コンサルタント(株),"09.09.16,09.09.30",
徳島県,"日和佐町,",道路計画,"基準点,基準点","2級,,3級","2point,3point",建設省四国地方建設局徳島工事事務所助言091006H0100,四国建設コンサルタント(株),"09.10.08,09.10.31",
徳島県,"三野町,",河川計画,"基準点,基準点,基準点","2級,,3級,,4級","1point,4point,19point",建設省四国地方建設局徳島工事事務所助言100106H0134,四国建設コンサルタント(株),"09.12.10,10.03.25",
徳島県,"三野町,美馬町,",河川計画,"基準点,基準点,基準点","2級,,3級,,4級","4point,3point,21point",建設省四国地方建設局徳島工事事務所助言100106H0135,(株)エコー建設コンサルタント,"09.12.06,10.03.25",
徳島県,"脇町,",ほ場整備,"基準点,基準点","2級,,3級","2point,3point",徳島県脇町農林事務所助言100106H0133,興国測量(株),"10.01.10,10.12.25",
徳島県,"土成町,市場町,",ほ場整備,基準点,2級,5point,徳島県川島農林事務所助言090714H0040,松本測量設計(株),"09.06.30,09.12.24",
徳島県,"東祖谷山村,",農地開発,基準点,2級,7point,徳島県池田農林事務所助言090910H0090,松本測量設計(株),"09.08.27,09.12.10",
徳島県,"徳島市,松茂町,北島町,脇町,美馬町,穴吹町,貞光町,",河川管理,基準点,2級,24point,建設省四国地方建設局徳島工事事務所助言100311H0171,(株)第一測量設計事務所,"10.02.25,10.03.27",
徳島県,"阿南市,",ほ場整備,基準点,2級,9point,徳島県阿南農林事務所助言100210H0154,(有)国土測量設計事務所,"10.02.19,10.03.10",
徳島県,"海南町,",ほ場整備,"基準点,基準点","2級,,3級","2point,5point",徳島県海南町助言091215H0128,(株)北辰測量設計,"09.12.01,10.03.20",
徳島県,"阿南市,",ほ場整備,基準点,2級,12point,徳島県阿南農林事務所助言090807H0067,協立測量設計(株),"09.09.01,09.09.30",
徳島県,"徳島市,北島町,",河川管理,基準点,3級,21.0km,建設省四国地方建設局徳島工事事務所助言100122H0139,(株)フジタ建設コンサルタント,"10.01.15,10.03.25",
徳島県,"池田町,",道路敷地測量,基準点,3級,9point,建設省四国地方建設局徳島工事事務所助言091110H0112,阿波測建(株),"09.10.15,10.03.10",
徳島県,"鳴門市,",用地管理,"基準点,基準点","3級,,4級","2point,48point",本州四国連絡橋公団第一建設局鳴門管理事務所助言090623H0031,(株)エコー建設コンサルタント,"09.05.03,09.11.20",
徳島県,"鴨島町,",道路敷地測量,基準点,3級,9point,建設省四国地方建設局徳島工事事務所助言091110H0110,"興国測量(株),(有)ユニオン測量設計事務所","09.10.15,10.03.10",
徳島県,"市場町,",河川管理,基準点,3級,3point,建設省四国地方建設局徳島工事事務所助言100121H0137,松本測量設計(株),"10.01.08,10.03.20",
徳島県,"日和佐町,",道路敷地測量,基準点,3級,16point,建設省四国地方建設局徳島工事事務所助言091110H0111,(株)第一測量設計事務所,"09.10.15,10.03.10",
徳島県,"上那賀町,木沢村,",ダム計画,"基準点,水準,空三,写測図化,編集","4級,,簡級,,2500,,2500","2point,10.5KM2,4M,4.4KM2,7.1KM2",建設省四国地方建設局細川内ダム工事事務所助言090825H0076,アジア航測(株),"09.08.11,09.10.31",
徳島県,"徳島市,鳴門市,松茂町,北島町,",構造物変動調査,水準,1級,17.3km,水資源開発公団旧吉野川河口堰管理所助言100216H0158,新弘測量設計(株),"10.02.16,10.03.25",
徳島県,"松茂町,藍住町,北島町,",河川管理,水準,3級,48.0km,建設省四国地方建設局徳島工事事務所助言100121H0138,(株)フジ設計,"10.01.13,10.03.25",
徳島県,"阿南市,",道路計画,"水準,空三,写測図化","簡級,,2500","11.5km,9M,6.2KM2",建設省四国地方建設局徳島工事事務所助言090707H0038,アジア航測(株),"09.07.01,09.09.30",
徳島県,"池田町,",道路計画,"撮影,空三,水準,数値図化","10000,,簡級,,2500","24.5KM2,13M,12.8km,9.8KM2",建設省四国地方建設局徳島工事事務所助言100126H0142,(株)ウエスコ,"10.01.22,10.03.27",2962*
徳島県,"木頭村,日和佐町,牟岐町,海南町,海部町,宍喰町,",森林計画,撮影,16000,430.0KM2,徳島県助言090509H0006,(株)パスコ,"09.04.25,09.11.30",301
徳島県,"小松島市,阿南市,羽ノ浦町,",道路計画,"カラー撮影,水準,空三,写測図化","10000,,簡級,,2500","54.9KM2,10.5km,26M,10.5KM2",徳島県阿南土木事務所助言100303H0168,三和航測(株),"10.02.16,10.03.25",3291
