都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,測量計画機関（助言番号）,測量作業機関,実施時期,,2018.01.14修正
北海道,"松前町,",その他,基準点測量,１級,2point,"北海道松前町 
助言　　　H25.4.12  A0001","株式会社シン技術コンサ
ル ","H24.12.26 
H25.4.30",,
北海道,"上富良野町,",その他,数値図化,1000,3KM2,"北海道上川総合振興局 
助言　　　H25.4.16  A0002",株式会社シバンス ,"H25.3.26 
H25.6.20",,
北海道,"島牧村,",その他,航空レーザ測量,1000,2KM2,"北海道開発局小樽開発建設部 
助言　　　H25.4.25  A0003","株式会社タナカコンサル
タント ","H25.4.22 
H25.6.26",,
北海道,"京極町,",道路計画,"基準点測量,基準点測量","１級,,２級","2point,1point","北海道京極町 
助言　　　H25.5.9  A0004",ダイシン設計株式会社 ,"H25.5.7 
H25.7.31",,
北海道,"安平町,",その他,"基準点測量,基準点測量","１級,,３級","2point,3point","北海道安平町 
助言　　　H25.5.14  A0005","株式会社タナカコンサル
タント ","H25.5.1 
H25.8.20",,
北海道,"士幌町,",その他,"基準点測量,基準点測量","１級,,３級","1point,5point","北海道開発局帯広開発建設部 
助言　　　H25.5.15  A0006",冨洋設計株式会社 ,"H25.4.27 
H25.11.22",,
北海道,"帯広市,",その他,"基準点測量,基準点測量","１級,,３級","2point,4point","北海道十勝総合振興局 
助言　　　H25.5.15  A0007","北海道土木設計株式会
社 ","H25.5.10 
H25.7.31",,
北海道,"上ノ国町,",その他,基準点測量,３級,3point,"北海道上ノ国町 
助言　　　H25.5.15  A0008","パブリックコンサルタント
株式会社 ","H25.5.14 
H25.7.30",,
北海道,"士幌町,",その他,"基準点測量,基準点測量,基準点測量","１級,,２級,,４級","1point,1point,18point","北海道開発局帯広開発建設部 
助言　　　H25.5.20  A0009","北王コンサルタント株式
会社 ","H25.5.11 
H25.12.4",,
北海道,"安平町,",その他,"基準点測量,基準点測量","１級,,３級","1point,1point","北海道安平町 
助言　　　H25.5.20  A0010",沼田測量設計株式会社 ,"H25.5.15 
H25.7.30",,
北海道,"厚岸町,",道路管理,基準点測量,２級,6point,"北海道厚岸町 
助言　　　H25.5.20  A0011","東邦コンサルタント株式
会社 ","H25.5.21 
H25.8.8",,
北海道,"厚岸町,",その他,基準点測量,３級,3point,"北海道厚岸町 
助言　　　H25.5.20  A0012","株式会社郡土木コンサ
ルタント ","H25.5.21 
H25.8.8",,
北海道,"稚内市,",都市計画,修正測量,2500,25.87KM2,"北海道稚内市 
助言　　　H25.5.20  A0013","株式会社シン技術コンサ
ル ","H25.4.24 
H26.3.31",,
北海道,"占冠村,壮瞥町,",その他,"航空レーザ測量,航空レーザ測量","1000,,その他","438KM2,438KM2","北海道開発局室蘭開発建設部 
助言　　　H25.5.23  A0014",北海航測株式会社 ,"H25.5.20 
H26.1.31",,
北海道,"本別町,",都市計画,"数値撮影(デジタル),既成図数値化,修正測量,写真地図作成(デジタルオルソ),地形図等成果の座標補正","15,,2500,,2500,,2500,,2500","13.05KM2,13.05KM2,13.05KM2,13.05KM2,13.05KM2","北海道本別町 
助言　　　H25.5.22  A0015","株式会社シン技術コンサ
ル ","H25.5.17 
H26.3.26",,
北海道,"倶知安町,",その他,基準点測量,２級,2point,"北海道開発局小樽開発建設部 
助言　　　H25.5.27  A0016","パブリックコンサルタント
株式会社 ","H25.5.24 
H25.7.31",,
