都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,測量計画機関（助言番号）,測量作業機関,実施時期,,2018.01.14修正
北海道,"せたな町,",その他,基準点測量,３級,17point,"北海道檜山振興局 
助言　　　H25.5.28  A0017","株式会社帝国設計事務
所 ","H25.5.27 
H25.7.29",,
北海道,"池田町,",土地改良,基準点測量,３級,3point,"北海道開発局帯広開発建設部
帯広農業事務所 
助言　　　H25.5.29  A0018","サン技術コンサルタント
株式会社 ","H25.5.27 
H25.12.17",,
北海道,"札幌市,",その他,"数値撮影(デジタル),写真地図作成(デジタルオルソ)","20,,2500","696KM2,696KM2","北海道札幌市 
助言　　　H25.5.31  A0019","株式会社シン技術コンサ
ル ","H25.5.17 
H25.11.29",,
北海道,"千歳市,",固定資産,"数値撮影(デジタル),数値撮影(デジタル),写真地図作成(デジタルオルソ)","20,,14,,2500","275.7KM2,1.2KM2,275KM2","北海道千歳市 
助言　　　H25.5.31  A0020","株式会社シン技術コンサ
ル ","H25.5.22 
H25.12.16",,
北海道,"長沼町,",その他,基準点測量,３級,38point,"北海道空知総合振興局 
助言　　　H25.6.6  A0021",北海航測株式会社 ,"H25.5.24 
H25.9.10",,
北海道,"士別市,",その他,基準点測量,３級,3point,"北海道士別市 
助言　　　H25.5.30  A0022","株式会社アクセスフィー
ルド ","H25.5.17 
H25.10.31",,
北海道,"南富良野町,",その他,基準点測量,３級,7point,"北海道上川総合振興局 
助言　　　H25.5.30  A0023","株式会社ルーラルエンジ
ニア ","H25.5.21 
H25.11.29",,
北海道,"滝川市,",その他,基準点測量,３級,14point,"北海道空知総合振興局 
助言　　　H25.6.3  A0024","株式会社北海道農業建
設コンサルタント ","H25.5.25 
H25.11.30",,
北海道,"稚内市,",総合計画,"数値撮影(デジタル),写真地図作成(デジタルオルソ)","20,,20","142.27KM2,142.27KM2","北海道稚内市 
助言　　　H25.6.3  A0025",株式会社ＧＩＳ北海道 ,"H25.6.1 
H26.3.31",,
北海道,"美瑛町,",その他,基準点測量,１級,4point,"北海道開発局旭川開発建設部
旭川河川事務所 
助言　　　H25.6.3  A0026","新栄コンサルタント株式
会社 ","H25.5.28 
H25.9.26",,
北海道,"中標津町,",その他,基準点測量,３級,4point,"北海道中標津町 
助言　　　H25.6.3  A0027","有限会社サノ測量設計
社 ","H25.5.28 
H25.8.20",,
北海道,"中標津町,",その他,"基準点測量,基準点測量","１級,,３級","2point,4point","北海道中標津町 
助言　　　H25.6.3  A0028","有限会社伊藤測量事務
所 ","H25.5.28 
H25.9.5",,
北海道,"妹背牛町,",その他,基準点測量,３級,12point,"北海道空知総合振興局 
助言　　　H25.6.6  A0029",技研測量設計株式会社 ,"H25.5.28 
H26.3.10",,
北海道,"上砂川町,",河川計画,基準点測量,３級,2point,"北海道空知総合振興局 
助言　　　H25.6.6  A0030",日測技研株式会社 ,"H25.4.26 
H25.8.30",,
北海道,"士別市,",その他,基準点測量,３級,2point,"北海道士別市 
助言　　　H25.6.5  A0031","株式会社ミズタエンジニ
アリング ","H25.6.3 
H25.9.30",,
北海道,"共和町,",その他,基準点測量,１級,1point,"北海道開発局小樽開発建設部
岩内道路事務所 
助言　　　H25.6.4  A0032",ＨＲＳ株式会社 ,"H25.6.3 
H26.3.20",,
北海道,"妹背牛町,",その他,基準点測量,３級,24point,"北海道空知総合振興局 
助言　　　H25.6.17  A0033","北海道調査補償株式会
社 ","H25.5.7 
H26.3.10",,
北海道,"南幌町,",その他,基準点測量,３級,36point,"北海道空知総合振興局 
助言　　　H25.6.6  A0034",株式会社桜井測量 ,"H25.6.1 
H25.10.10",,
北海道,"斜里町,",その他,基準点測量,３級,1point,"北海道斜里町 
助言　　　H25.6.6  A0035","株式会社アサヒ建設コン
サルタント ","H25.6.10 
H25.9.30",,
北海道,"滝川市,",その他,基準点測量,３級,23point,"北海道空知総合振興局 
助言　　　H25.6.17  A0036",株式会社みずほ栄設計 ,"H25.6.1 
H26.2.20",,
北海道,"長万部町,",その他,基準点測量,１級,1point,"北海道渡島総合振興局 
助言　　　H25.6.7  A0037","パブリックコンサルタント
株式会社 ","H25.6.6 
H25.8.30",,
北海道,"喜茂別町,",その他,基準点測量,１級,2point,"北海道喜茂別町 
助言　　　H25.6.10  A0038",和光技研株式会社 ,"H25.6.6 
H25.7.31",,
北海道,"根室市,",その他,"基準点測量,基準点測量,路線測量","２級,,４級,,","2point,9point,0.2km","北海道根室市 
助言　　　H25.6.10  A0039",株式会社プラテック ,"H25.5.25 
H25.10.18",,
北海道,"音更町,",その他,基準点測量,地籍図根三角点,1point,"北海道音更町 
助言　　　H25.6.10  A0040",株式会社八州 ,"H25.6.4 
H25.8.20",,
北海道,"上士幌町,",その他,"基準点測量,基準点測量","２級,,３級","9point,10point","北海道開発局帯広開発建設部 
助言　　　H25.6.10  A0041",株式会社農土コンサル ,"H25.6.5 
H25.12.20",,
北海道,"小平町,",その他,基準点測量,２級,2point,"北海道留萌振興局 
助言　　　H25.6.11  A0042","ランド・スペース・ワーク
ス株式会社 ","H25.5.24 
H25.7.30",,
北海道,"猿払村,",その他,基準点測量,２級,1point,"北海道開発局稚内開発建設部 
助言　　　H25.6.11  A0043",株式会社アルト技研 ,"H25.5.11 
H25.11.27",,
北海道,"猿払村,",その他,基準点測量,３級,2point,"北海道宗谷総合振興局 
助言　　　H25.6.11  A0044",宗谷測量株式会社 ,"H25.6.4 
H25.8.30",,
北海道,"知内町,木古内町,",その他,"基準点測量,基準点測量","１級,,３級","8point,5point","鉄道建設・運輸施設整備支援
機構 
助言　　　H25.6.11  A0045",協友測量設計株式会社 ,"H25.6.7 
H25.8.16",,
北海道,"旭川市,",その他,基準点測量,２級,2point,"北海道上川総合振興局 
助言　　　H25.6.11  A0046",株式会社ネクシス光洋 ,"H25.6.6 
H25.10.10",,
北海道,"中富良野町,",その他,基準点測量,４級,122point,"北海道上川総合振興局 
助言　　　H25.6.11  A0047","やまざきコンサルタント株
式会社 ","H25.6.10 
H25.12.16",,
北海道,"黒松内町,",その他,基準点測量,３級,2point,"北海道黒松内町 
助言　　　H25.6.13  A0048","スミセキ・ジオテクノ株式
会社 ","H25.6.11 
H25.8.30",,
北海道,"枝幸町,",その他,基準点測量,３級,2point,"北海道宗谷総合振興局 
助言　　　H25.6.17  A0049",宗谷測量株式会社 ,"H25.6.12 
H25.9.30",,
北海道,"富良野市,上富良野町,",その他,"基準点測量,基準点測量","２級,,３級","2point,1point","北海道開発局旭川開発建設部 
助言　　　H25.6.17  A0050","三共測量コンサルタント
株式会社 ","H25.6.11 
H25.11.28",,
北海道,"ニセコ町,倶知安町,小樽市,札幌市,",その他,"基準点測量,基準点測量,基準点測量,水準測量","１級,,２級,,３級,,３級","1point,26point,5point,55.7km","鉄道建設・運輸施設整備支援
機構 
助言　　　H25.6.19  A0051","スミセキ・ジオテクノ株式
会社 ","H25.6.13 
H26.1.6",,
北海道,"幌加内町,",その他,"基準点測量,基準点測量","２級,,４級","6point,39point","北海道上川総合振興局 
助言　　　H25.6.17  A0052",藤井測量設計株式会社 ,"H25.6.12 
H25.10.30",,
北海道,"北竜町,",その他,"基準点測量,基準点測量","１級,,３級","7point,25point","北海道空知総合振興局 
助言　　　H25.6.20  A0053",扇コンサル株式会社 ,"H25.6.3 
H25.11.29",,
北海道,"沼田町,北竜町,",その他,基準点測量,３級,6point,"北海道空知総合振興局 
助言　　　H25.6.21  A0054","株式会社ルーラルエンジ
ニア ","H25.4.30 
H26.2.10",,
北海道,"沼田町,",その他,基準点測量,３級,7point,"北海道空知総合振興局 
助言　　　H25.7.3  A0055","株式会社帝国設計事務
所 ","H25.6.8 
H26.2.20",,
北海道,"岩見沢市,",その他,基準点測量,３級,21point,"北海道空知総合振興局 
助言　　　H25.6.21  A0056",ダイシン設計株式会社 ,"H25.6.6 
H26.2.10",,
北海道,"岩見沢市,",その他,基準点測量,３級,12point,"北海道空知総合振興局 
助言　　　H25.7.3  A0057",株式会社みずほ栄設計 ,"H25.6.13 
H25.12.10",,
北海道,"南幌町,",その他,基準点測量,３級,12point,"北海道空知総合振興局 
助言　　　H25.6.20  A0058",拓新エンジニア株式会社 ,"H25.6.11 
H26.3.10",,
北海道,"岩見沢市,",都市計画,"数値図化,修正測量","2500,,2500","1.72KM2,108.81KM2","北海道岩見沢市 
助言　　　H25.7.3  A0059",株式会社ＧＩＳ北海道 ,"H25.5.30 
H26.3.14",,
北海道,"訓子府町,",その他,"基準点測量,基準点測量,水準測量","１級,,３級,,３級","5point,14point,23km","北海道オホーツク総合振興局 
助言　　　H25.6.19  A0060","株式会社中神土木設計
事務所 ","H25.6.12 
H26.3.20",,
北海道,"上富良野町,",その他,基準点測量,３級,15point,"北海道上川総合振興局 
助言　　　H25.6.18  A0061","東光コンサルタント株式
会社 ","H25.6.8 
H25.9.10",,
北海道,"猿払村,",その他,基準点測量,２級,4point,"北海道開発局稚内開発建設部 
助言　　　H25.6.18  A0062",二水測量設計株式会社 ,"H25.6.12 
H26.1.10",,
北海道,"旭川市,",基準点管理,基準点測量,３級,1point,"北海道旭川市 
助言　　　H25.6.18  A0063",株式会社ランドサポート ,"H25.6.13 
H25.11.29",,
北海道,"島牧村,",その他,"数値撮影(デジタル),同時調整,数値図化","12,,1000,,1000","14.89KM2,14.89KM2,0.91KM2","北海道後志総合振興局 
助言　　　H25.6.19  A0064","株式会社シン技術コンサ
ル ","H25.6.17 
H25.7.19",,
北海道,"せたな町,",その他,"基準点測量,基準点測量","１級,,３級","5point,7point","北海道檜山振興局 
助言　　　H25.6.19  A0065","株式会社ルーラルエンジ
ニア ","H25.6.17 
H25.7.31",,
北海道,"士別市,",その他,基準点測量,２級,4point,"北海道上川総合振興局 
助言　　　H25.6.19  A0066","株式会社ダイイチプラニ
ング ","H25.6.17 
H25.8.30",,
北海道,"厚岸町,",その他,"数値撮影(デジタル),数値図化,写真地図作成(デジタルオルソ)","12,,1000,,1000","48KM2,10.6KM2,48KM2","北海道開発局釧路開発建設部 
助言　　　H25.6.21  A0067",株式会社八州 ,"H25.5.31 
H26.1.20",,
北海道,"池田町,",地籍調査,"その他,その他","座標変換,,座標補正","100.94KM2,100.94KM2","北海道池田町 
助言　　　H25.6.21  A0068",株式会社高崎 ,"H25.6.24 
H26.3.14",,
北海道,"蘭越町,",その他,"基準点測量,基準点測量","１級,,３級","9point,22point","北海道後志総合振興局 
助言　　　H25.6.27  A0069","株式会社北海道農業建
設コンサルタント ","H25.6.18 
H25.10.30",,
北海道,"厚沢部町,",その他,"基準点測量,基準点測量,基準点測量","１級,,２級,,３級","3point,1point,3point","北海道檜山振興局 
助言　　　H25.6.27  A0070",北海航測株式会社 ,"H25.6.18 
H25.7.31",,
北海道,"奥尻町,",その他,"基準点測量,基準点測量","１級,,３級","2point,4point","北海道檜山振興局 
助言　　　H25.6.27  A0071",株式会社シバンス ,"H25.6.18 
H26.1.10",,
北海道,"北見市,",その他,"基準点測量,路線測量","３級,,","4point,0.456km","北海道オホーツク総合振興局 
助言　　　H25.6.21  A0072",株式会社カワムラ ,"H25.6.6 
H26.1.30",,
北海道,"小清水町,",その他,"基準点測量,基準点測量","２級,,３級","1point,4point","北海道オホーツク総合振興局 
助言　　　H25.6.21  A0073","株式会社ルーラルエンジ
ニア ","H25.6.18 
H26.3.20",,
北海道,"中川町,音威子府村,下川町,名寄市,",その他,航空レーザ測量,1000,27.28KM2,"北海道開発局旭川開発建設部 
助言　　　H25.6.21  A0074",朝日航洋株式会社 ,"H25.5.30 
H26.1.24",,
北海道,"上川町,愛別町,鷹栖町,旭川市,",その他,航空レーザ測量,1000,43.7KM2,"北海道開発局旭川開発建設部 
助言　　　H25.6.21  A0075","株式会社北海道朝日航
洋 ","H25.5.23 
H26.1.17",,
北海道,"上士幌町,",その他,"基準点測量,基準点測量","２級,,３級","4point,6point","北海道開発局帯広開発建設部 
助言　　　H25.6.21  A0076",株式会社ズコーシャ ,"H25.6.18 
H26.2.10",,
北海道,"千歳市,",その他,"基準点測量,基準点測量","１級,,２級","3point,4point","北海道開発局札幌開発建設部 
助言　　　H25.7.1  A0077","北海道道路エンジニアリ
ング株式会社 ","H25.6.13 
H25.8.31",,
北海道,"北竜町,",その他,基準点測量,３級,44point,"北海道空知総合振興局 
助言　　　H25.7.9  A0078",株式会社北開測地 ,"H25.6.14 
H26.3.10",,
北海道,"岩見沢市,",その他,基準点測量,３級,5point,"北海道空知総合振興局 
助言　　　H25.7.3  A0079",嵯峨測量設計株式会社 ,"H25.6.14 
H25.12.10",,
北海道,"栗山町,",その他,基準点測量,３級,17point,"北海道空知総合振興局 
助言　　　H25.7.9  A0080",嵯峨測量設計株式会社 ,"H25.6.15 
H26.2.28",,
北海道,"石狩市,",その他,基準点測量,３級,9point,"北海道空知総合振興局 
助言　　　H25.7.3  A0081","明成コンサルタント株式
会社 ","H25.6.19 
H25.11.29",,
北海道,"苫小牧市,",その他,"基準点測量,基準点測量","１級,,２級","6point,3point","北海道開発局室蘭開発建設部 
助言　　　H25.6.21  A0082","株式会社タナカコンサル
タント ","H25.6.21 
H25.12.2",,
北海道,"むかわ町,",その他,基準点測量,３級,4point,"北海道胆振総合振興局 
助言　　　H25.6.21  A0083","株式会社北海道農業建
設コンサルタント ","H25.6.20 
H25.8.30",,
北海道,"釧路市,",その他,基準点測量,１級,1point,"北海道釧路市 
助言　　　H25.6.21  A0084","山下コンサルタント株式
会社 ","H25.6.24 
H25.10.31",,
北海道,"新ひだか町,",その他,"基準点測量,基準点測量","１級,,３級","2point,1point","北海道胆振総合振興局 
助言　　　H25.6.24  A0085",株式会社日高測量 ,"H25.6.20 
H25.9.10",,
北海道,"北見市,",その他,基準点測量,３級,3point,"北海道オホーツク総合振興局 
助言　　　H25.6.25  A0086",株式会社北杜設計 ,"H25.6.18 
H25.11.29",,
北海道,"様似町,",その他,基準点測量,３級,2point,"北海道開発局室蘭開発建設部 
助言　　　H25.6.25  A0087","株式会社細道コンサルタ
ント ","H25.6.21 
H25.8.30",,
北海道,"苫小牧市,安平町,",その他,基準点測量,３級,7point,"北海道開発局室蘭開発建設部 
助言　　　H25.6.27  A0088","株式会社イーエス総合研
究所 ","H25.6.25 
H25.10.15",,
北海道,"士幌町,音更町,",その他,基準点測量,３級,9point,"北海道開発局帯広開発建設部 
助言　　　H25.6.26  A0089","株式会社フロンティア技
研 ","H25.6.18 
H25.7.31",,
北海道,"喜茂別町,",その他,"基準点測量,基準点測量","１級,,３級","1point,4point","北海道開発局小樽開発建設部 
助言　　　H25.6.27  A0090","株式会社山調住建コン
サルタント ","H25.6.25 
H25.10.25",,
北海道,"別海町,",その他,基準点測量,２級,6point,"北海道根室振興局 
助言　　　H25.6.28  A0091",株式会社津村測量設計 ,"H25.6.7 
H25.12.20",,
北海道,"別海町,",その他,"基準点測量,水準測量","２級,,４級","3point,5.7km","北海道根室振興局 
助言　　　H25.6.28  A0092","東邦コンサルタント株式
会社 ","H25.6.7 
H25.12.20",,
北海道,"奥尻町,",その他,"基準点測量,基準点測量","１級,,３級","2point,3point","北海道檜山振興局 
助言　　　H25.7.1  A0093",株式会社測土開発 ,"H25.7.1 
H25.9.20   ",,
北海道,"森町,",その他,基準点測量,３級,13point,"北海道渡島総合振興局 
助言　　　H25.7.1  A0094","株式会社シー・イー・
サービス ","H25.6.27 
H25.8.15",,
北海道,"壮瞥町,",その他,基準点測量,３級,3point,"北海道胆振総合振興局 
助言　　　H25.7.1  A0095",株式会社及川測量 ,"H25.6.27 
H25.9.20",,
北海道,"北竜町,",その他,基準点測量,３級,11point,"北海道空知総合振興局 
助言　　　H25.7.17  A0096",扇コンサル株式会社 ,"H25.6.17 
H25.11.29",,
北海道,"北竜町,",その他,基準点測量,３級,23point,"北海道空知総合振興局 
助言　　　H25.7.9  A0097","内外エンジニアリング北
海道株式会社 ","H25.7.1 
H25.7.31",,
北海道,"北竜町,",その他,基準点測量,３級,15point,"北海道空知総合振興局 
助言　　　H25.7.17  A0098","パブリックコンサルタント
株式会社 ","H25.6.20 
H25.7.31",,
北海道,"奈井江町,",その他,基準点測量,３級,10point,"北海道空知総合振興局 
助言　　　H25.7.17  A0099",株式会社本山測量設計 ,"H25.6.27 
H25.7.31",,
北海道,"当別町,",その他,基準点測量,３級,11point,"北海道石狩振興局 
助言　　　H25.7.17  A0100",北海航測株式会社 ,"H25.6.21 
H25.8.15",,
北海道,"札幌市,",その他,"基準点測量,基準点測量","３級,,４級","3point,68point","北海道札幌市 
助言　　　H25.7.22  A0101","株式会社山調住建コン
サルタント ","H25.6.20 
H26.3.15",,
北海道,"赤平市,",都市計画,数値図化,2500,44.72KM2,"北海道赤平市 
助言　　　H25.7.22  A0102","株式会社北海道朝日航
洋 ","H25.6.28 
H25.11.29",,
北海道,"枝幸町,",その他,"基準点測量,基準点測量","２級,,３級","1point,6point","北海道宗谷総合振興局 
助言　　　H25.7.2  A0103",北陽測量設計株式会社 ,"H25.6.20 
H25.11.5",,
北海道,"猿払村,",その他,基準点測量,２級,1point,"北海道開発局稚内開発建設部 
助言　　　H25.7.2  A0104",アルスマエヤ株式会社 ,"H25.6.20 
H25.11.20",,
北海道,"幌延町,",その他,基準点測量,３級,4point,"北海道宗谷総合振興局 
助言　　　H25.7.2  A0105","株式会社北海道水工コ
ンサルタンツ ","H25.7.8 
H26.3.20",,
北海道,"猿払村,",その他,"基準点測量,基準点測量","１級,,３級","4point,9point","北海道宗谷総合振興局 
助言　　　H25.7.2  A0106","株式会社富士建設コン
サル ","H25.6.25 
H25.11.20",,
北海道,"留萌市,",その他,基準点測量,４級,4point,"北海道開発局留萌開発建設部 
助言　　　H25.7.2  A0107",小杉測量設計株式会社 ,"H25.7.1 
H25.9.30",,
北海道,"上富良野町,",その他,基準点測量,３級,4point,"北海道上川総合振興局 
助言　　　H25.7.3  A0108",株式会社阿部工測 ,"H25.6.26 
H25.9.30",,
北海道,"幌加内町,",その他,基準点測量,３級,4point,"北海道上川総合振興局 
助言　　　H25.7.3  A0109","株式会社アサヒ建設コン
サルタント ","H25.6.26 
H25.8.10",,
北海道,"東神楽町,",その他,基準点測量,３級,2point,"北海道東神楽町 
助言　　　H25.7.3  A0110",株式会社及川土木設計 ,"H25.7.5 
H25.9.30",,
北海道,"音更町,",その他,"基準点測量,基準点測量","２級,,３級","5point,10point","北海道開発局帯広開発建設部 
助言　　　H25.7.3  A0111","サンスイコンサルタント株
式会社 ","H25.6.27 
H25.9.10",,
北海道,"別海町,",その他,基準点測量,３級,11point,"北海道開発局釧路開発建設部 
助言　　　H25.7.4  A0112","株式会社三祐コンサルタ
ンツ ","H25.7.1 
H26.1.30",,
北海道,"由仁町,仁木町,",その他,基準点測量,３級,4point,"北海道後志総合振興局 
助言　　　H25.7.5  A0113","メルテックコンサルタント
株式会社 ","H25.7.1 
H25.9.20",,
北海道,"古平町,",その他,基準点測量,３級,3point,"北海道後志総合振興局 
助言　　　H25.7.5  A0114",有限会社大野測量 ,"H25.7.1 
H25.9.30",,
北海道,"厚真町,",その他,"基準点測量,基準点測量","３級,,４級","57point,171point","北海道胆振総合振興局 
助言　　　H25.7.5  A0115","株式会社山口技研コン
サルタント ","H25.7.1 
H26.3.14",,
北海道,"遠軽町,",その他,基準点測量,２級,1point,"北海道遠軽町 
助言　　　H25.7.3  A0116",ダイシン設計株式会社 ,"H25.6.28 
H25.8.31",,
北海道,"清水町,",その他,基準点測量,２級,13point,"北海道清水町 
助言　　　H25.7.4  A0117","有限会社板橋測量設計
事務所 ","H25.6.29 
H25.10.31",,
北海道,"大樹町,幕別町,本別町,",その他,"基準点測量,基準点測量","１級,,３級","1point,12point","北海道開発局帯広開発建設部 
助言　　　H25.7.4  A0118","菊地技術コンサルタント
株式会社 ","H25.7.2 
H25.11.7",,
北海道,"幕別町,",その他,"数値撮影(デジタル),数値図化(同時調整含む),水準測量","14,,1000,,簡級","21.78KM2,4KM2,49.5km","北海道十勝総合振興局 
助言　　　H25.7.4  A0119","株式会社シン技術コンサ
ル ","H25.6.29 
H25.10.30",,
北海道,"天塩町,",その他,"基準点測量,基準点測量","１級,,３級","1point,3point","北海道留萌振興局 
助言　　　H25.7.8  A0120",和光技研株式会社 ,"H25.6.27 
H26.2.28",,
北海道,"初山別村,",その他,"基準点測量,基準点測量","１級,,３級","1point,15point","北海道留萌振興局 
助言　　　H25.7.8  A0121",小杉測量設計株式会社 ,"H25.6.18 
H25.11.29",,
北海道,"初山別村,",その他,"基準点測量,基準点測量","１級,,３級","3point,1point","北海道留萌振興局 
助言　　　H25.7.8  A0122",株式会社日興ジオテック ,"H25.6.11 
H25.9.30",,
北海道,"美瑛町,",その他,"基準点測量,基準点測量","２級,,３級","1point,4point","北海道上川総合振興局 
助言　　　H25.7.29  A0123",株式会社ヒロノ測建 ,"H25.7.2 
H25.12.20",,
北海道,"清水町,",その他,基準点測量,３級,2point,"北海道開発局帯広開発建設部 
助言　　　H25.7.8  A0124","大開技術コンサルタント
株式会社 ","H25.7.10 
H25.9.30",,
北海道,"芽室町,",その他,基準点測量,３級,40point,"北海道十勝総合振興局 
助言　　　H25.7.8  A0125",株式会社ズコーシャ ,"H25.7.4 
H26.2.28",,
北海道,"滝川市,",その他,基準点測量,３級,5point,"北海道空知総合振興局 
助言　　　H25.7.22  A0126","株式会社アサヒ建設コン
サルタント ","H25.5.25 
H25.11.30   ",,
北海道,"夕張市,",その他,"基準点測量,基準点測量","１級,,３級","2point,2point","北海道開発局札幌開発建設部 
助言　　　H25.7.22  A0127","スミセキ・ジオテクノ株式
会社 ","H25.7.4 
H25.9.11",,
北海道,"倶知安町,京極町,",その他,"数値撮影(デジタル),同時調整,数値図化","14,,1000,,1000","35.43KM2,35.43KM2,4KM2","北海道後志総合振興局 
助言　　　H25.7.10  A0128","株式会社シン技術コンサ
ル ","H25.6.17 
H25.12.20",,
北海道,"伊達市,",その他,基準点測量,３級,2point,"北海道開発局室蘭開発建設部 
助言　　　H25.7.10  A0129","道建コンサルタント株式
会社 ","H25.7.5 
H25.9.9",,
北海道,"室蘭市,",その他,基準点測量,２級,1point,"北海道開発局室蘭開発建設部 
助言　　　H25.7.10  A0130",株式会社菅原測量設計 ,"H25.6.21 
H25.12.3",,
北海道,"置戸町,",その他,"基準点測量,基準点測量","１級,,３級","2point,7point","北海道オホーツク総合振興局 
助言　　　H25.7.8  A0131","やまざきコンサルタント株
式会社 ","H25.7.5 
H26.2.10",,
北海道,"倶知安町,",その他,"基準点測量,基準点測量","１級,,３級","1point,5point","北海道後志総合振興局 
助言　　　H25.7.10  A0132","株式会社北海道技術コ
ンサルタント ","H25.7.8 
H25.11.20",,
北海道,"壮瞥町,",その他,"基準点測量,基準点測量","１級,,３級","3point,9point","北海道胆振総合振興局 
助言　　　H25.7.10  A0133","株式会社中神土木設計
事務所 ","H25.7.8 
H26.1.20",,
北海道,"標茶町,",その他,基準点測量,２級,14point,"北海道釧路総合振興局 
助言　　　H25.7.9  A0134","山下コンサルタント株式
会社 ","H25.7.6 
H25.11.29",,
北海道,"寿都町,",その他,"基準点測量,基準点測量","１級,,３級","2point,2point","北海道開発局小樽開発建設部 
助言　　　H25.7.10  A0135",植田測量株式会社 ,"H25.7.8 
H25.9.19",,
北海道,"釧路市,",その他,"基準点測量,基準点測量","２級,,３級","9point,2point","北海道釧路総合振興局 
助言　　　H25.7.9  A0136",有限会社柴田測量社 ,"H25.7.6 
H25.11.8",,
北海道,"標茶町,",その他,基準点測量,２級,19point,"北海道釧路総合振興局 
助言　　　H25.7.9  A0137","有限会社渋谷測量社 
株式会社小出コンサルタ
ント 
有限会社金子設計事務","H25.7.6 
H25.11.29",,
北海道,"白糠町,",その他,基準点測量,２級,2point,"北海道開発局釧路開発建設部 
助言　　　H25.7.9  A0138","太平洋総合コンサルタン
ト株式会社 ","H25.6.18 
H26.1.31",,
北海道,"別海町,",その他,基準点測量,２級,3point,"北海道開発局釧路開発建設部 
助言　　　H25.7.12  A0139",冨洋設計株式会社 ,"H25.7.3 
H26.2.5",,
北海道,"上士幌町,",その他,基準点測量,３級,11point,"北海道上士幌町 
助言　　　H25.7.12  A0140","株式会社安井測量設計
事務所 ","H25.7.5 
H25.11.29",,
北海道,"上士幌町,",その他,基準点測量,３級,14point,"北海道上士幌町 
助言　　　H25.7.12  A0141",株式会社ズコーシャ ,"H25.7.6 
H25.11.29",,
