都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,測量計画機関（助言番号）,測量作業機関,実施時期,,2018.01.14修正
北海道,"美深町,",道路計画,"基準点測量,基準点測量","１級,,３級","2point,1point","北海道開発局旭川開発建設部 
助言　　　H23.3.29  A0001",旭川設計測量株式会社 ,"H23.4.14 
H23.7.22",,
北海道,"網走市,大空町,",河川管理,"数値撮影(デジタル),数値図化(同時調整含む)","20,,その他","309KM2,299point","北海道オホーツク総合振興局 
助言　　　H23.4.8  A0002","株式会社シン技術コンサ
ル ","H23.4.1 
H23.9.30",,
北海道,"釧路市,",河川用地,基準点測量,３級,5point,"北海道釧路総合振興局 
助言　　　H23.4.6  A0003","小林技術コンサルタント
株式会社 ","H23.3.23 
H23.9.20",,
北海道,"釧路市,",河川用地,基準点測量,３級,3point,"北海道釧路総合振興局 
助言　　　H23.4.6  A0004","株式会社小出コンサルタ
ント ","H23.4.1 
H23.9.20",,
北海道,"中標津町,",農道計画,"基準点測量,路線測量","２級,,","3point,1km","北海道根室振興局 
助言　　　H23.4.13  A0005","山下コンサルタント株式
会社 ","H23.4.1 
H23.11.30",,
北海道,"共和町,",土地改良,"基準点測量,路線測量","３級,,","5point,1km","北海道後志総合振興局 
助言　　　H23.4.13  A0006","株式会社富士雄設計コ
ンサルタント ","H23.4.6 
H23.12.20",,
北海道,"滝川市,",農地開発,基準点測量,３級,14point,"北海道空知総合振興局 
助言　　　H23.4.13  A0007",株式会社北開測地 ,"H23.4.8 
H24.2.20",,
北海道,"遠軽町,",河川計画,"基準点測量,基準点測量","１級,,３級","2point,6point","北海道オホーツク総合振興局 
助言　　　H23.4.15  A0008",株式会社ドボク管理 ,"H23.4.9 
H23.9.30",,
北海道,"岩見沢市,",土地改良,基準点測量,３級,10point,"北海道空知総合振興局 
助言　　　H23.4.15  A0009",扇コンサル株式会社 ,"H23.4.25 
H24.2.10",,
北海道,"滝川市,",土地改良,基準点測量,３級,10point,"北海道空知総合振興局 
助言　　　H23.4.18  A0010",ダイシン設計株式会社 ,"H23.4.14 
H23.6.30",,
北海道,"厚真町,",農道計画,"基準点測量,基準点測量","２級,,３級","1point,9point","北海道胆振総合振興局 
助言　　　H23.4.22  A0011",株式会社みずほ栄設計 ,"H23.4.15 
H23.12.20",,
北海道,"滝上町,",固定資産,"モノクロ撮影(フィルム),モノクロ撮影(フィルム),数値図化(同時調整含む),空中三角測量,写真地図作成(デジタルオルソ),写真地図作成(デジタルオルソ)","１５０００,,５０００,,１５０００,,５０００,,２５００,,５００","933.16KM2,26.45KM2,196point,50point,933.16KM2,26.45KM2","北海道滝上町 
助言　　　H23.4.25  A0012",株式会社道測テクニス ,"H23.5.10 
H23.10.30",,
北海道,"室蘭市,",都市計画,修正測量,2500,75KM2,"北海道室蘭市 
助言　　　H23.4.25  A0013",株式会社八州 ,"H23.6.1 
H24.3.15",,
北海道,"岩見沢市,",土地改良,"路線測量,基準点測量",",,３級","2.3km,15point","北海道空知総合振興局 
助言　　　H23.4.25  A0014","北海道調査補償株式会
社 ","H23.3.23 
H24.2.10",,
北海道,"大空町,",農道管理,"基準点測量,水準測量","３級,,４級","5point,0.5km","北海道オホーツク総合振興局 
助言　　　H23.4.25  A0015",株式会社ドボク管理 ,"H23.4.25 
H23.11.10",,
北海道,"森町,",農道計画,"基準点測量,基準点測量","１級,,３級","1point,3point","北海道渡島総合振興局 
助言　　　H23.4.25  A0016",株式会社ノース技研 ,"H23.4.20 
H23.12.14",,
北海道,"帯広市,",その他,基準点測量,２級,1point,"北海道帯広市 
助言　　　H23.4.28  A0017",有限会社ネオテック ,"H23.4.27 
H23.9.30",,
北海道,"厚岸町,",地籍調査,基準点測量,２級,6point,"北海道厚岸町 
助言　　　H23.4.28  A0018","株式会社郡土木コンサ
ルタント ","H23.5.16 
H23.7.29",,
北海道,"厚岸町,",地籍調査,基準点測量,３級,3point,"北海道厚岸町 
助言　　　H23.4.28  A0019","東邦コンサルタント株式
会社 ","H23.5.16 
H23.7.29",,
北海道,"旭川市,",その他,基準点測量,３級,1point,"北海道旭川市 
助言　　　H23.4.28  A0020",有限会社ランドテック ,"H23.4.22 
H23.5.30",,
北海道,"江別市,",農地開発,基準点測量,３級,6point,"北海道石狩振興局 
助言　　　H23.4.11  A0021",東日本設計株式会社 ,"H23.4.21 
H23.10.28",,
北海道,"札幌市,",農地開発,基準点測量,３級,6point,"北海道石狩振興局 
助言　　　H23.4.28  A0022",益村測量設計株式会社 ,"H23.4.22 
H23.5.31",,
北海道,"幌加内町,",土地改良,"基準点測量,基準点測量","１級,,３級","1point,2point","北海道上川総合振興局 
助言　　　H23.4.28  A0023","株式会社葵開発コンサ
ル ","H23.5.1 
H23.9.9",,
北海道,"幌加内町,",土地改良,"基準点測量,基準点測量","１級,,３級","1point,5point","北海道上川総合振興局 
助言　　　H23.4.28  A0024","新栄コンサルタント株式
会社 ","H23.5.1 
H23.10.7",,
北海道,"滝川市,",土地改良,基準点測量,３級,16point,"北海道空知総合振興局 
助言　　　H23.5.6  A0025",嵯峨測量設計株式会社 ,"H23.4.23 
H23.9.30",,
北海道,"岩見沢市,",土地改良,基準点測量,３級,11point,"北海道空知総合振興局 
助言　　　H23.5.10  A0026","株式会社創生コンサルタ
ント ","H23.4.26 
H24.2.29",,
北海道,"岩見沢市,",土地改良,"基準点測量,路線測量","３級,,","13point,3.65km","北海道空知総合振興局 
助言　　　H23.5.10  A0027","株式会社アース設計事
務所 ","H23.4.25 
H24.2.29",,
北海道,"別海町,",その他,基準点測量,３級,1point,"北海道釧路総合振興局 
助言　　　H23.5.10  A0028",有限会社マップハウス ,"H23.4.27 
H24.1.20",,
北海道,"弟子屈町,",土地改良,"空中三角測量,数値図化","２００００,,５０００","19point,14.5KM2","北海道開発局釧路開発建設部 
助言　　　H23.5.10  A0029",北海航測株式会社 ,"H23.4.14 
H23.9.2",,
北海道,"根室市,",その他,"基準点測量,基準点測量,路線測量","２級,,４級,,","3point,31point,1.85km","北海道開発局釧路開発建設部 
助言　　　H23.5.10  A0030","株式会社土木技術コン
サルタント ","H23.4.25 
H23.7.25",,
北海道,"旭川市,",その他,基準点測量,２級,1point,"北海道上川総合振興局 
助言　　　H23.5.10  A0031","株式会社イズム・グリー
ン ","H23.4.28 
H23.6.30",,
北海道,"滝川市,",都市計画,"数値撮影(デジタル),写真地図作成(デジタルオルソ),数値図化,修正測量","20,,２５００,,２５００,,２５００","115.8KM2,115.8KM2,35KM2,39.3KM2","北海道滝川市 
助言　　　H23.5.10  A0032",株式会社ＧＩＳ北海道 ,"H23.5.9 
H24.1.31",,
北海道,"沼田町,",土地改良,基準点測量,３級,24point,"北海道空知総合振興局 
助言　　　H23.5.11  A0033","やまざきコンサルタント株
式会社 ","H23.4.29 
H24.2.10",,
北海道,"伊達市,",土地改良,基準点測量,１級,2point,"北海道胆振総合振興局 
助言　　　H23.5.12  A0034","シバタ技術コンサルタン
ツ株式会社 ","H23.3.23 
H23.7.20",,
北海道,"沼田町,",農地開発,"基準点測量,基準点測量","１級,,３級","1point,19point","北海道空知総合振興局 
助言　　　H23.5.17  A0035",株式会社グリーン測量 ,"H23.5.3 
H24.1.20",,
北海道,"沼田町,",土地改良,基準点測量,３級,37point,"北海道空知総合振興局 
助言　　　H23.5.17  A0036","株式会社帝国設計事務
所 ","H23.5.10 
H24.2.20",,
北海道,"沼田町,",土地改良,"基準点測量,基準点測量","１級,,３級","2point,35point","北海道空知総合振興局 
助言　　　H23.5.17  A0037","株式会社協和コンサルタ
ント ","H23.5.11 
H23.11.30",,
北海道,"雨竜町,",農地開発,"基準点測量,その他の応用測量","３級,,1000","7point,0.74KM2","北海道空知総合振興局 
助言　　　H23.5.17  A0038",技研測量設計株式会社 ,"H23.3.23 
H24.3.19",,
北海道,"幌加内町,",土地改良,基準点測量,３級,6point,"北海道上川総合振興局 
助言　　　H23.5.17  A0039",技研測量設計株式会社 ,"H23.5.18 
H23.9.30",,
北海道,"新十津川町,",土地改良,基準点測量,３級,11point,"北海道空知総合振興局 
助言　　　H23.5.17  A0040","株式会社香島コンサルタ
ント ","H23.5.3 
H24.1.30",,
北海道,"占冠村,",地籍調査,"モノクロ撮影(フィルム),モノクロ撮影(フィルム),空中三角測量,数値図化(同時調整含む),写真地図作成(デジタルオルソ),写真地図作成(デジタルオルソ)","８０００,,１２５００,,８０００,,１２５００,,１０００,,２５００","47.4KM2,667.9KM2,35point,202point,47.4KM2,667.9KM2","北海道占冠村 
助言　　　H23.5.17  A0041",株式会社道測テクニス ,"H23.5.20 
H23.10.30",,
北海道,"厚沢部町,",土地改良,基準点測量,３級,4point,"北海道檜山振興局 
助言　　　H23.5.17  A0042",道南測量設計株式会社 ,"H23.5.13 
H23.8.30",,
北海道,"別海町,",土地改良,"基準点測量,基準点測量,基準点測量","２級,,３級,,４級","10point,18point,81point","北海道根室振興局 
助言　　　H23.5.17  A0043","小林技術コンサルタント
株式会社 ","H23.5.13 
H24.2.22",,
北海道,"八雲町,",その他,基準点測量,３級,1point,"北海道八雲町 
助言　　　H23.5.17  A0044","株式会社極東コンサルタ
ント ","H23.5.20 
H23.7.15",,
北海道,"余市町,",その他,基準点測量,３級,1point,"北海道後志総合振興局 
助言　　　H23.5.19  A0045",有限会社大野測量 ,"H23.5.14 
H23.6.30",,
北海道,"新十津川町,",土地改良,基準点測量,３級,14point,"北海道空知総合振興局 
助言　　　H23.5.25  A0046","株式会社田西設計コン
サル ","H23.5.14 
H24.2.29",,
北海道,"由仁町,",土地改良,基準点測量,３級,40point,"北海道空知総合振興局 
助言　　　H23.5.25  A0047","株式会社極東コンサルタ
ント ","H23.5.18 
H24.2.14",,
北海道,"由仁町,",土地改良,基準点測量,３級,27point,"北海道空知総合振興局 
助言　　　H23.5.25  A0048","株式会社空知コンサルタ
ント ","H23.5.18 
H24.2.14",,
北海道,"沼田町,北竜町,",土地改良,"基準点測量,基準点測量","１級,,３級","2point,17point","北海道空知総合振興局 
助言　　　H23.5.25  A0049","株式会社ルーラルエンジ
ニア ","H23.5.19 
H24.2.29",,
北海道,"紋別市,",その他,"モノクロ撮影(フィルム),写真地図作成(デジタルオルソ)","１２５００,,１２５００","573KM2,573KM2","北海道紋別市 
助言　　　H23.5.26  A0050","株式会社北海道朝日航
洋 ","H22.9.24 
H23.11.30",,
北海道,"別海町,",土地改良,"基準点測量,基準点測量","２級,,３級","9point,18point","北海道根室振興局 
助言　　　H23.5.26  A0051",株式会社津村測量設計 ,"H23.5.19 
H24.2.8",,
北海道,"札幌市,",その他,基準点測量,３級,2point,"北海道空知総合振興局 
助言　　　H23.5.26  A0052","株式会社シン技術コンサ
ル ","H23.5.20 
H24.2.29",,
北海道,"札幌市,北広島市,",河川管理,"数値撮影(デジタル),数値図化(同時調整含む),航空レーザ測量,水準測量,数値図化","１０００,,１０００,,１０００,,簡級,,１０００","25KM2,400point,25KM2,11.5km,1KM2","北海道空知総合振興局 
助言　　　H23.5.26  A0053",北海航測株式会社 ,"H23.5.2 
H23.9.30",,
北海道,"豊浦町,",農道計画,基準点測量,３級,15point,"北海道胆振総合振興局 
助言　　　H23.5.25  A0054","北王コンサルタント株式
会社 ","H23.5.24 
H23.11.30",,
北海道,"赤井川村,",道路用地,基準点測量,３級,1point,"北海道赤井川村 
助言　　　H23.5.25  A0055","オオハシコンサルタント
株式会社 ","H23.5.23 
H23.8.10",,
北海道,"別海町,",土地改良,"基準点測量,基準点測量","２級,,３級","2point,5point","北海道根室振興局 
助言　　　H23.5.26  A0056",株式会社イソジェック ,"H23.5.21 
H23.8.3",,
北海道,"北竜町,",河川管理,基準点測量,３級,5point,"北海道北竜町 
助言　　　H23.5.26  A0057","株式会社篠田測量事務
所 ","H23.5.24 
H23.12.20",,
北海道,"遠別町,",道路計画,基準点測量,３級,3point,"北海道開発局留萌開発建設部 
助言　　　H23.5.26  A0058","株式会社アサヒ建設コン
サルタント ","H23.5.24 
H23.6.30",,
北海道,"赤平市,",その他,基準点測量,３級,3point,"北海道赤平市 
助言　　　H23.5.26  A0059",有限会社北日本測量 ,"H23.6.1 
H24.1.20",,
北海道,"沼田町,",土地改良,"基準点測量,路線測量","３級,,","44point,0.4km","北海道空知総合振興局 
助言　　　H23.5.30  A0060","内外エンジニアリング北
海道株式会社 ","H23.5.31 
H24.2.20",,
北海道,"苫前町,初山別村,",農地開発,基準点測量,３級,6point,"北海道留萌振興局 
助言　　　H23.5.30  A0061",小杉測量設計株式会社 ,"H23.5.2 
H23.8.31",,
北海道,"留萌市,",土地改良,基準点測量,３級,20point,"北海道留萌振興局 
助言　　　H23.5.30  A0062",旭川設計測量株式会社 ,"H23.5.26 
H23.12.20",,
北海道,"江別市,",道路計画,基準点測量,２級,3point,"北海道開発局札幌開発建設部 
助言　　　H23.6.3  A0063",矢野設計株式会社 ,"H23.4.21 
H23.7.29",,
北海道,"岩見沢市,",土地改良,基準点測量,３級,11point,"北海道空知総合振興局 
助言　　　H23.6.3  A0064","株式会社ルーラルエンジ
ニア ","H23.5.26 
H24.2.10",,
