都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,計画機関,作業機関,実施時期,付図番号
北海道,"札幌市,",札幌市公共基準点の整備,"基準点,基準点","1級,,2級","7point,11point",北海道札幌市助言050916A0545,"大東測地(株),(株)総合開発技術コンサルタント","05.09.08,06.02.25",
北海道,"苫小牧市,",公共基準点設置,"基準点,基準点","1級,,2級","5point,15point",北海道苫小牧市助言050927A0565,"(株)タナカコンサルタント,(有)苫小牧測量社","05.09.20,06.03.31",
北海道,"釧路市,",土地区画整理,基準点,1級,4point,北海道釧路市助言050527A0122,東邦コンサルタント(株),"05.05.20,05.09.20",
北海道,"厚岸町,",基準点設置(GPS基準点2級),基準点,2級,5point,北海道厚岸町助言051102A0635,(株)パスコ,"05.10.18,05.11.30",
北海道,"栗山町,",土地改良(防災ダム事業杵臼地区),"基準点,基準点","2級,,3級","7point,7point",北海道空知支庁助言051029A0603,内外エンジニアリング(株),"05.11.29,06.02.28",
北海道,"帯広市,",土地改良(帯広北地区),基準点,2級,41point,北海道助言050426A0027,(株)ズコーシャ,"05.05.20,05.11.20",
北海道,"音更町,鹿追町,",ユクシナイ排水路基準点測量,基準点,2級,12point,帯広開発建設部助言050525A0111,(株)ズコーシャ,"05.06.01,10.03.31",
北海道,"鷹栖町,比布町,和寒町,",道路計画,基準点,2級,16point,日本道路公団札幌建設局旭川工事事務所助言050527A0126,"第一復建(株),中央復建コンサルタンツ(株),(株)帝国コンサルタント,高島コンサルタント(株),中央開発(株)","05.05.24,05.08.21",
北海道,"当別町,",土地区画整理,基準点,2級,3point,北海道当別町助言050611A0239,(株)シン技術コンサル,"05.06.16,05.09.10",
北海道,"小樽市,",土地区画整理,基準点,2級,3point,北海道小樽市助言051119A0666,(株)シン技術コンサル,"05.11.12,06.03.22",
北海道,"羽幌町,",市街地基準点測量網図,"基準点,基準点,基準点","2級,,3級,,4級","5point,7point,30point",北海道羽幌町助言050510A0056,旭川設計測量(株),"05.04.25,05.11.30",
北海道,"風連町,",ほ場整備(東風連第3地区),"基準点,基準点","2級,,3級","3point,30point",北海道上川支庁助言050528A0156,旭川設計測量(株),"05.05.31,06.03.14",
北海道,"下川町,",ダム計画,"基準点,水準","2級,,2級","32point,2point",旭川開発建設部助言050617A0263,旭川設計測量(株),"05.06.15,05.11.10",
北海道,"中富良野町,",ほ場整備事業(寿地区),"基準点,基準点,基準点","2級,,3級,,4級","1point,9point,27point",北海道上川支庁助言050916A0544,(株)富士測量,"05.08.26,06.03.08",
