都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,計画機関,作業機関,実施時期,付図番号
宮城県,"白石市,",道路計画,"撮影,写測図化","8000,,1000","16.3KM2,1.2KM2",仙台工事事務所助言071011B0191,東武計画(株),"07.10.11,07.12.04",
宮城県,"迫町,南方町,",道路計画,"撮影,写測図化","8000,,1000","6.8KM2,0.2KM2",宮城県迫土木事務所助言080105B0290,東武計画(株),"08.01.05,08.03.22",
宮城県,"中田町,",固定資産評価資料,撮影,8000,62.2KM2,宮城県中田町助言071107B0222,国際航業(株),"07.11.07,07.12.20",2239
宮城県,"山元町,",道路計画,"撮影,写測図化,空三","8000,,2500,,8000","207.8KM2,30.1KM2,137M",磐城国道工事事務所助言071212B0263,国際航業(株),"07.12.12,08.03.28",
宮城県,"花山村,栗駒町,鳴子町,鶯沢町,金成町,若柳町,志波姫町,築館町,迫町,岩出山町,高清水町,瀬峰町,古川市,",ほ場整備,撮影,8000,601.0KM2,宮城県築館土地改良事務所助言080229B0337,国際航業(株),"08.02.29,08.03.19",3217
宮城県,"小牛田町,南郷町,涌谷町,",ほ場整備,"撮影,写測図化","8000,,1000","21.7KM2,5.3KM2",宮城県小牛田町助言070925B0174,(株)写測,"07.09.25,07.12.20",1697
宮城県,"田尻町,涌谷町,",ほ場整備,"撮影,水準,写測図化","8000,,3級,,1000","17.4KM2,27.0km,3.9KM2",宮城県田尻町助言070811B0136,(株)パスコ,"07.08.11,07.12.20",
宮城県,"古川市,田尻町,小牛田町,",ほ場整備,"撮影,写測図化,水準","8000,,1000,,3級","49.0KM2,20.6KM2,62.5km",宮城県古川土地改良事務所助言080122B0304,(株)パスコ,"08.01.22,08.03.15",2941
宮城県,"気仙沼市,唐桑町,本吉町,",道路計画,"撮影,空三,写測図化","8000,,8000,,1000","46.2KM2,21M,7.2KM2",東北幹線道路調査事務所助言080105B0289,"朝日航洋(株),国際航業(株)","08.01.05,08.03.25",
宮城県,"岩沼市,亘理町,山元町,",道路計画,"撮影,写測図化,写測修正","8000,,1000,,1000","53.1KM2,6.0KM2,1.7KM2",仙台工事事務所助言080124B0308,朝日航洋(株),"08.01.24,08.03.25",
宮城県,"豊里町,",都市計画,"撮影,写測修正","12500,,2500","15.4KM2,2.1KM2",宮城県豊里町助言071102B0216,東武計画(株),"07.11.02,08.01.04",2211
宮城県,"丸森町,",地すべり対策,"撮影,写測図化","12500,,2500","13.2KM2,3.8KM2",宮城県大河原土地改良事務所助言080105B0291,東武計画(株),"08.01.05,08.03.21",
宮城県,"名取市,岩沼市,仙台市,",総合計画,"撮影,写測修正","12500,,2500","111.0KM2,31.5KM2",宮城県土木部臨空地域整備推進室助言070526B0030,国際航業(株),"07.05.26,07.10.31",343
宮城県,"東和町,中田町,登米町,豊里町,津山町,涌谷町,河南町,河北町,北上町,石巻市,古川市,三本木町,小牛田町,松山町,南郷町,大和町,鳴瀬町,大郷町,",河川管理,"撮影,写測修正","12500,,2500","588.0KM2,145.2KM2",北上川下流工事事務所助言080325B0359,国際航業(株),"08.03.25,08.03.28",
