都道府県名,測量地域,測量目的,測量種別,縮尺･等級,事業量,計画機関,作業機関,自至時期,
秋田県,"鷹巣町,二ツ井町,",道路計画,"カラー撮影,写測図化","12500,,2500","50.0KM2,22.0KM2","東北地方整備局能代河川国道事務所
助言H16.1.26B0259",(株)写測,"H15.12.18
H16.2.10",
秋田県,"田沢湖町,",総合計画,"数値図化,編集","2500,,2500","1.7KM2,1.4KM2","秋田県
助言H16.2.4B0268",国際航業(株),"H16.1.23
H16.3.20",
秋田県,"鹿角市,",道路計画,"水準,数値図化,空三","簡級,,1000,,1000","3.5km,1.4KM2,4M","秋田県鹿角地域振興局
助言H16.2.16B0278",(株)パスコ,"H16.2.4
H16.3.19",
秋田県,"鹿角市,",砂防計画,"数値図化,写真図","2500,,2500","7.7KM2,29.3KM2","秋田県鹿角地域振興局
助言H16.3.15B0295",中日本航空(株),"H16.1.13
H16.3.15",
山形県,"村山市,",河川改修計画,"水準,カラー撮影,数値図化,空三","簡級,,8000,,1000","7.7km,21.0KM2,1.7KM2,18M","東北地方整備局山形河川国道事務所
助言H15.4.21B0006",朝日航洋(株),"H15.3.27
H15.7.10",
山形県,"村山市,天童市,東根市,尾花沢市,",道路基盤データ作成,"水準,水準,カラー撮影,空三,基準点","3級,,簡級,,4000,,,,1級","45.9km,45.9km,48.0KM2,142M,47point","東北地方整備局山形河川国道事務所
助言H15.5.6B0016",三和航測(株),"H15.3.12
H15.7.25",
山形県,"山形市,寒河江市,上山市,天童市,中山町,",道路基盤データ作成,"基準点,水準,カラー撮影,空三","１級,,3級,,4000","45point,45.0km,50.1KM2,153M","東北地方整備局山形河川国道事務所
助言H15.5.13B0018",(株)かんこう東京支店,"H15.3.12
H15.7.25",
山形県,"山形市,",土地区画整理,基準点,4級,10point,"地域振興整備公団山形総合開発事務所
助言H15.5.19B0021",三協コンサルタント(株),"H15.5.22
H15.8.20",
山形県,"西川町,朝日村,金山町,真室川町,大蔵村,",砂防計画,"水準,数値図化,空三,座標変換,座標変換","簡級,,2500,,2500,,2500,,空三点","53.0km,44.6KM2,41M,0.4KM2,31point","東北地方整備局新庄河川事務所
助言H15.7.8B0057",(株)日測,"H15.3.12
H15.11.28",
山形県,"山形市,",土地区画整理,"基準点,基準点","3級,,4級","2point,5point","地域振興整備公団山形総合開発事務所
助言H15.7.17B0071",(株)三和技建,"H15.7.22
H15.8.29",
山形県,"長井市,白鷹町,飯豊町,",砂防基盤図作成,"数値図化,写真図,座標変換","2500,,2500,,2500","11.8KM2,61.5KM2,73.3KM2","山形県
助言H15.7.25B0080",アジア航測(株),"H15.7.1
H15.10.31",
山形県,"新庄市,",河川計画,基準点,3級,2point,"東北地方整備局新庄河川事務所
助言H15.7.24B0083",日本工営(株)仙台支店,"H15.4.18
H16.2.27",
山形県,"鶴岡市,",道路計画,"基準点,水準","3級,,3級","6point,6point","東北地方整備局酒田河川国道事務所
助言H15.7.24B0084",(株)石川測量事務所,"H15.5.15
H15.10.31",
山形県,"山形市,上山市,",森林計画,撮影,20000,198.0KM2,"山形県
助言H15.8.5B0090",(株)ナカノアイシステム,"H15.7.23
H15.12.10",
山形県,"真室川町,",砂防基盤地図作成,"水準,数値図化,空三","簡級,,2500,,2500","8.5km,11.0KM2,14M","山形県最上総合支庁
助言H15.8.8B0097",セントラル航空測量(株),"H15.8.4
H16.1.15",
山形県,"村山市,",水道施設管理図作,"水準,数値図化,空三","簡級,,500,,500","5.0km,2.3KM2,4M","村山市
助言H15.8.8B0098",セントラル航空測量(株),"H15.8.5
H16.3.15",
山形県,"長井市,",下水道平面図作成,"水準,水準,数値図化,空三","3級,,簡級,,500,,500","12.0km,4.0km,1.0KM2,27M","長井市
助言H15.8.13B0100",アジア航測(株),"H15.7.29
H16.3.19",
山形県,"村山市,東根市,",砂防基盤地図作成,"水準,空三,数値図化","簡級,,2500,,2500","15.0km,19M,4.4KM2","山形県
助言H15.8.19B0102",大日本コンサルタント(株),"H15.7.23
H15.12.22",
山形県,"西川町,立川町,",砂防計画,"水準,数値図化,空三,座標変換","簡級,,2500,,2500,,空三点","49.2km,56.1KM2,77M,26point","東北地方整備局新庄河川事務所
助言H15.8.20B0108",(株)日測,"H15.6.25
H16.3.27",
山形県,"米沢市,",地盤変動調査,水準,2級,48.0km,"米沢市
助言H15.9.9B0135",(株)春日測量設計,"H15.10.1
H15.12.20",
山形県,"天童市,",地盤変動調査,水準,2級,"26.8km,33point","天童市
助言H15.9.26B0144",(株)三和技術コンサルタント,"H15.10.1
H15.12.19",
山形県,"上山市,",砂防基盤地図作成,"水準,数値図化,写真図,空三,座標変換","簡級,,2500,,2500,,2500,,空三","26.0km,12.3KM2,12.3KM2,26M,2point","山形県
助言H15.10.2B0154",(株)パスコ,"H15.9.1
H16.3.19",
山形県,"米沢市,",砂防基盤図作成,"水準,数値図化,空三,座標変換","簡級,,2500,,2500,,2500","4.3km,12.7KM2,77M,12.7KM2","山形県
助言H15.10.17B0165",国際航業(株),"H15.9.1
H15.12.26",
山形県,"小国町,",砂防計画,"数値図化,数値図化,座標変換,座標変換","2500,,5000,,2500,,5000","1.3KM2,59.7KM2,1.3KM2,59.7KM2","北陸地方整備局飯豊山系砂防事務所

助言H15.10.24B0179",アジア航測(株),"H15.9.8
H16.3.11",
山形県,"羽黒町,",宅地開発,"基準点,基準点,基準点","2級,,3級,,4級","2point,4point,8point","羽黒町土地開発公社
助言H15.11.5B0188",(有)佐藤測量設計事務所,"H15.10.16
H16.3.24",
山形県,"戸沢村,立川町,",道路計画,"水準,カラー撮影,数値図化,空三","簡級,,8000,,1000,,1000","11.0km,26.3KM2,5.4KM2,19M","東北地方整備局酒田河川国道事務所
助言H15.11.21B0211",アジア航測(株),"H15.10.8
H15.12.19",
山形県,"酒田市,立川町,余目町,松山町,大蔵村,",道路計画及び河川,"水準,カラー撮影,数値図修正,写真図","簡級,,12500,,2500,,2500","38.0km,118.0KM2,45.6KM2,45.6KM2","東北地方整備局酒田河川国道事務所
助言H15.12.4B0223",(株)日測,"H15.11.18
H16.3.25",
山形県,"山形市,",土地区画整理,"基準点,基準点","3級,,4級","6point,25point","地域振興整備公団山形総合開発事務所
助言H15.12.5B0224",(株)田村測量設計事務所,"H15.12.10
H16.3.26",
山形県,"酒田市,鶴岡市,藤島町,羽黒町,櫛引町,三川町,朝日村,",河川計画,"水準,カラー撮影,空三,数値図修正","簡級,,12500,,2500,,2500","35.0km,130.0KM2,40M,30.0KM2","東北地方整備局酒田河川国道事務所
助言H15.12.10B0225",(株)八州,"H15.11.14
H16.3.25",
山形県,"酒田市,",道路台帳,基準点,3級,44point,"酒田市
助言H15.12.19B0239",(株)出羽測量設計,"H15.12.17
H16.3.19",
山形県,"南陽市,金山町,",道路計画,"水準,カラー撮影,数値図化,数値図化,空三","簡級,,8000,,1000,,2500,,1000","8.3km,13.8KM2,3.3KM2,4.0KM2,10M","東北地方整備局山形河川国道事務所
助言H16.1.7B0242",(株)日測,"H15.11.5
H16.1.30",
山形県,"小国町,",砂防計画,"数値図化,座標変換","2500,,2500","1.8KM2,1.8KM2","北陸地方整備局飯豊山系砂防事務所
助言H16.1.7B0245",アジア航測(株),"H15.12.24
H16.3.11",
山形県,"山形市,",土地区画整理,"基準点,基準点,基準点","2級,,3級,,4級","8point,10point,6point","地域振興整備公団山形総合開発事務所
助言H16.1.16B0252",(株)三和技術コンサルタント,"H16.1.9
H16.3.30",
山形県,"酒田市,",道路計画,"基準点,基準点","2級,,3級","4point,5point","山形県
助言H16.2.5B0270",(株)出羽測量設計,"H15.9.1
H16.2.24",
山形県,"寒河江市,西川町,",砂防計画,"水準,数値図化,空三","簡級,,2500,,2500","47.0km,10.0KM2,9M","山形県
助言H16.2.10B0271",国際航業(株),"H15.12.1
H16.3.25",
山形県,"松山町,平田町,櫛引町,羽黒町,",砂防計画,"水準,数値図化,空三,写真図,座標変換","簡級,,2500,,2500,,2500,,2500","33.0km,34.1KM2,16M,63.0KM2,34.1KM2","山形県庄内総合支庁
助言H16.2.10B0272",(株)復建技術コンサルタント,"H16.2.6
H16.3.25",
山形県,"鶴岡市,朝日村,",砂防計画,"水準,数値図化,写真図,座標変換","簡級,,2500,,2500,,2500","11.0km,6.1KM2,13.6KM2,6.1KM2","山形県庄内総合支庁
助言H16.2.25B0286",サンコーコンサルタント(株),"H16.2.23
H16.3.25",
山形県,"大江町,",下水道計画,"数値図化,写測修正,既成図数値化","500,,500,,500","0.1KM2,0.7KM2,0.7KM2","大江町
助言H16.3.11B0290",アジア航測(株),"H15.12.24
H16.3.25",
福島県,"三春町,",世界測地系へ座標変換(ダム管理),座標変換,2級,19point,"東北地方整備局三春ダム管理所
助言H15.4.14B0003",(株)日測東北支社,"H15.2.7
H15.4.30",
福島県,"福島市,岩代町,",砂防基盤図作成,"水準,数値図化,空三,写真図,座標変換","簡級,,2500,,,,2500","180.6km,17.8KM2,144M,98.3KM2,83point","福島県県北建設事務所
助言H15.4.15B0004",国際航業(株),"H15.4.10
H15.5.30",
福島県,"石川町,",ほ場整備,"基準点,平板","2級,,500","4point,0.9KM2","福島県県中農林事務所
助言H15.5.29B0027","福島県土地改良事業団体達
合会","H15.5.26
H16.3.19",
福島県,"いわき市,",法務省不動産登記法第17条地図作成,"基準点,基準点,基準点,平板","2級,,3級,,4級,,500","6point,24point,0.6KM2,0.6KM2","福島地方法務局
助言H15.6.2B0028","(社)福島県公共嘱託登記土地
家屋調査士協会","H15.6.1
H16.3.31",
福島県,"川俣町,",砂防基盤図作成,"水準,数値図化,空三,写真図,座標変換","簡級,,2500,,,,2500,,","73.3km,5.7KM2,91M,30.8KM2,53point","福島県県北建設事務所
助言H15.6.2B0029",中日本航空(株),"H15.4.10
H15.6.30",
福島県,"猪苗代町,",ほ場整備,"基準点,地上数値法","2級,,500","11point,2.3KM2","福島県会津東部ほ場整備事務所
助言H15.6.3B0031","福島県土地改良事業団体達
合会","H15.6.10
H16.2.27",
福島県,"いわき市,",道路計画,"基準点,基準点,地上数値法","3級,,4級,,1000","14point,58point,0.1KM2","東北地方整備局磐城国道事務所
助言H15.6.5B0033",サンコーコンサルタント(株),"H15.5.26
H15.9.10",
福島県,"舘岩村,",ほ場整備,"基準点,基準点,基準点,平板","2級,,3級,,4級,,500","6point,11point,63point,0.5KM2","福島県南会津農林事務所
助言H15.6.19B0041","福島県土地改良事業団体達
合会","H15.6.24
H15.12.22",
福島県,"伊南村,",ほ場整備,"基準点,基準点,基準点,平板","2級,,3級,,4級,,500","5point,10point,57point,0.4KM2","福島県南会津農林事務所
助言H15.6.19B0042","福島県土地改良事業団体達
合会","H15.6.24
H15.12.22",
福島県,"会津若松市,",ほ場整備,"基準点,基準点,基準点,平板","2級,,3級,,4級,,500","3point,7point,44point,0.3KM2","福島県会津南部ほ場整備事務所
助言H15.6.19B0043","福島県土地改良事業団体達
合会","H15.6.24
H16.3.19",
福島県,"西会津町,",道路計画,"水準,カラー撮影,数値図化,空三","簡級,,8000,,1000,,","7.3km,6.8KM2,0.5KM2,5M","福島県喜多方建設事務所
助言H15.6.23B0045",アジア航測（株）福島営業所,"H15.6.23
H15.9.29",
福島県,"石川町,平田村,玉川村,",道路計画,基準点,3級,41point,"福島県あぶくま高原自動車道建設事務所
助言H15.7.1B0049",(株)郡山測量設計社,"H15.7.1
H15.12.5",
福島県,"いわき市,",道路計画,"基準点,基準点,基準点","1級,,2級,,3級","2point,6point,16point","東北地方整備局磐城国道事務所
助言H15.7.8B0056",(株)復建技術コンサルタント,"H15.6.7
H15.12.15",
福島県,"福島市,",土地区画整理,"座標変換,座標変換,座標変換","2級,,3級,,4級","6point,16point,320point","福島市
助言H15.7.10B0059",日本測地設計(株),"H15.7.7
H15.7.31",
福島県,"喜多方市,",ほ場整備,"基準点,基準点,基準点","2級,,3級,,4級","1point,1point,2point","福島県会津農林事務所
助言H15.7.10B0062",若松測量設計(株),"H15.7.15
H16.3.29",
福島県,"小野町,",ダム計画,水準,１級,13.4km,"福島県県中建設事務所
助言H15.7.22B0073",(株)郡山測量設計社,"H15.8.4
H15.10.14",
福島県,"石川町,",ダム計画,基準点,3級,3point,"福島県県中建設事務所
助言H15.7.22B0074",(株)郡山測量設計社,"H15.7.28
H15.9.20",
福島県,"石川町,",ダム計画,"基準点,基準点,基準点,水準,平板","2級,,3級,,4級,,１級,,500","2point,6point,141point,4.0km,0.3KM2","福島県県中建設事務所
助言H15.7.22B0075",陸奥測量設計(株),"H15.7.28
H16.1.15",
福島県,"会津若松市,",土地区画整理,"基準点,平板","2級,,500","2point,0.1KM2","五月町土地区画整理組合
助言H15.7.22B0076",東北都市測量設計(株),"H15.7.20
H15.10.31",
福島県,"福島市,",道路計画,"座標変換,座標変換","2級,,3級","7point,6point","日本道路公団東北支社郡山工事事務所
助言H15.7.24B0077",(株)ベクソン,"H15.7.28
H15.9.30",
福島県,"本宮町,",土地区画整理,"基準点,基準点,平板","3級,,4級,,500","5point,23point,0.1KM2","本宮町弁天土地区画整理組合
助言H15.7.31B0088",東武計画(株),"H15.8.11
H15.10.30",
福島県,"郡山市,",流通業務団地造成,"座標変換,基準点","2級,,3級","2point,3point","郡山市
助言H15.8.5B0092",日栄地質測量設計(株),"H15.8.7
H15.9.25",
福島県,"猪苗代町,",都市計画,"水準,カラー撮影,数値図化,写測修正,座標変換,座標変換","簡級,,12500,,2500,,2500,,2500,,2500","5.4km,9.7KM2,1.7KM2,8.0KM2,8.0KM2,8.0KM2","福島県喜多方建設事務所
助言H15.8.5B0093",アジア航測(株),"H15.7.1
H15.10.15",
福島県,"会津坂下町,",道路計画,基準点,3級,2point,"会津坂下町
助言H15.8.14B0096",(財)福島県区画整理協会,"H15.8.6
H16.1.31",
福島県,"川俣町,岩代町,",砂防基盤図作成,"数値図化,写真図","2500,,2500","21.9KM2,141.0KM2","福島県県北建設事務所
助言H15.8.26B0117",中日本航空(株),"H15.8.25
H16.3.19",
福島県,"福島市,二本松市,霊山町,東和町,",砂防基盤図作成,"カラー撮影,数値図化,空三,写真図","12500,,2500,,2500,,2500","218.0KM2,44.7KM2,92M,44.7KM2","福島県県北建設事務所
助言H15.9.1B0120",アジア航測(株),"H15.8.25
H16.3.19",
福島県,"いわき市,",砂防基盤図作成,"水準,カラー撮影,数値図化,写真図,空三","簡級,,10000,,2500,,2500,,2500","272.0km,348.0KM2,8.0KM2,180.0KM2,512M","福島県いわき建設事務所
助言H15.9.1B0121",アジア航測(株),"H15.8.2
H16.3.19",
福島県,"相馬市,",ほ場整備,"座標変換,基準点,平板","2級,,2級,,500","3point,3point,0.6KM2","福島県相馬北部用水改良事務所
助言H15.9.3B0128","福島県土地改良事業団体達
合会","H15.8.10
H16.3.10",
福島県,"いわき市,",道路計画,"基準点,基準点,基準点","2級,,3級,,4級","2point,8point,29point","東北地方整備局磐城国道事務所
助言H15.9.8B0134",(株)東コンサルタント,"H15.9.5
H16.1.30",
福島県,"田島町,下郷町,舘岩村,",砂防計画,"数値図化,写真図,空三,座標変換","2500,,2500,,2500,,空三","7.4KM2,7.4KM2,141M,6point","福島県南会津建設事務所
助言H15.9.17B0136",(株)八州,"H15.7.2
H16.3.19",
福島県,"須賀川市,",固定資産,"カラー撮影,空三,写真図","8000,,1000,,1000","49.0KM2,121M,34.6KM2","須賀川市
助言H15.9.18B0139",国際航業(株),"H15.9.17
H16.1.30",
福島県,"須賀川市,本宮町,",河川計画,"基準点,平板,路線","3級,,1000","16point,1.4KM2,3.5km","東北地方整備局福島河川国道事務所
助言H15.9.30B0147",陸奥測量設計(株),"H15.9.20
H16.1.30",
福島県,"会津若松市,会津坂下町,柳津町,新鶴村,昭和村,",砂防基盤図作成,"数値図化,写真図","2500,,2500","24.0KM2,205.5KM2","福島県会津若松建設事務所
助言H15.10.14B0158",アジア航測(株),"H15.9.18
H16.1.30",
福島県,"福島市,",都市計画,"水準,カラー撮影,数値図化,空三","簡級,,12500,,2500,,2500","100.0km,313.5KM2,96.0KM2,167M","福島県県北建設事務所
助言H15.10.17B0163",東武計画(株),"H15.10.7
H16.3.19",
福島県,"双葉町,",ほ場整備,"基準点,平板","2級,,500","3point,0.5KM2","福島県相双農林事務所
助言H15.10.15B0167","福島県土地改良事業団体達
合会","H15.10.20
H16.3.22",
福島県,"いわき市,",港湾計画,基準点,2級,17point,"東北地方整備局小名浜港湾事務所
助言H15.11.5B0187",東日本測量(株),"H15.8.25
H15.11.10",
福島県,"石川町,",河川管理,"基準点,基準点,平板","2級,,3級,,500","１point,10point,0.5KM2","福島県県中建設事務所
助言H15.11.7B0193",陸奥測量設計(株),"H15.11.4
H16.2.27",
福島県,"福島市,",都市計画,数値図化,2500,144.0KM2,"福島県県北建設事務所
助言H15.11.13B0208",東武計画(株),"H15.11.11
H16.3.19",
福島県,"いわき市,",軌道計画,"基準点,基準点,基準点","2級,,3級,,4級","2point,3point,56point","いわき市
助言H15.11.25B0216",(株)東コンサルタント,"H15.11.4
H16.3.18",
福島県,"須賀川市,鏡石町,",都市計画図作成,数値図化,2500,39.0KM2,"福島県県中建設事務所
助言H15.11.26B0218",国際航業(株),"H15.11.5
H16.2.27",
福島県,"いわき市,",土地区画整理,基準点,3級,4point,"いわき市勿来酒井青柳土地区画整理組
助言H15.12.2B0222",東日本測量(株),"H15.12.1
H16.3.31",
福島県,"河東町,",都市計画,"カラー撮影,写測修正,既成図数値化","12500,,2500,,2500","15.6KM2,7.4KM2,7.4KM2","福島県会津若松建設事務所
助言H15.12.10B0227",アジア航測(株),"H15.11.11
H16.3.19",
福島県,"郡山市,須賀川市,常葉町,大越町,船引町,小野町,滝根町,平田村,古殿町,石川町,浅川町,玉川村,天栄村,長沼町,岩瀬村,三春町,中島村,都路村,",砂防基盤図作成,"水準,カラー撮影,数値図化,写真図","簡級,,12500,,2500,,2500","120.0km,428.8KM2,77.2KM2,77.2KM2","福島県県中建設事務所
助言H15.12.10B0228","アジア航測(株)
三和航測(株)
朝日航洋(株)
東武計画(株)
(株)オリス","H15.9.29
H16.3.19",
福島県,"原町市,",ほ場整備,"基準点,基準点,基準点,平板","2級,,3級,,4級,,500","3point,16point,95point,0.7KM2","福島県相双農林事務所
助言H15.12.10B0230","福島県土地改良事業団体達
合会","H15.12.16
H16.3.19",
福島県県境山形県,"福島市,猪苗代町,県境米沢市,",砂防計画,"カラー撮影,空三","12500,,2500","270.0KM2,112M","東北地方整備局福島河川国道事務所
助言H15.12.10B0231",中日本航空(株),"H15.10.2
H16.1.23",
福島県,"会津若松市,",ほ場整備,基準点,１級,5point,"福島県会津南部ほ場整備事務所
助言H15.12.19B0233","福島県土地改良事業団体達
合会","H15.12.22
H16.3.26",
福島県,"原町市,",道路計画,"基準点,基準点,水準,平板","3級,,4級,,3級,,500","14point,37point,10.0km,0.1KM2","東北地方整備局磐城国道事務所長
助言H15.12.19B0235",佐藤技術(株),"H15.12.10
H16.3.19",
福島県,"福島市,",都市計画,"水準,カラー撮影,空三,数値図化","簡級,,30000,,10000,,10000","30.0km,746.6KM2,83M,96.0KM2","福島市
助言H16.1.13B0240",(株)日測,"H15.11.11
H16.3.26",
福島県,"いわき市,",道路計画,"水準,撮影,数値図化,空三","簡級,,8000,,1000,,1000","30.0km,5.7KM2,1.0KM2,4M","東北地方整備局磐城国道事務所
助言H16.1.7B0243",(株)福山コンサルタント,"H15.11.20
H16.2.27",
福島県,"鏡石町,",道路計画,基準点,3級,22point,"東北地方整備局郡山国道事務所長
助言H16.1.8B0246",(株)郡山測量設計社,"H15.10.31
H16.3.25",
福島県,"塙町,",砂防計画,"水準,数値図化,空三","簡級,,2500,,2500","183.7km,6.5KM2,166M","福島県県南建設事務所
助言H16.1.7B0247",(株)写測,"H15.11.10
H16.3.19",
福島県,"白河市,",砂防計画,"水準,カラー撮影,数値図化,空三,写真図","簡級,,10000,,2500,,2500,,2500","153.0km,295.6KM2,14.4KM2,143M,113.0KM2","福島県県南建設事務所
助言H16.1.7B0248",アジア航測(株),"H15.12.24
H16.3.19",
福島県,"須賀川市,",都市計画,数値図化,2500,18.0KM2,"福島県県中建設事務所
助言H16.1.7B0249",国際航業(株),"H15.12.22
H16.2.27",
福島県,"原町市,",土地区画整理,"座標変換,座標変換,座標変換","2級,,3級,,4級","3point,8point,32point","原町市
助言H16.1.20B0253",日本測地設計(株),"H16.1.15
H16.3.19",
福島県,"いわき市,",道路計画,"水準,空三,数値図化","簡級,,1000,,1000","4.5km,4M,2.4KM2","東北地方整備局磐城国道事務所
助言H16.1.26B0260",(株)パスコ,"H15.11.21
H16.2.27",
福島県,"西郷村,",道路計画,水準,3級,6.0km,"福島県県南建設事務所
助言H16.2.4B0264",太陽測量設計(株),"H16.1.16
H16.3.19",
福島県,"福島市,",河川計画,"基準点,基準点","2級,,3級","4point,5point","東北地方整備局福島河川国道事務所
助言H16.2.4B0266",基礎地盤コンサルタンツ(株),"H16.1.20
H16.2.10",
福島県,"郡山市,",都市計画,"写測修正,座標変換","2500,,2500","10.4KM2,10.4KM2","郡山市
助言H16.2.16B0274","(株)パスコ
朝日航洋(株)","H16.1.9
H16.3.26",
福島県,"相馬市,",道路計画,基準点,3級,10point,"東北地方整備局磐城国道事務所
助言H16.2.17B0277",(株)復建技術コンサルタント,"H16.2.12
H16.3.16",
福島県,"原町市,相馬市,鹿島町,小高町,浪江町,双葉町,大熊町,",砂防計画,カラー撮影,12500,464.3KM2,"福島県相双建設事務所
助言H16.2.23B0280",新日本航測(株),"H15.12.26
H16.3.19",
福島県,"川内村,飯舘村,",砂防計画,"水準,数値図化,空三,写真図","簡級,,2500,,2500,,2500","199.2km,10.2KM2,242M,141.0KM2","福島県相双建設事務所
助言H16.2.23B0281",新日本航測(株),"H15.9.22
H16.3.19",
福島県,"原町市,小高町,浪江町,葛尾村,",砂防計画,"水準,数値図化,空三,写真図","簡級,,2500,,2500,,2500","147.2km,7.9KM2,152M,81.8KM2","福島県相双建設事務所
助言H16.2.23B0282",中日本航空(株),"H15.11.17
H16.3.19",
福島県,"郡山市,",道路計画,基準点,3級,5point,"東北地方整備局郡山国道事務所
助言H16.2.23B0284",(株)郡山測量設計社,"H16.2.9
H16.3.25",
福島県,"郡山市,",道路台帳,"既成図数値,座標変換","500,,500","236.1KM2,236.1KM2","郡山市
助言H16.2.23B0285","国際航業(株)
(株)パスコ
(有)増子測量設計事務所
(株)郡山測量設計社
(有)県南測量設計センター
(株)昭和技術設計事務所
日本技術設計コンサルタント
(株)
(有)南部技術
阿部測量(株)
(株)東日路政コンサルタント
(株)大幸測量設計事務所
(株)開成測量設計社
(株)八州","H16.2.20
H16.3.12",
福島県,"郡山市,",土地区画整理,"基準点,基準点,基準点","2級,,3級,,4級","1point,8point,162point","郡山市
助言H16.3.8B0287",東北都市測量設計(株),"H15.11.26
H16.3.18",
福島県,"本宮町,",道路計画,"基準点,基準点,路線,平板","3級,,4級,,,,1000","9point,15point,2.4km,0.2KM2","東北地方整備局福島河川国道事務所
助言H16.3.23B0297","三井共同建設コンサルタント
(株)東北支社","H16.2.7
H16.3.26",
福島県,"二本松市,梁川町,月舘町,東和町,",砂防計画,"水準,カラー撮影,数値図化,空三,座標変換","簡級,,10000,,2500,,3000,,空三点","165.0km,31.7KM2,10.9KM2,143M,94point","福島県県北建設事務所
助言H16.3.26B0299",国際航業(株),"H16.3.29
H16.5.30",
茨城県,"北茨城市,高萩市,",地籍調査,座標変換,図根三角点,27point,"茨城県北茨城市
助言H15.4.25C0020",東洋測量設計(株),"H15.5.1
H15.7.31",
茨城県,"岩井市,",ほ場整備,"基準点,基準点,その他","3級,,4級,,地区境界測量","28point,154point,13.0km","茨城県境土地改良事務所
助言H15.6.16C0063","茨城県土地改良事業団体達
合会","H15.1.21
H15.7.31",
茨城県,"つくば市,",宅地開発(学校用地),"基準点,基準点,基準点","１級,,3級,,4級","3point,4point,28point","茨城県教育委員会
助言H15.8.7C0136",(株)ミカミ,"H15.8.11
H15.10.14",
茨城県,"日立市,",土地区画整理,"基準点,基準点,水準,平板","3級,,4級,,3級,,500","5point,79point,2.0km,0.2KM2","茨城県日立市
助言H15.8.21C0153",(株)ミカミ,"H15.8.10
H16.3.20",
茨城県,"明野町,",下水道計画,数値図化,500,1.5KM2,"茨城県明野町
助言H15.8.27C0156",(株)パスコ,"H15.8.22
H16.2.27",
茨城県,"水戸市,",土地区画整理,"基準点,基準点,基準点","１級,,3級,,4級","3point,6point,40point","水戸市(赤塚駅周辺地区開発事務所)
助言H15.8.27C0162",(株)ミカミ,"H15.9.1
H16.3.15",
茨城県,"玉造町,",砂防計画,"空三,数値図化","10000,,2500","44M,18.1KM2","茨城県鉾田土木事務所
助言H15.9.16C0180",アジア航測(株),"H15.9.3
H16.3.15",
茨城県,"岩瀬町,笠間市,",道路計画,"カラー撮影,空三,数値図化","12500,,12500,,2500","47.0KM2,12M,14.8KM2","常陸河川国道事務所
助言H15.9.26C0188",(株)かんこう,"H15.9.19
H15.12.10",
茨城県,"美和村,緒川村,山方町,",砂防計画,"空三,数値図化","10000,,2500","92M,80.3KM2","茨城県大宮土木事務所
助言H15.10.2C0203",アジア航測(株),"H15.9.4
H16.3.15",
茨城県,"大子町,",砂防計画,"数値図化,空三","2500,,","39.8KM2,67M","茨城県大宮土木事務所大子土木事業所
助言H15.10.6C0213",(株)パスコ,"H15.9.20
H16.3.25",
茨城県,"真壁町,",砂防計画,数値図化,2500,45.0KM2,"茨城県下館土木事務所
助言H15.10.14C0223",(株)オオバ,"H15.9.5
H16.3.15",
茨城県,"那珂町,",土地区画整理,"基準点,基準点,平板","3級,,4級,,500","11point,181point,0.4KM2","那珂町竹ノ内土地区画整理組合
助言H15.10.17C0229",ﾎｺﾀ設計コンサルタンツ(株),"H15.9.3
H17.3.10",
茨城県,"土浦市,",道路計画,"基準点,基準点,基準点,水準","１級,,3級,,4級,,3級","5point,18point,62point,4.1km","常陸河川国道事務所
助言H15.10.28C0253",東武計画(株),"H15.10.1
H16.3.10",
茨城県,"鹿嶋市,",砂防計画,"数値図化,写真図","2500,,2500","25.3KM2,25.3KM2","茨城県潮来土木事務所
助言H15.11.10C0272",中日本航空(株),"H15.11.4
H16.3.20",
茨城県,"ひたちなか市,",土地区画整理,"基準点,基準点,平板","3級,,4級,,500","10point,163point,0.4KM2","ひたちなか市津田北部土地区画整理組合
助言H15.11.12C0284",大和測量(株),"H15.11.10
H16.1.30",
茨城県,"五霞町,",都市計画,"座標変換,座標変換","１級,,3級","24point,18point","五霞町
助言H15.11.12C0286",(株)青柳調査測量設計事務所,"H15.10.29
H16.3.8",
茨城県,"内原町,",都市計画,"カラー撮影,空三,数値図化","10000,,10000,,2500","41.6KM2,47M,41.6KM2","茨城県内原町
助言H15.11.25C0296",朝日航洋(株),"H15.11.20
H16.3.12",
茨城県,"桜川村,",ほ場整備,基準点,2級,9point,"霞ケ浦河川事務所
助言H15.11.25C0309",土浦測量設計(株),"H15.11.13
H16.2.23",
茨城県,"大洗町,",土地区画整理,"基準点,基準点,地上数値法,基準点","3級,,4級,,500,,2級","4point,30point,0.1KM2,2point","大洗町一本松土地区画整理組合
助言H15.11.25C0310",(株)ミカミ,"H15.11.20
H16.5.31",
茨城県,"下館市,",道路計画,"基準点,基準点","１級,,3級","4point,7point","茨城県下館土木事務所
助言H15.12.1C0314",(株)鈴木測量設計,"H15.10.11
H15.12.10",
茨城県,"岩間町,",道路計画,"基準点,基準点,基準点,基準点,水準","１級,,2級,,3級,,4級,,3級","1point,1point,11point,40point,1.5km","岩間町
助言H15.12.3C0322",茨城測量設計(株),"H15.10.17
H16.3.14",
