都道府県名,測量地域,測量目的,測量種別,縮尺･等級,事業量,計画機関,作業機関,自至時期,
北海道,"苫前町,",河川計画,"座標変換,基準点,基準点","2級,,3級,,4級","2point,8point,40point","北海道留萌土木現業所
助言H15.6.12A0091",小杉測量設計(株),"H15.5.15
H15.9.30",
北海道,"羽幌町,",河川計画,"座標変換,基準点","2級,,3級","3point,11point","北海道留萌土木現業所
助言H15.6.12A0092",新生測量設計(株),"H15.6.11
H15.6.20",
北海道,"比布町,",道路計画,"基準点,座標変換","3級,,2級","1point,1point","北海道旭川土木現業所
助言H15.6.12A0093",(株)富士測量,"H15.6.11
H15.6.27",
北海道,"和寒町,",道路用地,基準点,3級,2point,"北海道旭川土木現業所
助言H15.6.12A0094",(株)三洋コンサルタント,"H15.6.11
H15.7.28",
北海道,"和寒町,",道路用地,"基準点,座標変換","3級,,2級","3point,1point","北海道旭川土木現業所
助言H15.6.12A0095",(株)協和設計測量,"H15.6.4
H15.9.16",
北海道,"深川市,",道路用地,"基準点,座標変換,座標変換","2級,,2級,,3級","6point,3point,2point","北海道札幌土木現業所
助言H15.6.12A0096",平田技術コンサルタント(株),"H15.5.21
H15.9.1",
北海道,"佐呂間町,",道路台帳,"基準点,基準点","１級,,2級","2point,5point","網走開発建設部
助言H15.6.16A0097",サン技術コンサルタント(株),"H15.6.16
H15.9.15",
北海道,"置戸町,",土地改良,基準点,4級,10point,"北海道網走支庁
助言H15.6.16A0098",(有)協和測量設計,"H15.6.12
H15.7.22",
北海道,"帯広市,",土地改良,"座標変換,座標変換","2級,,3級","2point,3point","北海道十勝支庁
助言H15.6.16A0099",(有)堀内測量事務所,"H15.6.9
H15.8.27",
北海道,"帯広市,",土地改良,"基準点,座標変換","3級,,2級","5point,3point","北海道十勝支庁
助言H15.6.16A0100",高橋測量設計(株),"H15.6.9
H15.7.30",
北海道,"厚真町,",土地改良,"基準点,座標変換","3級,,2級","24point,7point","北海道胆振支庁
助言H15.6.16A0101",(株)伸栄コンサル,"H15.6.16
H15.7.31",
北海道,"妹背牛町,",土地改良,"基準点,路線","3級,,","9point,3.3km","北海道空知支庁
助言H15.6.16A0102",(株)みずほ設計事務所,"H15.6.16
H15.7.31",
北海道,"瀬棚町,",港湾計画,座標変換,3級,11point,"函館開発建設部
助言H15.6.16A0103",北海道測量事業協同組合,"H15.6.5
H15.8.28",
北海道,"函館市,",土地区画整理,"座標変換,座標変換","2級,,3級","3point,5point","函館市
助言H15.6.16A0104","臥牛測量設計･ツカサ技研共
同企業体","H15.7.17
H16.3.31",
北海道,"豊頃町,",土地改良,基準点,3級,14point,"北海道十勝支庁
助言H15.6.16A0105",菊地技術コンサルタント(株),"H15.6.13
H15.10.10",
北海道,"礼文町,","急傾斜地崩壊防止,工事","基準点,座標変換,座標変換","3級,,2級,,3級","6point,2point,1point","北海道稚内土木現業所
助言H15.6.17A0106",共和コンサルタント(株),"H15.4.25
H15.10.20",
北海道,"美幌町,",道路台帳,"基準点,白地図等","2級,,500","2point,1.1km","網走開発建設部
助言H15.6.17A0107",益村測量設計(株),"H15.6.20
H15.9.18",
北海道,"北見市,",道路台帳,"基準点,白地図等","3級,,1000","14point,0.7km","網走開発建設部
助言H15.6.17A0108",益村測量設計(株),"H15.6.20
H15.9.18",
北海道,"興部町,",河川計画,"基準点,路線","3級,,","16point,3.4km","北海道網走土木現業所
助言H15.6.17A0109",ダイシン設計(株),"H15.6.9
H16.3.19",
北海道,"札幌市,",土地区画整理,座標変換,3級,33point,"札幌市手稲山口土地区画整理組合
助言H15.6.17A0110",(株)拓殖設計,"H15.6.9
H15.7.10",
北海道,"新冠町,",土地改良,基準点,3級,14point,"北海道日高支庁
助言H15.6.17A0111",(株)細道コンサルタント,"H15.6.16
H15.8.10",
北海道,"稚内市,",道路GIS基礎データ作成,"基準点,水準","１級,,3級","8point,8.0km","稚内開発建設部
助言H15.6.17A0112",北辰建設コンサルタント(株),"H15.6.12
H15.9.25",
北海道,"上富良野町,",水質障害対策,基準点,3級,11point,"北海道上川支庁
助言H15.6.17A0113",(株)ルーラルェンジニア,"H15.6.9
H15.9.30",
北海道,"丸瀬布町,白滝村,",道路台帳,"基準点,基準点","１級,,2級","2point,5point","網走開発建設部
助言H15.6.17A0114",(株冲田測量,"H15.6.16
H15.9.15",
北海道,"浜頓別町,",ほ場整備,基準点,3級,4point,"北海道宗谷支庁
助言H15.6.17A0115",(株)田西設計コンサル,"H15.6.10
H15.9.10",
北海道,"浜頓別町,",土地改良,基準点,3級,31point,"北海道宗谷支庁
助言H15.6.18A0116","(株)北海道農業建設コンサル
タント","H15.6.9
H16.2.20",
北海道,"苫小牧市,",河川計画,基準点,3級,18point,"北海道室蘭土木現業所
助言H15.6.17A0117",日章測量設計(株),"H15.4.28
H15.9.30",
北海道,"厚真町,",土地改良,基準点,2級,4point,"北海道胆振支庁
助言H15.6.17A0118",(株)伊藤測量事務所,"H15.6.16
H15.10.30",
北海道,"雄武町,",道路台帳,"基準点,基準点","１級,,2級","2point,7point","網走開発建設部
助言H15.6.19A0119",共栄測量設計(株),"H15.6.16
H15.10.23",
北海道,"岩見沢市,",農道計画,基準点,3級,13point,"北海道空知支庁
助言H15.6.19A0120",(株)倉ll生コンサルタント,"H15.6.10
H15.11.20",
北海道,"名寄市,",道路計画,基準点,3級,3point,"北海道旭川土木現業所
助言H15.6.18A0121",旭川設計測量(株),"H15.6.16
H15.10.20",
北海道,"上川町,",道路用地,基準点,3級,1point,"上川町
助言H15.6.19A0122",旭川設計測量(株),"H15.6.16
H15.7.7",
北海道,"別海町,",農道計画,"座標変換,基準点,水準","3級,,3級,,4級","1point,7point,3point","北海道根室支庁
助言H15.6.19A0123",山下コンサルタント(株),"H15.6.17
H16.1.6",
北海道,"深川市,幌加内町,沼田町,秩父別町,北竜町,雨竜町,当別町,江別市,栗山町,由仁町,北広島市,千歳市,",河川管理,数値図修正,2500,103.4KM2,"石狩川開発建設部
助言H15.6.19A0124",日測技研(株),"H15.6.6
H15.12.6",
北海道,"苫前町,",道路用地,"基準点,基準点","１級,,3級","2point,4point","北海道留萌土木現業所
助言H15.6.19A0125",小杉測量設計(株),"H15.6.23
H15.12.5",
北海道,"遠軽町,上湧別町,",道路台帳,"基準点,基準点","１級,,2級","6point,16point","網走開発建設部
助言H15.6.19A0126",(株)ドボク管理,"H15.6.18
H15.10.8",
北海道,"清里町,",用水路用地測量,基準点,3級,4point,"網走開発建設部
助言H15.6.19A0127",大成測量設計(株),"H15.5.29
H15.9.16",
北海道,"千歳市,長沼町,",道路計画,"基準点,基準点,座標変換","3級,,4級,,3級","18point,122point,23point","札幌開発建設部札幌新道建設事務所
助言H15.6.24A0128",(株)土木技術コンサルタント,"H15.6.12
H15.11.30",
北海道,"岩見沢市,",道路計画,"基準点,座標変換","3級,,2級","8point,1point","北海道札幌土木現業所
助言H15.6.19A0129",ダイシン設計(株),"H15.6.18
H15.10.31",
北海道,"札幌市,",道路台帳,"基準点,水準","１級,,3級","10point,8.7km","札幌開発建設部
助言H15.6.19A0130",(株)アサヒ建設コンサルタント,"H15.5.22
H15.9.30",
北海道,"留辺蘂町,",道路台帳,"基準点,基準点,基準点","１級,,2級,,3級","2point,2point,10point","網走開発建設部
助言H15.6.19A0131",建基コンサルタント(株),"H15.6.18
H15.9.15",
北海道,"新十津川町,滝川市,",土地改良,基準点,3級,14point,"北海道空知支庁
助言H15.6.19A0132",(株)桜井測量,"H15.6.16
H15.8.20",
北海道,"帯広市,",土地改良,"座標変換,座標変換","2級,,3級","1point,4point","北海道十勝支庁
助言H15.6.20A0133",(有)広尾測量,"H15.6.20
H15.8.27",
北海道,"帯広市,",土地改良,座標変換,3級,6point,"北海道十勝支庁
助言H15.6.20A0134",(株)ホーェイ,"H15.6.20
H15.7.30",
北海道,"釧路市,",道路台帳,基準点,3級,5point,"釧路開発建設部
助言H15.6.20A0135",(株)小出コンサルタント,"H15.6.23
H15.10.10",
北海道,"豊富町,",河川計画,基準点,3級,13point,"北海道稚内土木現業所
助言H15.6.20A0136",(株)アイネス,"H15.6.20
H15.8.29",
北海道,"興部町,",道路台帳,"基準点,基準点,白地図等,白地図等","１級,,2級,,500,,1000","3point,8point,2.0km,2.0km","網走開発建設部
助言H15.6.23A0137",(株)タナカコンサルタント,"H15.6.19
H15.10.23",
北海道,"美唄市,",土地改良,基準点,3級,81point,"北海道空知支庁
助言H15.6.23A0138",(株)空知コンサルタント,"H15.5.22
H16.3.12",
北海道,"帯広市,",排水路用地確定測量,"座標変換,座標変換","2級,,3級","1point,4point","北海道十勝支庁
助言H15.6.23A0139",(有)旭東測量設計社,"H15.6.18
H15.8.27",
北海道,"帯広市,",排水路の用地確定測量,"座標変換,座標変換","2級,,3級","5point,22point","北海道十勝支庁
助言H15.6.23A0140",(株)矢本測量,"H15.6.20
H15.10.29",
北海道,"枝幸町,",土地改良,基準点,3級,4point,"水土里ﾈｯﾄ北海道北海道土地改良事業
団体達合会
助言H15.6.23A0141","水土里ネット北海道北海道土
地改良事業団体達合会","H15.6.23
H15.9.30",
北海道,"小清水町,",土地改良,"基準点,座標変換,座標変換","3級,,3級,,","4point,2point,3point","水土里ﾈｯﾄ北海道北海道土地改良事業
団体達合会
助言H15.6.23A0142","水土里ネット北海道北海道土
地改良事業団体連合会","H15.6.23
H15.9.30",
北海道,"足寄町,",土地改良,"基準点,座標変換","3級,,","11point,,6point","水土里ﾈｯﾄ北海道北海道土地改良事業
団体連合会
助言H15.6.23A0143","水土里ネット北海道北海道土
地改良事業団体達合会","H15.6.23
H15.9.30",
北海道,"大樹町,",土地改良,"基準点,座標変換","3級,,","4point,,3point","水土里ﾈｯﾄ北海道北海道土地改良事業
団体連合会
助言H15.6.23A0144","水土里ネット北海道北海道土
地改良事業団体連合会","H15.6.23
H15.9.30",
北海道,"標茶町,",土地改良,基準点,3級,5point,"水土里ﾈｯﾄ北海道北海道土地改良事業
団体連合会
助言H15.6.23A0145","水土里ネット北海道北海道土
地改良事業団体連合会","H15.6.23
H15.9.30",
北海道,"幌加内町,",道路計画,数値図化,1000,0.3KM2,"北海道札幌土木現業所
助言H15.6.19A0146",(株)シン技術コンサル,"H15.6.19
H15.6.30",
北海道,"深川市,",道路用地,"基準点,座標変換","3級,,3級","14point,1point","北海道札幌土木現業所
助言H15.6.19A0147",植田測量(株),"H15.6.19
H15.10.20",
北海道,"江別市,南幌町,長沼町,",道路計画,"カラー撮影,写測図化,水準,空三","8000,,1000,,簡級,,","39.8KM2,6.7KM2,22.3km,42M","札幌開発建設部
助言H15.6.23A0148",(株)パスコ,"H15.6.25
H16.2.5",
北海道,"遠別町,",道路計画,"基準点,基準点","１級,,3級","2point,3point","留萌開発建設部
助言H15.6.23A0149",小杉測量設計(株),"H15.6.6
H15.9.5",
北海道,"本別町,",土地改良,"座標変換,基準点","3級,,4級","7point,8point","北海道十勝支庁
助言H15.6.24A0150",土木測量設計(株),"H15.6.23
H15.8.29",
北海道,"芽室町,",土地改良,基準点,3級,9point,"北海道十勝支庁
助言H15.6.24A0151",東和工研(株),"H15.5.23
H15.12.19",
北海道,"砂原町,",漁港公有水面埋立調査,基準点,2級,2point,"北海道函館土木現業所
助言H15.7.3A0152",アース測量設計(株),"H15.7.18
H15.11.20",
北海道,"鶴居村,",河川管理,"基準点,基準点,水準,縦横断","2級,,3級,,2級,,","25point,50point,11.0km,12.5km","北海道釧路土木現業所
助言H15.6.24A0153",山下コンサルタント(株),"H15.5.30
H15.12.19",
北海道,"鶴居村,",河川管理,"基準点,基準点","2級,,3級","4point,8point","北海道釧路土木現業所
助言H15.6.25A0154",(株)プラテック,"H15.5.30
H15.12.19",
北海道,"栗沢町,",道路用地,"基準点,基準点","2級,,3級","1point,14point","北海道札幌土木現業所
助言H15.6.25A0155",沼田測量設計(株),"H15.6.16
H15.9.8",
北海道,"小清水町,",道路用地,基準点,3級,6point,"小清水町
助言H15.6.25A0156",(有)山田測量設計社,"H15.5.27
H15.8.10",
北海道,"留辺蘂町,",土地改良,"座標変換,基準点","3級,,4級","7point,20point","北海道網走支庁
助言H15.6.30A0157",カワムラ測量設計(株),"H15.6.4
H15.7.30",
