都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,測量計画機関（助言番号）,測量作業機関,実施時期
北海道,"愛別町,",その他,基準点測量,３級,3point,"北海道開発局旭川開発建設部
助言　　　H26.4.3  A0001","五大建設コンサルタント
株式会社","H26.3.24
H26.6.30"
北海道,"美唄市,",その他,基準点測量,３級,33point,"空知総合振興局
助言　　　H26.4.3  A0002","株式会社北開測地","H26.3.26
H26.6.20"
北海道,"北斗市,七飯町,",その他,基準点測量,２級,1point,"北海道渡島総合振興局
助言　　　H26.4.4  A0003","株式会社竹田測量設計","H26.3.29
H26.5.15"
北海道,"当麻町,",その他,基準点測量,３級,9point,"北海道開発局旭川開発建設部
助言　　　H26.4.25  A0004","株式会社農土コンサル","H26.4.21
H26.8.29"
北海道,"佐呂間町,",その他,基準点測量,３級,4point,"北海道オホーツク総合振興局
助言　　　H26.4.28  A0005","サン技術コンサルタント株
式会社","H26.4.22
H26.12.19"
北海道,"旭川市,",その他,基準点測量,街区多角点,1point,"北海道旭川市
助言　　　H26.4.25  A0006","エヌユーコンサルタント株
式会社","H26.4.23
H26.9.22"
北海道,"小樽市,",その他,基準点測量,街区多角点,2point,"北海道小樽市
助言　　　H26.4.28  A0007","ＨＲＳ株式会社","H26.4.25
H26.5.30"
北海道,"豊富町,",その他,基準点測量,３級,2point,"北海道宗谷総合振興局
助言　　　H26.4.28  A0008","北辰建設コンサルタント
株式会社","H26.4.28
H26.9.10"
北海道,"大空町,",その他,基準点測量,１級,1point,"北海道開発局網走開発建設部
助言　　　H26.5.2  A0009","ランドシステム有限会社","H26.4.25
H26.6.30"
北海道,"秩父別町,深川市,",その他,基準点測量,３級,25point,"北海道空知総合振興局
助言　　　H26.5.13  A0010","株式会社ルーラルエンジ
ニア","H26.5.8
H27.2.20"
北海道,"秩父別町,深川市,",その他,基準点測量,３級,22point,"北海道空知総合振興局
助言　　　H26.5.13  A0011","株式会社北開測地","H25.6.1
H27.2.10"
北海道,"増毛町,",その他,"基準点測量,基準点測量","１級,,３級","11point,19point","北海道留萌振興局
助言　　　H26.5.13  A0012","株式会社北海道農業建
設コンサルタント","H26.5.9
H26.12.15"
北海道,"旭川市,",その他,基準点測量,２級,1point,"北海道上川総合振興局
助言　　　H26.5.14  A0013","荒木測量設計株式会社","H26.5.20
H26.6.30"
北海道,"北見市,",その他,基準点測量,２級,3point,"北海道北見市
助言　　　H26.5.23  A0014","株式会社山腰測量設計
事務所","H26.5.12
H26.10.31"
北海道,"厚岸町,",その他,基準点測量,２級,3point,"北海道厚岸町
助言　　　H26.5.13  A0015","有限会社渋谷測量社","H26.5.27
H26.8.8"
北海道,"新冠町,",その他,基準点測量,２級,2point,"北海道新冠町
助言　　　H26.5.15  A0016","ダイシン設計株式会社","H26.5.14
H26.7.31"
北海道,"音更町,",基準点管理,水準測量,３級,47km,"北海道音更町
助言　　　H26.5.14  A0017","株式会社八州","H26.5.8
H26.9.30"
北海道,"函館市,",その他,基準点測量,２級,2point,"北海道渡島総合振興局
助言　　　H26.5.15  A0018","株式会社東鵬開発","H26.5.9
H26.9.10"
北海道,"名寄市,",その他,基準点測量,３級,2point,"北海道上川総合振興局
助言　　　H26.5.14  A0019","株式会社ネクシス光洋","H26.5.13
H26.9.1"
