都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,計画機関,作業機関,実施時期,付図番号
北海道,"室蘭市,",道路計画,基準点,1級,1point,室蘭開発建設部助言090312A0604,(株)八州,"09.02.06,09.03.21",
北海道,"函館市,",港湾計画,"基準点,基準点","1級,,2級","8point,6point",函館港湾建設事務所助言081009A0421,(株)パスコ,"08.10.14,09.03.19",
北海道,"苫小牧市,",総合計画,"基準点,基準点","1級,,2級","2point,6point",北海道苫小牧市助言080613A0094,沼田測量設計(株),"08.06.07,08.08.30",
北海道,"釧路市,",土地区画整理,"基準点,基準点","1級,,3級","3point,22point",釧路市昭和第二土地区画整理組合設立発起人会助言090203A0585,東邦コンサルタント(株),"09.01.20,10.03.31",
北海道,"中札内村,幕別町,更別村,",農地開発,"基準点,基準点","1級,,2級","13point,35point",帯広開発建設部助言080402A0001,朝日航洋(株),"08.01.20,08.08.25",
北海道,"遠別町,",道路計画,"基準点,基準点","1級,,3級","6point,14point",留萌開発建設部助言081105A0468,(株)北建コンサルタント,"08.10.07,08.11.30",
北海道,"厚岸町,",総合計画,基準点,2級,7point,北海道厚岸町助言080722A0232,(株)パスコ,"08.08.01,08.10.01",
北海道,"士別市,剣淵町,",道路計画,"基準点,水準","2級,,3級","11point,11point",日本道路公団北海道支社旭川工事事務所助言080830A0343,"アジア航測(株),(株)石田測量事務所,(株)ランドプランニング,(株)三陽測量設計","08.08.03,08.11.30",
北海道,"長沼町,",ほ場整備,基準点,2級,13point,北海道空知支庁助言090312A0603,内外エンジニアリング(株),"09.03.10,09.05.10",
北海道,"美瑛町,",土地区画整理,基準点,2級,2point,北海道美瑛町助言081126A0518,(株)シン技術コンサル,"08.10.19,09.02.20",
北海道,"風連町,",道路計画,基準点,2級,9point,北海道旭川土木現業所助言080614A0114,旭川設計測量(株),"08.06.17,08.08.26",
北海道,"旭川市,愛別町,比布町,上川町,鷹栖町,東川町,当麻町,東神楽町,美瑛町,",河川計画,基準点,2級,50point,旭川開発建設部助言090120A0577,旭川設計測量(株),"09.01.20,09.01.31",
北海道,"七飯町,森町,",道路計画,基準点,2級,21point,日本道路公団北海道支社函館工事事務所助言080913A0372,"(株)かんこう,朝日航洋(株)","08.08.02,08.11.29",
北海道,"占冠村,",道路計画,"基準点,基準点","2級,,3級","6point,5point",北海道旭川土木現業所助言080807A0300,(株)富士測量,"08.08.01,08.11.11",
北海道,"留辺蘂町,",総合計画,基準点,2級,3point,北海道留辺蘂町助言080523A0035,(株)極東コンサルタント,"08.05.10,08.12.13",
北海道,"札幌市,",総合計画,基準点,2級,9point,北海道札幌市助言081113A0494,大東測地(株),"08.11.11,09.01.10",
北海道,"芦別市,",道路台帳,"基準点,基準点","2級,,3級","4point,10point",札幌開発建設部助言081028A0467,北海道測量事業協同組合,"08.10.01,08.12.03",
北海道,"夕張市,",ダム計画,基準点,2級,3point,石狩川開発建設部助言080910A0359,北海道測量事業協同組合,"08.08.07,08.12.24",
北海道,"江別市,当別町,",土地改良,基準点,2級,3point,札幌開発建設部助言081118A0505,北海道測量事業協同組合,"08.11.06,09.02.28",
北海道,"千歳市,",道路計画,基準点,2級,4point,札幌開発建設部助言081211A0545,"北海道測量事業協同組合,大東測地(株)","08.12.02,09.01.20",
北海道,"稚内市,",農道計画,基準点,2級,3point,北海道宗谷支庁助言080628A0153,(株)アサヒ建設コンサルタント,"08.06.24,08.08.20",
北海道,"函館市,",土地区画整理,基準点,2級,3point,北海道函館市助言081009A0414,臥牛測量設計(株),"08.10.07,09.03.10",
北海道,"佐呂間町,",土地改良,"基準点,基準点","2級,,3級","6point,9point",北海道網走支庁助言080628A0155,ロイヤルコンサルタント(株),"08.05.31,08.11.29",
北海道,"浜益村,",地域総合整備事業,"基準点,基準点","2級,,3級","6point,8point",北海道石狩支庁助言080704A0185,ロイヤルコンサルタント(株),"08.07.20,08.08.30",
北海道,"熊石町,",排水路調査,基準点,2級,6point,北海道檜山支庁助言080715A0218,ロイヤルコンサルタント(株),"08.07.15,08.07.25",
北海道,"深川市,",ほ場整備,"基準点,基準点","2級,,3級","5point,7point",北海道空知支庁助言080809A0308,ロイヤルコンサルタント(株),"08.08.05,08.08.20",
北海道,"門別町,",土地改良,"基準点,基準点","2級,,3級","5point,9point",北海道日高支庁助言081023A0445,ロイヤルコンサルタント(株),"08.07.22,08.11.05",
