都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,計画機関,作業機関,自至時期,
北海道,"幌延町,",道路計画,基準点,３級,8point,助言H17.6.2A0081北海道留萌支庁,(株)アイネス,"H17.5.12
H17.8.10",
北海道,"栗沢町,",土地改良,基準点,３級,6point,助言H17.6.2A0082北海道空知支庁,(株)伊藤測量事務所,"H17.5.30
H17.8.30",
北海道,"滝川市,",街区基本調査,"基準点,基準点","２級,,３級","3point,14point",助言H17.6.3A0083札幌開発建設部,(株)タナカコンサルタント,"H16.9.1
H17.12.31",
北海道,"鹿追町,",道路用地,座標変換,３級,16point,助言H17.6.3A0084帯広開発建設部,平田技術コンサルタント(株),"H17.5.27
H17.6.30",
北海道,"留萌市,",ダム計画,基準点,３級,41point,助言H17.6.3A0085留萌開発建設部,(株)ドボク管理,"H17.4.20
H17.8.29",
北海道,"網走市,",道路用地,基準点,３級,6point,助言H17.6.3A0086北海道網走支庁,バーム測量設計(株),"H17.6.10
H17.12.9",
北海道,"足寄町,",河川計画,"基準点,基準点","１級,,３級","4point,19point",助言H17.6.3A0087北海道十勝支庁,平田技術コンサルタント(株),"H17.5.31
H17.9.20",
北海道,"長沼町,",土地改良,基準点,３級,81point,助言H17.6.3A0088北海道空知支庁,(株)本山測量設計,"H17.5.31
H18.2.27",
北海道,"厚岸町,",ほ場整備,"カラー撮影,ディジタルオルソ","10000,,2500","320.0KM2,320.0KM2",助言H17.6.7A0089厚岸町,(株)ジーアイエス北海道,"H17.6.1
H18.3.31",
北海道,"奈井江町,",河川計画,基準点,２級,1point,助言H17.6.7A0090石狩川開発建設部,嵯峨測量設計(株),"H17.6.20
H17.7.8",
北海道,"札幌市,",歩道バリアフリー整備,"基準点,基準点","３級,,４級","4point,20point",助言H17.6.7A0091札幌開発建設部札幌道路事務所,(株)土木技術コンサルタント,"H17.6.1
H17.9.30",
北海道,"足寄町,",土地改良,"座標変換,座標変換,座標変換","２級,,３級,,地籍図根点","1point,6point,1point",助言H17.6.7A0092北海道十勝支庁,(株)Ｆサーベイ,"H17.4.22
H17.7.20",
北海道,"本別町,",土地改良,"座標変換,座標変換","２級,,３級","1point,3point",助言H17.6.7A0093北海道十勝支庁,新和測量(株),"H17.6.2
H17.7.8",
北海道,"長万部町,",土地改良,基準点,３級,5point,助言H17.6.7A0094北海道渡島支庁,(有)エンゼル測量企画,"H17.6.22
H17.9.30",
北海道,"古平町,",その他,"基準点,基準点","２級,,３級","3point,1point",助言H17.6.7A0095北海道後志支庁,(株)島口測量事務所,"H17.5.20
H17.8.30",
北海道,"白滝村,",道路用地,"基準点,基準点","１級,,３級","2point,2point",助言H17.6.7A0096白滝村,(株)ドボク管理,"H17.6.1
H17.8.31",
北海道,"忠類村,",地籍調査,座標変換,地籍図根点,168point,助言H17.6.7A0097忠類村,北海航測(株),"H17.6.2
H17.8.5",
北海道,"仁木町,",道路計画,基準点,３級,2point,助言H17.6.9A0098北海道後志支庁,新生測量設計(株),"H17.6.1
H17.8.30",
北海道,"函館市,",街区基本調査,"基準点,基準点,基準点","１級,,２級,,３級","6point,5point,11point",助言H17.6.7A0099函館開発建設部,昭和(株),"H16.9.1
H17.12.31",
北海道,"室蘭市,",地すべり対策,基準点,３級,2point,助言H17.6.9A0100北海道胆振支庁,応用設計(株),"H17.6.1
H17.6.30",
北海道,"斜里町,",海岸保全,基準点,３級,4point,助言H17.6.8A0101北海道網走支庁,(有)興測設計事務所,"H17.6.27
H17.9.30",
北海道,"白滝村,",道路台帳,"基準点,基準点","１級,,２級","3point,6point",助言H17.6.8A0102網走開発建設部,(株)ムラコシ,"H17.6.4
H17.10.31",
北海道,"名寄市,",土地改良,基準点,３級,4point,助言H17.6.8A0103北海道上川支庁,(株)協和設計測量,"H17.6.6
H17.9.30",
北海道,"美瑛町,",道路用地,基準点,３級,5point,助言H17.6.8A0104北海道旭川土木現業所,(株)ヒロノ測建,"H17.6.18
H17.8.29",
北海道,"中札内村,",土地改良,座標変換,３級,4point,助言H17.6.9A0105北海道十勝支庁,(株)桜井測量,"H17.6.2
H17.7.8",
北海道,"厚真町,",道路計画,"基準点,基準点","１級,,３級","4point,14point",助言H17.6.9A0106厚真町,(株)タナカコンサルタント,"H17.5.26
H17.8.30",
北海道,"厚岸町,",道路計画,基準点,３級,5point,助言H17.6.9A0107北海道釧路支庁,(株)中央測研,"H17.6.3
H17.7.29",
北海道,"羅臼町,",道路用地,基準点,１級,1point,助言H17.6.9A0108北海道釧路支庁,(株)日建エンヂニアリング,"H17.6.3
H17.8.22",
北海道,"中標津町,",その他,基準点,３級,2point,助言H17.6.9A0109北海道釧路支庁,(有)サノ測量設計社,"H17.6.3
H17.8.10",
北海道,"足寄町,",河川計画,"基準点,基準点","１級,,３級","5point,17point",助言H17.6.9A0110北海道十勝支庁,東和工研(株),"H17.6.1
H17.9.20",
北海道,"足寄町,",河川計画,"基準点,基準点","１級,,３級","4point,16point",助言H17.6.9A0111北海道十勝支庁,和光技研(株),"H17.6.10
H17.9.20",
北海道,"足寄町,陸別町,",河川計画,基準点,３級,21point,助言H17.6.9A0112北海道十勝支庁,(株)ズコーシャ,"H17.6.3
H17.9.30",
北海道,"足寄町,陸別町,",河川計画,"基準点,基準点","１級,,３級","2point,20point",助言H17.6.9A0113北海道十勝支庁,北王コンサルタント(株),"H17.6.2
H17.9.20",
北海道,"足寄町,陸別町,",河川計画,"基準点,基準点","１級,,３級","2point,18point",助言H17.6.9A0114北海道十勝支庁,北武コンサルタント(株),"H17.6.13
H17.12.20",
北海道,"厚沢部町,",河川計画,"基準点,基準点","２級,,３級","5point,6point",助言H17.6.9A0115北海道渡島支庁,(株)サッポロ・エンジニヤーズ,"H17.5.20
H17.12.20",
北海道,"訓子府町,",土地改良,基準点,３級,8point,助言H17.6.9A0116北海道網走支庁,(株)中神土木設計事務所,"H17.6.6
H17.12.20",
北海道,"音更町,",農道計画,座標変換,３級,13point,助言H17.6.9A0117北海道十勝支庁,(株)中央測研,"H17.6.6
H17.9.20",
北海道,"上磯町,",鉄道計画,"基準点,基準点,基準点,水準","１級,,３級,,４級,,３級","2point,2point,6point,4point",助言H17.6.10A0118(独)鉄道建設・運輸施設支援機構鉄道建設本部北海道新幹線建設局,(株)竹田測量設計,"H17.6.10
H17.7.25",
北海道,"訓子府町,",土地改良,基準点,３級,3point,助言H17.6.10A0119北海道網走支庁,(株)香島コンサルタント,"H17.6.7
H17.8.30",
北海道,"知内町,",土地改良,基準点,３級,3point,助言H17.6.10A0120北海道渡島支庁,北栄測量設計(株),"H17.6.13
H17.8.31",
北海道,"門別町,",道路計画,基準点,２級,6point,助言H17.6.10A0121室蘭開発建設部苫小牧道路事務所,(株)構研エンジニアリング,"H17.6.13
H17.11.7",
北海道,"中札内村,",河川管理,基準点,３級,4point,助言H17.6.10A0122北海道十勝支庁,丸菱測量設計(株),"H17.6.8
H17.8.30",
北海道,"美瑛町,",道路計画,基準点,３級,8point,助言H17.6.10A0123美瑛町,五大建設コンサルタント(株),"H17.6.7
H17.11.30",
北海道,"新得町,",農地開発,"基準点,基準点","１級,,３級","5point,14point",助言H17.6.13A0124帯広開発建設部,(株)フロンティア技研,"H17.6.2
H17.11.8",
北海道,"函館市,",港湾管理,基準点,３級,7point,助言H17.6.13A0125函館開発建設部,北海道測量事業協同組合,"H17.6.9
H17.8.25",
北海道,"豊富町,",農道計画,基準点,３級,6point,助言H17.6.13A0126北海道宗谷支庁,(株)北海道農業建設コンサルタン,"H17.6.10
H17.10.20",
北海道,"羅臼町,",道路用地,"基準点,基準点,基準点","２級,,３級,,４級","3point,4point,38point",助言H17.6.13A0127北海道釧路支庁,(有)津村測量,"H17.6.9
H17.8.10",
北海道,"北広島市,",道路用地,基準点,３級,3point,助言H17.6.13A0128北海道石狩支庁,(株)中田測量,"H17.6.10
H17.8.25",
北海道,"静内町,",導水路工事,基準点,３級,3point,助言H17.6.15A0129北海道室蘭土木現業所,(株)桜井測量,"H17.5.23
H17.9.30",
北海道,"共和町,",道路管理,基準点,３級,7point,助言H17.6.15A0130北海道後志支庁,メルテックコンサルタント(株),"H17.6.11
H17.7.30",
北海道,"鷹栖町,",土地改良,"基準点,基準点","２級,,３級","1point,28point",助言H17.6.15A0131北海道上川支庁,旭川設計測量(株),"H17.6.11
H18.2.15",
北海道,"上富良野町,",土地改良,基準点,３級,18point,助言H17.6.15A0132北海道上川支庁,旭川設計測量(株),"H17.6.11
H18.1.30",
北海道,"風連町,",土地改良,基準点,２級,53point,助言H17.6.15A0133北海道上川支庁,(株)ランドプランニング,"H17.6.10
H17.8.10",
北海道,"津別町,",土地改良,基準点,４級,3point,助言H17.6.15A0134北海道網走支庁,(株)大道測量設計,"H17.6.11
H17.8.1",
北海道,"長沼町,",土地改良,基準点,３級,47point,助言H17.6.15A0135北海道空知支庁,拓新エンジニア(株),"H17.6.10
H18.2.27",
北海道,"別海町,",計画,基準点,３級,5point,助言H17.6.22A0136別海町,(株)アイネス,"H17.6.22
H17.9.30",
北海道,"長万部町,",その他,"基準点,基準点","２級,,３級","3point,4point",助言H17.6.22A0137北海道渡島支庁,函館土木調査(株),"H17.6.22
H17.11.10",
北海道,"遠軽町,",道路台帳,"基準点,基準点,基準点","１級,,２級,,４級","3point,6point,60point",助言H17.6.22A0138網走開発建設部,益村測量設計(株),"H17.6.22
H17.11.30",
北海道,"上川町,",道路用地,"基準点,座標変換","３級,,３級","1point,1point",助言H17.6.22A0139北海道旭川土木現業所,新栄コンサルタント(株),"H17.6.22
H17.8.29",
北海道,"小樽市,",道路用地,基準点,３級,3point,助言H17.6.22A0140小樽開発建設部,(株)島口測量事務所,"H17.6.27
H17.8.31",
北海道,"足寄町,",土地改良,座標変換,３級,5point,助言H17.6.22A0141北海道十勝支庁,(株)石橋測量エンジニアーリング,"H17.4.22
H17.6.30",
北海道,"南富良野町,",道路用地,"基準点,基準点","１級,,３級","1point,1point",助言H17.6.22A0142旭川開発建設部,(株)アラソフトウェア,"H17.6.25
H17.8.11",
北海道,"旭川市,",ほ場整備,基準点,３級,43point,助言H17.6.27A0143北海道上川支庁,(株)北海道農業建設コンサルタン,"H17.6.14
H17.11.30",
北海道,"厚真町,",農地開発,"基準点,基準点","２級,,３級","5point,31point",助言H17.6.27A0144室蘭開発建設部,(株)フロンティア技研,"H17.6.9
H17.11.24",
北海道,"稚内市,",道路計画,基準点,３級,2point,助言H17.6.27A0145北海道宗谷支庁,(株)シー・イー・サービス,"H17.6.14
H17.7.31",
北海道,"厚真町,",改良,"基準点,基準点,座標変換,座標変換","２級,,３級,,２級,,３級","4point,25point,2point,1point",助言H17.6.24A0146北海道胆振支庁,(株)帝国設計事務所,"H17.6.24
H17.9.12",
北海道,"斜里町,",道路計画,"基準点,基準点","１級,,３級","2point,1point",助言H17.6.27A0147網走開発建設部,平田技術コンサルタント(株),"H17.6.15
H17.8.2",
北海道,"別海町,",地域水産基盤整備,基準点,３級,2point,助言H17.6.27A0148北海道釧路支庁,(株)アルファ水工コンサルタンツ,"H17.6.25
H17.7.31",
北海道,"滝川市,",道路計画,基準点,３級,8point,助言H17.6.27A0149北海道石狩支庁,北海道土木設計(株),"H17.6.17
H17.8.30",
北海道,"東藻琴村,",農道計画,基準点,３級,4point,助言H17.6.27A0150北海道網走支庁,(株)田西設計コンサル,"H17.4.26
H17.8.10",
北海道,"松前町,",その他,基準点,３級,4point,助言H17.6.24A0151北海道渡島支庁,(有)皆川測量事務所,"H17.6.24
H17.9.15",
北海道,"函館市,",その他,基準点,２級,2point,助言H17.6.24A0152函館地方法務局,昭和(株),"H17.6.24
H17.12.28",
北海道,"紋別市,",道路台帳,基準点,２級,5point,助言H17.6.28A0153網走開発建設部,(株)ドボク管理,"H17.6.27
H17.11.17",
北海道,"妹背牛町,",改良,基準点,３級,55point,助言H17.6.28A0154北海道空知支庁,(株)空知コンサルタント,"H17.6.27
H18.2.27",
北海道,"静内町,",改良,基準点,３級,6point,助言H17.6.28A0155北海道日高支庁,(株)桜井測量,"H17.6.27
H18.2.10",
北海道,"滝上町,",道路用地,基準点,３級,4point,助言H17.6.28A0156北海道網走支庁,中央測建(株),"H17.6.27
H17.10.31",
北海道,"士幌町,",農道計画,基準点,３級,9point,助言H17.6.28A0157北海道十勝支庁,東和工研(株),"H17.5.27
H18.1.27",
北海道,"根室市,",道路台帳,基準点,３級,9point,助言H17.6.28A0158釧路開発建設部,(株)小林技術コンサルタント,"H17.6.17
H17.11.16",
北海道,"標茶町,",農地開発,基準点,２級,4point,助言H17.6.28A0159釧路開発建設部,(株)松木測量設計,"H17.6.18
H17.8.25",
北海道,"幕別町,",道路用地,基準点,２級,1point,助言H17.6.28A0160帯広開発建設部,(有)石丸測量社,"H17.6.17
H17.8.5",
北海道,"美瑛町,",道路計画,基準点,３級,2point,助言H17.6.28A0161美瑛町,(株)富士建設コンサル,"H17.5.12
H17.11.30",
北海道,"白糠町,",土地改良,"基準点,座標変換","３級,,１級","60point,1point",助言H17.6.28A0162北海道釧路支庁,山下コンサルタント(株),"H17.6.12
H18.2.10",
北海道,"中富良野町,",土地改良,"基準点,座標変換","３級,,４級","26point,2point",助言H17.6.28A0163北海道上川支庁,(株)イズム・グリーン,"H17.5.31
H18.2.15",
北海道,"小清水町,",地籍調査,基準点,２級,22point,助言H17.6.28A0164小清水町,北日本測地(株),"H17.6.28
H18.2.10",
北海道,"西興部村,",道路用地,基準点,３級,5point,助言H17.6.28A0165北海道網走支庁,(株)北杜設計,"H17.6.28
H17.11.30",
北海道,"士幌町,",その他,座標変換,３級,4point,助言H17.6.28A0166北海道十勝支庁,アラヤ総合設計(株),"H17.6.28
H17.7.8",
北海道,"中札内村,更別村,忠類村,大樹町,",道路計画,"カラー撮影,水準,数値図化","8000,,簡級,,1000","5.5KM2,16.0km,11.5KM2",助言H17.7.4A0167帯広開発建設部,(株)八州,"H17.5.25
H17.10.25",
北海道,"紋別市,",道路台帳,"基準点,基準点","２級,,４級","3point,42point",助言H17.7.4A0168網走開発建設部,(株)小林技術コンサルタント,"H17.6.27
H17.11.10",
北海道,"釧路市,",ほ場整備,基準点,３級,9point,助言H17.7.4A0169北海道釧路支庁,ロイヤルコンサルタント(株),"H17.6.13
H17.8.10",
北海道,"滝川市,",街区基本調査,基準点,３級,8point,助言H17.7.4A0170滝川市,(株)タナカコンサルタント,"H16.9.1
H17.12.28",
北海道,"新篠津村,",土地改良,基準点,３級,15point,助言H17.7.4A0171北海道石狩支庁,(株)香島コンサルタント,"H17.6.22
H18.3.20",
