都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,計画機関,作業機関,自至時期,
北海道,"幕別町,",地籍調査,基準点,地籍図根点,13point,助言H17.4.11A0001幕別町,幕別地籍調査協同組合,"H17.4.20
H17.6.20",
北海道,"札幌市,",土地区画整理,基準点,４級,83point,助言H17.4.12A0002札幌市手稲山口土地区画整理組合,(株)拓殖設計,"H17.4.9
H17.12.15",
北海道,"浦河町,",道路用地,基準点,３級,2point,助言H17.4.13A0003室蘭開発建設部,(株)細道コンサルタント,"H17.4.21
H17.6.20",
北海道,"厚沢部町,",河川計画,"基準点,基準点","２級,,３級","2point,2point",助言H17.4.14A0004北海道渡島支庁,(株)東鵬開発,"H17.4.13
H17.12.20",
北海道,"足寄町,",河川計画,"基準点,基準点,基準点,水準,写測図化","１級,,３級,,４級,,３級,,1000","5point,16point,92point,4.6km,1.4KM2",助言H17.5.12A0005北海道十勝支庁,(株)土木技術コンサルタント,"H17.4.28
H17.8.31",
北海道,"札幌市,",都市計画,カラー撮影,11000,723.0KM2,助言H17.4.19A0006札幌市,(株)道央測量設計,"H17.5.1
H17.6.30",
北海道,"豊富町,",自然再生事業,基準点,２級,22point,助言H17.4.19A0007環境省自然環境局西北海道地区自然保護事務所,(株)富士建設コンサル,"H17.3.19
H17.9.30",
北海道,"足寄町,",河川計画,"基準点,基準点","１級,,３級","5point,16point",助言H17.4.27A0008北海道十勝支庁,東和工研(株),"H17.4.20
H17.8.31",
北海道,"札幌市,",河川管理,"基準点,座標変換","３級,,３級","6point,4point",助言H17.4.27A0009北海道石狩支庁,和光技研(株),"H17.4.25
H17.9.30",
北海道,"厚沢部町,",河川計画,基準点,２級,1point,助言H17.4.27A0010北海道渡島支庁,協友測量設計(株),"H17.5.16
H17.8.30",
北海道,"釧路市,釧路町,",河川計画,水準,３級,12point,助言H17.4.27A0011北海道釧路土木現業所,東邦コンサルタント(株),"H17.5.1
H17.6.30",
北海道,"小平町,",海岸浸食対策,基準点,３級,1point,助言H17.4.28A0012北海道留萌支庁,建基コンサルタント(株),"H17.4.14
H17.7.20",
北海道,"帯広市,",土地改良,基準点,２級,1point,助言H17.5.12A0013北海道十勝支庁,(株)土木技術コンサルタント,"H17.4.29
H17.7.29",
北海道,"北檜山町,",土地改良,基準点,３級,29point,助言H17.5.12A0014北海道檜山支庁,内外エンジニアリング(株),"H17.4.28
H17.11.10",
北海道,"足寄町,本別町,置戸町,",道路計画,基準点,１級,55point,助言H17.5.12A0015帯広開発建設部,北海道測量事業協同組合,"H17.4.29
H17.10.31",
北海道,"鷹栖町,",土地改良,"基準点,基準点","３級,,４級","7point,18point",助言H17.5.12A0016北海道上川支庁,(株)協和設計測量,"H17.4.22
H17.11.30",
北海道,"上ノ国町,",道路用地,基準点,３級,5point,助言H17.5.12A0017北海道函館土木現業所,北海道キング設計(株),"H17.5.16
H17.6.30",
北海道,"南幌町,",道路計画,基準点,３級,12point,助言H17.5.11A0018北海道石狩支庁,(株)構研エンジニアリング,"H17.4.20
H17.8.30",
北海道,"日高町,",道路計画,"基準点,基準点","１級,,３級","3point,10point",助言H17.5.12A0019室蘭開発建設部,(株)タナカコンサルタント,"H17.5.16
H17.9.14",
北海道,"月形町,",土地改良,基準点,３級,13point,助言H17.5.12A0020北海道空知支庁,(株)北開測地,"H17.5.16
H18.2.20",
北海道,"網走市,",道路用地,"基準点,基準点","１級,,３級","2point,8point",助言H17.5.12A0021北海道網走支庁,(株)北杜設計,"H17.5.10
H17.12.9",
北海道,"網走市,東藻琴村,",河川計画,水準,３級,21.0km,助言H17.5.17A0022北海道網走支庁,(株)シン技術コンサル,"H17.5.16
H17.12.20",
北海道,"稚内市,",地籍調査,基準点,地籍図根点,2point,助言H17.5.13A0023稚内市,(株)北海道朝日航洋,"H17.6.1
H18.3.20",
北海道,"上湧別町,",道路用地,"基準点,基準点","１級,,３級","5point,4point",助言H17.5.13A0024網走開発建設部,櫻井測量設計(株),"H17.5.9
H17.7.7",
北海道,"訓子府町,",土地改良,基準点,４級,17point,助言H17.5.16A0025北海道網走支庁,(株)カワムラ,"H17.5.10
H17.9.5",
北海道,"端野町,",土地改良,"基準点,基準点","４級,,筆界点","11point,28point",助言H17.5.16A0026北海道網走支庁,大起コンサルタント(株),"H17.5.10
H17.7.20",
北海道,"小清水町,",土地改良,座標変換,３級,3point,助言H17.5.13A0027北海道十勝支庁,(株)中央測研,"H17.5.10
H17.6.30",
北海道,"士別市,",土地改良,基準点,３級,7point,助言H17.5.16A0028北海道上川支庁,新栄コンサルタント(株),"H17.4.22
H17.8.30",
北海道,"長沼町,",土地改良,基準点,３級,16point,助言H17.5.16A0029北海道空知支庁,開成コンサルタント(株),"H17.5.3
H17.8.22",
北海道,"芽室町,",土地改良,"座標変換,座標変換","３級,,地籍図根点","9point,1point",助言H17.5.13A0030北海道十勝支庁,(株)矢本測量,"H17.5.12
H17.7.14",
北海道,"中札内村,",土地改良,座標変換,３級,2point,助言H17.5.13A0031北海道十勝支庁,(有)福岡測量設計事務所,"H17.5.12
H17.5.31",
北海道,"芽室町,",土地改良,座標変換,３級,3point,助言H17.5.13A0032北海道十勝支庁,(有)ネオテック,"H17.5.12
H17.7.15",
北海道,"蘭越町,",道路計画,基準点,３級,2point,助言H17.5.16A0033北海道小樽土木現業所,北海道調査測量(株),"H17.4.25
H17.6.30",
北海道,"留萌市,増毛町,浜益村,厚田村,当別町,北竜町,雨竜町,新十津川町,釧路市,釧路町,標茶町,弟子屈町,鶴居村,阿寒町,白糠町,音別町,浦幌町,本別町,",森林計画,撮影,20000,3420.0KM2,助言H17.5.16A0034北海道,"北海道航空(株)
北海航測(株)","H17.6.1
H17.11.24",
北海道,"厚沢部町,",河川管理,"基準点,基準点","２級,,３級","4point,9point",助言H17.5.17A0035北海道渡島支庁,北武コンサルタント(株),"H17.3.25
H17.12.20",
北海道,"興部町,",河川管理,"カラー撮影,空三,数値図化,水準","10000,,2500,,2500,,簡級","41.0KM2,25M,24.7KM2,34.5km",助言H17.5.17A0036北海道網走支庁,(株)シン技術コンサル,"H17.5.13
H17.7.29",
北海道,"岩見沢市,",環境整備,基準点,３級,6point,助言H17.5.18A0037北海道空知支庁,ダイシン設計(株),"H17.5.10
H17.11.10",
北海道,"新篠津村,",土地改良,基準点,３級,37point,助言H17.5.20A0038北海道石狩支庁,(株)田西設計コンサル,"H17.5.6
H17.7.29",
北海道,"帯広市,幕別町,池田町,豊頃町,浦幌町,音更町,中札内村,本別町,小清水町,芽室町,士幌町,新得町,更別村,足寄町,",河川計画,"水準,水準","２級,,３級","600.0km,150.9km",助言H17.5.19A0039帯広開発建設部,北海道測量事業協同組合,"H17.5.14
H18.1.31",
北海道,"厚沢部町,",河川管理,基準点,３級,2point,助言H17.5.19A0040北海道渡島支庁,野外科学(株),"H17.5.20
H17.8.30",
北海道,"帯広市,",ほ場整備,基準点,３級,7point,助言H17.5.19A0041北海道十勝支庁,(株)田中測量設計,"H17.5.13
H17.7.29",
北海道,"美瑛町,",道路計画,基準点,３級,4point,助言H17.5.19A0042北海道旭川土木現業所,旭川設計測量(株),"H17.5.23
H17.6.30",
北海道,"南幌町,",ほ場整備,"基準点,撮影,数値図化","３級,,8000,,1000","20point,4.0KM2,1.9KM2",助言H17.5.19A0043北海道空知支庁,ロイヤルコンサルタント(株),"H17.5.10
H17.8.10",
北海道,"長沼町,",土地改良,基準点,３級,8point,助言H17.5.19A0044北海道空知支庁,(株)グリーン測量,"H17.5.17
H17.8.30",
北海道,"中頓別町,",道路用地,基準点,３級,2point,助言H17.5.19A0045北海道宗谷支庁,北陽測量設計(株),"H17.5.23
H17.6.3",
北海道,"中札内村,",土地改良,"座標変換,座標変換,座標変換","１級,,２級,,３級","1point,1point,12point",助言H17.5.19A0046北海道十勝支庁,平田技術コンサルタント(株),"H17.5.17
H17.7.22",
北海道,"女満別町,",道路計画,基準点,３級,2point,助言H17.5.19A0047網走開発建設部北見河川事務所,(株)山越測量設計事務所,"H17.6.3
H17.8.1",
北海道,"更別村,",土地改良,座標変換,３級,2point,助言H17.5.19A0048北海道十勝支庁,(有)広尾測量,"H17.5.23
H17.6.20",
北海道,"池田町,",土地改良,"座標変換,座標変換","３級,,４級","2point,7point",助言H17.5.19A0049北海道十勝支庁,(有)山下測量設計社,"H17.5.23
H17.6.20",
北海道,"北村,",ほ場整備,基準点,３級,43point,助言H17.5.20A0050北海道空知支庁,(株)みずほ栄設計,"H17.5.19
H18.2.10",
北海道,"早来町,",道路用地,基準点,３級,2point,助言H17.5.20A0051北海道胆振支庁,藤田測量(株),"H17.4.18
H17.7.29",
北海道,"根室市,",その他,"基準点,座標変換","４級,,３級","2point,2point",助言H17.5.20A0052釧路開発建設部,岩浅測量設計(有),"H17.5.12
H17.5.26",
北海道,"砂川市,",道路計画,"基準点,座標変換","３級,,２級","3point,2point",助言H17.5.20A0053北海道石狩支庁,(株)シー・イー・サービス,"H17.5.11
H17.12.20",
北海道,"豊富町,",農道計画,基準点,３級,2point,助言H17.5.20A0054北海道宗谷支庁,(株)ランドプランニング,"H17.5.20
H17.8.30",
北海道,"栗山町,",土地改良,基準点,３級,6point,助言H17.5.20A0055北海道空知支庁,北日本技研(株),"H17.5.16
H17.6.30",
北海道,"幌延町,",河川管理,基準点,３級,2point,助言H17.5.20A0056北海道留萌支庁,北武コンサルタント(株),"H17.3.10
H17.7.29",
北海道,"遠別町,",河川管理,基準点,３級,1point,助言H17.5.20A0057北海道留萌支庁,北武コンサルタント(株),"H17.3.10
H17.7.29",
北海道,"幕別町,",土地改良,座標変換,３級,8point,助言H17.5.20A0058北海道十勝支庁,(株)安井測量設計事務所,"H17.5.18
H17.12.20",
北海道,"斜里町,",道路用地,基準点,３級,3point,助言H17.5.25A0059北海道網走支庁,(有)三晃測地設計,"H17.5.23
H17.9.30",
北海道,"東藻琴村,",道路用地,基準点,３級,6point,助言H17.5.25A0060北海道網走支庁,(有)興測設計事務所,"H17.6.1
H17.9.30",
北海道,"長沼町,",土地改良,基準点,３級,13point,助言H17.5.23A0061北海道空知支庁,(有)樺戸測量設計事務所,"H17.4.25
H17.7.20",
北海道,"新得町,",計画,水準,２級,41.0km,助言H17.5.23A0062帯広開発建設部,丸菱測量設計(株),"H17.5.23
H17.10.30",
北海道,"大成町,",地すべり対策,"基準点,基準点","２級,,３級","3point,8point",助言H17.5.25A0063北海道渡島支庁,(株)アイ・エヌ・エー,"H17.5.25
H17.10.31",
北海道,"士幌町,",農道計画,"座標変換,基準点","３級,,４級","12point,25point",助言H17.5.25A0064北海道十勝支庁,丸菱測量設計(株),"H17.5.25
H17.8.10",
北海道,"津別町,美幌町,",道路台帳,"基準点,基準点","１級,,２級","3point,7point",助言H17.5.27A0065網走開発建設部,(株)アラソフトウェア,"H17.6.3
H17.8.31",
北海道,"小平町,",道路計画,基準点,３級,3point,助言H17.5.30A0066北海道留萌支庁,(株)開発調査研究所,"H17.5.26
H17.10.31",
北海道,"大野町,",土地改良,基準点,２級,8point,助言H17.5.30A0067北海道渡島支庁,(株)竹田測量設計,"H17.5.30
H17.11.15",
北海道,"新冠町,",水道事業,基準点,３級,3point,助言H17.5.30A0068新冠町,進興測量(株),"H17.5.25
H17.6.24",
北海道,"中標津町,",その他,基準点,３級,9point,助言H17.5.31A0069中標津町,(有)津村測量,"H17.5.30
H17.7.26",
北海道,"鷹栖町,",土地改良,基準点,３級,35point,助言H17.5.31A0070北海道上川支庁,(株)富士建設コンサル,"H17.6.6
H17.6.30",
北海道,"音更町,",土地改良,座標変換,３級,5point,助言H17.5.31A0071北海道十勝支庁,(株)ホーエイ,"H17.5.20
H17.6.30",
北海道,"当別町,",土地改良,基準点,３級,26point,助言H17.5.31A0072北海道石狩支庁,(株)矢本測量,"H17.6.1
H17.7.29",
北海道,"訓子府町,",土地改良,基準点,４級,3point,助言H17.6.2A0073北海道網走支庁,北見設計測量(株),"H17.5.27
H17.7.20",
北海道,"北檜山町,",河川用地,基準点,３級,3point,助言H17.6.2A0074函館開発建設部,函館土木調査(株),"H17.6.3
H17.6.11",
北海道,"鹿追町,音更町,",土地改良,"基準点,基準点","２級,,３級","5point,21point",助言H17.6.2A0075帯広開発建設部,(株)ランドプランニング,"H17.5.16
H17.7.15",
北海道,"鹿追町,",土地改良,基準点,３級,33point,助言H17.6.2A0076帯広開発建設部,北海道農業土木コンサルタント,"H17.5.16
H17.7.30",
北海道,"鹿追町,",土地改良,基準点,３級,8point,助言H17.6.2A0077帯広開発建設部,(株)不二陸水工研,"H17.5.16
H17.7.29",
北海道,"鹿追町,",土地改良,"基準点,座標変換","３級,,２級","14point,5point",助言H17.6.2A0078帯広開発建設部,冨洋設計(株),"H17.5.16
H17.6.30",
北海道,"余市町,",道路計画,"基準点,基準点","２級,,３級","5point,3point",助言H17.6.2A0079小樽開発建設部小樽道路事務所,大西測量設計(株),"H17.4.21
H17.12.15",
北海道,"滝川市,",街区基本調査,"基準点,基準点","２級,,３級","1point,1point",助言H17.6.2A0080北海道石狩支庁,(株)タナカコンサルタント,"H16.9.1
H17.12.31",
