都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,計画機関,作業機関,実施時期,付図番号
北海道,"清里町,小清水町,",パイプライン計画の基準点測量,"基準点,基準点","1級,,2級","11point,5point",網走開発建設部助言020131A0669,"(株)三祐コンサルタンツ,冨洋設計(株),北海道農士コンサルタント(株)","02.03.01,02.10.31",
北海道,"小清水町,",道路計画,基準点,1級,5point,網走開発建設部助言011019A0516,北海道測量事業協同組合,"01.10.19,01.12.18",
北海道,"阿寒町,",道路計画,"基準点,基準点","1級,,3級","3point,2point",釧路開発建設部助言010829A0437,北海道道路エンジニアリング(株),"01.09.01,01.11.30",
北海道,"釧路市,",道路計画,基準点,1級,3point,北海道釧路市助言010623A0248,東邦コンサルタント(株),"01.06.16,01.12.11",
北海道,"釧路市,",土地区画整理,"基準点,基準点","1級,,3級","3point,5point",釧路市昭和土地区画整理組合設立準備委員会助言020208A0677,東邦コンサルタント(株),"02.02.13,02.04.30",
北海道,"芦別市,",ダム計画,基準点,1級,2point,石狩川開発建設部助言011102A0580,日測技研(株),"01.10.12,02.01.19",
北海道,"栗山町,由仁町,",道路計画,"基準点,水準","2級,,3級","6point,23.7km",日本道路公団札幌建設局千歳工事事務所助言010606A0172,大東測量設計(株),"01.05.13,01.12.04",
北海道,"黒松内町,",道路計画,"基準点,水準","2級,,3級","14point,14.1km",日本道路公団札幌建設局長万部工事事務所助言010821A0420,日本技術開発(株),"01.09.01,01.12.15",
北海道,"赤平市,",都市基準点設置,"基準点,水準","2級,,2級","30point,25.0km",北海道赤平市助言010921A0484,"アジア航測(株),シン航空写真(株)","01.09.25,01.12.30",
北海道,"長万部町,",道路計画,"基準点,水準","2級,,3級","10point,11.9km",日本道路公団札幌建設局長万部工事事務所助言010821A0421,パシフィックコンサルタンツ(株),"01.09.01,01.11.25",
