都道府県名,測量地域,測量目的,測量種別,縮尺･等級,事業量,計画機関,作業機関,自至時期
北海道,"妹背牛町,",土地改良,基準点,3級,26point,"北海道空知支庁
助言　　　H18.5.19 A 0036",扇コンサル(株),"H18.5.22
H19.2.26"
北海道,"豊浦町,",道路用地,基準点,3級,2point,"北海道胆振支庁
助言　　　H18.5.19 A 0037",(株)コンサルタント菅原,"H18.5.16
H18.7.31"
北海道,"雄武町,",土地改良,基準点,3級,32point,"網走開発建設部
助言　　　H18.5.19 A 0038",太陽コンサルタンツ(株),"H18.5.11
H18.11.30"
北海道,"雄武町,",土地改良,基準点,3級,22point,"網走開発建設部
助言　　　H18.5.19 A 0039",(株)アルト技研,"H18.5.11
H18.10.24"
北海道,"空白,",河川計画,航空レーザ,,5210.5KM2,"北海道開発局
助言　　　H18.5.19 A 0040",アジア航測(株),"H18.4.12
H19.3.23"
北海道,"岩見沢市,",ほ場整備,基準点,3級,19point,"北海道空知支庁
助言　　　H18.5.22 A 0041",(株)北海道農業建設コンサルタン,"H18.5.17
H18.10.16"
北海道,"新十津川町,",土地改良,基準点,3級,9point,"北海道空知支庁
助言　　　H18.5.22 A 0042",東日本設計(株),"H18.4.25
H19.1.31"
北海道,"夕張市,三笠市,芦別市,",道路計画,"基準点,基準点","１級,,3級","5point,4point","札幌開発建設部
助言　　　H18.5.22 A 0043",スミセキ･ジオテクノ(株),"H18.5.22
H18.7.24"
北海道,"北見市,",土地改良,基準点,3級,11point,"北海道網走支庁
助言　　　H18.5.22 A 0044",(株)ムラコシ,"H18.4.26
H18.8.30"
北海道,"奈井江町,",土地改良,基準点,3級,16point,"北海道空知支庁
助言　　　H18.5.25 A 0045",(株)みずほ栄設計,"H18.5.25
H18.10.31"
北海道,"奈井江町,",土地改良,基準点,3級,19point,"北海道空知支庁
助言　　　H18.5.25 A 0046",(株)みずほ栄設計,"H18.5.25
H18.10.31"
北海道,"奈井江町,",土地改良,基準点,3級,17point,"北海道空知支庁
助言　　　H18.5.25 A 0047",(株)よしだ設計コンサルタント,"H18.5.25
H18.11.20"
北海道,"長沼町,",土地改良,基準点,3級,24point,"北海道空知支庁
助言　　　H18.5.25 A 0048",(株)アルファ技研,"H18.5.25
H18.11.30"
北海道,"中標津町,",道路計画,"基準点,基準点","2級,,4級","2point,8point","釧路開発建設部中標津道路事務所
助言　　　H18.5.26 A 0050",(株)開発工営社,"H18.5.29
H18.8.29"
北海道,"秩父別町,",土地改良,"基準点,平板","3級,,1000","17point,4.5KM2","北海道空知支庁
助言　　　H18.5.26 A 0051",技研測量設計(株),"H18.5.26
H18.10.31"
北海道,"長沼町,",土地改良,基準点,3級,26point,"北海道空知支庁
助言　　　H18.5.26 A 0052",(株)田西設計コンサル,"H18.4.25
H18.11.10"
北海道,"雄武町,",土地改良,基準点,3級,17point,"網走開発建設部
助言　　　H18.5.29 A 0053",冨洋設計(株),"H18.5.15
H18.6.15"
北海道,"蘭越町,寿都町,島牧村,せたな町,",道路計画,"カラー撮影,水準,数値図化","8000,,簡級,,1000","118.0KM2,48.3km,2.4KM2","小樽開発建設部
助言　　　H18.5.29 A 0054",(株)八州,"H18.5.17
H18.11.30"
北海道,"岩見沢市,",土地改良,基準点,3級,14point,"北海道空知支庁
助言　　　H18.5.29 A 0055",滝川測量設計(株),"H18.5.25
H18.11.30"
北海道,"新十津川町,",土地改良,基準点,3級,58point,"北海道空知支庁
助言　　　H18.5.29 A 0056",(株)本山測量設計,"　H18.6.1
H18.11.30"
北海道,"訓子府町,",土地改良,基準点,4級,2point,"北海道網走支庁
助言　　　H18.5.29 A 0057",大起コンサルタント(株),"H18.5.24
H18.6.20"
北海道,"鶴居村,",道路用地,基準点,3級,2point,"北海道釧路支庁
助言　　　H18.5.30 A 0058",(株)小出コンサルタント,"H18.5.24
H18.7.31"
北海道,"せたな町,",道路用地,"座標変換,座標変換","2級,,3級","1point,7point","函館開発建設部
助言　　　H18.5.30 A 0059",北海道測量事業協同組合,"H18.5.23
H18.10.12"
北海道,"雄武町,",農地開発,基準点,3級,29point,"網走開発建設部
助言　　　H18.5.30 A 0060",(株)フロンティア技研,"H18.5.23
H18.12.15"
北海道,"古平町,",道路用地,"基準点,基準点,基準点","1級,,2級,,3級","2point,1point,2point","北海道後志支庁
助言　　　H18.5.30 A 0061",(株)秦康測量,"H18.5.29
H18.7.31"
北海道,"八雲町,",道路計画,基準点,2級,1point,"北海道渡島支庁
助言　　　H18.5.30 A 0062",(株)開発調査研究所,"H18.5.25
H18.10.30"
北海道,"浜中町,",道路用地,基準点,3級,2point,"北海道釧路支庁
助言　　　H18.5.30 A 0063",中央測建(株),"H18.5.24
H18.7.31"
北海道,"喜茂別町,",道路計画,基準点,3級,2point,"喜茂別町
助言　　　H18.5.30 A 0064",パブリックコンサルタント(株),"H18.5.25
H18.7.31"
北海道,"日高町,",災害関連,基準点,１級,2point,"日高町
助言　　　H18.5.30 A 0065",(株)アイネス,"H18.5.22
H18.8.30"
北海道,"小平町,",砂防計画,基準点,3級,2point,"北海道留萌支庁
助言　　　H18.5.30 A 0066",タカ企画(株),"H18.6.1
H18.7.31"
北海道,"旭川市,鷹栖町,",浸水想定区域図,"カラー撮影,空三,数値図化","10000,,2500,,2500","76.2KM2,40M,38.0KM2","北海道上川支庁
助言　　　H18.5.30 A 0067",(株)日興ジオテック,"H18.5.12
H18.12.20"
北海道,"士別市,",道路用地,基準点,3級,2point,"北海道旭川土木現業所
助言　　　H18.5.30 A 0068",(株)松村測量設計,"　H18.6.1
H18.12.18"
北海道,"新得町,",農道計画,"座標変換,基準点","2級,,3級","3point,4point","北海道十勝支庁
助言　　　H18.5.30 A 0069",(有)板橋測量設計事務所,"H18.5.24
H18.8.7"
北海道,"音更町,",土地改良,座標変換,3級,6point,"北海道十勝支庁
助言　　　H18.5.30 A 0070",(株)若松測量設計,"H18.4.21
H18.6.30"
北海道,"美唄市,浦臼町,",道路用地,基準点,3級,8point,"北海道石狩支庁
助言　　　H18.5.30 A 0071",(株)モリ技術コンサル,"H18.4.19
H18.7.30"
北海道,"浦河町,",道路計画,基準点,3級,2point,"北海道室蘭土木現業所
助言　　　H18.5.31　A 0072",(株)細道コンサルタント,"H18.5.26
H18.10.2"
北海道,"安平町,",道路用地,"座標変換,座標変換","2級,,3級","10point,15point","室蘭開発建設部
助言　　　H18.5.30 A 0073",沼田測量設計(株),"H18.5.17
H18.9.4"
北海道,"白老町,苫前町,室蘭市,登別市,上ノ国町,乙部町,黒松内町,積丹町,古平町,八雲町,厚岸町,白糠町,佐呂間町,浜頓別町,枝幸町,苫小牧市,安平町,厚真町,新冠町,伊達市,",河川管理,航空レーザ,,472.0KM2,"北海道
助言　　　H18.5.30 A 0074",(株)パスコ,"H18.5.15
H19.3.23"
北海道,"津別町,",道路台帳,"基準点,基準点","1級,,2級","4point,7point","網走開発建設部
助言　　　H18.5.30 A 0075",太平洋総合コンサルタント(株),"H18.6.12
H18.9.26"
北海道,"長沼町,",土地改良,基準点,3級,18point,"北海道空知支庁
助言　　　　H18.6.1　A 0076",(株)北海道農業建設コンサルタン,"H18.5.26
H18.10.27"
北海道,"南幌町,",ほ場整備,基準点,3級,154point,"北海道空知支庁
助言　　　　H18.6.1　A 0077",(株)極東コンサルタント,"H18.6.5
H18.9.30"
北海道,"別海町,",農道計画,"基準点,縦横断",3級,"29point,4.9km","北海道根室支庁
助言　　　　H18.6.1　A 0078",小林技術コンサルタント(株),"H18.5.1
H19.1.8"
北海道,"名寄市,",土地改良,基準点,3級,29point,"北海道上川支庁
助言　　　　H18.6.1　A 0079",やまざきコンサルタント(株),"H18.5.29
H18.12.20"
北海道,"深川市,",土地改良,基準点,3級,37point,"北海道空知支庁
助言　　　　H18.6.2 A 0080",(株)ルーラルェンジニア,"H18.5.22
H18.12.20"
北海道,"根室市,",道路用地,基準点,3級,2point,"北海道釧路支庁
助言　　　　H18.6.2 A 0081",(株)プラテック,"H18.5.29
H18.8.21"
北海道,"厚岸町,",河川計画,基準点,3級,2point,"北海道釧路支庁
助言　　　　H18.6.2 A 0082",山下コンサルタント(株),"H18.5.29
H18.8.31"
北海道,"羅臼町,",道路用地,基準点,3級,4point,"北海道釧路支庁
助言　　　　H18.6.2 A 0083",(株)郡土木コンサルタント,"H18.5.29
H18.8.31"
北海道,"八雲町,",道路計画,"基準点,基準点","2級,,3級","3point,8point","函館開発建設部
助言　　　　H18.6.2 A 0084",北海道測量事業協同組合,"H18.6.9
H18.9.25"
北海道,"上ノ国町,",砂防計画,基準点,3級,6point,"北海道函館土木現業所
助言　　　　H18.6.5 A 0085",エイコー技研(株),"H18.4.24
H18.12.20"
北海道,"占冠村,",地籍調査,座標変換,地籍図根点,34point,"占冠村
助言　　　　H18.6.5 A 0086",(株)道測テクニス,"H18.5.22
H18.6.30"
