都道府県名,測量地域,測量目的,測量種別,縮尺･等級,事業量,計画機関,作業機関,自至時期
岩手県,"陸前高田市,住田町,",河川管理,"数値図修正,既成図数値化","2000,,2000","19.0KM2,19.0KM2","岩手県大船渡地方振興局土木部津付ダム建設事
助言　　　　H19.3.2 B 0241",(株)タックェンジニアリング,"H19.2.15
H19.3.20"
岩手県,"雫石町,岩手町,",道路計画,航空レーザ,レーザ計測,64.0KM2,"東北地方整備局岩手河川国道事務所
助言　　　H19.3.14 B 0244",朝日航洋(株),"H18.11.1
H19.3.26"
岩手県,"盛岡市,",河川管理,ディジタルオルソ,5000,64.6KM2,"東北地方整備局岩手河川国道事務所
助言　　　H19.3.19 B 0248",アジア航測(株),"H19.3.15
H19.3.28"
岩手県,"盛岡市,",道路計画,"座標変換,基準点,基準点,平板","2級,,3級,,4級,,200","2point,8point,42point,0.2KM2","東北地方整備局岩手河川国道事務所
助言　　　H19.3.28 B 0251",(株)タックェンジニアリング,"H19.3.26
H19.7.31"
宮城県,"登米市,",農道計画,"基準点,基準点","2級,,4級","2point,10point","宮城県登米地方振興事務所
助言　　　H18.4.10 B 0001   ",(株)北光技術,"H18.2.28
H18.6.30"
宮城県,"矢本町,",土地区画整理,"基準点,基準点,水準","2級,,4級,,3級","3point,6point,3.0km","東松島市大溜土地区画整理組合設立準備委員会
助言　　　H18.4.17　B 0003",(株)国際開発コンサルタンツ,"H18.4.17
H18.12.22"
宮城県,"仙台市,",登記所備付地図作成,基準点,3級,12point,"仙台法務局
助言　　　H18.5.29　B 0014",小渾正徳事務所,"H18.6.1
H18.9.30"
宮城県,"仙台市,",道路台帳,座標変換,500,33.2KM2,"仙台市
助言　　　　H18.6.5 B 0022",(株)秋元技術コンサルタンツ,"H18.6.5
H18.8.31"
宮城県,"大崎市,",ほ場整備,基準点,2級,2point,"宮城県大崎地方振興事務所
助言　　　　H18.6.6 B 0023",(株)仙台コンサルタント,"H18.1.26
H18.12.20"
宮城県,"松島町,",総合計画,基準点,3級,4point,"防衛施設庁仙台防衛施設局
助言　　　H18.6.27　B 0030",岩倉測量設計(株),"H18.6.16
H18.9.15"
宮城県,"石巻市,",ほ場整備,基準点,2級,4point,"宮城県石巻地方振興事務所
助言　　　H18.6.27　B 0031",(株)西條測量設計コンサルタント,"H18.6.19
H18.12.20"
宮城県,"東松島市,",用地測量,"基準点,基準点","2級,,3級","4point,6point","防衛施設庁仙台防衛施設局
助言　　　H18.6.28 B 0035",大橋調査(株),"H18.7.24
H18.10.31"
宮城県,"大崎市,",土地区画整理,"座標変換,座標変換,基準点","2級,,3級,,4級","1point,2point,20point","鹿島台町巳待田土地区画整理組合
助言　　　H18.6.28 B 0037",(株)日技,"H18.6.28
H18.11.30"
宮城県,"栗原市,",砂防計画,"カラー撮影,数値図化,直接定位計算","12500,,2500,,2500","250.0KM2,23.1KM2,108point","宮城県
助言　　　H18.6.29　B 0038",アジア航測(株),"H18.6.30
H18.11.30"
宮城県,"山元町,",土地改良,"基準点,基準点,基準点","2級,,3級,,4級","2point,6point,9point","宮城県仙台地方振興事務所
助言　　　H18.7.10 B 0041",(株)サトー技建,"H18.7.10
H18.12.9"
宮城県,"栗原市,",総合計画,"数値撮影,ディジタルオルソ,直接定位計算","8000,,1000,,1000","776.0KM2,776.0KM2,1230point","栗原市
助言　　　H18.7.19　B 0050",(株)パスコ,"H18.7.1
H19.3.20"
宮城県,"仙台市,",都市計画,"数値図修正,編集","2500,,10000","265.2KM2,265.2KM2","仙台市
助言　　　H18.7.19　B 0051",(株)パスコ,"H18.7.7
H19.3.20"
宮城県,"登米市,",農道計画,"基準点,基準点","2級,,4級","5point,18point","宮城県登米地方振興事務所
助言　　　H18.7.19　B 0054",(株)北光技術,"H18.6.27
H18.12.1"
宮城県,"柴田町,",固定資産,"数値撮影,直接定位計算","10000,,1000","54.0KM2,234point","柴田町
助言　　　H18.7.20 B 0056",朝日航洋(株),"H18.7.20
H18.12.15"
宮城県,"大河原町,",固定資産,"数値撮影,直接定位計算","10000,,1000","54.0KM2,113point","大河原町
助言　　　H18.7.20 B 0057",朝日航洋(株),"H18.7.20
H18.12.15"
宮城県,"塩竈市,",土地区画整理,基準点,2級,2point,"塩竃市
助言　　　H18.7.28 B 0060",(株)三菱地所設計,"H18.6.7
H18.9.4"
宮城県,"女川町,",都市計画,"数値撮影,ディジタルオルソ,直接定位計算,数値図化","8000,,1000,,1000,,2500","65.8KM2,65.8KM2,212point,10.0KM2","女川町
助言　　　H18.7.28 B 0062",(株)パスコ,"H18.7.12
H19.2.20"
宮城県,"名取市,",固定資産,"数値撮影,直接定位計算","10000,,1000","100.1KM2,326point","名取市
助言　　　　H18.8.3 B 0068",朝日航洋(株),"H18.7.31
H18.12.25"
宮城県,"仙台市,塩竈市,名取市,多賀城市,岩沼市,利府町,",地盤沈下調査,水準,１級,300.0km,"宮城県
助言　　　　H18.8.7 B 0070","本州測量設計(株)
(有)柴山測量設計","H18.7.28
H19.2.16"
宮城県,"気仙沼市,本吉町,",道路計画,"基準点,水準","2級,,3級","8point,61.2km","東北地方整備局仙台河川国道事務所
助言　　　　H18.8.8 B 0074",アジア航測(株),"　H18.8.7
H18.11.30"
宮城県,"登米市,",ダム計画,基準点,2級,13point,"宮城県登米土木事務所
助言　　　　H18.8.9 B 0075",(株)北振技研,"　H18.8.7
H18.10.31"
宮城県,"栗原市,",ほ場整備,"基準点,基準点,基準点","2級,,3級,,4級","5point,42point,241point","宮城県栗原地方振興事務所
助言　　　　H18.8.9 B 0076",(株)サトー技建,"H18.8.7
H19.3.15"
宮城県,"大崎市,",ほ場整備,基準点,2級,8point,"宮城県大崎地方振興事務所長
助言　　　H18.8.11　B 0082",(株)栄和技術コンサルタント,"H18.6.29
H19.2.20"
宮城県,"栗原市,",ほ場整備,"基準点,基準点,基準点","2級,,3級,,4級","4point,27point,151point","宮城県栗原地方振興事務所
助言　　　H18.8.30 B 0085",岩倉測量設計(株),"H18.8.17
H19.3.15"
宮城県,"東松島市,",道路計画,"水準,カラー撮影,数値図化,空三","簡級,,8000,,1000,,1000","12.0km,7.4KM2,0.8KM2,4M","東松島市
助言　　　H18.8.30 B 0088",アジア航測(株),"H18.8.21
H19.2.20"
宮城県,"登米市,",ほ場整備,"基準点,基準点,基準点,座標変換","2級,,3級,,4級,,2級","20point,100point,387point,14point","宮城県登米地方振興事務所
助言　　　H18.8.30 B 0092",(株)大江設計,"H18.8.25
H19.3.15"
宮城県,"登米市,",ほ場整備,"基準点,基準点,基準点","2級,,3級,,4級","3point,10point,55point","宮城県登米地方振興事務所
助言　　　H18.8.30 B 0093",岩倉測量設計(株),"H18.7.25
H19.3.20"
宮城県,"松島町,",土地改良,"基準点,基準点,基準点","2級,,3級,,4級","33point,61point,224point","宮城県仙台地方振興事務所
助言　　　　H18.9.4 B 0097",(有)北日本技研,"H18.7.5
H19.3.22"
宮城県,"大崎市,",土地改良,"基準点,基準点,基準点","2級,,3級,,4級","3point,6point,38point","鳴子町南原土地改良事業共同施行
助言　　　　H18.9.4 B 0098",宮城県土地改良事業団体連合会,"H18.9.11
H19.3.26"
宮城県,"栗原市,",ほ場整備,"基準点,基準点,基準点","2級,,3級,,4級","3point,32point,178point","宮城県栗原地方振興事務所
助言　　　　H18.9.5 B 0099",岩倉測量設計(株),"H18.9.8
H19.3.15"
秋田県,"北秋田市,",地籍調査,座標変換,2級,6point,"北秋田市
助言　　　H18.9.14 B 0106","(株)測地環境コンサルタント
技苑コンサル(株)","H18.7.20
H18.12.14"
宮城県,"栗原市,",ほ場整備,"基準点,基準点,基準点,座標変換","2級,,3級,,4級,,2級","3point,40point,230point,4point","宮城県栗原地方振興事務所
助言　　　H18.9.14 B 0109",(株)渡工測量設計,"H18.9.15
H19.3.15"
宮城県,"仙台市,",地下鉄東西線計画,"基準点,基準点,水準","2級,,3級,,2級","7point,103point,15.3km","仙台交通事業管理者
助言　　　H18.9.14 B 0110",三善測量(株),"H18.8.4
H19.3.9"
宮城県,"山元町,",道路計画,"基準点,水準","2級,,3級","１９point,24.6km","東日本高速道路株式会社東北支社仙台工事
助言　　　H18.9.15　B 0115","東武計画(株)
(株)シン技術コンサル","H18.9.19
H19.1.1"
宮城県,"石巻市,",ほ場整備,基準点,2級,9point,"宮城県石巻地方振興事務所
助言　　　H18.9.26　B 0125",(株)西條設計コンサルタント,"H18.9.25
H18.12.20"
宮城県,"白石市,",地籍調査,基準点,2級,2point,"白石市

助言　　　H18.10.6　B 0135","東北測地設計(株)
(株)阿部測量設計事務所
東邦測地(有)","H18.9.15

H18.12.4"
宮城県,"栗原市,",ほ場整備,"基準点,基準点","3級,,4級","29point,127point","宮城県栗原地方振興事務所
助言　　　H18.10.6　B 0137",(株)ウイル,"H18.10.10
H19.3.15"
宮城県,"亘理町,",土地改良,"基準点,座標変換","2級,,2級","2point,1point","宮城県仙台地方振興事務所
助言　　　H18.10.6　B 0142",(株)サトー技建,"H18.10.6
H19.3.20"
宮城県,"登米市,",農業集落排水計画,"カラー撮影,数値図化,直接定位計算","5000,,500,,500","9.0KM2,4.4KM2,39point","登米市
助言　　　H18.10.6　B 0143",アジア航測(株),"H18.8.30
H18.12.27"
秋田県,"秋田市,",地籍調査,座標変換,2級,3point,"秋田県秋田中央道路建設事務所
助言　　　H18.10.16　B 0146","(株)ウヌマ地域総研
(株)侃宮技術
(株)東測エンジニアリング","H18.9.15
H18.12.22"
宮城県,"登米市,",ほ場整備,"座標変換,基準点,基準点,基準点","2級,,2級,,3級,,4級","9point,4point,31point,174point","宮城県登米地方振興事務所
助言　　　H18.10.16　B 0147",(株)北振技研,"H18.10.1
H19.3.15"
宮城県,"登米市,",ほ場整備,"基準点,基準点,基準点,平板","2級,,3級,,4級,,2000","6point,31point,176point,1.2KM2","宮城県登米地方振興事務所
助言　　　H18.10.16　B 0148",(株)丹野測量設計,"H18.8.29
H19.3.15"
宮城県,"栗原市,",ほ場整備,"基準点,基準点,平板","3級,,4級,,2000","1point,12point,0.1KM2","宮城県栗原地方振興事務所
助言　　　H18.10.16　B 0149",(株)渡工測量設計,"H18.10.16
H19.2.15"
宮城県,"仙台市,",固定資産,"数値撮影,ディジタルオルソ","10000,,1000","759.0KM2,759.0KM2","仙台市
助言　　　H18.10.16　B 0154",(株)パスコ,"H18.11.1
H19.3.31"
宮城県,"仙台市,",基準点整備,"基準点,基準点","2級,,3級","4point,2point","学校法人東北工業大学
助言　　　H18.10.17　B 0155",(株)秋元技術コンサルタンツ,"H18.9.20
H18.12.31"
宮城県,"登米市,",ほ場整備,"基準点,基準点,座標変換","2級,,4級,,2級","3point,30point,4point","宮城県登米地方振興事務所
助言　　　H18.10.27　B 0161",(株)丹野測量設計,"H18.9.26
H19.1.31"
宮城県,"気仙沼市,",地盤変動調査,基準点,１級,16.7km,"気仙沼市
助言　　　H18.10.30 B 0166",東武計画(株),"H18.10.30
H18.12.15"
宮城県,"本吉町,松島町,",道路計画,基準点,3級,4point,"東北地方整備局仙台河川国道事務所
助言　　　H18.10.30 B 0167",(株)センソクコンサルタント,"H18.10.18
H19.1.19"
宮城県,"塩竈市,",道路計画,基準点,3級,5point,"東北地方整備局仙台河川国道事務所
助言　　　H18.10.30 B 0169",(株)西條設計コンサルタント,"H18.10.7
H19.1.31"
宮城県県境秋田県,"亘理町,県境山本町,",道路計画,基準点,3級,5point,"東北地方整備局仙台河川国道事務所
助言　　　H18.11.7　B 0177",(株)復建技術コンサルタント,"H18.10.10
　H19.2.9"
宮城県,"加美町,",ほ場整備,基準点,2級,4point,"宮城県大崎地方振興事務所
助言　　　H18.11.7　B 0184",(株)加美測量設計事務所,"H18.11.6
H19.7.31"
宮城県,"仙台市,",道路計画,"基準点,基準点,水準","3級,,4級,,3級","7point,21point,1.5km","東北地方整備局仙台河川国道事務所
助言　　　H18.11.7　B 0185",(株)オオバ,"H18.11.6
H19.3.16"
宮城県,"大崎市,",ほ場整備,基準点,2級,8point,"宮城県大崎地方振興事務所
助言　　　H18.11.15　B 0188",(株)仙台土木設計,"H18.6.1
H19.3.15"
宮城県,"気仙沼市,",固定資産,"数値撮影,直接定位計算,ディジタルオルソ","8000,,8000,,1000","226.7KM2,1064point,226.7KM2","気仙沼市
助言　　　H18.11.27　B 0195",国際航業(株),"H18.10.16
H19.1.31"
宮城県,"美里町,",土地区画整理,"座標変換,座標変換","2級,,3級","2point,12point","小牛田町小牛田駅東部土地区画整理組合
助言　　　H18.12.5　B 0199",国際航業(株),"H18.8.1
H19.2.28"
宮城県,"栗原市,",ほ場整備,"基準点,基準点,基準点","2級,,3級,,4級","2point,10point,60point","宮城県栗原地方振興事務所
助言　　　H18.12.1　B 0200",(株)渡工測量設計,"H18.9.22
H19.3.15"
宮城県,"石巻市,",都市計画,"写測修正,既成図数値化,座標変換","2500,,2500,,2500","18.5KM2,18.5KM2,18.5KM2","石巻市
助言　　　H18.12.1　B 0202",国際航業(株),"H18.11.27
H19.3.16"
宮城県,"川崎町,",ダム管理,"水準,カラー撮影,数値図化,空三,ディジタルオルソ","簡級,,12500,,2500,,2500,,2500","12.0km,60.0KM2,32.9KM2,16M,1.6KM2","東北地方整備局釜房ダム管理所
助言　　　H18.12.6　B 0205",国際航業(株),"H18.11.23
H19.3.16"
宮城県,"石巻市,",土地区画整理,"基準点,基準点","2級,,3級","3point,14point","石巻市蛇田中央土地区画整理組合
助言　　　H18.12.19　B 0208",(株)パスコ,"H18.11.1
H19.3.15"
宮城県,"仙台市,",道路図の修正･数値化,数値図修正,500,0.6KM2,"仙台市
助言　　　H18.12.19　B 0209",(株)GIS東北,"H18.11.29
H19.3.29"
宮城県,"栗原市,",都市計画,数値図化,10000,44.7KM2,"栗原市
助言　　　H18.12.19　B 0210",(株)パスコ,"H18.11.27
H19.3.26"
宮城県,"石巻市,塩竈市,東松島市,",総合計画,"カラー撮影,ディジタルオルソ,直接定位計算","15000,,2500,,2500","132.6KM2,93.7KM2,39point","仙台防衛施設局
助言　　　H18.12.21　B 0211",アジア航測(株),"H18.11.18
H19.1.31"
宮城県,"栗原市,",ほ場整備,"基準点,基準点","3級,,4級","14point,80point","宮城県栗原地方振興事務所
助言　　　H18.12.19　B 0212",(株)北振技研,"H18.12.18
H19.3.20"
宮城県,"石巻市,",ほ場整備,"基準点,基準点,基準点,座標変換","2級,,3級,,4級,,2級","6point,40point,140point,4point","宮城県石巻地方振興事務所
助言　　　H18.12.21　B 0214",(株)佐藤土木測量設計事務所,"H18.11.14
H19.3.20"
宮城県,"大崎市,",地盤変動調査,水準,１級,17.6km,"大崎市
助言　　　H19.1.29　B 0216",(株)佐々木測量設計事務所,"H18.12.19
H19.1.31"
宮城県,"名取市,",道路計画,"基準点,基準点","3級,,4級","3point,12point","東北地方整備局仙台河川国道事務所
助言　　　H19.1.15　B 0217",(株)北振技研,"H18.12.18
H19.2.28"
宮城県,"気仙沼市,登米市,大崎市,涌谷町,美里町,南三陸町,",砂防計画,"カラー撮影,カラー撮影,数値図化,直接定位計算","10000,,12500,,2500,,2500","900.0KM2,28.7KM2,25.7KM2,560point","宮城県
助言　　　H19.1.23　B 0220",アジア航測(株),"H19.1.20
H19.3.25"
宮城県,"加美町,",ダム計画,数値図化,2500,3.9KM2,"東北地方整備局鳴瀬川総合開発調査事務所
助言　　　H19.1.23　B 0221",朝日航洋(株),"H18.12.27
　H19.2.8"
宮城県,"石巻市,",土地区画整理,基準点,3級,12point,"石巻市蛇田西部土地区画整理組合
助言　　　H19.1.22　B 0222",アジア航測(株),"H19.1.20
H19.4.27"
宮城県,"名取市,",土地区画整理,"基準点,基準点,基準点","2級,,3級,,4級","7point,27point,540point","名取市下増田臨空土地区画整理組合
助言　　　H19.1.24 B 0223",(株)オオバ,"H19.1.26
H20.12.31"
宮城県,"栗原市,",ほ場整備,"基準点,基準点","3級,,4級","15point,91point","宮城県栗原地方振興事務所
助言　　　H19.2.13　B 0231",(株)ウイル,"H19.2.13
H19.6.30"
宮城県,"仙台市,名取市,登米市,大崎市,涌谷町,美里町,",ディジタルオルソ画像,"カラー撮影,ディジタルオルソ","10000,,2500","230.0KM2,1566.0KM2","宮城県土地改良事業団休連合会
助言　　　H19.2.19　B 0233","アジア航測(株)
(株)パスコ","H18.12.20
H19.3.10"
宮城県,"登米市,",排水路測量設計,"基準点,基準点","2級,,4級","2point,13point","宮城県登米地方振興事務所
助言　　　H19.2.22　B 0237",(株)丹野測量設計,"H19.1.23
H19.7.31"
宮城県,"仙台市,多賀城市,",土地区画整理,"基準点,基準点","2級,,3級","12point,62point","宮城県仙台港背後地土地区画整理事務所
助言　　　　H19.3.2 B 0239",(株)パスコ,"H19.2.26
H19.6.30"
宮城県,"加美町,",ダム計画,既成図数値化,2500,10.0KM2,"東北地方整備局鳴瀬川総合開発調査事務所
助言　　　H19.3.14 B 0245",佐野コンサルタンツ(株),"H19.2.22
H19.3.30"
秋田県,"湯沢市,",砂防基盤図作成,"数値図化,ディジタルオルソ","2500,,2500","7.3KM2,9.8KM2","秋田県雄勝地域振興局
助言　　　　H18.5.8 B 0009",朝日航洋(株),"H18.3.27
H18.6.30"
秋田県,"藤里町,",砂防計画,"数値図化,ディジタルオルソ","2500,,2500","5.2KM2,21.8KM2","秋田県山本地域振興局
助言　　　H18.5.22　B 0012",(株)八州,"H18.3.30
H18.7.3"
秋田県,"鹿角市,",砂防計画,数値図化,2500,3.6KM2,"秋田県鹿角地域振興局
助言　　　H18.5.26　B 0013",(株)ナカノアイシステム,"H18.3.11
H18.8.31"
秋田県,"東成瀬村,",地すべり対策,"基準点,基準点","１級,,2級","2point,16point","秋田県雄勝地域振興局
助言　　　H18.5.29　B 0017",柴田工事調査(株),"H18.5.11
H18.12.28"
秋田県,"北秋田市,",砂防計画,数値図化,2500,4.8KM2,"秋田県北秋田地域振興局
助言　　　H18.5.26　B 0018",アジア航測(株),"H18.5.22
H18.11.20"
秋田県,"由利本荘市,",都市計画,数値図修正,2500,31.7KM2,"由利本荘市
助言　　　H18.6.13　B 0026",(株)写測,"H18.5.10
H18.11.20"
秋田県,"秋田市,",道路計画,"基準点,水準","3級,,3級","１２point,2.8km","東北地方整備局秋田河川国道事務所
助言　　　H18.6.28 B 0036",東邦技術(株),"H18.5.20
H18.9.20"
秋田県,"横手市,",都市計画,"水準,数値撮影,数値図化,数値図修正,ディジタルオルソ,直接定位計算","簡級,,10000,,2500,,2500,,2500,,2500","224.0km,694.0KM2,12.0KM2,36.7KM2,304.9KM2,1787point","横手市
助言　　　H18.6.29　B 0039",国際航業(株),"H18.6.26
H19.3.20"
秋田県,"大仙市,",都市計画,"水準,カラー撮影,数値図化,数値図修正,空三,写測修正","簡級,,10000,,2500,,2500,,2500,,2500","30.0km,867.0KM2,26.5KM2,23.7KM2,36M,122.8KM2","大仙市
助言　　　H18.7.10 B 0044",(株)写測,"H18.5.22
H19.3.30"
秋田県,"にかほ市,",道路計画,"基準点,基準点,水準","3級,,2級,,3級","23point,1point,18.3km","東北地方整備局秋田河川国道事務所
助言　　　H18.7.11　B 0046",東武計画(株),"H18.7.18
H18.12.20"
秋田県,"鳥海町,",ダム計画,"数値図化,座標変換,既成図数値化,座標変換","1000,,空三点,,1000,,1000","2.0KM2,41point,0.9KM2,0.9KM2","東北地方整備局鳥海ダム調査事務所
助言　　　H18.7.12　B 0047",(株)かんこう,"H18.7.10
H18.11.30"
秋田県,"北秋田市,",河川管理,"基準点,基準点,水準","3級,,4級,,2級","10point,50point,8.9km","東北地方整備局森吉ダムエ事事務所
助言　　　H18.8.11　B 0081",東邦技術(株),"　H18.7.1
H18.10.31"
秋田県,"仙北市,",固定資産,"数値撮影,ディジタルオルソ","10000,,1000","396.5KM2,396.5KM2","仙北市
助言　　　H18.8.23　B 0087",(株)パスコ,"H18.7.14
H19.3.30"
秋田県,"羽後町,",道路計画,"基準点,基準点,基準点","１級,,2級,,3級","2point,2point,5point","秋田県雄勝地域振興局
助言　　　H18.8.30 B 0090",柴田工事調査(株),"　H18.8.3
H18.12.22"
秋田県,"鹿角市,",道路計画,数値図化,1000,1.2KM2,"秋田県鹿角地域振興局
助言　　　　H18.9.4 B 0096",(株)パスコ,"H18.8.11
H19.1.20"
秋田県,"秋田市,",地籍調査,"座標変換,座標変換","2級,,3級","11point,41point","秋田地方法務局
助言　　　H18.9.14 B 0107","(株)測地コンサルタント
(株)国土測量設計
(株)アキタサーベイ","H18.7.19
H18.12.25"
秋田県,"大仙市,",ほ場整備,"水準,カラー撮影,数値図化,空三","3級,,8000,,1000,,1000","24.5km,25.9KM2,4.1KM2,23M","大仙市
助言　　　H18.9.13　B 0113",(株)ナカノアイシステム,"H18.8.28
H19.3.16"
秋田県,"北秋田市,",砂防計画,数値図化,2500,1.7KM2,"秋田県北秋田地域振興局
助言　　　H18.9.14 B 0114",アジア航測(株),"H18.8.11
H18.11.30"
秋田県,"湯沢市,",地籍調査,基準点,2級,6point,"湯沢市
助言　　　H18.9.26　B 0118",岩倉測量設計(株),"H18.9.15
H18.12.11"
秋田県,"大仙市,",地籍調査,"基準点,基準点","2級,,3級","2point,4point","大仙市
助言　　　H18.9.26　B 0119","東邦技術(株)
(株)石川技研コンサルタント
南部測量(株)","H18.9.15
H18.11.20"
秋田県,"秋田市,大仙市,",河川管理,数値図修正,2500,53.6KM2,"東北地方整備局秋田河川国道事務所
助言　　　H18.10.4 B 0127",中日本航空(株),"H18.9.1
H19.2.15"
秋田県,"湯沢市,",都市計画,数値図化,2500,290.0KM2,"湯沢市
助言　　　H18.10.5　B 0131","国際航業(株)
(株)写測","H18.9.25
H19.3.26"
秋田県,"秋田市,",地籍調査,"基準点,基準点,基準点","１級,,2級,,3級","5point,7point,4point","秋田市
助言　　　H18.10.6　B 0140","創和技術(株)
小川測量設計(株)
小松測量設計(株)
(株)ウヌマ地域総研
(株)侃宮技術
(株)東測エンジニアリング
(株)都市整備
佐藤測量設計(株)","H18.10.4
H18.12.22"
秋田県,"横手市,",地籍調査,"座標変換,座標変換","2級,,3級","6point,6point","横手市
助言　　　H18.10.16　B 0145",岩倉測量設計(株),"H18.9.15
H18.12.11"
秋田県,"由利本荘市,",下水道台帳,数値図化,500,1.2KM2,"由利本荘市
助言　　　H18.10.24 B 0160",(株)写測,"H18.9.29
H19.3.12"
秋田県,"大仙市,",ほ場整備,写測図化,1000,0.1KM2,"大仙市
助言　　　H18.10.26　B 0164",(株)写測,"H18.10.18
H18.12.22"
秋田県,"仙北市,",砂防計画,"数値図修正,ディジタルオルソ","2500,,2500","25.0KM2,25.0KM2","東北地方整備局湯沢河川国道事務所
助言　　　H18.10.31　B 0170",国際航業(株),"H18.10.11
H19.2.20"
秋田県,"横手市,大仙市,",総合計画,基準点,2級,7point,"東北地方整備局湯沢河川国道事務所
助言　　　H18.11.1　B 0172","岩倉測量設計(株)
東邦技術(株)
(株)石川技研コンサルタント
南部測量(株)   ","H18.9.15
H18.12.12"
秋田県,"由利本荘市,",道路計画,基準点,4級,29point,"東北地方整備局秋田河川国道事務所
助言　　　H18.11.27　B 0192",東邦技術(株),"H18.10.17
H19.2.20"
秋田県,"能代市,北秋田市,大館市,",道路計画,"水準,カラー撮影,カラー撮影,数値図化,空三","簡級,,8000,,10000,,1000,,1000","19.0km,5.4KM2,37.1KM2,4.2KM2,18M","東北地方整備局能代河川国道事務所
助言　　　H18.11.21　B 0193",朝日航洋(株),"H18.11.8
H19.2.16"
秋田県,"大館市,",道路用地,"基準点,基準点","2級,,3級","1point,7point","東北地方整備局能代河川国道事務所
助言　　　H18.12.11　B 0207",(有)木村測量設計,"H18.11.13
H18.12.28"
秋田県,"北秋田市,",ダム計画,カラー撮影,8000,68.0KM2,"東北地方整備局森吉山ダムエ事事務所
助言　　　H19.1.29 B 0226",朝日航洋(株),"H18.11.16
H19.3.20"
秋田県,"大館市,",土地区画整理,基準点,4級,46point,"大館市
助言　　　H19.2.22 B 0235",(株)八州,"H19.2.24
H19.9.30"
秋田県,"秋田市,",河川計画,"基準点,基準点","2級,,3級","6point,12point","秋田県秋田地域振興局
助言　　　H19.2.27　B 0238",(株)創研コンサルタント,"H18.12.14
H19.6.30"
秋田県,"由利本荘市,",ダム計画,"既成図数値化,座標変換","2500,,2500","6.6KM2,6.6KM2","東北地方整備局鳥海ダム調査事務所
助言　　　H19.3.14 B 0247",(株)タックェンジニアリング,"H19.3.1
H19.3.29"
山形県県境新潟県,"鶴岡市,立川町,羽黒町,櫛引町,朝日村,西川町,温海町,県境山北町,",森林計画,撮影,20000,693.0KM2,"山形県
助言　　　H18.4.24 B 0007",国際航業(株),"　H18.5.8
H18.12.15"
山形県,"米沢市,",道路計画,"基準点,座標変換,水準","2級,,2級,,3級","17point,7point,7.8km","東北地方整備局山形河川国道事務所
助言　　　H18.6.13　B 0027",(株)オオバ,"H18.2.15
H18.9.12"
山形県,"山形市,",土地区画整理,"基準点,平板","４級,,500","0.1KM2,0.1KM2","山形市
助言　　　H18.6.16　B 0028",(株)田村測量設計事務所,"　H18.6.9
H18.12.22"
山形県,"山形市,",土地区画整理,基準点,4級,45point,"独立行政法人都市再生機構山形都市開発事務
助言　　　H18.6.19　B 0029",(株)新和調査設計事務所,"H18.6.19
H18.12.20"
山形県,"山形市,",土地区画整理,基準点,4級,11point,"山形市
助言　　　H18.7.10 B 0042",(株)田村測量設計事務所,"H18.6.23
H18.11.27"
山形県,"東根市,",土地区画整理,"基準点,基準点","2級,,3級","4point,12point","東根市
助言　　　H18.7.10 B 0043",(株)田村測量設計事務所,"H18.6.21
H19.3.9"
山形県,"新庄市,大蔵村,戸沢村,金山町,",砂防計画,"水準,数値図化,空三","簡級,,2500,,2500","12.0km,23.6KM2,14M","山形県最上総合支庁
助言　　　H18.7.18 B 0048",セントラル航空測量(株),"H18.6.27
H18.11.30"
山形県,"小国町,",河川管理,航空レーザ,レーザ計測,24.7KM2,"北陸地方整備局横川ダムエ事事務所
助言　　　　H18.8.1　B 0064",(株)パスコ,"H18.6.28
H18.11.17"
山形県,"村山市,",都市計画,"数値図化,既成図数値化,編集,座標変換","2500,,2500,,2500,,2500","1.1KM2,15.1KM2,3.8KM2,16.2KM2","村山市
助言　　　　H18.8.3 B 0067",セントラル航空測量(株),"H18.7.21
H18.11.30"
山形県,"高畠町,",砂防計画,"数値図化,空三","2500,,2500","3.9KM2,11M","山形県
助言　　　H18.8.11　B 0079",朝日航洋(株),"H18.6.27
H18.8.31"
山形県,"新庄市,",道路計画,"基準点,水準","2級,,3級","９point,11.3km","東北地方整備局山形河川国道事務所
助言　　　H18.8.30 B 0091",(株)双葉建設コンサルタント,"H18.4.5
H19.1.31"
山形県,"寒河江市,朝日町,",砂防計画,"水準,カラー撮影,数値図化,空三","簡級,,12500,,2500,,2500","72.5km,28.8KM2,0.4KM2,4M","山形県
助言　　　　H18.9.7 B 0100",国際航業(株),"H18.8.21
H18.10.30"
山形県,"東根市,尾花沢市,南陽市,川西町,",道路計画,"水準,カラー撮影,カラー撮影,空三,数値図化","簡級,,8000,,10000,,1000,,1000","28.5km,27.0KM2,59.0KM2,23M,5.6KM2","東北地方整備局山形河川国道事務所
助言　　　H18.9.11　B 0101",朝日航洋(株),"H18.8.11
H18.12.15"
山形県,"上山市,天童市,",砂防計画,"数値図化,ディジタルオルソ","2500,,2500","17.1KM2,17.1KM2","山形県村山総合支庁
助言　　　H18.9.11　B 0102   ",(株)パスコ,"H18.6.12
H18.12.8"
山形県,"上山市,高畠町,",道路計画,"基準点,水準","2級,,3級","33point,12.4km","東日本高速道路株式会社東北支社山形工事
助言　　　H18.9.15　B 0116","第一航業(株)
東武計画(株)
朝日航洋(株)
(株)東光コンサルタンツ","H18.6.14
H19.2.10"
