都道府県名,測量地域,測量目的,測量種別,"縮尺･,,等級",事業量,計画機関,作業機関,自至時期
愛知県,"碧南市,",登記基準点設置,"基準点,基準点","2級,,3級","4point,14point","法務省名古屋法務局
助言H19.5.29E0036",栄土地測量設計(株),"
H19.5.23

H19.6.30"
愛知県,"豊田市,",登記基準点設置,基準点,2級,4point,"法務省名古屋法務局
助言H19.5.29E0037",栄土地測量設計(株),"
H19.5.23

H19.6.30"
愛知県,"豊橋市,",登記基準点設置,"基準点,基準点","3級,,4級","5point,31point","法務省名古屋法務局
助言H19.5.29E0038",栄土地測量設計(株),"
H19.5.23

H19.6.30"
愛知県,"豊橋市,蒲郡市,音羽町,",地すべり対策,数値図化,2500,0.8KM2,"愛知県東三河建設事務所
助言H19.6.6E0041",アジア航測(株),"H18.11.1
H19.6.30"
愛知県,"豊田市,",道路計画,"基準点,基準点,平板,路線","3級,,4級,,500,,","7point,72point,0.5KM2,6.7km","中部地方整備局名四国道事務
所
助言H19.6.11E0043",(株)飯沼コンサルタント,"
H19.6.1

H19.7.31"
愛知県,"美浜町,",都市計画,写測図化,2500,46.4KM2,"愛知県美浜町
助言H19.6.6E0044",朝日航洋(株),"H19.5.25
H20.3.14"
愛知県,"空白,",地盤変動調査,水準,１級,486.0km,"愛知県
助言H19.6.11E0045",(株)神田設計,"H19.7.1
H20.2.28"
愛知県,"名古屋市,",都市計画,基準点,１級,1point,"名古屋市
助言H19.6.11E0047",新晃コンサルタント(株),"H19.6.11
H19.7.10"
愛知県,"日進市,",土地区画整理,"基準点,基準点","3級,,4級","3point,23point","日進市
助言H19.6.15E0048","愛知県経済農業協同組合
連合会","H19.6.11
H19.9.30"
愛知県,"小坂井町,",都市計画,"カラー撮影,座標変換,数値図修正","地上:20cm,,2500,,2500","9.2KM2,9.2KM2,9.2KM2","愛知県小坂井町
助言H19.6.26E0056",玉野総合コンサルタント(株),"
H19.6.25

H20.3.28"
愛知県,"豊田市,三好町,",砂防計画,数値図化,2500,1.8KM2,"愛知県豊田加茂建設事務所
助言H19.6.29E0057","アジア航測(株)
(株)パスコ
国際航業(株)","H18.11.1
H19.9.30"
愛知県,"吉良町,",都市計画,"カラー撮影,数値図修正,ディジタルオルソ","地上:16cm,,2500,,2500","36.0KM2,36.0KM2,36.0KM2","愛知県吉良町
助言H19.7.3E0059",玉野総合コンサルタント(株),"
H19.6.27

H20.3.21"
愛知県,"田原市,",都市計画,基準点,2級,2point,"田原市
助言H19.6.29E0060",中央コンサルタンツ(株),"H19.6.25
H19.7.31"
愛知県,"春日町,",固定資産,カラー撮影,地上:16cm,4.0KM2,"愛知県春日町
助言H19.7.3E0061",(株)パスコ,"
H19.6.22

H20.3.31"
愛知県,"名古屋市,",都市計画,基準点,2級,1point,"名古屋市
助言H19.7.11E0065",(株)神田設計,"H19.7.2
H19.7.31"
愛知県,"半田市,",都市計画,"カラー撮影,数値図修正,座標変換,ディジタルオルソ","地上:,,16cm,,2500,,2500,,5000","47.2KM2,47.2KM2,47.2KM2,47.2KM2","愛知県半田市
助言H19.7.13E0067",玉野総合コンサルタント(株),"
H19.7.1

H20.3.19"
愛知県,"東郷町,",土地区画整理,"基準点,基準点","3級,,4級","1point,15point","東郷涼松土地区画整理組合
助言H19.7.10E0068",中央コンサルタンツ(株),"H19.7.9
H20.1.31"
愛知県,"刈谷市,",道路台帳,"数値図修正,数値図修正","1000,,500","42.9KM2,7.5KM2","愛知県刈谷市
助言H19.7.11E0069",アジア航測(株),"H19.5.29
H20.1.31"
愛知県,"清須市,",土地区画整理,"基準点,基準点,水準,水準,平板","3級,,4級,,3級,,4級,,500","3point,126point,3.2km,7.0km,0.3KM2","清須市
助言H19.7.10E0070",玉野総合コンサルタント(株),"H19.7.1
H20.3.21"
愛知県,"蒲郡市,",都市計画,数値図修正,2500,56.8KM2,"愛知県蒲郡市
助言H19.7.11E0071",(株)パスコ,"H19.7.6
H20.2.20"
愛知県,"名古屋市,",急傾斜地崩壊対策,"基準点,平板","４級,,,,200","3point,0.1KM2","愛知県尾張建設事務所
助言H19.7.12E0075",柴山コンサルタント(株),"
H19.7.17

H19.9.30"
愛知県,"日進市,",固定資産,カラー撮影,地上:8cm,34.9KM2,"愛知県日進市
助言H19.7.13E0077",(株)パスコ,"
H19.7.10

H20.3.28"
愛知県,"豊田市,",道路計画,"基準点,基準点,基準点","1級,,3級,,4級","4point,13point,47point","愛知県豊田加茂建設事務所
助言H19.7.19E0080",(株)オオバ,"H19.6.22
H19.11.18"
愛知県,"名古屋市,",地域パラメータ算出,"基準点,座標変換","3級,,500","6point,0.2KM2","名古屋市梅森坂東土地区画整
理組合
助言H19.7.19E0081",中部地域整備(株),"
H19.5.24

H19.10.31"
愛知県,"名古屋市,岡崎市,豊川市,碧南市,岩倉市,清須市,弥富市,",総合計画,数値図修正,2500,925.5KM2,"愛知県
助言H19.7.20E0082",玉野総合コンサルタント(株),"H19.4.1
H20.3.24"
愛知県,"西尾市,",都市計画,"数値図修正,座標変換","2500,,2500","75.8KM2,75.8KM2","愛知県西尾市
助言H19.8.1E0088",国際航業(株),"H19.6.4
H20.2.28"
愛知県,"小牧市,",総合計画,"基準点,基準点,基準点","2級,,3級,,4級","5point,9point,0.2KM2","小牧市
助言H19.8.8E0093",(株)石田技術コンサルタンツ,"H19.7.6
H20.3.25"
愛知県,"春日井市,",固定資産,"カラー撮影,ディジタルオルソ","8000,,1000","92.7KM2,92.7KM2","愛知県春日井市
助言H19.8.8E0097",国際航業(株),"H19.9.1
H19.12.28"
愛知県,"高浜市,",都市計画,数値図修正,2500,13.0KM2,"愛知県高浜市
助言H19.8.8E0098",(株)パスコ,"H19.8.8
H20.3.21"
愛知県,"豊田市,",路線測量,基準点,１級,1point,"愛知県豊田加茂建設事務所
助言H19.8.20E0099",サンコーコンサルタント(株),"H19.8.10
H19.12.20"
愛知県,"東栄町,豊根村,",砂防計画,数値図化,2500,0.4KM2,"愛知県新城設楽建設事務所
助言H19.8.23E0102",(株)パスコ,"H19.8.21
H20.2.29"
愛知県,"設楽町,",砂防計画,数値図化,2500,0.5KM2,"愛知県新城設楽建設事務所
助言H19.8.23E0103",朝日航洋(株),"H19.8.21
H20.2.29"
愛知県,"新城市,",砂防計画,数値図化,2500,0.3KM2,"愛知県新城設楽建設事務所
助言H19.8.23E0104",国際航業(株),"H19.8.21
H20.2.29"
愛知県,"新城市,",砂防計画,写測図化,2500,0.9KM2,"愛知県新城設楽建設事務所
助言H19.8.24E0105",アジア航測(株),"H19.8.21
H20.2.29"
愛知県,"犬山市,",砂防計画,数値図修正,2500,0.6KM2,"愛知県―宮建設事務所
助言H19.8.29E0106",国際航業(株),"H19.6.29
H19.11.30"
愛知県,"犬山市,",道路台帳,平板･修正,1000,"0.3KM2,9.8km","愛知県犬山市
助言H19.9.3E0111",アジア航測(株),"H19.8.14
H20.3.19"
愛知県,"田原市,",下水道計画,"基準点,基準点","2級,,3級","3point,5point","田原市
助言H19.9.13E0116",(株)三祐コンサルタンツ,"H19.9.1
H20.2.28"
愛知県,"小牧市,",土地区画整理,"基準点,基準点,基準点","2級,,3級,,4級","3point,18point,440point","小牧市
助言H19.9.13E0119",(株)名邦テクノ,"H19.9.10
H20.3.19"
愛知県,"新城市,",砂防計画,写測図化,2500,0.2KM2,"愛知県新城設楽建設事務所
助言H19.9.19E0122",アジア航測(株),"H19.9.7
H20.2.29"
愛知県,"扶桑町,",都市計画,"写測修正,座標変換","2500,,2500","11.2KM2,11.2KM2","愛知県扶桑町
助言H19.9.19E0123",中日本航空測量(株),"H19.9.10
H20.3.14"
愛知県,"音羽町,",土地改良,"基準点,基準点,基準点","2級,,3級,,4級","2point,3point,0.1KM2","音羽町土地改良区
助言H19.9.21E0125","愛知県土地改良事業団体
連合会","H19.10.1
H20.12.20"
愛知県,"安城市,",土地改良,"基準点,基準点,基準点","2級,,3級,,4級","3point,5point,0.1KM2","安城市
助言H19.9.21E0126","愛知県土地改良事業団体
連合会","H19.10.1
H20.3.3"
愛知県,"名古屋市,",道路台帳,基準点,4級,85point,"中部地方整備局名古屋国道事
務所
助言H19.9.21E0128",南海カツマ(株),"
H19.9.17

H20.3.10"
愛知県,"尾張旭市,",土地区画整理,"基準点,基準点,基準点","2級,,3級,,4級","2point,5point,57point","尾張旭旭前城前特定土地区画
整理組合
助言H19.9.21E0129",玉野総合コンサルタント(株),"
H19.9.18

H20.3.21"
愛知県,"名古屋市,",道路台帳,平板,500,"0.3KM2,8.7km","名古屋市
助言H20.3.10E0131",(株)大増すコンサルタンツ,"H19.9.20
H20.2.29"
愛知県,"春日井市,",土地区画整理,"基準点,数値図化","４級,,500","0.2KM2,0.2KM2","春日井大留上土地区画整理組合
助言H19.9.21E0133",玉野総合コンサルタント(株),"H19.9.1
H20.3.21"
愛知県,"新城市,",環境調査,カラー撮影,10000,119.9KM2,"愛知県
助言H19.9.25E0138",中日本航空測量(株),"H19.9.22
H19.11.30"
愛知県,"瀬戸市,",土地区画整理,基準点,4級,42point,"瀬戸幡野東土地区画整理組合
助言H19.9.26E0140",玉野総合コンサルタント(株),"H19.9.25
H20.3.25"
愛知県,"弥富市,飛島村,名古屋市,東海市,知多市,",地盤変動調査,水準,１級,105.0km,"名古屋港管理組合
助言H19.10.1E0142",(株)中部テック,"H19.10.16
H20.3.7"
愛知県,"知立市,",土地区画整理,基準点,2級,6point,"知立上重原特定土地区画整理
組合
助言H19.10.1E0143",中央コンサルタンツ(株),"
H19.9.30

H19.10.31"
愛知県,"東浦町,",土地区画整理,"基準点,基準点,基準点,地上数値法","2級,,3級,,4級,,500","1point,3point,22point,0.1KM2","東浦濁池西土地区画整理組合
助言H19.10.1E0144",(株)オオバ,"H19.9.12
H20.2.28"
愛知県,"西尾市,",農業集落排水事業,"基準点,基準点,基準点","2級,,3級,,4級","2point,13point,100point","西尾市
助言H19.10.2E0145","愛知県土地改良事業団体
連合会","
H19.6.26

H20.3.10"
愛知県,"豊橋市,",道路計画,"基準点,基準点,基準点","1級,,3級,,4級","2point,8point,0.1KM2","中部地方整備局名四国道事務所
助言H19.10.11E0147",(株)大地コンサルタント,"H19.9.25
H19.12.7"
愛知県,"豊橋市,",道路計画,"基準点,基準点,基準点","1級,,3級,,4級","4point,13point,51point","中部地方整備局名四国道事
務所
助言H19.10.11E0148",中部復建(株),"
H19.10.9

H19.12.21"
愛知県,"三好町,",固定資産,カラー撮影,地上:16cm,32.1KM2,"愛知県三好町
助言H19.10.15E0152",(株)パスコ,"H19.7.27
H20.3.25"
愛知県,"豊田市,",土地区画整理,基準点,4級,30point,"豊田市
助言H19.10.15E0155","愛知県経済農業協同組合
連合会","H19.10.15
H20.3.21"
愛知県,"豊橋市,小坂井町,新城市,",河川管理,"航空レーザ,カラー撮影,数値図修正",",,地上:20cm,,2500","24.4KM2,106.3KM2,35.6KM2","中部地方整備局豊橋河川事務所
助言H19.10.26E0158",中日本航空(株),"H19.9.27

H20.3.27"
愛知県,"西尾市,",道路台帳,"写測修正,数値図修正","1000,,1000","0.4KM2,0.4KM2","愛知県西尾市
助言H19.10.26E0161",中日本航空測量(株),"H19.10.22
H20.2.24"
愛知県,"常滑市,",道路台帳,"カラー撮影,数値図修正","5000,,500","10.6KM2,0.2KM2","愛知県常滑市
助言H19.10.26E0162",中日本航空測量(株),"H19.10.16
H20.1.31"
愛知県,"阿久比町,",道路台帳,"カラー撮影,写測修正,既成図数値化","5000,,500,,500","14.3KM2,2.0KM2,2.0KM2","愛知県阿久比町
助言H19.10.26E0163",中日本航空測量(株),"H19.10.25
H20.3.20"
愛知県,"田原市,",土地区画整理,"基準点,基準点,基準点,水準,水準,平板","2級,,3級,,4級,,3級,,4級,,500","2point,1point,33point,1.7km,1.7km,0.1KM2","田原市
助言H19.10.24E0164",清水コンサルタント(株),"H19.9.21
H19.12.17"
愛知県,"名古屋市,大治町,清須市,甚目寺町,",地盤変動調査,水準,１級,16.1km,"中部地方整備局庄内川河川事
務所
助言H19.10.24E0166",若鈴コンサルタンツ(株),"
H19.11.1

H20.2.28"
愛知県,"豊田市,",道路計画,"基準点,基準点,基準点,基準点,路線","１級,,2級,,3級,,4級","2point,1point,4point,18point,1.2km","愛知県豊田加茂建設事務所
助言H19.10.24E0168",(株)梶川土木コンサルタント,"H19.8.10
H20.1.6"
愛知県,"三好町,",地籍調査,基準点,街区点,0.7KM2,"国土交通省土地?水資源局国
土調査課
助言H19.10.24E0172",大日コンサルタント(株),"
H19.8.20

H20.1.21"
愛知県,"三好町,",地籍調査,基準点,街区点,0.6KM2,"国土交通省土地?水資源局国
土調査課
助言H19.10.24E0173",藤コンサル(株),"
H19.8.22

H20.1.7"
愛知県,"名古屋市,",土地区画整理,座標変換,500,0.2KM2,"名古屋市荒池北土地区画整理
組合
助言H19.10.26E0184",中部地域整備(株),"
H19.9.10

H20.2.29"
愛知県,"名古屋市,",土地区画整理,座標変換,500,0.2KM2,"名古屋市荒池土地区画整理組合
助言H19.10.26E0185",中部地域整備(株),"H19.9.10
H20.2.29"
愛知県,"弥富市,",港湾計画,"カラー撮影,数値図化","4000,,500","0.5KM2,0.1KM2","愛知県海部建設事務所
助言H19.10.26E0186",中日本航空(株),"H19.8.10
H19.12.21"
愛知県,"西尾市,",道路計画,"基準点,基準点,基準点,平板","2級,,3級,,4級,,500","2point,5point,21point,0.1KM2","愛知県西三河建設事務所
助言H19.10.25E0188",(株)豊橋コンサルタント,"H19.10.1
H20.1.22"
愛知県,"豊田市,名古屋市,春日井市,一宮市,北名古屋市,岩倉市,清須市,",道路管理,"基準点,基準点,基準点,水準","1級,,3級,,4級,,3級","27point,5point,95point,53.0km","中部地方整備局名古屋国道事
務所
助言H19.10.25E0189","(株)パスコ
新晃コンサルタント(株)","
H19.9.8

H20.2.29"
愛知県,"名古屋市,",道路台帳,平板,500,0.1KM2,"愛知県名古屋市
助言H19.10.30E0190",(株)神田設計,"H19.11.15
H20.3.25"
愛知県,"三好町,",道路台帳,"既成図数値化,平板･修正","500,,500","130.0km,6.8km","愛知県三好町
助言H19.10.30E0191",アジア航測(株),"H19.10.5
H20.3.14"
愛知県,"新城市,",道路台帳,平板･修正,1000,6.4km,"愛知県新城市
助言H19.10.30E0192",アジア航測(株),"H19.10.25
H20.3.20"
愛知県,"名古屋市,",地盤変動調査,水準,１級,240.0km,"名古屋市
助言H19.10.31E0196",玉野総合コンサルタント(株),"H19.10.31
H20.3.5"
愛知県,"岡崎市,",河川管理,"基準点,基準点","2級,,3級","6point,12point","中部地方整備局豊橋河川事務
所
助言H19.10.31E0197",東海土地開発(有),"
H19.11.1

H20.1.31"
