都道府県名,測量地域,測量目的,測量種別,"縮尺･,,等級",事業量,計画機関,作業機関,自至時期
北海道,"旭川市,鷹栖町,",道路計画,基準点,3級,14point,"北海道上川支庁
助言H19.4.25A0001",北海道土木設計(株),"H19.6.1
H19.11.30"
北海道,"網走市,紋別市,北見市,湧別町,雄武町,興部町,佐呂間町,",道路中心線確定測量,"基準点,基準点","１級,,3級","157point,316point","網走開発建設部
助言H19.4.26A0002","ランドシステム(有)
(株)アクセスフィールド
サン技術コンサルタント(株)
(株)エクサ設計","H19.4.18
H19.6.30"
北海道,"遠軽町,",道路計画,"基準点,基準点,基準点","１級,,3級,,4級","4point,8point,25point","北海道網走支庁
助言H19.5.8A0003",北見設計測量(株),"H19.4.19
H19.12.20"
北海道,"網走市,大空町,",河川管理,"基準点,基準点","１級,,3級","5point,19point","北海道網走支庁
助言H19.5.8A0004",サン技術コンサルタント(株),"H19.4.24
H19.10.30"
北海道,"北斗市,",道路用地,基準点,3級,5point,"北海道渡島支庁
助言H19.5.8A0005",(株)牧野測量,"H19.5.10
H19.8.30"
北海道,"八雲町,",道路用地,"基準点,基準点","1級,,3級","4point,7point","北海道渡島支庁
助言H19.5.8A0006",(株)ツカサ技研,"H19.5.14
H19.6.20"
北海道,"平取町,",土地改良,基準点,3級,3point,"北海道日高支庁
助言H19.5.14A0007",(株)細道コンサルタント,"H19.4.23
H19.11.9"
北海道,"別海町,",農地開発,数値図化,10000,505.0KM2,"釧路開発建設部
助言H19.5.8A0008",(株)北海道朝日航洋,"H19.4.20
H19.9.21"
北海道,"枝幸町,",道路用地,基準点,3級,2point,"稚内開発建設部
助言H19.5.8A0009",北辰建設コンサルタント(株),"H19.5.7
H19.5.18"
北海道,"札幌市,",土地区画整理,基準点,4級,32point,"札幌市手稲曙西土地区圃整理組合
助言H19.5.14A0010",(株)拓殖設計,"H19.5.8
H19.12.20"
北海道,"深川市,",土地改良,基準点,3級,10point,"北海道空知支庁
助言H19.5.14A0011",(株)グリーン測量,"H19.5.3
H20.2.29"
北海道,"安平町,",道路計画,基準点,2級,2point,"安平町
助言H19.5.15A0012",ダイシン設計(株),"H19.5.8
H19.7.30"
北海道,"津別町,",土地改良,基準点,4級,4point,"北海道網走支庁
助言H19.5.17A0013",(株)大道測量設計,"H19.5.8
H19.7.20"
北海道,"余市町,仁木町,小樽市,赤井川村,",道路計画,"数値図化,撮影,空三","1000,,8000,,","9.6KM2,40.8KM2,30M","小樽開発建設部
助言H19.5.14A0014",(株)ハ州,"H19.4.25
H19.11.30"
北海道,"恵庭市,",都市計画,"数値撮影,数値図化","12500,,2500","95.3KM2,85.2KM2","恵庭市
助言H19.5.14A0015",(株)北海道朝日航洋,"H19.5.1
H20.3.10"
北海道,"雄武町,興部町,紋別市,滝上町,下川町,新得町,小清水町,芽室町,帯広市,更別村,幕別町,大樹町,広尾町,豊頃町,西興部村,",森林計画,撮影,20000,4202.0KM2,"北海道
助言H19.5.14A0016","北海航測(株)
アジア航測(株)","H19.6.1
H19.11.22"
北海道,"新冠町,",農道計画,基準点,3級,25point,"北海道日高支庁
助言H19.5.14A0017",(株)桜井測量,"H19.5.14
H20.2.29"
北海道,"当別町,",土地改良,基準点,3級,17point,"北海道石狩支庁
助言H19.5.16A0018",(株)帝国設計事務所,"H19.5.21
H19.12.20"
北海道,"新十津川町,",土地改良,基準点,3級,22point,"北海道空知支庁
助言H19.5.14A0019",(株)空知コンサルタント,"H19.5.9
H19.12.10"
北海道,"秩父別町,",土地改良,基準点,3級,20point,"北海道空知支庁
助言H19.5.14A0020",(株)北開測地,"H19.5.10
H20.2.20"
北海道,"旭川市,幌加内町,",道路計画,"基準点,基準点","2級,,3級","9point,14point","北海道石狩支庁
助言H19.5.14A0021",(株)アイネス,"H19.5.10
H19.12.20"
北海道,"木古内町,",道路計画,"基準点,基準点","2級,,3級","8point,16point","函館開発建設部函館道路事務所
助言H19.5.14A0022",(株)三友コンサルタント,"H19.4.12
H19.9.28"
北海道,"帯広市,",砂防計画,"基準点,基準点","1級,,3級","1point,6point","帯広開発建設部
助言H19.5.16A0023",北海道測量事業協同組合,"H19.5.9
H19.9.7"
北海道,"鶴居村,",農地開発,基準点,3級,9point,"釧路開発建設部
助言H19.5.16A0024",(株)フロンティア技研,"H19.5.9
H19.8.24"
北海道,"秩父別町,",土地改良,基準点,3級,53point,"北海道空知支庁
助言H19.5.16A0025",ダイシン設計(株),"H19.5.10
H19.6.20"
北海道,"鶴居村,",道路計画,基準点,3級,17point,"北海道釧路支庁
助言H19.5.16A0026",東邦コンサルタント(株),"H19.5.21
H19.11.30"
北海道,"深川市,",土地改良,"基準点,平板","3級,,1000","19point,0.3KM2","北海道空知支庁
助言H19.5.16A0027",技研測量設計(株),"H19.4.23
H20.3.19"
北海道,"奈井江町,",ほ場整備,基準点,3級,24point,"北海道空知支庁
助言H19.5.16A0028",北日本技研(株),"H19.5.10
H20.1.18"
北海道,"奈井江町,",土地改良,基準点,3級,11point,"北海道空知支庁
助言H19.5.16A0029",(株)田西設計コンサル,"H19.5.10
H19.12.20"
北海道,"石狩市,",土地改良,基準点,3級,23point,"北海道石狩支庁
助言H19.5.16A0030",(株)田西設計コンサル,"H19.4.27
H19.10.30"
北海道,"当別町,",土地改良,"基準点,座標変換","3級,,2級","7point,2point","北海道石狩支庁
助言H19.5.16A0031",明成コンサルタント(株),"H19.5.12
H20.1.18"
北海道,"遠別町,",道路計画,基準点,3級,2point,"北海道留萌支庁
助言H19.5.18A0032",ダイシン設計(株),"H19.5.14
H19.7.30"
北海道,"函館市,",地すべり対策,基準点,4級,7point,"北海道渡島支庁
助言H19.5.25A0033",アース測量設計(株),"H19.6.7
H19.7.30"
北海道,"上富良野町,",土地改良,基準点,3級,9point,"北海道上川支庁
助言H19.5.21A0034",(株)田西設計コンサル,"H19.4.27
H19.10.30"
北海道,"上ノ国町,",魚道設計,基準点,3級,2point,"北海道檜山支庁
助言H19.5.21A0035",パブリックコンサルタント(株),"H19.5.16
H19.8.30"
北海道,"美唄市,",河川計画,基準点,2級,1point,"石狩川開発建設部
助言H19.5.21A0036",千廣測量(株),"H19.5.7
H19.7.2"
北海道,"むかわ町,",都市計画,"撮影,撮影,数値図化,数値図化,数値図化","12500,,8000,,1000,,2500,,5000","381.0KM2,7.0KM2,5.5KM2,194.5KM2,181.0KM2","むかわ町
助言H19.5.22A0037",アジア航測(株),"H19.4.9
H20.2.29"
北海道,"富良野市,",土地改良,基準点,3級,17point,"北海道上川支庁
助言H19.5.21A0038","(株)北海道農業建設コン
サルタント","H19.5.16
H20.3.30"
北海道,"秩父別町,",土地改良,基準点,3級,13point,"北海道空知支庁
助言H19.5.21A0039",(株)香島コンサルタント,"H19.5.16
H19.11.20"
北海道,"深川市,",土地改良,基準点,3級,20point,"北海道空知支庁
助言H19.5.21A0040",(株)アルファ技研,"H19.5.1
H20.3.19"
北海道,"秩父別町,沼田町,",土地改良,基準点,3級,17point,"北海道空知支庁
助言H19.5.21A0041",(株)ルーラルェンジニア,"H19.5.17
H19.12.20"
北海道,"今金町,",道路計画,基準点,3級,3point,"北海道檜山支庁
助言H19.5.21A0042",(株)アース設計事務所,"H19.5.10
H19.10.30"
北海道,"旭川市,",道路計画,"路線,平板",",,1000","1.1km,0.1KM2","北海道上川支庁
助言H19.5.22A0043","(株)アサヒ建設コンサルタ
ント","H19.5.25
H19.8.20"
北海道,"北見市,",土地改良,基準点,3級,14point,"網走開発建設部
助言H19.5.28A0044","北海道農業土木コンサル
タント(株)","H19.5.18
H19.10.23"
北海道,"鶴居村,",農地開発,基準点,3級,18point,"釧路開発建設部
助言H19.5.22A0045",(株)三幸測量設計社,"H19.5.18
H19.8.22"
北海道,"栗山町,",土地改良,"基準点,水準,カラー撮影,数値図化","3級,,3級,,8000,,1000","32point,8.2km,23.6KM2,4.7KM2","北海道空知支庁
助言H19.5.23A0046",アジア航測(株),"H19.4.23
H19.9.28"
北海道,"帯広市,",土地改良,基準点,3級,4point,"北海道十勝支庁
助言H19.5.23A0047",(株)ズコーシャ,"H19.5.18
H19.7.30"
北海道,"小平町,",道路計画,基準点,3級,1point,"北海道留萌支庁
助言H19.5.23A0048",小杉測量設計(株),"H19.5.10
H19.8.30"
北海道,"厚岸町,",土地改良,"基準点,基準点","１級,,3級","2point,5point","北海道釧路支庁
助言H19.5.25A0049",(株)松木測量設計,"H19.5.19
H19.9.28"
北海道,"共和町,",道路計画,基準点,3級,5point,"共和町
助言H19.5.25A0050",北山測量設計(株),"H19.5.19
H19.6.29"
北海道,"美瑛町,",農道計画,基準点,3級,2point,"美瑛町
助言H19.5.25A0051",旭川設計測量(株),"H19.5.25
H19.12.20"
北海道,"稚内市,",総合計画,"ディジタルオルソ,数値撮影","2500,,分解,,能","102.0KM2,142.5KM2","稚内市
助言H19.5.25A0052",(株)GIS北海道,"H19.5.20

H20.3.31"
北海道,"秩父別町,",土地改良,基準点,3級,39point,"北海道空知支庁
助言H19.5.25A0053",(株)ルーラルェンジニア,"H19.5.22
H20.3.10"
北海道,"秩父別町,",土地改良,基準点,3級,15point,"北海道空知支庁
助言H19.5.25A0054",(株)本山測量設計,"H19.6.1
H19.7.31"
北海道,"岩見沢市,",道路用地,基準点,3級,3point,"北海道石狩支庁
助言H19.5.25A0055",(株)篠田測量事務所,"H19.5.25
H19.7.30"
北海道,"浦臼町,",道路計画,"基準点,基準点","2級,,3級","2point,9point","浦臼町
助言H19.5.30A0056",(株)カバト技研,"H19.6.4
H19.6.12"
北海道,"由仁町,",土地改良,"基準点,座標変換","3級,,2級","92point,9point","北海道空知支庁
助言H19.5.30A0057",(株)極東コンサルタント,"H19.6.4
H19.11.30"
北海道,"広尾町,",道路用地,"基準点,基準点","１級,,3級","2point,3point","北海道十勝支庁
助言H19.5.30A0058",(有)福岡測量設計事務所,"H19.5.22
H19.7.30"
北海道,"奥尻町,",道路用地,"基準点,座標変換","3級,,１級","4point,1point","北海道渡島支庁
助言H19.5.30A0059",臥牛測量設計(株),"H19.5.23
H19.8.30"
北海道,"函館市,",道路用地,基準点,2級,2point,"北海道渡島支庁
助言H19.5.30A0060",(株)南木測量設計事務所,"H19.5.31
H19.8.20"
北海道,"古平町,",道路計画,基準点,3級,2point,"小樽開発建設部
助言H19.5.31A0061",矢野設計(株),"H19.5.28
H19.8.3"
北海道,"新篠津村,",土地改良,基準点,3級,11point,"北海道石狩支庁
助言H19.5.30A0062",(株)ルーラルェンジニア,"H19.4.27
H20.1.18"
北海道,"長沼町,",土地改良,基準点,2級,10point,"北海道空知支庁
助言H19.5.30A0063","北海道土地改良事業団体
連合会","H19.5.28
H19.9.28"
北海道,"深川市,",土地改良,"基準点,座標変換","3級,,3級","16point,3point","北海道空知支庁
助言H19.5.30A0064",(株)北開測地,"H19.5.22
H20.3.19"
北海道,"深川市,",土地改良,基準点,3級,13point,"北海道空知支庁
助言H19.5.30A0065",(株)ルーラルェンジニア,"H19.5.22
H19.12.20"
北海道,"深川市,",土地改良,"基準点,路線","3級,,","10point,2.8km","北海道空知支庁
助言H19.5.30A0066",(株)よしだ設計コンサルタント,"H19.5.22
H20.2.29"
北海道,"深川市,",土地改良,"基準点,基準点","3級,,4級","6point,16point","北海道空知支庁
助言H19.5.30A0067",(株)本山測量設計,"H19.6.1
H19.7.31"
北海道,"沼田町,",道路計画,基準点,3級,8point,"北海道石狩支庁
助言H19.5.30A0068",新生測量設計(株),"H19.5.23
H19.8.30"
北海道,"沼田町,",道路計画,"基準点,路線","3級,,","5point,1.0km","北海道石狩支庁
助言H19.5.30A0069",(株)シビテック,"H19.5.23
H19.8.30"
北海道,"美唄市,",道路計画,基準点,3級,3point,"北海道石狩支庁
助言H19.5.30A0070",メルテックコンサルタント(株),"H19.5.23
H19.12.20"
北海道,"旭川市,",道路用地,基準点,3級,3point,"北海道旭川土木現業所
助言H19.5.30A0071",(株)ネクシス光洋,"H19.5.23
H19.9.12"
北海道,"ニセコ町,",河川計画,基準点,3級,20point,"北海道後志支庁
助言H19.5.31A0072",(株)アイネス,"H19.5.21
H19.10.10"
北海道,"富良野市,",土地改良,基準点,3級,17point,"北海道上川支庁
助言H19.6.1A0073",(株)アース設計事務所,"H19.5.25
H20.3.10"
北海道,"富良野市,",土地改良,基準点,3級,31point,"北海道上川支庁
助言H19.6.1A0074",新栄コンサルタント(株),"H19.5.25
H19.10.31"
北海道,"栗山町,",河川用地,"基準点,基準点","3級,,4級","1point,14point","北海道石狩支庁
助言H19.6.1A0075",(株)三洋コンサルタント,"H19.5.28
H19.7.30"
北海道,"岩見沢市,",道路用地,基準点,3級,1point,"北海道石狩支庁
助言H19.6.1A0076",嵯峨測量設計(株),"H19.5.25
H19.8.30"
北海道,"岩見沢市,",ほ場整備,"基準点,路線","3級,,","40point,1.8km","北海道空知支庁
助言H19.6.1A0077",(株)みずほ栄設計,"H19.5.25
H19.11.30"
北海道,"上湧別町,",農道計画,基準点,3級,1point,"北海道網走支庁
助言H19.6.1A0078",(株)テクノ,"H19.5.25
H19.8.30"
北海道,"当別町,新篠津村,",土地改良,"カラー撮影,写測図化,水準","8000,,1000,,簡級","40.3KM2,4.7KM2,36.0km","北海道石狩支庁
助言H19.6.12A0079","内外エンジニアリング北海
道(株)","H19.4.27
H19.8.20"
北海道,"別海町,",農道計画,"基準点,基準点","2級,,3級","5point,4point","北海道根室支庁
助言H19.6.1A0080",(株)松木測量設計,"H19.5.25
H20.3.10"
北海道,"美瑛町,",農地開発,"基準点,基準点","1級,,3級","4point,7point","旭川開発建設部旭川農業事務所
助言H19.6.1A0081",(株)フロンティア技研,"H19.5.25
H19.9.21"
北海道,"安平町,",都市計画,"カラー撮影,数値図化,数値図化,数値図修正","15000,,2500,,5000,,2500","112.6KM2,5.9KM2,59.6KM2,2.8KM2","安平町
助言H19.6.1A0082",(株)GIS北海道,"H19.5.25
H20.2.28"
北海道,"札幌市,",土地区画整理,"基準点,座標変換","3級,,2級","15point,1point","札幌市
助言H19.6.11A0083",(有)能登測量設計事務所,"H19.5.10
H19.7.18"
北海道,"長沼町,",土地改良,"基準点,基準点","3級,,4級","44point,132point","北海道空知支庁
助言H19.6.6A0084",拓新エンジニア(株),"H19.6.11
H20.2.28"
北海道,"美瑛町,",道路計画,基準点,3級,1point,"北海道旭川土木現業所
助言H19.6.5A0086",新栄コンサルタント(株),"H19.5.21
H19.7.20"
北海道,"上川町,",道路計画,"基準点,基準点","1級,,3級","2point,10point","北海道上川支庁
助言H19.6.5A0087",(株)シー･イー･サービス,"H19.6.29
H20.3.20"
北海道,"幌延町,",道路計画,基準点,3級,2point,"北海道留萌支庁
助言H19.6.5A0088",北海道キング設計(株),"H19.5.28
H19.8.10"
北海道,"新ひだか町,",砂防計画,"基準点,基準点","１級,,3級","3point,4point","北海道胆振支庁
助言H19.6.22A0089",北海道キング設計(株),"H19.6.1
H19.8.24"
北海道,"安平町,",道路計画,基準点,2級,3point,"安平町
助言H19.6.5A0090",ダイシン設計(株),"H19.5.31
H19.9.20"
北海道,"沼田町,",道路用地,基準点,3級,8point,"北海道石狩支庁
助言H19.6.7A0091",蟻戸測量設計(株),"H19.6.6
H19.9.20"
北海道,"小平町,",道路計画,基準点,3級,4point,"北海道留萌支庁
助言H19.6.7A0092",新生測量設計(株),"H19.5.30
H19.7.30"
北海道,"根室市,",海岸保全,基準点,3級,1point,"釧路開発建設部
助言H19.6.7A0093","太平洋総合コンサルタント
(株)","H19.5.31
H19.8.2"
北海道,"士別市,",道路計画,基準点,3級,4point,"北海道旭川土木現業所
助言H19.6.7A0094",(株)ホクスイ設計コンサル,"H19.6.1
H19.6.30"
北海道,"当麻町,",河川計画,"基準点,水準","2級,,2級","13point,13point","北海道上川支庁
助言H19.6.7A0095",旭川設計測量(株),"H19.5.18
H19.12.20"
北海道,"厚岸町,",土地改良,"基準点,平板,縦横断","3級,,1000,,1000","21point,0.3KM2,5.5KM2","北海道釧路支庁
助言H19.6.7A0096",山下コンサルタント(株),"H19.6.1
H20.1.30"
北海道,"浜中町,",農道計画,基準点,3級,4point,"北海道釧路支庁
助言H19.6.11A0097",東邦コンサルタント(株),"H19.5.14
H19.10.30"
北海道,"南幌町,",土地改良,基準点,3級,83point,"北海道空知支庁
助言H19.6.7A0098",(株)極東コンサルタント,"H19.6.11
H19.11.30"
北海道,"むかわ町,",土地改良,基準点,3級,3point,"北海道胆振支庁
助言H19.6.7A0099","(株)北海道農業建設コン
サルタント","H19.6.1
H19.10.31"
北海道,"共和町,",土地改良,"カラー撮影,ディジタルオルソ","10000,,2500","399.9KM2,197.8KM2","共和土地改良区
助言H19.6.7A0100",(株)道測テクニス,"H19.5.23
H20.3.25"
北海道,"岩見沢市,",土地改良,"基準点,座標変換","3級,,3級","23point,3point","北海道空知支庁
助言H19.6.7A0101",北海航測(株),"H19.6.2
H19.8.31"
北海道,"幕別町,",道路用地,基準点,3級,4point,"幕別町
助言H19.6.7A0102",菊地技術コンサルタント(株),"H19.6.2
H19.7.30"
北海道,"富良野市,",土地改良,基準点,3級,9point,"北海道上川支庁
助言H19.6.7A0103",(株)ルーラルェンジニア,"H19.6.1
H20.3.10"
北海道,"日高町,",道路計画,"基準点,基準点","2級,,3級","1point,2point","北海道胆振支庁
助言H19.6.7A0104",メルテックコンサルタント(株),"H19.5.30
H19.8.10"
北海道,"中富良野町,",土地改良,"基準点,平板,路線","3級,,1000,,","82point,4.8KM2,3.8km","北海道上川支庁
助言H19.6.7A0105","扇コンサル(株)
パブリックコンサルタント(株)
(株)みずほ栄設計
(株)香島コンサルタント
やまざきコンサルタント(株)","H19.5.29
H20.3.10"
北海道,"深川市,",土地改良,"基準点,基準点","3級,,4級","7point,13point","北海道空知支庁
助言H19.6.7A0106",北日本測地(株),"H19.6.18
H19.10.5"
北海道,"帯広市,",土地改良,"基準点,座標変換","3級,,2級","18point,6point","北海道十勝支庁
助言H19.6.7A0107",北王コンサルタント(株),"H19.6.5
H20.2.20"
北海道,"厚沢部町,",河川計画,"基準点,基準点","2級,,3級","4point,4point","北海道渡島支庁
助言H19.6.12A0108",北武コンサルタント(株),"H19.6.11
H19.12.20"
北海道,"夕張市,",河川計画,基準点,3級,3point,"北海道石狩支庁
助言H19.6.12A0109","ユニオンデーターシステム
(株)","H19.6.6
H19.8.30"
北海道,"雄武町,",農地開発,基準点,3級,78point,"網走開発建設部
助言H19.6.12A0110","太陽コンサルタンツ(株)
(株)三幸測量設計社
冨洋設計(株)
(株)イーェス総合研究所
サンスイコンサルタント(株)
(株)アルト技研","H19.5.31
H19.12.10"
北海道,"足寄町,",土地改良,基準点,3級,1point,"北海道十勝支庁
助言H19.6.12A0111",(有)スガワラ測量設計,"H19.5.28
H19.7.10"
北海道,"倶知安町,京極町,",河川計画,基準点,3級,42point,"北海道小樽土木現業所
助言H19.6.11A0112",和光技研(株),"H19.6.11
H19.12.20"
北海道,"深川市,",道路計画,基準点,3級,3point,"北海道石狩支庁
助言H19.6.12A0113",北武コンサルタント(株),"H19.6.11
H19.9.28"
北海道,"富良野市,",河川管理,基準点,3級,3point,"旭川開発建設部
助言H19.6.12A0114",都市計画(株),"H19.6.7
H19.8.10"
北海道,"月形町,",ほ場整備,基準点,3級,49point,"北海道空知支庁
助言H19.6.12A0115","(株)北海道農業建設コン
サルタント","H19.6.6
H19.11.5"
北海道,"中頓別町,",道路計画,"基準点,基準点","2級,,3級","2point,2point","北海道宗谷支庁
助言H19.6.12A0116",(株)開発調査研究所,"H19.6.6
H19.12.20"
北海道,"占冠村,",道路計画,"基準点,基準点,路線,平板","3級,,4級,,,,1000","3point,12point,1.3km,0.1KM2","北海道上川支庁
助言H19.6.15A0117",(株)アサヒ建設コンサルタント,"H19.6.5
H19.7.31"
北海道,"新ひだか町,",河川管理,"基準点,水準","１級,,3級","3point,9.8km","北海道室蘭土木現業所
助言H19.6.21A0118",(株)シン技術コンサル,"H19.6.19
H19.8.20"
北海道,"斜里町,",道路用地,基準点,3級,8point,"北海道網走支庁
助言H19.6.12A0119",(株)ムラコシ,"H19.4.13
H20.1.31"
北海道,"岩見沢市,",土地改良,"基準点,基準点","１級,,3級","2point,25point","北海道空知支庁
助言H19.6.12A0120",扇コンサル(株),"H19.6.7
H19.9.28"
北海道,"富良野市,",河川管理,"基準点,基準点","3級,,4級","17point,77point","旭川開発建設部
助言H19.6.12A0121",荒木測量設計(株),"H19.6.1
H20.2.8"
北海道,"帯広市,",土地改良,基準点,3級,3point,"北海道十勝支庁
助言H19.6.12A0122","(株)富士雄設計コンサルタ
ント","H19.6.7
H20.2.20"
北海道,"松前町,",海岸保全,基準点,１級,3point,"北海道渡島支庁
助言H19.6.12A0123",パブリックコンサルタント(株),"H19.6.7
H19.6.29"
北海道,"釧路市,",道路用地,基準点,2級,1point,"釧路市
助言H19.6.12A0124",東邦コンサルタント(株),"H19.6.7
H19.9.20"
北海道,"雨竜町,",土地改良,基準点,3級,56point,"北海道空知支庁
助言H19.6.14A0125",(株)空知コンサルタント,"H19.6.18
H20.2.28"
北海道,"芦別市,",土地改良,基準点,3級,40point,"北海道空知支庁
助言H19.6.14A0126",(株)協和コンサルタント,"H19.6.28
H20.2.28"
北海道,"函館市,",土地区画整理,"基準点,水準","3級,,3級","6point,6.0km","函館市石川中央土地区画整理
組合設立準備委員会
助言H19.6.14A0127",道農都市開発(株),"
H19.5.21

H20.3.30"
北海道,"小樽市,",砂防計画,"基準点,基準点","１級,,3級","3point,6point","北海道小樽土木現業所
助言H19.6.14A0128",(株)シン技術コンサル,"H19.6.8
H19.7.20"
北海道,"美幌町,",農道計画,"基準点,路線","3級,,500","2point,0.4km","北海道網走支庁
助言H19.6.15A0129",(株)中神土木設計事務所,"H19.6.8
H20.2.29"
北海道,"比布町,",河川用地,基準点,3級,4point,"北海道上川支庁
助言H19.6.14A0131",(株)松村測量設計,"H19.6.9
H19.10.10"
北海道,"中標津町,",道路用地,基準点,3級,4point,"北海道釧路支庁
助言H19.6.15A0132",(株)日建エンヂニアリング,"H19.6.9
H19.8.30"
北海道,"当別町,",土地改良,基準点,3級,7point,"北海道石狩支庁
助言H19.6.15A0133",(株)創生コンサルタント,"H19.6.9
H19.9.10"
北海道,"浜中町,",土地改良,"基準点,基準点,路線","3級,,4級,,","3point,22point,1.5km","釧路開発建設部
助言H19.6.15A0134",(株)アルト技研,"H19.5.21
H19.8.14"
北海道,"士別市,",道路計画,基準点,2級,4point,"旭川開発建設部
助言H19.6.15A0135",北海道測量事業協同組合,"H19.6.25
H19.10.15"
北海道,"旭川市,",河川管理,基準点,3級,17point,"旭川開発建設部
助言H19.6.15A0136",北海道測量事業協同組合,"H19.6.18
H19.12.12"
北海道,"今金町,",道路用地,基準点,１級,2point,"北海道渡島支庁
助言H19.6.15A0137",北海道土木設計(株),"H19.6.1
H19.7.30"
北海道,"ニセコ町,",土地改良,基準点,3級,3point,"北海道後志支庁
助言H19.6.22A0138",オオハシコンサルタント(株),"H19.5.28
H19.9.2"
北海道,"士別市,",河川管理,基準点,3級,2point,"旭川開発建設部
助言H19.6.21A0139",三共測量コンサルタント(株),"H19.5.31
H19.8.8"
北海道,"島牧村,",砂防計画,基準点,3級,4point,"北海道後志支庁
助言H19.6.18A0140",(株)アトラスェンヂニア,"H19.6.7
H19.7.30"
北海道,"大樹町,広尾町,",道路計画,"カラー撮影,数値図化","8000,,2500","94.1KM2,44.0KM2","帯広開発建設部
助言H19.6.18A0141",国際航業(株),"H19.5.30
H19.10.26"
北海道,"猿払村,",農道計画,基準点,3級,40point,"北海道宗谷支庁
助言H19.6.19A0142",(株)富士建設コンサル,"H19.5.31
H20.1.30"
北海道,"中標津町,",土地改良,"基準点,基準点","2級,,3級","17point,4point","北海道根室支庁
助言H19.6.19A0143",(株)日建エンヂニアリング,"H19.6.13
H19.12.19"
北海道,"別海町,",道路用地,"基準点,基準点","2級,,4級","1point,3point","北海道根室支庁
助言H19.6.19A0144",(株)イソジェック,"H19.6.13
H19.7.25"
北海道,"岩見沢市,",土地改良,基準点,3級,30point,"北海道空知支庁
助言H19.6.19A0145",(株)創生コンサルタント,"H19.6.14
H19.9.18"
北海道,"秩父別町,",土地改良,基準点,3級,28point,"北海道空知支庁
助言H19.6.19A0146",(株)ルーラルェンジニア,"H19.6.21
H19.12.20"
北海道,"八雲町,",土地改良,基準点,3級,3point,"北海道渡島支庁
助言H19.6.19A0147",(株)ルーラルェンジニア,"H19.6.18
H19.7.20"
北海道,"羅臼町,",道路台帳,基準点,3級,4point,"釧路開発建設部
助言H19.6.19A0148",北海道測量事業協同組合,"H19.6.14
H19.11.2"
北海道,"士別市,",道路用地,基準点,１級,2point,"士別市
助言H19.6.19A0149",(株)ランドプランニング,"H19.5.9
H19.10.9"
北海道,"上川町,",砂防計画,"基準点,基準点","3級,,4級","4point,18point","旭川開発建設部旭川河川事務所
助言H19.6.19A0150",(株)土木開発センター,"H19.5.31
H19.9.27"
北海道,"上川町,",河川管理,基準点,3級,9point,"旭川開発建設部
助言H19.6.22A0151",(株)ドボク管理,"H19.6.20
H19.9.3"
北海道,"占冠村,",道路計画,基準点,2級,4point,"旭川開発建設部
助言H19.6.22A0152",(株)アサヒ建設コンサルタント,"H19.6.28
H19.11.6"
北海道,"愛別町,",道路台帳,"カラー撮影,ディジタルオルソ,空三,写測図化,既成図数値化","8000,,1000,,1000,,1000,,1000","90.1KM2,56.5KM2,84M,5.2KM2,9.9KM2","愛別町
助言H19.6.22A0153",(株)GIS北海道,"H19.6.18
H20.3.28"
北海道,"北斗市,",土地改良,基準点,3級,12point,"北海道渡島支庁
助言H19.6.22A0154","北海道土地改良事業団体
連合会","H19.6.18
H19.8.31"
北海道,"美瑛町,",道路計画,基準点,4級,5point,"美瑛町
助言H19.6.22A0155",(株)富士建設コンサル,"H19.6.15
H19.10.30"
北海道,"枝幸町,",農地開発,基準点,3級,8point,"北海道宗谷支庁
助言H19.6.22A0156",やまざきコンサルタント(株),"H19.6.16
H19.12.20"
北海道,"標茶町,",道路用地,基準点,3級,4point,"北海道釧路支庁
助言H19.6.21A0157",小林技術コンサルタント(株),"H19.6.16
H19.9.20"
北海道,"中標津町,",道路用地,"基準点,基準点,基準点,座標変換","１級,,3級,,4級,,2級","1point,4point,12point,1point","北海道釧路支庁
助言H19.6.21A0158",岩浅測量設計(有),"H19.6.16
H19.9.20"
北海道,"美深町,",道路用地,基準点,2級,2point,"北海道旭川土木現業所
助言H19.6.21A0159",(株)アクセスフィールド,"H19.6.16
H19.9.12"
北海道,"旭川市,",河川管理,基準点,3級,3point,"旭川開発建設部
助言H19.6.21A0160",北路コムテック(株),"H19.6.22
H19.8.8"
北海道,"上川町,",道路台帳,"基準点,基準点","1級,,2級","6point,6point","旭川開発建設部
助言H19.6.21A0161",北海道測量事業協同組合,"H19.6.25
H19.12.26"
北海道,"名寄市,",土地改良,基準点,3級,22point,"北海道上川支庁
助言H19.6.22A0162",やまざきコンサルタント(株),"H19.6.16
H20.1.30"
北海道,"深川市,",砂防計画,基準点,3級,3point,"北海道石狩支庁
助言H19.6.22A0163",(有)西岡測量設計事務所,"H19.5.16
H19.8.20"
北海道,"余市町,",河川管理,基準点,3級,4point,"北海道後志支庁
助言H19.6.22A0164",島ロ測量設計(株),"H19.6.8
H19.8.30"
北海道,"更別村,",道路計画,基準点,3級,1point,"帯広開発建設部広尾道路事務所
助言H19.6.21A0165",平田技術コンサルタント(株),"H19.6.19
H19.8.30"
北海道,"猿払村,",道路用地,"基準点,基準点","１級,,2級","3point,3point","稚内開発建設部
助言H19.6.5A0166",北海道測量事業協同組合,"H19.6.1
H19.10.23"
