都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,計画機関,作業機関,自至時期,
熊本県,"湯前町,",治山事業計画,"航空レーザ,航空レーザ,航空レーザ,水準","航空レーザ計測,,グラウンドデータ作成,,グリッドデータ作成（1m）,,間接","31.8KM2,31.8KM2,31.8KM2,5point",助言H22.1.28I0388林野庁　九州森林管理局,国際航業(株),"H22.1.26
H22.3.10",
熊本県,"山鹿市,",砂防計画,"数値図化,ディジタルオルソ","2500,,2500","3.5KM2,3.5KM2",助言H22.1.28I0389熊本県　鹿本地域振興局,国際航業(株),"H22.1.22
H22.2.26",
熊本県,"水俣市,",砂防計画,"数値図化,ディジタルオルソ","2500,,2500","3.4KM2,3.4KM2",助言H22.2.1I0392熊本県　芦北地域振興局,朝日航洋(株),"H22.2.1
H22.3.26",
熊本県,"水上村,湯前町,多良木町,あさぎり町,錦町,山江村,人吉市,",防災計画,"航空レーザ,航空レーザ,航空レーザ,水準","航空レーザ計測,,グラウンドデータ作成,,グリッドデータ作成（1m）,,間接","670KM2,670KM2,670KM2,31point","助言H22.2.2I0396九州地方整備局　川辺川ダム
砂防事務所",国際航業(株),"H22.1.21
H22.3.26",
熊本県,"益城町,",下水道計画,"カラー撮影,同時調整,数値図化","5000,,5000,,500","15.5KM2,43point,1.1KM2",助言H22.2.16I0415熊本県　　益城町,(株)日航コンサルタント,"H22.2.4
H22.3.31",
大分県県境熊本県,"大分市,臼杵市,竹田市,豊後大野市,由布市,県境産山村,高森町,",河川管理,"航空レーザ,航空レーザ","グラウンドデータ作成,,グリッドデータ（5m)作成","1070KM2,1070KM2",助言H21.4.27I0011九州地方整備局　大分河川国,(株)パスコ,"H21.4.27
H21.10.30",
大分県,"杵築市,",都市計画,"カラー撮影,同時調整,ディジタルオルソ","地上画素寸法20㎝,,1107モデル,,2500","280KM2,280KM2,280KM2",助言H21.5.25I0030大分県　　杵築市,(株)パスコ,"H21.5.1
H21.12.25",
大分県,"由布市,",都市計画,"カラー撮影,同時調整,数値図化,ディジタルオルソ","10000,,10000,,2500,,2500","319.2KM2,319.2KM2,43.6KM2,319.2KM2",助言H21.6.4I0041大分県　　由布市,(株)パスコ,"H21.5.19
H21.11.30",
大分県,"中津市,",都市計画,"カラー撮影,同時調整,数値図化","12500,,12500,,2500","46KM2,44point,13KM2",助言H21.7.7I0077大分県,(株)パスコ,"H21.5.25
H21.12.18",
大分県,"日田市,",下水道計画,"カラー撮影,空三,数値図化,水準","4000,,,,500,,３級","3.5KM2,10Ｍ,0.4KM2,7.1km",助言H21.7.8I0078大分県　　日田市,東亜建設技術(株),"H21.5.30
H21.10.30",
大分県,"中津市,",道路台帳,基準点,３級,1point,"助言H21.7.24I0097九州地方整備局　大分河川国
道事務所","株式会社　日建コンサルタ
ント","H21.7.24
H22.3.19",
大分県,"中津市,",道路計画,"基準点,基準点,水準","２級,,３級,,３級","12point,15point,11km",助言H21.8.3I0109大分県中津土木事務所,大分技術開発株式会社,"H21.8.3
H21.10.10",
大分県,"中津市,宇佐市,",道路計画,"座標変換,座標変換","２級,,３級","2point,12point","助言H21.8.6I0130九州地方整備局大分河川国
道事務所","株式会社日建コンサルタン
ト","H21.5.27
H23.3.19",
大分県,"杵築市,",都市計画,数値図化,2500,50.2KM2,助言H21.8.21I0144大分県　　杵築市,(株)パスコ,"H21.8.18
H22.1.29",
大分県,"竹田市,",砂防計画,"航空レーザ,航空レーザ,航空レーザ,カラー撮影,同時調整","計測,,グラウンドデータ,,グリッドデータ（2m）,,10000,,10000","16.3KM2,16.3KM2,16.3KM2,16.3KM2,16.3KM2",助言H21.9.3I0162大分県　玖珠土木事務所,(株)パスコ,"H21.8.10
H22.3.15",
大分県,"臼杵市,",都市計画,"カラー撮影,同時調整,数値図化","12500,,,,2500","150KM2,71point,50KM2",助言H21.9.7I0181大分県　　臼杵市,(株)パスコ,"H21.8.18
H22.3.25",
大分県,"豊後高田市,",総合計画,基準点,３級,34point,助言H21.9.14I0199豊後高田市,"九豊コンサルタント株式会
社","H21.7.28
H22.3.15",
大分県,"中津市,日田市,",道路計画,"カラー撮影,空三,数値図化","10000,,,,1000","55KM2,26Ｍ,3KM2",助言H21.9.17I0203大分県　日田土木事務所,(株)日建技術コンサルタント,"H21.9.18
H21.11.20",
大分県,"佐伯市,",道路台帳,基準点,３級,11point,"助言H21.9.18I0205九州地方整備局　佐伯河川国
道事務所","九州建設コンサルタント　株
式会社","H21.7.16
H21.12.25",
大分県,"大分市,",定期縦横断測量,水準,３級,22.3km,"助言H21.11.4I0267九州地方整備局　大分河川国
道事務所","九州建設コンサルタント株
式会社","H21.11.4
H22.3.23",
大分県,"大分市,",河川管理,基準点,３級,23point,"助言H21.11.4I0268九州地方整備局　大分河川国
道事務所","九州建設コンサルタント株
式会社","H21.11.4
H22.3.23",
大分県,"大分市,",河川管理,"基準点,水準","３級,,３級","18point,10.8km","助言H21.11.16I0298九州地方整備局　大分河川国
道事務所",九建設計株式会社,"H21.11.16
H22.3.23",
大分県,"豊後大野市,",水準点の移転,その他,３級水準点　移転,2point,"助言H21.12.4I0325九州地方整備局　大分河川国
道事務所","株式会社中九州コンサルタ
ント","H21.3.6
H22.1.29",
大分県,"別府市,",道路台帳,"既成図数値化,座標変換","1000,,1000","3.3KM2,214point",助言H21.12.4I0326大分県　　別府市,国際航業(株),"H21.11.24
H23.3.25",
大分県,"別府市,",港湾計画,"基準点,基準点,水準","３級,,3級改測,,３級","4point,15point,5.7KM2","助言H21.12.24I0342九州地方整備局　別府港湾・
空港整備事務所","復建調査設計株式会社
大分事務所","H21.12.24
H22.2.15",
大分県県境福岡県,"中津市,玖珠町,県境吉富町,上毛町,",河川管理,"航空レーザ,航空レーザ","グラウンドデータ作成,,グリッドデータ作成（５ｍ）","292KM2,292KM2",助言H22.1.5I0357九州地方整備局　山国川河川,大成ジオテック(株),"H21.12.28
H21.12.28",
大分県,"宇佐市,",都市計画,"数値撮影,同時調整,ディジタルオルソ","地上画素寸法20㎝,,2500,,2500","439.1KM2,439.1KM2,439.1KM2",助言H22.3.8I0443大分県　　宇佐市,(株)パスコ,"H22.3.3
H22.3.31",
大分県,"日田市,",道路計画,数値図化,2500,11.3KM2,助言H22.3.16I0453大分県　日田土木事務所,(株)パスコ,"H22.3.8
H22.3.30",
