都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,測量計画機関（助言番号）,測量作業機関,実施時期
愛知県,"西尾市,",都市計画,"基準点測量,基準点測量,基準点測量","２級,,３級,,４級","1point,3point,46point","愛知県西尾市 
助言　　　H27.8.18  E0107","愛知県経済農業協同組
合連合会","H27.8.12 
H28.2.25"
愛知県,"美浜町,",道路管理,修正測量,1000,1.42km,"愛知県美浜町 
助言　　　H27.8.17  E0108","中日本航空測量株式会
社","H27.9.1 
H28.3.10"
愛知県,"東郷町,",道路管理,修正測量,1000,"0.13KM2,2.52km","愛知県愛知郡東郷町 
助言　　　H27.8.17  E0109","中日本航空測量株式会
社","H27.8.18 
H28.3.16"
愛知県,"東郷町,",固定資産,数値撮影(デジタル),10,18.03KM2,"愛知県東郷町 
助言　　　H27.8.24  E0111",アジア航測株式会社,"H27.6.25 
H28.3.14"
愛知県,"飛島村,",河川計画,航空レーザ測量,500,9.79KM2,"愛知県海部建設事務所長 
助言　　　H27.8.31  E0119",中日本航空株式会社,"H27.7.24 
H28.1.29"
愛知県,"名古屋市,",基準点管理,"基準点測量,水準測量","１級,,１級","1point,3.9km","愛知県名古屋市 
助言　　　H27.9.2  E0120","株式会社大増コンサルタ
ンツ","H27.9.1 
H28.3.22"
愛知県,"小牧市,",その他,"基準点測量,基準点測量","２級,,３級","1point,3point","愛知県尾張建設事務所 
助言　　　H27.9.2  E0122",株式会社中部テック,"H27.8.7 
H28.3.18"
愛知県,"愛西市,",道路計画,"基準点測量,基準点測量","２級,,３級","1point,3point","愛知県愛西市 
助言　　　H27.9.4  E0125","中日本航空測量株式会
社","H27.8.28 
H28.3.16"
愛知県,"新城市,",土地改良,"基準点測量,基準点測量","２級,,３級","1point,2point","愛知県新城設楽農林水産事務
所 
助言　　　H27.9.10  E0132","愛知県土地改良事業団
体連合会","H27.9.15 
H28.3.7"
愛知県,"あま市,",道路管理,修正測量,1000,5.16KM2,"愛知県あま市 
助言　　　H27.9.15  E0133",アジア航測株式会社,"H27.8.20 
H28.3.26"
愛知県,"豊根村,東栄町,設楽町,新城市,",砂防計画,同時調整,2500,280KM2,"愛知県新城設楽建設事務所 
助言　　　H27.9.15  E0136",中日本航空株式会社,"H27.7.16 
H28.3.18"
愛知県,"阿久比町,",道路管理,修正測量,500,0.28KM2,"愛知県阿久比町 
助言　　　H27.9.30  E0140","中日本航空測量株式会
社","H27.9.15 
H28.3.16"
愛知県,"犬山市,",その他,"基準点測量,基準点測量","３級,,４級","8point,100point","愛知県尾張水道事務所 
助言　　　H27.10.1  E0145","新晃コンサルタント株式
会社","H27.8.22 
H28.3.15"
愛知県,"碧南市,高浜市,",その他,"基準点測量,水準測量,基準点測量","３級,,３級,,４級","5point,7point,28point","愛知県 
助言　　　H27.10.1  E0146",株式会社テイコク,"H27.8.21 
H28.2.29"
愛知県,"春日井市,",都市計画,"基準点測量,基準点測量","２級,,３級","8point,8point","愛知県尾張建設事務所 
助言　　　H27.10.1  E0149","ニチイコンサルタント株式
会社","H27.10.1 
H28.3.18"
愛知県,"一宮市,",道路管理,修正測量,1000,48.61km,"愛知県一宮市 
助言　　　H27.10.1  E0151",国際航業株式会社,"H27.9.4 
H28.3.24"
愛知県,"常滑市,",道路管理,修正測量,1000,"1.57KM2,31.5km","愛知県常滑市 
助言　　　H27.10.7  E0154","中日本航空測量株式会
社","H27.10.5 
H28.2.26"
愛知県,"岡崎市,",その他,用地測量,,0.0182KM2,"愛知県岡崎市 
助言　　　H27.10.6  E0159",有限会社第一設計,"H27.9.10 
H28.1.29"
愛知県,"蟹江町,",道路計画,"基準点測量,基準点測量","３級,,４級","3point,8point","愛知県海部建設事務所 
助言　　　H27.10.6  E0160",株式会社愛河調査設計,"H27.10.2 
H28.2.29"
愛知県,"名古屋市,",地盤変動調査,水準測量,１級,164km,"愛知県名古屋市 
助言　　　H27.10.8  E0162",株式会社ＭＳＳ,"H27.10.15 
H28.3.31"
愛知県,"豊山町,清須市,知立市,小牧市,豊田市,春日井市,瀬戸市,一宮市,岡崎市,名古屋市,",道路管理,"MMS計測,修正測量","500,,500","5.21km,0.52KM2","中部地方整備局名古屋国道事
務所 
助言　　　H27.10.9  E0163","株式会社日建技術コン
サルタント","H27.9.8 
H28.3.25"
愛知県,"幸田町,西尾市,",砂防計画,数値図化,2500,2.04KM2,"愛知県西三河建設事務所 
助言　　　H27.10.14  E0164","株式会社日建技術コン
サルタント","H26.9.25 
H28.1.30"
愛知県,"江南市,",総合計画,"数値撮影(デジタル),同時調整,写真地図作成(デジタルオルソ)","12,,1000,,1000","30.2KM2,32.35km,30.2KM2,30.2KM2","愛知県江南市 
助言　　　H27.10.14  E0165",アジア航測株式会社,"H27.9.15 
H28.3.25"
愛知県,"江南市,",道路管理,修正測量,1000,"1.08KM2,30.98km","愛知県江南市 
助言　　　H27.10.14  E0166   ",アジア航測株式会社,"H27.10.5 
H28.3.16"
