都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,計画機関,作業機関,自至時期
北海道,"上川町,",道路計画,基準点,１級,4point,助言H20.4.15A0001北海道上川支庁,北海道土木設計(株),"H20.4.25
H20.7.31"
北海道,"日高町,",道路計画,"基準点,基準点","２級,,３級","2point,5point",助言H20.4.18A0002北海道胆振支庁,アルファ計画(株),"H20.4.22
H20.5.20"
北海道,"和寒町,",河川計画,基準点,３級,2point,助言H20.4.18A0003北海道上川支庁,新栄コンサルタント(株),"H20.4.10
H20.8.20"
北海道,"江別市,新篠津村,岩見沢市,月形町,美唄市,浦臼町,奈井江町,砂川市,新十津川町,滝川市,雨竜町,深川市,妹背牛町,",河川計画,"空三,水準,数値図化","25000,,簡級,,5000","50M,129.6km,361.5KM2",助言H20.4.28A0004石狩川開発建設部,(株)シン技術コンサル,"H20.4.8
H21.1.30"
北海道,"標茶町,弟子屈町,",河川計画,数値図化,2500,41.9KM2,助言H20.5.9A0005釧路開発建設部,日測技研(株),"H20.4.11
H20.10.31"
北海道,"美瑛町,",農道計画,"基準点,基準点,路線","３級,,４級,,","2point,5point,0.3km",助言H20.5.1A0006美瑛町,(株)アサヒ建設コンサルタント,"H20.4.21
H20.8.29"
北海道,"厚真町,",道路計画,基準点,３級,2point,助言H20.5.1A0007厚真町,ダイシン設計(株),"H20.4.26
H20.7.31"
北海道,"函館市,",土地区画整理,"基準点,平板","４級,,500","35point,0.1KM2",助言H20.5.1A0008函館市戸倉土地区画整理組合,(株)竹田測量設計,"H20.5.12
H20.8.20"
北海道,"更別村,",農道計画,基準点,３級,11point,助言H20.5.1A0009北海道十勝支庁,東和工研(株),"H20.4.26
H20.12.19"
北海道,"当別町,",土地改良,基準点,３級,1point,助言H20.5.1A0010北海道石狩支庁,明成コンサルタント(株),"H20.4.24
H20.10.20"
北海道,"秩父別町,",土地改良,基準点,３級,15point,助言H20.5.13A0011北海道空知支庁,(株)グリーン測量,"H20.5.2
H21.3.10"
北海道,"せたな町,",土地改良,基準点,３級,3point,助言H20.5.13A0012北海道檜山支庁,"内外エンジニアリング北海道
(株)","H20.4.25
H20.9.30"
北海道,"江別市,",土地改良,基準点,３級,9point,助言H20.5.16A0013北海道石狩支庁,(株)田西設計コンサル,"H20.5.12
H20.8.30"
北海道,"今金町,",河川用地,"基準点,基準点","１級,,３級","2point,1point",助言H20.5.16A0014北海道渡島支庁,道南測量設計(株),"H20.4.29
H20.7.10"
北海道,"美深町,",土地改良,"基準点,基準点","１級,,３級","2point,21point",助言H20.5.16A0015北海道上川支庁,(株)ルーラルエンジニア,"H20.5.8
H21.1.30"
北海道,"共和町,",土地改良,基準点,３級,2point,助言H20.5.16A0016北海道後志支庁,(株)香島コンサルタント,"H20.5.10
H21.2.10"
北海道,"帯広市,",土地改良,基準点,３級,8point,助言H20.5.16A0017北海道十勝支庁,(株)ズコーシャ,"H20.5.10
H21.2.20"
北海道,"浦幌町,",土地改良,"基準点,路線","３級,,","20point,2.8km",助言H20.5.16A0018北海道十勝支庁,(株)富士雄設計コンサルタント,"H20.5.10
H20.6.2"
北海道,"北斗市,",道路計画,"基準点,座標変換","２級,,２級","4point,1point",助言H20.5.16A0019函館開発建設部函館道路事務所,(株)東鵬開発,"H20.5.9
H20.6.4"
北海道,"共和町,",道路用地,基準点,３級,2point,助言H20.5.16A0020共和町,(株)極東コンサルタント,"H20.5.15
H20.7.30"
北海道,"新十津川町,",土地改良,基準点,３級,82point,助言H20.5.16A0021北海道空知支庁,(株)北開測地,"H20.5.9
H21.3.2"
北海道,"幕別町,",土地改良,基準点,３級,6point,助言H20.5.16A0022北海道十勝支庁,(株)田中測量設計,"H20.5.3
H21.2.10"
北海道,"美瑛町,",農道計画,基準点,３級,3point,助言H20.5.23A0023美瑛町,旭川設計測量(株),"H20.4.10
H20.8.29"
北海道,"剣淵町,",土地改良,基準点,３級,38point,助言H20.5.23A0024北海道上川支庁,(株)アサヒ建設コンサルタント,"H20.5.20
H20.11.28"
北海道,"せたな町,今金町,長万部町,八雲町,上ノ国町,松前町,福島町,木古内町,浦河町,様似町,えりも町,広尾町,新ひだか町,知内町,",森林計画,撮影,20000,4190KM2,助言H20.5.23A0025北海道,"北海航測(株)
アジア航測(株)","H20.6.1
H20.11.21"
北海道,"夕張市,",河川管理,基準点,３級,2point,助言H20.5.23A0026北海道札幌土木現業所,(株)北海道技術コンサルタント,"H20.3.14
H20.8.20"
北海道,"共和町,",ほ場整備,基準点,３級,1point,助言H20.5.23A0027北海道後志支庁,北海航測(株),"H20.5.15
H20.7.31"
北海道,"京極町,",土地改良,基準点,３級,6point,助言H20.5.23A0028北海道後志支庁,(株)田西設計コンサル,"H20.5.1
H21.1.20"
北海道,"千歳市,",地籍整備,基準点,３級,4point,助言H20.5.23A0029千歳市,(株)池田測量設計,"H20.5.17
H20.10.31"
北海道,"寿都町,",河川管理,基準点,３級,2point,助言H20.5.28A0030北海道後志支庁,(株)開発調査研究所,"H20.5.22
H21.2.20"
北海道,"帯広市,",土地改良,"基準点,座標変換","３級,,２級","12point,4point",助言H20.5.28A0031北海道十勝支庁,平田技術コンサルタント(株),"H20.5.20
H20.6.10"
北海道,"七飯町,",都市計画,"数値撮影,ディジタルオルソ,数値図化","20cm,,2500,,2500","357KM2,265.4KM2,48.1KM2",助言H20.6.3A0032七飯町,(株)GIS北海道,"H20.4.28
H21.3.10"
北海道,"別海町,",農道計画,"基準点,縦横断","２級,,1000","7point,3.4KM2",助言H20.5.28A0033北海道根室支庁,小林技術コンサルタント(株),"H20.5.1
H21.1.30"
北海道,"弟子屈町,",農道計画,"基準点,座標変換,平板","３級,,３級,,1000","21point,2point,0.2KM2",助言H20.5.28A0034北海道釧路支庁,山下コンサルタント(株),"H20.5.26
H21.2.20"
北海道,"中川町,音威子府村,美深町,",河川管理,"基準点,基準点","３級,,４級","15point,51point",助言H20.5.28A0035旭川開発建設部,(株)ランドプランニング,"H20.5.1
H20.10.20"
北海道,"蘭越町,",土地改良,基準点,３級,2point,助言H20.5.28A0036北海道後志支庁,(株)帝国設計事務所,"H20.5.1
H20.7.30"
北海道,"深川市,",土地改良,基準点,３級,19point,助言H20.5.28A0037北海道空知支庁,(株)ルーラルエンジニア,"H20.5.22
H21.3.19"
北海道,"壮瞥町,",道路計画,"基準点,路線",２級,"4point,1.6km",助言H20.5.28A0038北海道胆振支庁,(株)シビテック,"H20.5.22
H20.11.30"
北海道,"富良野市,",土地改良,基準点,３級,11point,助言H20.5.28A0039北海道上川支庁,北海航測(株),"H20.5.25
H20.8.31"
北海道,"中標津町,",土地改良,"基準点,縦横断","３級,,1000","6point,68.3km",助言H20.5.28A0040北海道根室支庁,山下コンサルタント(株),"H20.5.22
H21.3.19"
北海道,"富良野市,",土地改良,基準点,３級,15point,助言H20.5.28A0041北海道上川支庁,新栄コンサルタント(株),"H20.4.25
H21.2.10"
北海道,"登別市,",下水道計画,"基準点,水準","３級,,３級","3point,3point",助言H20.6.4A0042登別市,(有)サポート・プランニング,"H20.5.23
H20.9.30"
北海道,"幌延町,",道路計画,基準点,３級,1point,助言H20.5.28A0043北海道留萌支庁,小杉測量設計(株),"H20.4.25
H20.9.30"
北海道,"遠別町,",農道計画,基準点   ,３級,13point,助言H20.5.28A0044北海道留萌支庁,(株)帝国設計事務所,"H20.5.23
H21.3.10"
北海道,"別海町,",農道計画,基準点,２級,2point,助言H20.5.28A0045北海道根室支庁,(株)津村測量設計,"H20.5.23
H20.9.30"
北海道,"深川市,妹背牛町,",土地改良,基準点,３級,34point,助言H20.5.28A0046北海道空知支庁,技研測量設計(株),"H20.5.23
H21.3.19"
北海道,"由仁町,",土地改良,基準点,３級,22point,助言H20.7.16A0047北海道空知支庁,北日本技研(株),"H20.5.23
H21.1.30"
北海道,"由仁町,",土地改良,基準点,３級,26point,助言H20.5.30A0048北海道空知支庁,"(株)北海道農業建設コンサルタ
ント","H20.5.23
H20.8.29"
北海道,"富良野市,",土地改良,基準点,３級,20point,助言H20.5.30A0049北海道上川支庁,(株)香島コンサルタント,"H20.5.23
H21.2.20"
北海道,"中札内村,幕別町,",道路計画,"基準点,路線","４級,,","25point,10.3km",助言H20.6.4A0050帯広開発建設部帯広道路事務所,"北海道測量事業協同組合
(株)土木技術コンサルタント","H20.5.26
H20.12.20"
北海道,"雄武町,",土地改良,基準点,２級,1point,助言H20.6.4A0051北海道網走支庁,(株)アラソフトウェア,"H20.5.28
H20.8.8"
北海道,"函館市,",道路計画,"基準点,基準点","２級,,３級","1point,1point",助言H20.6.4A0052北海道渡島支庁,(株)東鵬開発,"H20.5.27
H20.6.30"
北海道,"新ひだか町,",河川計画,基準点,１級,4point,助言H20.6.4A0053北海道室蘭土木現業所,新和測量(株),"H20.5.14
H20.12.22"
北海道,"芽室町,",農地開発,基準点,３級,3point,助言H20.6.4A0054北海道十勝支庁,大開技術コンサルタント(株),"H20.5.28
H20.7.30"
北海道,"名寄市,",河川管理,基準点,３級,4point,助言H20.6.4A0055旭川開発建設部,三共測量コンサルタント(株),"H20.5.15
H20.7.23"
北海道,"富良野市,",河川管理,基準点,３級,11point,助言H20.6.4A0056旭川開発建設部,(株)ネクシス光洋,"H20.6.6
H20.10.1"
北海道,"美瑛町,",道路計画,基準点,３級,3point,助言H20.6.4A0057美瑛町,(株)日興ジオテック,"H20.6.2
H20.6.30"
北海道,"根室市,",土地改良,"数値図化,空三","10000,,","185KM2,43M",助言H20.6.4A0058釧路開発建設部,(株)北海道朝日航洋,"H20.5.16
H20.9.26"
北海道,"新十津川町,",土地改良,"基準点,基準点","１級,,３級","5point,10point",助言H20.6.4A0059北海道空知支庁,扇コンサル(株),"H20.4.21
H21.3.10"
北海道,"旭川市,比布町,愛別町,",河川管理,基準点,３級,19point,助言H20.6.4A0060旭川開発建設部,スミセキ・ジオテクノ(株),"H20.4.24
H20.9.30"
北海道,"斜里町,",土地改良,基準点,３級,18point,助言H20.6.5A0061北海道網走支庁,(有)網走測量設計社,"H20.4.30
H20.9.30"
北海道,"釧路市,",道路用地,基準点,３級,2point,助言H20.6.25A0062北海道釧路支庁,(有)渋谷測量社,"H20.5.29
H20.7.31"
北海道,"札幌市,",道路管理,"基準点,路線","４級,,","27point,1.8km",助言H20.6.5A0063札幌開発建設部札幌道路事務所,(株)土木技術コンサルタント,"H20.6.1
H20.12.5"
北海道,"札幌市,",道路管理,"基準点,路線","４級,,","20point,1.3km",助言H20.6.5A0064札幌開発建設部札幌道路事務所,北成コンサルタント(株),"H20.6.2
H20.12.5"
北海道,"南幌町,",土地改良,基準点,３級,31point,助言H20.6.5A0065北海道空知支庁,ダイシン設計(株),"H20.5.30
H20.6.20"
北海道,"南幌町,",土地改良,基準点,３級,20point,助言H20.6.5A0066北海道空知支庁,(株)ルーラルエンジニア,"H20.4.21
H21.1.30"
北海道,"網走市,大空町,",砂防計画,"基準点,水準","３級,,３級","3point,1point",助言H20.6.5A0067北海道網走支庁,エイコー技研(株),"H20.6.3
H20.9.30"
北海道,"枝幸町,",農道計画,基準点,３級,26point,助言H20.6.5A0068北海道宗谷支庁,やまざきコンサルタント(株),"H20.6.3
H20.12.10"
北海道,"厚岸町,",道路計画,基準点,３級,29point,助言H20.6.9A0069北海道釧路支庁,東邦コンサルタント(株),"H20.5.15
H20.12.10"
北海道,"新得町,",砂防計画,"基準点,基準点","３級,,４級","16point,40point",助言H20.6.9A0070北海道十勝支庁,野外科学(株),"H20.5.30
H20.8.20"
北海道,"礼文町,",道路計画,基準点,３級,2point,助言H20.6.9A0071北海道宗谷支庁,(株)開発調査研究所,"H20.6.3
H20.11.20"
北海道,"旭川市,美瑛町,",河川管理,基準点,３級,16point,助言H20.6.9A0072旭川開発建設部,(株)アサヒ建設コンサルタント,"H20.5.29
H20.11.19"
北海道,"東川町,",土地改良,基準点,３級,20point,助言H20.6.10A0073北海道上川支庁,(株)みずほ栄設計,"H20.6.4
H21.3.19"
北海道,"東川町,",土地改良,基準点,３級,34point,助言H20.6.10A0074北海道上川支庁,新栄コンサルタント(株),"H20.6.4
H20.10.31"
北海道,"中標津町,",道路計画,"基準点,基準点","２級,,３級","3point,4point",助言H20.6.10A0075中標津町,(有)伊藤測量事務所,"H20.5.30
H20.8.29"
北海道,"雨竜町,",道路計画,基準点,３級,1point,助言H20.6.10A0076札幌開発建設部深川道路事務所,(株)アークス山上,"H20.5.29
H21.3.25"
北海道,"釧路市,",道路管理,基準点,１級,1point,助言H20.6.10A0077釧路開発建設部釧路道路事務所,太平洋総合コンサルタント(株),"H20.6.10
H20.7.10"
北海道,"伊達市,",海岸保全,基準点,３級,3point,助言H20.6.10A0078北海道胆振支庁,藤田測量(株),"H20.5.28
H20.7.31"
北海道,"上ノ国町,",道路管理,基準点,３級,2point,助言H20.6.10A0079上ノ国町,和光技研(株),"H20.6.10
H20.7.31"
北海道,"札幌市,",河川管理,水準,３級,3point,助言H20.6.10A0080札幌市,(株)山調住建コンサルタント,"H20.6.13
H20.11.30"
北海道,"釧路市,",河川計画,基準点,３級,2point,助言H20.6.11A0081北海道釧路土木現業所,共和コンサルタント(株),"H20.6.15
H20.6.30"
北海道,"本別町,",道路計画,基準点,３級,2point,助言H20.6.11A0082北海道十勝支庁,ダイシン設計(株),"H20.6.7
H20.8.29"
北海道,"滝川市,",都市再生街区基本調査,基準点,街区点,0.8KM2,助言H20.6.11A0083土地･水資源局国土調査課,技研測量(株),"H20.9.12
H21.2.17"
北海道,"旭川市,",都市再生街区基本調査,基準点,街区点,0.5KM2,助言H20.6.11A0084土地･水資源局国土調査課,日測技研(株),"H20.6.25
H21.2.9"
北海道,"旭川市,",都市再生街区基本調査,基準点,街区点,0.7KM2,助言H20.6.11A0085土地･水資源局国土調査課,東邦コンサルタント(株),"H20.9.12
H21.2.13"
北海道,"旭川市,",都市再生街区基本調査,基準点,街区点,0.6KM2,助言H20.6.11A0086土地･水資源局国土調査課,(株)共和コンサルタント,"H20.9.12
H21.2.23"
北海道,"旭川市,",都市再生街区基本調査,基準点,街区点,0.5KM2,助言H20.6.11A0087土地･水資源局国土調査課,(株)アサヒ建設コンサルタント,"H20.9.8
H21.2.9"
北海道,"旭川市,",都市再生街区基本調査,基準点,街区点,1.1KM2,助言H20.6.11A0088土地･水資源局国土調査課,(株)国策測量設計,"H20.6.25
H21.2.9"
北海道,"旭川市,",都市再生街区基本調査,基準点,街区点,0.8KM2,助言H20.6.11A0089土地･水資源局国土調査課,イズム・日興共同企業体,"H20.9.12
H21.2.13"
北海道,"旭川市,",都市再生街区基本調査   ,基準点,街区点,0.7KM2,助言H20.6.11A0090土地･水資源局国土調査課,(株)ダイイチプランニング,"H20.9.16
H21.2.24"
北海道,"旭川市,",都市再生街区基本調査,基準点,街区点,0.7KM2,助言H20.6.11A0091土地･水資源局国土調査課,イズム・日興共同企業体,"H20.9.12
H21.3.3"
北海道,"旭川市,",都市再生街区基本調査,基準点,街区点,0.6KM2,助言H20.6.11A0092土地･水資源局国土調査課,(株)日豊,"H20.9.10
H21.2.17"
北海道,"苫小牧市,",都市再生街区基本調査,基準点,街区点,0.7KM2,助言H20.6.11A0093土地･水資源局国土調査課,スミセキ・ジオテクノ(株),"H20.9.30
H21.3.6"
北海道,"苫小牧市,",都市再生街区基本調査,基準点,街区点,0.7KM2,助言H20.6.11A0094土地･水資源局国土調査課,ユニオン・タケカワ共同企業体,"H20.9.30
H21.3.12"
北海道,"苫小牧市,",都市再生街区基本調査,基準点,街区点,0.7KM2,助言H20.6.11A0095土地･水資源局国土調査課,(株)タナカコンサルタント,"H20.9.16
H21.3.24"
北海道,"苫小牧市,",都市再生街区基本調査,基準点,街区点,0.7KM2,助言H20.6.11A0096土地･水資源局国土調査課,"苫測・トータル・日胆共同企業
体","H20.9.30
H21.3.24"
北海道,"苫小牧市,",都市再生街区基本調査,基準点,街区点,0.6KM2,助言H20.6.11A0097土地･水資源局国土調査課,高崎共同企業体,"H20.9.30
H21.3.3"
北海道,"苫小牧市,",都市再生街区基本調査,基準点,街区点,0.8KM2,助言H20.6.11A0098土地･水資源局国土調査課,北王コンサルタント(株),"H20.9.17
H21.3.24"
北海道,"旭川市,",都市再生街区基本調査,基準点,街区点,0.8KM2,助言H20.6.11A0099土地･水資源局国土調査課,(株)富士建設コンサル,"H20.9.16
H21.2.26"
北海道,"旭川市,",都市再生街区基本調査,基準点,街区点,0.8KM2,助言H20.6.11A0100土地･水資源局国土調査課,(株)ズコーシャ,"H20.9.11
H21.3.6"
北海道,"旭川市,",都市再生街区基本調査,基準点,街区点,0.6KM2,助言H20.6.11A0101土地･水資源局国土調査課,(株)シン技術コンサル,"H20.9.11
H21.2.20"
北海道,"旭川市,",都市再生街区基本調査,基準点,街区点,0.6KM2,助言H20.6.11A0102土地･水資源局国土調査課,旭川・東光共同企業体,"H20.9.10
H21.2.24"
北海道,"旭川市,",都市再生街区基本調査,基準点,街区点,0.7KM2,助言H20.6.11A0103土地･水資源局国土調査課,新栄コンサルタント(株),"H20.9.10
H21.3.17"
北海道,"旭川市,",河川管理,基準点,３級,1point,助言H20.6.11A0104旭川開発建設部,植田測量(株),"H20.6.9
H20.7.17"
北海道,"函館市,",都市計画,"数値撮影,ディジタルオルソ","20cm,,2500","379.8KM2,379.8KM2",助言H20.6.11A0105函館市,(株)GIS北海道,"H20.5.29
H21.1.30"
北海道,"訓子府町,",土地改良,基準点,３級,6point,助言H20.6.11A0106北海道網走支庁,"内外エンジニアリング北海道
(株)","H20.6.16
H20.8.29"
北海道,"小平町,",道路計画,"基準点,基準点","１級,,３級","2point,3point",助言H20.6.11A0107北海道留萌支庁,北海道土木設計(株),"H20.6.12
H20.7.31"
北海道,"奥尻町,",道路用地,基準点,３級,2point,助言H20.6.12A0108北海道渡島支庁,(株)ツカサ技研,"H20.6.10
H20.9.25"
北海道,"別海町,",農道計画,基準点,３級,34point,助言H20.6.12A0109北海道根室支庁,北王コンサルタント(株),"H20.6.10
H21.3.10"
北海道,"南幌町,",土地改良,"基準点,基準点","３級,,４級","26point,77point",助言H20.6.12A0110北海道空知支庁,明和測量工業(株),"H20.5.27
H21.3.2"
北海道,"南幌町,",土地改良,"基準点,基準点","３級,,４級","33point,98point",助言H20.6.12A0111北海道空知支庁,拓新エンジニア(株),"H20.5.27
H21.3.2"
北海道,"函館市,",河川計画,"基準点,基準点","１級,,３級","1point,23point",助言H20.7.18A0112北海道渡島支庁,(株)アルファ水工コンサルタンツ,"H20.6.11
H20.9.30"
北海道,"音更町,",土地改良,"基準点,路線","３級,,","3point,1.1km",助言H20.6.16A0113音更町,(株)北開水工コンサルタント,"H20.6.11
H20.11.28"
北海道,"名寄市,",土地改良,"路線,平板",",,1000","1.3km,0.1KM2",助言H20.6.16A0114北海道上川支庁,技研測量設計(株),"H20.6.16
H20.12.10"
北海道,"名寄市,",砂防計画,基準点,３級,2point,助言H20.6.17A0115北海道上川支庁,三共測量コンサルタント(株),"H20.6.10
H20.10.9"
北海道,"石狩市,",道路用地,基準点,３級,2point,助言H20.6.17A0116札幌開発建設部,(株)ユニオン・コンサルタント,"H20.6.18
H20.8.5"
北海道,"更別村,",土地改良,基準点,３級,18point,助言H20.6.17A0117北海道十勝支庁,(株)ズコーシャ,"H20.6.12
H21.2.20"
北海道,"浜中町,",土地改良,基準点,３級,1point,助言H20.6.17A0118釧路開発建設部,サンスイコンサルタント(株),"H20.6.11
H20.9.30"
北海道,"猿払村,",港湾計画,基準点,３級,2point,助言H20.6.19A0119北海道宗谷支庁,パブリックコンサルタント(株),"H20.6.12
H21.3.19"
北海道,"札幌市,",河川用地,水準,３級,2point,助言H20.6.19A0120札幌市,日測技研(株),"H20.6.23
H20.7.25"
北海道,"旭川市,",河川管理,基準点,３級,4point,助言H20.6.19A0121旭川開発建設部,大成測量設計(株),"H20.6.16
H20.8.22"
北海道,"鷹栖町,",河川管理,基準点,３級,5point,助言H20.6.19A0122旭川開発建設部,都市計画(株),"H20.6.16
H20.8.26"
北海道,"北斗市,",土地改良,基準点,３級,3point,助言H20.6.19A0123函館開発建設部,スミセキ・ジオテクノ(株),"H20.5.21
H20.9.2"
北海道,"妹背牛町,",土地改良,"基準点,基準点","３級,,４級","14point,40point",助言H20.6.19A0124北海道空知支庁,嵯峨測量設計(株),"H20.6.23
H21.3.2"
北海道,"共和町,",土地改良,"基準点,路線","３級,,","6point,1.5km",助言H20.6.19A0125北海道後志支庁,(株)アース設計事務所,"H20.6.4
H21.2.27"
北海道,"鶴居村,",農地開発,基準点,３級,9point,助言H20.6.19A0126釧路開発建設部,(株)小出コンサルタント,"H20.6.11
H20.11.28"
北海道,"幌延町,",土地改良,"基準点,基準点","３級,,４級","2point,14point",助言H20.6.20A0127北海道留萌支庁,留萌測量設計(株),"H20.6.23
H20.7.30"
北海道,"せたな町,",道路防災,"基準点,基準点","１級,,３級","2point,2point",助言H20.6.20A0128北海道渡島支庁,川端測量設計(株),"H20.6.17
H20.8.29"
北海道,"せたな町,",地すべり対,"基準点,基準点","１級,,３級","2point,12point",助言H20.6.20A0129北海道渡島支庁,(株)玉川測量設計事務所,"H20.6.17
H20.7.11"
北海道,"当別町,新篠津村,",土地改良,基準点,３級,28point,助言H20.6.23A0130北海道石狩支庁,パブリックコンサルタント(株),"H20.6.14
H21.2.20"
北海道,"新ひだか町,",道路計画,基準点,３級,3point,助言H20.6.23A0131北海道胆振支庁,(株)細道コンサルタント,"H20.6.17
H20.9.30"
北海道,"新十津川町,",土地改良,基準点,３級,54point,助言H20.6.23A0132北海道空知支庁,(株)空知コンサルタント,"H20.6.20
H21.3.2"
北海道,"北見市,",土地改良,基準点,３級,8point,助言H20.6.23A0133北海道網走支庁,(株)中神土木設計事務所,"H20.5.20
H20.8.20"
北海道,"新冠町,",道路計画,基準点,３級,4point,助言H20.6.24A0134新冠町,アサヒコンサルタント(株)   ,"H20.6.18
H20.7.30"
北海道,"遠軽町,",河川管理,基準点,３級,9point,助言H20.6.24A0135網走開発建設部,(株)エクサ設計,"H20.6.18
H20.11.10"
北海道,"むかわ町,",地すべり対,"基準点,基準点","１級,,３級","2point,11point",助言H20.6.24A0136北海道胆振支庁,応用地質(株),"H20.6.25
H20.10.31"
北海道,"栗山町,",土地改良,基準点,３級,16point,助言H20.6.24A0137北海道空知支庁,パブリックコンサルタント(株),"H20.6.17
H21.3.10"
北海道,"由仁町,",土地改良,基準点,３級,43point,助言H20.6.24A0138北海道空知支庁,(株)本山測量設計,"H20.7.1
H20.7.31"
北海道,"石狩市,三笠市,当別町,",土砂,"既成図数値化,数値図修正","2500,,2500","2.8KM2,2.8KM2",助言H20.6.25A0139北海道石狩支庁,共和コンサルタント(株),"H20.5.30
H20.12.22"
北海道,"札幌市,",河川用地,"基準点,基準点","１級,,３級","1point,5point",助言H20.6.25A0140札幌市,スミセキ・ジオテクノ(株),"H20.6.9
H20.12.5"
北海道,"中標津町,",道路計画,"基準点,基準点","１級,,３級","2point,4point",助言H20.6.25A0141中標津町,(株)日建エンヂニアリング,"H20.6.26
H20.10.3"
北海道,"雨竜町,",土地改良,基準点,３級,40point,助言H20.6.25A0142北海道空知支庁,やまざきコンサルタント(株),"H20.6.21
H21.3.2"
北海道,"枝幸町,",道路管理,"基準点,基準点","２級,,３級","2point,1point",助言H20.6.25A0143北海道宗谷支庁,ダイシン設計(株),"H20.6.21
H20.11.20"
北海道,"中札内村,",土地改良,基準点,１級,5point,助言H20.6.25A0144帯広開発建設部,(株)フロンティア技研,"H20.6.14
H20.10.14"
北海道,"北斗市,",道路用地,基準点,１級,1point,助言H20.6.25A0145北海道渡島支庁,日鉄鉱コンサルタント(株),"H20.6.24
H20.10.20"
北海道,"広尾町,",砂防計画,"基準点,基準点","１級,,２級","5point,4point",助言H20.6.30A0146北海道十勝支庁,北海道キング設計(株),"H20.6.30
H20.12.10"
北海道,"新十津川町,",土地改良,基準点,３級,49point,助言H20.6.30A0147北海道空知支庁,岩見沢測量設計(株),"H20.6.30
H21.3.2"
北海道,"北見市,津別町,",道路用地,"基準点,基準点","１級,,３級","2point,7point",助言H20.6.30A0148北海道網走支庁,(有)興測設計事務所,"H20.7.1
H20.12.25"
北海道,"豊富町,",農地開発,基準点,２級,5point,助言H20.6.30A0149稚内開発建設部稚内農業事務所,和光技研(株),"H20.6.30
H20.11.30"
北海道,"枝幸町,",土地改良,"基準点,基準点","１級,,３級","7point,15point",助言H20.7.1A0150北海道宗谷支庁,新栄コンサルタント(株),"H20.6.9
H20.12.10"
北海道,"美瑛町,",道路用地,"基準点,基準点,路線","３級,,４級,,","1point,2point,0.2km",助言H20.7.1A0151美瑛町,(株)及川土木設計,"H20.6.17
H20.10.30"
北海道,"広尾町,",砂防計画,基準点,３級,1point,助言H20.7.1A0152北海道帯広土木現業所,(株)シン技術コンサル,"H20.6.25
H21.2.27"
北海道,"別海町,",土地改良,基準点,３級,15point,助言H20.7.1A0153北海道土地改良事業団体連合会,"北海道土地改良事業団体連合
会","H20.6.11
H20.9.30"
北海道,"小清水町,",農道計画,基準点,３級,3point,助言H20.7.2A0154北海道網走支庁,(株)アース設計事務所,"H20.6.20
H21.2.20"
北海道,"北斗市,",都市計画,"数値撮影,数値図修正","20cm,,2500","364.3KM2,100.5KM2",助言H20.7.1A0155北斗市,(株)シン技術コンサル,"H20.6.5
H22.3.25"
北海道,"長沼町,",道路計画,基準点,３級,6point,助言H20.7.2A0156北海道石狩支庁,ダイシン設計(株),"H20.6.28
H20.8.29"
北海道,"本別町,",土地改良,基準点,４級,10point,助言H20.7.2A0157北海道十勝支庁,(有)広尾測量,"H20.5.26
H20.8.20"
北海道,"室蘭市,",道路防災,基準点,３級,5point,助言H20.7.2A0158北海道胆振支庁,(株)メイセイ・エンジニアリング,"H20.6.26
H20.8.30"
北海道,"上川町,",道路用地,"基準点,基準点","１級,,３級","2point,2point",助言H20.7.2A0159旭川開発建設部,(株)アキマ光測量設計,"H20.6.27
H20.8.20"
北海道,"深川市,妹背牛町,",土地改良,基準点,３級,10point,助言H20.7.2A0160北海道空知支庁,"内外エンジニアリング北海道
(株)","H20.6.27
H21.3.18"
北海道,"幌加内町,",土地改良,基準点,３級,2point,助言H20.7.2A0161北海道空知支庁,開成コンサルタント(株),"H20.6.27
H20.8.25"
北海道,"苫小牧市,",河川管理,基準点,３級,2point,"助言H20.7.2A0162室蘭開発建設部苫小牧河川事務
所",(株)タナカコンサルタント,"H20.6.23
H20.7.10"
北海道,"美唄市,",道路計画,"基準点,基準点","１級,,３級","1point,15point","助言H20.7.2A0163札幌開発建設部岩見沢道路事務
所",(株)エーティック,"H20.7.3
H20.11.28"
北海道,"むかわ町,",道路計画,基準点,３級,2point,助言H20.7.2A0164むかわ町,アルファ計画(株),"H20.7.1
H20.8.20"
北海道,"安平町,",道路計画,基準点,２級,2point,助言H20.7.2A0165安平町,ダイシン設計(株),"H20.7.3
H20.8.29"
北海道,"新篠津村,",土地改良,基準点,３級,42point,助言H20.7.4A0166北海道石狩支庁,(株)香島コンサルタント,"H20.6.24
H21.3.20"
北海道,"栗山町,",ほ場整備,"基準点,水準,数値図化","３級,,３級,,1000","36point,10.6km,5.6KM2",助言H20.7.4A0167北海道空知支庁,アジア航測(株),"H20.4.21
H20.9.30"
北海道,"由仁町,",ほ場整備,基準点,２級,15point,"助言H20.7.4A0168札幌開発建設部札幌南農業事務
所",サン技術コンサルタント(株),"H20.7.1
H20.11.25"
北海道,"佐呂間町,",河川計画,基準点,２級,4point,助言H20.7.7A0169北海道網走支庁,(株)アイネス,"H20.6.30
H20.12.10"
北海道,"富良野市,",道路計画,"基準点,基準点","２級,,３級","1point,8point",助言H20.7.7A0170北海道上川支庁,北海道キング設計(株),"H20.7.3
H20.12.10"
