都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,計画機関,作業機関,自至時期
北海道,"東神楽町,",都市計画,"数値撮影,数値図修正","12500,,2500","26KM2,26KM2",助言H20.12.5A0615東神楽町,(株)北海道朝日航洋,"H20.10.23
H21.3.10"
北海道,"上士幌町,",土地改良,基準点,３級,3point,助言H20.12.5A0616帯広開発建設部,(株)イーエス総合研究所,"H20.12.3
H21.3.25"
北海道,"浜中町,",土地改良,基準点,３級,4point,助言H20.12.9A0617釧路開発建設部,(株)ドボク管理,"H20.12.3
H21.2.27"
北海道,"登別市,様似町,",漁港整備,"基準点,座標変換,座標変換","３級,,２級,,３級","3point,1point,1point",助言H20.12.9A0618室蘭開発建設部,東武計画(株),"H20.12.11
H21.1.20"
北海道,"佐呂間町,",河川計画,基準点,３級,1point,助言H20.12.16A0619北海道網走支庁,(株)シー・イー・サービス,"H20.12.9
H21.3.25"
北海道,"東川町,",斜面崩壊調査,航空レーザ,1000,2KM2,助言H20.12.19A0620(独)土木研究所寒地土木研究所,(株)タナカコンサルタント,"H20.9.30
H21.1.27"
北海道,"むかわ町,",河川用地,"基準点,座標変換","３級,,２級","2point,1point",助言H20.12.16A0621室蘭開発建設部,(株)山口技研コンサルタント,"H20.12.17
H21.2.27"
北海道,"佐呂間町,",道路管理,"基準点,基準点,路線","３級,,４級,,","3point,15point,1km",助言H20.12.16A0622北海道網走支庁,櫻井測量設計(株),"H20.12.10
H21.3.19"
北海道,"中川町,音威子府村,",河川管理,"カラー撮影,数値図化","12500,,2500","188KM2,67KM2",助言H20.12.17A0623旭川開発建設部,(株)八州,"H20.10.28
H21.3.19"
北海道,"京極町,",砂防計画,"基準点,基準点","１級,,３級","4point,5point",助言H20.12.17A0624北海道後志支庁,北武コンサルタント(株),"H20.12.15
H21.1.23"
北海道,"古平町,",道路防災,基準点,３級,2point,助言H20.12.17A0625北海道小樽土木現業所,エイコー技研(株),"H20.12.18
H21.2.20"
北海道,"福島町,",道路防災,基準点,３級,3point,助言H20.12.17A0626北海道渡島支庁,(株)竹田測量設計,"H20.12.13
H21.3.10"
北海道,"豊頃町,",道路計画,"基準点,路線","３級,,","10point,2km",助言H20.12.17A0627北海道十勝支庁,北海道土木設計(株),"H20.12.13
H21.3.20"
北海道,"長沼町,",土地改良,基準点,３級,1point,"助言H20.12.17A0628札幌開発建設部札幌南農業事務
所",(株)田西設計コンサル,"H20.12.15
H20.12.26"
北海道,"帯広市,",河川管理,"基準点,水準","２級,,２級","1point,2km",助言H20.12.17A0629帯広開発建設部,東和工研(株),"H20.12.10
H20.12.31"
北海道,"壮瞥町,",道路計画,"基準点,基準点","２級,,３級","2point,3point",助言H20.12.17A0630北海道胆振支庁,パブリックコンサルタント(株),"H20.11.5
H21.3.10"
北海道,"浜中町,",土地改良,"基準点,基準点,路線","３級,,４級,,","6point,22point,0.6km",助言H20.12.19A0631釧路開発建設部,(株)アルト技研,"H20.12.13
H21.2.27"
北海道,"千歳市,",道路用地,基準点,２級,1point,助言H20.12.25A0632石狩川開発建設部,(有)坂口測量,"H20.12.16
H21.3.25"
北海道,"今金町,せたな町,",河川計画,数値図化,2500,39.7KM2,助言H20.12.19A0633函館開発建設部,(株)ユニテック,"H20.9.26
H21.3.23"
北海道,"今金町,",河川計画,数値図化,2500,18KM2,助言H20.12.19A0634函館開発建設部,日測技研(株),"H20.12.10
H21.3.23   "
北海道,"丸瀬布町,",道路計画,基準点,３級,1point,助言H20.12.25A0635北海道網走支庁,北海道土木設計(株),"H20.12.18
H21.3.19"
北海道,"鹿追町,",砂防計画,基準点,３級,2point,助言H20.12.25A0636北海道十勝支庁,和光技研(株),"H20.12.15
H21.3.19"
北海道,"浦幌町,",道路用地,基準点,３級,5point,助言H20.12.25A0637北海道十勝支庁,パブリックコンサルタント(株),"H20.9.25
H21.2.20"
北海道,"北斗市,",道路計画,基準点,３級,1point,助言H20.12.25A0638函館開発建設部,北海道測量事業協同組合,"H20.12.16
H21.3.10"
北海道,"利尻町,",道路用地,"基準点,基準点","１級,,３級","1point,2point",助言H20.12.25A0639北海道宗谷支庁,(株)サッポロ・エンジニヤーズ,"H20.9.25
H21.2.20"
北海道,"標茶町,",道路用地,基準点,３級,4point,助言H20.12.25A0640釧路開発建設部,(有)サノ測量設計社,"H20.12.12
H21.2.13"
北海道,"釧路市,",道路用地,基準点,２級,1point,助言H20.12.25A0641釧路開発建設部,東邦コンサルタント(株),"H20.12.13
H21.1.15"
北海道,"札幌市,",ダム管理,数値図修正,2500,5.2KM2,助言H20.12.25A0642石狩川開発建設部,日測技研(株),"H20.10.24
H21.2.5"
北海道,"壮瞥町,",道路用地,"基準点,基準点","３級,,４級","2point,8point",助言H20.12.25A0643北海道胆振支庁,北洋コンサルタント(株),"H20.12.19
H21.3.27"
