都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,計画機関,作業機関,実施時期,付図番号
北海道,"北見市,",土地改良(畑総事業相内地区),基準点,3級,6point,北海道日高支庁助言H12.04.05A0001,(株)中神土木設計事務所,"H12.04.04,H12.06.30",
北海道,"門別町,",道路計画(道路改良基準点測量),基準点,3級,6point,北海道日高支庁助言H12.04.05A0002,(株)桜井測量,"H12.03.30,H12.07.10",
北海道,"北見市,",土地改良(明渠排水路相内地区),基準点,3級,5point,北海道網走支庁助言H12.04.10A0003,大起コンサルタント(株),"H12.04.10,H12.06.30",
北海道,"阿寒町,",農道計画(仁々志別地区),基準点,3級,12point,北海道釧路支庁助言H12.04.10A0004,東邦コンサルタント(株),"H12.04.10,H12.09.29",
北海道,"標茶町,",農道計画(多和迂回線地区),基準点,3級,9point,北海道釧路支庁助言H12.04.10A0005,東邦コンサルタント(株),"H12.04.10,H12.12.11",
北海道,"弟子屈町,",農道計画(下仁多北地区),基準点,3級,10point,北海道釧路支庁助言H12.04.10A0006,(株)松木測量設計,"H12.04.10,H12.09.29",
北海道,"枝幸町,",国有林野の管理経営,その他,その他,,北海道森林管理局旭川分局助言H12.04.14A0007,直営,"H12.06.01,H12.09.30",
北海道,"士幌町,",土地改良,基準点,3級,6point,北海道十勝支庁助言H12.04.12A0008,(株)帝国設計事務所,"H12.04.17,H12.07.31",
北海道,"弟子屈町,",道路計画,基準点,3級,"6.5km,28point",北海道釧路支庁助言H12.04.14A0009,山下コンサルタント,"H12.04.14,H12.12.22",
北海道,"厚真町,",土地区画整理,基準点,2級,1point,北海道厚真町厚真中央土地区画整理組合助言H12.04.18A0010,(株)シン技術コンサル,"H12.04.17,H12.07.20",
北海道,"幌加内町,",地図データほ場管理,"カラー撮影,空三,数値図化",15000,317.3KM2,北海道幌加内町助言H12.04.18A0011,北海航測(株),"H12.03.18,H13.01.31",
北海道,"砂原町,鹿部町,",沿岸の海の基本図作成,深浅,,,海上保安庁水路部助言H12.04.18A0012,三洋テクノマリン(株),"H12.06.01,H12.08.31",
北海道,"帯広市,",土地改良,基準点,3級,15point,北海道十勝支庁助言H12.04.18A0013,東和工研(株),"H12.04.17,H12.09.29",
北海道,"釧路市,弟子屈町,釧路町,白糠町,標茶町,阿寒町,鶴居村,音別町,浦幌町,本別町,留萌市,増毛町,北竜町,雨竜町,新十津川町,当別町,浜益村,厚田村,釧路市,弟子屈町,釧路町,白糠町,標茶町,阿寒町,鶴居村,音別町,浦幌町,本別町,留萌市,増毛町,北竜町,雨竜町,新十津川町,当別町,浜益村,厚田村,釧路市,弟子屈町,釧路町,白糠町,標茶町,阿寒町,鶴居村,音別町,浦幌町,本別町,留萌市,増毛町,北竜町,雨竜町,新十津川町,当別町,浜益村,厚田村,釧路市,弟子屈町,釧路町,白糠町,標茶町,阿寒町,鶴居村,音別町,浦幌町,本別町,留萌市,増毛町,北竜町,雨竜町,新十津川町,当別町,浜益村,厚田村,",森林計画,"撮影,撮影,撮影,撮影","20000,,20000,,20000,,20000","1250KM2,2170KM2,1250KM2,2170KM2",北海道助言H12.04.18A0014,"北海道航空(株),朝日航洋(株)","H12.06.01,H12.11.24",
北海道,"士幌町,",土地改良,基準点,3級,9point,北海道十勝支庁助言H12.04.19A0015,(株)ルーラルエンジニア,"H12.03.17,H12.07.31",
